Close,Hi,Low
63.59515666,58.0847961,69.10551723
63.79166413,56.17364812,71.40968013
63.66783879,54.59276911,72.74290848
,JSWSTEEL,
187.1822586,164.780805,209.5837122
187.1718531,154.9241366,219.4195695
187.1654569,147.3832285,226.9476853
,JUBLFOOD,
1031.301761,954.5320039,1108.071519
1029.936028,919.8352567,1140.036798
1029.660488,894.311452,1165.009523
,JUSTDIAL,
523.1721059,459.4790255,586.8651862
522.2197822,426.3063788,618.1331855
523.6274661,403.8097448,643.4451875
,KOTAKBANK,
875.7678483,820.2480448,931.2876518
875.4642526,798.468299,952.4602061
872.7432057,786.1569947,959.3294168
,KPIT,
131.1933578,121.3545016,141.0322141
131.0413741,117.0166942,145.0660539
131.1507295,113.998436,148.303023
,KSCL,
565.6793369,526.3319911,605.0266827
566.05339,509.2085707,622.8982093
566.0608168,495.4726598,636.6489738
,KTKBANK,
154.7119793,148.8139127,160.610046
154.8341674,146.5289197,163.1394151
154.8270162,144.5771054,165.076927
,L&TFH,
45.97595068,44.90997687,47.04192448
45.99995331,44.52410462,47.47580199
46.01379699,44.25954464,47.76804934
,LICHSGFIN,
643.5048441,619.4515527,667.5581354
643.4718947,611.2384713,675.705318
643.4301727,604.8888177,681.9715278
,LT,
1689.66114,1627.695999,1751.626281
1688.392614,1599.33713,1777.448099
1688.329376,1579.027192,1797.63156
,LUPIN,
1407.302997,1327.73812,1486.867873
1407.741125,1294.837115,1520.645135
1407.852474,1270.502097,1545.20285
,M&M,
29.98245585,27.67883368,32.28607802
29.94124257,26.68334597,33.19913918
30.01156366,26.04522603,33.9779013
,M&MFIN,
29.98245585,27.67883368,32.28607802
29.94124257,26.68334597,33.19913918
30.01156366,26.04522603,33.9779013
,MARICO,
299.8043001,282.5226485,317.0859517
299.9566843,276.4742955,323.4390732
300.2232145,273.7309867,326.7154424
,MARUTI,
6186.793763,6011.263315,6362.324211
6185.103279,5933.464903,6436.741656
6185.538778,5872.175704,6498.901852
,MFSL,
631.9608158,601.3553652,662.5662663
631.6084418,589.4903144,673.7265692
631.7882213,580.286022,683.2904207
,MINDTREE,
450.3050199,395.1970996,505.4129402
450.8152738,377.5502663,524.0802813
451.1449819,364.7690332,537.5209306
,MOTHERSUMI,
379.2807637,355.6354015,402.926126
377.6876159,344.8584475,410.5167842
377.774606,342.2642251,413.2849868
,MRF,
63205.18975,61205.14512,65205.23438
63179.38466,60305.44982,66053.31949
63291.32281,59765.31927,66817.32635
,MUTHOOTFIN,
406.8378231,390.8073138,422.8683324
404.5232714,381.8769273,427.1696155
405.7320556,376.7237094,434.7404017
,NCC,
97.058654,91.10291393,103.0143941
96.68413617,87.9006339,105.4676384
96.66305751,86.39994621,106.9261688
,NHPC,
31.82483196,30.89447573,32.7551882
31.8295295,30.54837976,33.11067924
31.81438343,30.26501368,33.36375318
,NIITTECH,
423.6738409,396.0316362,451.3160456
422.9287321,383.2097582,462.647706
423.5700752,373.826147,473.3140033
,NMDC,
129.2103779,123.809165,134.6115909
129.1983758,121.543397,136.8533546
129.216994,119.9680772,138.4659108
,NTPC,
167.2221372,161.6838954,172.7603791
166.7413622,158.9794677,174.5032567
167.1197365,157.9918338,176.2476393
,OFSS,
3588.316298,3475.982242,3700.650354
3582.017557,3427.309029,3736.726085
3576.395277,3391.997326,3760.793227
,OIL,
325.3626355,309.1152268,341.6100442
325.7927375,302.8470959,348.7383791
325.3751228,297.4762519,353.2739936
,ONGC,
179.9889481,167.775239,192.2026572
180.0122741,163.4750983,196.54945
180.2322126,160.0967387,200.3676866
,ORIENTBANK,
153.8675709,142.6592109,165.0759309
153.8851111,137.771858,169.9983642
154.3312965,134.5864512,174.0761417
,PAGEIND,
13955.65025,13265.53138,14645.76912
13970.83173,12981.56405,14960.09941
13973.15734,12767.70083,15178.61385
,PCJEWELLER,
421.3306359,393.8148344,448.8464374
421.1831247,380.4175615,461.948688
421.3994367,370.5691421,472.2297313
,PEL,
2359.364189,2288.006467,2430.721912
2368.918865,2264.282679,2473.555052
2372.167798,2237.987045,2506.34855
,PETRONET,
434.4232577,420.9793828,447.8671325
435.3870786,417.2983468,453.4758105
435.3177492,414.3693256,456.2661728
,PFC,
155.8066104,145.8007816,165.8124393
156.0072043,142.1525057,169.8619029
156.7234914,139.6872641,173.7597187
,PIDILITIND,
713.8352337,691.0248879,736.6455794
713.766209,680.5856904,746.9467277
713.8345909,672.7530101,754.9161717
,PNB,
155.0404617,146.6708077,163.4101157
155.3295146,143.2603411,167.3986881
155.5399316,140.3870738,170.6927893
,POWERGRID,
205.8485943,200.5453607,211.1518279
205.3432803,197.9289718,212.7575888
205.4369941,196.2907408,214.5832474
,PTC,
96.67598499,92.98184606,100.3701239
96.74356396,91.47680074,102.0103272
96.86983518,90.41519665,103.3244737
,PVR,
1555.719118,1507.601083,1603.837153
1555.900136,1490.246573,1621.553699
1555.841371,1476.883238,1634.799504
,RCOM,
33.92322809,29.55101816,38.29543802
33.95750262,27.85992664,40.05507861
33.92597901,26.37101285,41.48094517
,RDEL,
65.31132258,60.30331802,70.31932714
65.29637219,58.30589076,72.28685362
65.44574825,57.15385044,73.73764606
,RECLTD,
204.9217587,194.3705921,215.4729253
