"Date","UPL.NS.Open","UPL.NS.High","UPL.NS.Low","UPL.NS.Close","UPL.NS.Volume","UPL.NS.Adjusted"
2015-11-25,437.05,437.05,437.05,437.05,0,433.314
2015-11-26,438.65,440.5,429.2,430.4,1486900,426.721
2015-11-27,433.9,435.45,419.4,421.05,1512000,417.451
2015-11-30,419.1,424.95,413.1,415.75,2475100,412.196
2015-12-01,417.9,430,417.9,425.15,1106200,421.516
2015-12-02,426,431.9,422.7,424.6,1167200,420.97
2015-12-03,422.15,426.15,419.25,421.4,657000,417.798
2015-12-04,417,421.25,416,418.9,994700,415.319
2015-12-07,421.5,422.2,409.3,413.75,915600,410.213
2015-12-08,412,412.6,402.65,404.55,1588100,401.092
2015-12-09,400.75,401.25,390.6,394.75,1603100,391.375
2015-12-10,394.7,411.9,387.3,408.4,1710500,404.909
2015-12-11,411,412.75,395,396.6,1170100,393.21
2015-12-14,393.9,407.2,385,405.15,1166600,401.687
2015-12-15,407,419.95,405.25,419.1,2061400,415.517
2015-12-16,422.8,425.75,419.5,424.4,1538300,420.772
2015-12-17,425,428.9,417,427.05,1564100,423.399
2015-12-18,410,424.8,410,422.15,1378100,418.541
2015-12-21,416.7,433.7,416.7,428.15,1035900,424.49
2015-12-22,428,431.95,424.5,427.2,988100,423.548
2015-12-23,428.55,436.4,427.65,434.15,899800,430.439
2015-12-24,435,435.65,429.8,433.05,315300,429.348
2015-12-25,433.05,433.05,433.05,433.05,0,429.348
2015-12-28,433.05,436.8,431,434.85,640500,431.133
2015-12-29,434.5,438,430.05,433.85,425100,430.141
2015-12-30,433.85,438,430.3,434.95,445300,431.232
2015-12-31,435,443.7,430.5,438.1,1740000,434.355
2016-01-01,438.1,442.75,435.6,440.35,215700,436.586
2016-01-04,436.5,445,426.8,433.85,707100,430.141
2016-01-05,436.5,437.65,427.55,435.3,840200,431.579
2016-01-06,434.65,445.2,433.35,443.35,944100,439.56
2016-01-07,441.5,441.5,412.2,417.4,1104300,413.832
2016-01-08,421,428.55,417.55,425.45,584300,421.813
2016-01-11,420,427.85,417.3,424.9,641000,421.268
2016-01-12,426.2,432.6,419.75,424.9,850600,421.268
2016-01-13,430.15,430.15,404.3,411.1,1079300,407.586
2016-01-14,404.1,405.9,391.65,398.55,1283800,395.143
2016-01-15,401,405,388.55,390.35,1364900,387.013
2016-01-18,385.6,394.25,374.65,388,951000,384.683
2016-01-19,389,398.9,387.1,391.95,768900,388.599
2016-01-20,385,388.45,370.35,373.45,1847700,370.258
2016-01-21,372.1,382.4,372,377.7,1406800,374.471
2016-01-22,382.65,402.25,380.25,399.2,1035600,395.787
2016-01-25,402.8,405.1,394.25,401.6,720900,398.167
2016-01-26,401.6,401.6,401.6,401.6,0,398.167
2016-01-27,404,416.7,401,413.15,1484000,409.618
2016-01-28,413.1,421,409.05,410.65,1468500,407.14
2016-01-29,413.95,438.9,410.9,437.15,2515700,433.413
2016-02-01,441,441.95,430.5,438.15,897000,434.404
2016-02-02,437,438,412.6,416,1139400,412.444
2016-02-03,409,413.85,402.85,409.1,737700,405.603
2016-02-04,414.7,418.25,397.5,405.25,870500,401.786
2016-02-05,407.85,414.85,403.55,412,912300,408.478
2016-02-08,413.5,418,401.05,403.55,466100,400.1
2016-02-09,399.5,405.05,386.3,390.3,679600,386.964
2016-02-10,385,397.95,384.2,395.3,942100,391.921
2016-02-11,393,397.75,376.8,387.7,1242800,384.386
2016-02-12,388.85,393.3,367.25,379.4,1044400,376.157
2016-02-15,385,408.9,385,405,896400,401.538
2016-02-16,407,414,400.35,403.45,1253900,400.001
2016-02-17,402.9,407,382.6,395.6,863000,392.218
2016-02-18,402.7,403,387.5,393.7,533100,390.334
2016-02-19,392,400,382.75,398.05,659200,394.647
2016-02-22,399,402.95,392,394.7,626100,391.326
2016-02-23,395,399.65,388,394.35,581200,390.979
2016-02-24,391.8,393.5,376.55,378.7,735300,375.463
2016-02-25,379.95,386.25,369.45,382.2,1598400,378.933
2016-02-26,386,390,376,378.55,893900,375.314
2016-02-29,377,388.3,368.25,381.65,1515500,378.387
2016-03-01,382.4,410.4,382,406.3,1165900,402.827
2016-03-02,408.2,423.5,408.2,411.55,1365600,408.032
2016-03-03,424,426.95,416.25,424.75,1197800,421.119
2016-03-04,424.1,448.2,424.1,444.8,2811500,440.998
2016-03-07,444.8,444.8,444.8,444.8,0,440.998
2016-03-08,444,444.75,431.45,435.5,736700,431.777
2016-03-09,433,438.4,428.5,435.05,1003900,431.331
2016-03-10,437.8,454.4,435,447.45,1587400,443.625
2016-03-11,445,446.65,432,438.5,730700,434.751
2016-03-14,441,447.6,438.1,440,436100,436.239
2016-03-15,438,442,432.15,434.25,512700,430.538
2016-03-16,434,436.4,420,430.4,596200,426.721
2016-03-17,436,444.6,433.7,437.3,771500,433.562
2016-03-18,442.1,445.85,430.55,441,823500,437.23
2016-03-21,442,446.45,433.6,445.25,830800,441.444
2016-03-22,446.8,448.4,438.2,444.4,986600,440.601
