"Date","BATAINDIA.NS.Open","BATAINDIA.NS.High","BATAINDIA.NS.Low","BATAINDIA.NS.Close","BATAINDIA.NS.Volume","BATAINDIA.NS.Adjusted"
2016-01-01,519,519,513,515.8,184800,512.573
2016-01-04,514.3,518.05,504,509.45,180900,506.263
2016-01-05,511,513.75,498.65,500.8,240200,497.667
2016-01-06,500.9,505,489.1,499.85,430600,496.723
2016-01-07,498.1,503.5,490.85,496.75,329600,493.643
2016-01-08,497.5,502.3,486.6,489.1,378600,486.04
2016-01-11,480,491.9,475,486.75,179300,483.705
2016-01-12,487,490.65,478.95,487.4,156600,484.351
2016-01-13,488.4,495.95,477.75,480.25,378000,477.246
2016-01-14,477.1,477.1,461,466.35,590300,463.433
2016-01-15,469.8,474.7,457,461.05,321800,458.166
2016-01-18,468.9,468.9,446.5,460.25,423700,457.371
2016-01-19,457.4,467.4,457.4,465.4,234100,462.489
2016-01-20,452,465.4,448.1,451.95,372700,449.123
2016-01-21,455,460,438,448.75,246300,445.943
2016-01-22,455.5,476,450,472,316500,469.047
2016-01-25,474,506.75,470.8,476.3,836400,473.32
2016-01-26,476.3,476.3,476.3,476.3,0,473.32
2016-01-27,483.4,487.9,468.75,480.55,767800,477.544
2016-01-28,482,486.3,473.55,478.75,464500,475.755
2016-01-29,479.5,483.5,470.45,476.4,705300,473.42
2016-02-01,483,484,463,468.3,527500,465.371
2016-02-02,468,469.65,452.1,453.95,368800,451.11
2016-02-03,454.95,460,446.45,452.8,204500,449.967
2016-02-04,456,470,455,465.8,339400,462.886
2016-02-05,467.2,491.1,460.25,483.2,356700,480.177
2016-02-08,480,495.7,478.05,489.2,421500,486.14
2016-02-09,470.1,483.9,470.1,481.75,200700,478.736
2016-02-10,483,497,457.1,487.25,730500,484.202
2016-02-11,492.4,501,464,480.5,1286000,477.494
2016-02-12,481.8,481.8,452.45,461.15,339900,458.265
2016-02-15,468.95,489,468.25,482.75,316000,479.73
2016-02-16,485.05,496.95,462,469.3,279200,466.364
2016-02-17,464.35,469,454.75,466.6,253700,463.681
2016-02-18,472,479.25,468.75,471.75,178600,468.799
2016-02-19,474,488.45,471,485.7,269800,482.662
2016-02-22,488,500,486.25,489.4,410200,486.339
2016-02-23,490,491.9,468.1,473.5,329000,470.538
2016-02-24,468,471.75,459.5,462.8,462800,459.905
2016-02-25,465,469.2,453.7,464.05,881200,461.147
2016-02-26,467.95,471,461,462.35,128100,459.458
2016-02-29,464.65,467.8,452.35,455.65,281000,452.8
2016-03-01,457.3,468.55,457.3,464.55,258500,461.644
2016-03-02,468.5,482.9,468.5,473,421700,470.041
2016-03-03,477,496,473,492.95,388600,489.866
2016-03-04,499.45,504.9,488.1,490.95,426300,487.879
2016-03-07,490.95,490.95,490.95,490.95,0,487.879
2016-03-08,484,490,477.05,482.6,300600,479.581
2016-03-09,478.25,492.5,476.5,490.9,257800,487.829
