"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2015-09-16,487.45,497,486,494.25,7293500,489.67
2015-09-17,494.25,494.25,494.25,494.25,0,489.67
2015-09-18,500,520.4,500,517.45,18814200,512.66
2015-09-21,510.55,530,508.75,528,7516000,523.11
2015-09-22,531,534.7,505.2,509.7,7358400,504.98
2015-09-23,498.75,514.85,497.1,511.7,7602600,506.96
2015-09-24,510,518.2,506.2,513.95,6911400,509.19
2015-09-25,513.95,513.95,513.95,513.95,0,509.19
2015-09-28,514.5,522,505,506.7,6526800,502.01
2015-09-29,499.9,513.5,485,504.5,19935000,499.83
2015-09-30,508.8,510,491.5,495.65,12199400,491.06
2015-10-01,500,503.45,490.9,496.25,8137000,491.65
2015-10-02,496.25,496.25,496.25,496.25,0,491.65
2015-10-05,504.5,514.9,501.55,513.25,9558100,508.5
2015-10-06,517.35,518.55,505,506.4,8226400,501.71
2015-10-07,503.25,509.8,495,496.8,11251600,492.2
2015-10-08,500,500.45,484.2,491.5,9941500,486.95
2015-10-09,495,499.25,486.75,490.45,10368000,485.91
2015-10-12,497.8,497.8,485.1,487.05,5566500,482.54
2015-10-13,487,492.1,485,490.9,7268000,486.35
2015-10-14,489.7,496.8,488.05,495.5,5645500,490.91
2015-10-15,497,502,495.55,498.7,5251000,494.08
2015-10-16,494.5,507.5,491.4,505,5875100,500.32
2015-10-19,502,508.8,501.15,506.65,4242800,501.96
2015-10-20,504.6,513.3,504.6,509.4,5729400,504.68
2015-10-21,509.3,514.75,505,511.75,6245500,507.01
2015-10-22,511.75,511.75,511.75,511.75,0,507.01
2015-10-23,515.25,527.5,515.25,525.65,11628900,520.78
2015-10-26,528.85,532.7,519.2,521.05,8015100,516.22
2015-10-27,517.25,528.5,515.65,521.8,13011500,516.97
2015-10-28,495.7,495.7,476.55,482.9,33157000,478.43
2015-10-29,485,486.4,467.05,468.95,22054600,464.61
2015-10-30,472,478.4,465,475.4,16103500,471
2015-11-02,477.8,479.85,473.1,478.25,10316500,473.82
2015-11-03,481,483.5,473.35,474.65,9337400,470.25
2015-11-04,480,480.1,470.6,472.5,6319100,468.12
2015-11-05,472,472,462,463.8,8078000,459.5
2015-11-06,462,467.5,459.5,465.15,9185800,460.84
2015-11-09,453,467,445.9,464.95,9643800,460.64
2015-11-10,463,473.5,462.25,468.35,7040500,464.01
2015-11-11,474.5,482.4,473,480.35,3012400,475.9
2015-11-12,480.35,480.35,480.35,480.35,0,475.9
2015-11-13,475.4,487.2,472.3,484.95,10014700,480.46
2015-11-16,484,485,477,481.45,6488900,476.99
2015-11-17,484.75,485,473.05,475.6,5944100,471.19
2015-11-18,474.7,476.7,462.2,463.55,6081300,459.26
2015-11-19,468,468,460.1,463.05,8717200,458.76
2015-11-20,462.95,465.35,458.25,459.85,11446800,455.59
2015-11-23,461,464.25,458.7,462.7,7774800,458.41
2015-11-24,462.85,466.95,462.7,463.85,5388000,459.55
2015-11-25,463.85,463.85,463.85,463.85,0,459.55
2015-11-26,465.1,468.55,464.5,465.3,26648500,460.99
2015-11-27,467,475.4,466.1,471,10288900,466.64
2015-11-30,469.25,474.4,468.1,468.65,8926200,464.31
2015-12-01,471,471.35,458.15,461.6,11177800,457.32
2015-12-02,462.25,463.4,457.25,459.5,7152900,455.24
2015-12-03,460,465.35,458.65,462.5,8154100,458.22
2015-12-04,459.9,462.8,456.1,460.5,7e+06,456.23
2015-12-07,462.95,465.55,460.3,462.3,6335600,458.02
2015-12-08,460,462.95,457.5,458.8,7003700,454.55
2015-12-09,457.05,461.1,448,450.6,8745900,446.43
2015-12-10,452,454.6,445.1,449.95,10192500,445.78
2015-12-11,449.95,450.8,436.55,440.65,15589800,436.57
2015-12-14,432,441.45,429.5,431.35,10389100,427.35
