"Date","NHPC.NS.Open","NHPC.NS.High","NHPC.NS.Low","NHPC.NS.Close","NHPC.NS.Volume","NHPC.NS.Adjusted"
2016-03-18,21.5,22.4,21.35,22.25,6928700,20.53
2016-03-21,22.1,22.5,21.9,22.35,3921400,20.62
2016-03-22,22.1,22.45,22,22.15,1804100,20.44
2016-03-23,22.1,22.35,21.9,22.1,2549900,20.39
2016-03-24,22.1,22.1,22.1,22.1,0,20.39
2016-03-25,22.1,22.1,22.1,22.1,0,20.39
2016-03-28,22.1,22.3,21.7,21.8,2485800,20.12
2016-03-29,21.65,22.05,21.55,21.9,2740100,20.21
2016-03-30,22,23,22,22.9,4093900,21.13
2016-03-31,22.9,24.45,22.65,24.15,22003900,22.28
2016-04-01,23.7,24.2,23.55,24.05,6143500,22.19
2016-04-04,24.05,24.25,23.9,24.1,4315800,22.24
2016-04-05,24,24,22.65,22.8,4342700,21.04
2016-04-06,22.9,23.35,22.6,23.2,3588700,21.41
2016-04-07,23.1,23.4,22.85,23,1836800,21.22
2016-04-08,22.9,23.45,22.8,23.3,1505300,21.5
2016-04-11,23.2,23.85,23.1,23.8,2140300,21.96
2016-04-12,23.9,24.25,23.45,23.75,4939500,21.92
2016-04-13,23.8,24.1,23.75,23.9,3087200,22.05
2016-04-14,23.9,23.9,23.9,23.9,0,22.05
2016-04-15,23.9,23.9,23.9,23.9,0,22.05
2016-04-18,23.8,23.95,23.6,23.8,2108500,21.96
2016-04-19,23.8,23.8,23.8,23.8,0,21.96
2016-04-20,24,24,23.35,23.5,1776700,21.69
2016-04-21,23.6,23.75,23.1,23.15,2057000,21.36
2016-04-22,23.2,23.3,22.95,23.05,1230800,21.27
2016-04-25,23,23.1,22.7,22.8,1649900,21.04
2016-04-26,22.65,23.2,22.65,23.1,1987400,21.32
2016-04-27,21.8,21.8,21.5,21.55,46322900,19.89
2016-04-28,21.3,21.35,21.05,21.1,34314400,19.47
2016-04-29,20.8,20.9,20.65,20.65,59828100,19.06
2016-05-02,20.6,21.25,20.5,21.05,71459800,19.42
2016-05-03,21.2,21.3,20.65,20.7,8898900,19.1
2016-05-04,20.7,20.75,20.45,20.5,11025900,18.92
2016-05-05,20.6,21,20.5,20.85,13262700,19.24
2016-05-06,20.9,21.3,20.75,21.2,16036400,19.56
2016-05-09,21.35,21.35,21.05,21.1,4050500,19.47
2016-05-10,21.1,21.25,20.85,21.2,8716900,19.56
2016-05-11,20.95,21.7,20.9,21.5,36941800,19.84
2016-05-12,21.65,21.75,21.3,21.4,9777300,19.75
2016-05-13,21.25,21.45,21,21.35,3520800,19.7
2016-05-16,21.35,21.5,21.1,21.4,9435700,19.75
2016-05-17,21.5,21.65,21.3,21.45,3560600,19.79
2016-05-18,21.4,21.8,21.3,21.65,6969800,19.98
2016-05-19,21.7,21.85,21.3,21.4,3090500,19.75
2016-05-20,21.45,21.75,21.35,21.65,5443300,19.98
2016-05-23,21.75,21.85,21.55,21.8,6786800,20.12
2016-05-24,21.8,22.15,21.75,22.05,9792400,20.35
2016-05-25,22.2,22.4,22,22.3,8156400,20.58
2016-05-26,22.4,22.8,22.3,22.65,28620500,20.9
2016-05-27,22.45,23.2,22.45,23.1,7902800,21.32
2016-05-30,22.8,23.95,22.05,22.75,12973600,20.99
2016-05-31,22.85,23.45,22.65,23.3,8827500,21.5
2016-06-01,23.1,24.15,22.95,24.05,13277100,22.19
2016-06-02,23.85,24.9,23.3,24.65,16148000,22.75
2016-06-03,24.65,24.95,24.3,24.7,11164200,22.79
2016-06-06,24.5,24.7,23.9,23.95,4457000,22.1
2016-06-07,24,24.2,23.9,24.1,2531700,22.24
2016-06-08,24,24.65,24,24.45,3509900,22.56
2016-06-09,24.6,24.7,24.15,24.25,2724100,22.38
2016-06-10,24.25,24.5,24,24.15,1695200,22.28
2016-06-13,23.9,24.4,23.75,24.2,2625400,22.33
2016-06-14,24.2,24.8,24.1,24.7,4769100,22.79
2016-06-15,24.85,24.9,24.4,24.65,2190900,22.75
2016-06-16,24.75,25.3,24.45,25.05,4789200,23.12
2016-06-17,25.1,25.65,24.4,25.3,15265300,23.35
2016-06-20,25,25.35,24.85,24.95,3209400,23.02
2016-06-21,24.95,25.15,24.7,24.9,2950400,22.98
2016-06-22,24.75,24.9,24.35,24.6,3290600,22.7
2016-06-23,24.5,24.6,24.15,24.4,1786000,22.52
2016-06-24,23.9,24.15,23.05,24.05,4673800,22.19
2016-06-27,24,24.65,23.9,24.4,2763900,22.52
2016-06-28,24.4,24.95,24.25,24.9,4465600,22.98
2016-06-29,25.05,25.25,24.95,25,3458000,23.07
2016-06-30,25.15,25.3,24.8,25.2,7915600,23.25
2016-07-01,25.15,25.3,24.85,24.95,4451200,23.02
2016-07-04,24.95,26.3,24.85,25.75,8294900,23.76
2016-07-05,25.75,25.95,25.35,25.55,3826000,23.58
2016-07-06,25.55,25.55,25.55,25.55,0,23.58
2016-07-07,25.55,25.7,25.1,25.2,2526000,23.25
2016-07-08,25.25,25.4,24.8,25.1,3521900,23.16
2016-07-11,25.5,25.7,25.3,25.35,3417500,23.39
2016-07-12,25.4,25.9,25.2,25.6,3690000,23.62
2016-07-13,25.5,25.55,25.15,25.25,2730700,23.3
2016-07-14,25.25,25.55,25.15,25.45,2334700,23.48
2016-07-15,25.3,25.5,25.15,25.2,2412200,23.25
2016-07-18,25.3,25.6,25.2,25.3,3029500,23.35
2016-07-19,25.15,25.4,25,25,2227400,23.07
2016-07-20,25,25.2,24.95,25.1,1513000,23.16
2016-07-21,25.3,25.3,25.05,25.15,3320100,23.21
2016-07-22,25.2,25.55,25.15,25.45,3361900,23.48
2016-07-25,25.35,25.5,25.2,25.25,1853900,23.3
2016-07-26,25.25,25.6,25.1,25.35,3620300,23.39
2016-07-27,25.35,25.45,25,25.1,4400800,23.16
2016-07-28,25.3,25.4,25.05,25.2,4752900,23.25
2016-07-29,25.25,25.4,25.1,25.3,2924900,23.35
2016-08-01,25.35,25.45,24.7,25.1,1848100,23.16
2016-08-02,25.1,25.25,24.7,24.9,1065600,22.98
2016-08-03,24.85,24.9,24.4,24.45,1903700,22.56
2016-08-04,24.55,24.8,23.9,24.5,10261000,22.61
2016-08-05,24.6,25.05,24.6,24.95,2324100,23.02
2016-08-08,25,25.3,24.85,24.95,1325200,23.02
2016-08-09,24.95,25.7,24.9,25.55,4072200,23.58
2016-08-10,25.6,26.15,25.25,25.9,9514900,23.9
2016-08-11,26.3,26.7,26.05,26.4,9840500,24.36
2016-08-12,26.5,26.6,25.6,26.15,9438900,24.13
2016-08-15,26.15,26.15,26.15,26.15,0,24.13
2016-08-16,26.4,27.3,26.2,27,12774900,24.91
2016-08-17,27.1,27.4,27,27.25,3703900,25.15
2016-08-18,27.45,27.75,26.8,27.3,8184400,25.19
2016-08-19,27.45,27.7,27.15,27.4,4681400,25.28
2016-08-22,27.4,27.85,27.1,27.4,3591300,25.28
2016-08-23,27.4,27.7,27.35,27.5,2367300,25.38
2016-08-24,27.5,27.65,27.4,27.55,2875200,25.42
2016-08-25,27.6,27.85,27.4,27.7,7300000,25.56
2016-08-26,27.7,27.7,27.15,27.3,3478300,25.19
2016-08-29,27.3,27.4,27.05,27.25,2390100,25.15
2016-08-30,27.35,27.85,27.25,27.75,3676800,25.61
2016-08-31,27.75,28.3,27.7,28.15,5030000,25.98
2016-09-01,28.2,28.2,27.6,27.8,3501600,25.65
2016-09-02,27.7,28.05,27.6,28,4149000,25.84
2016-09-05,28,28,28,28,0,25.84
2016-09-06,28,28.15,27.45,27.7,2965800,25.56
2016-09-07,27.7,27.7,27.05,27.1,4034900,25.01
2016-09-08,26.9,26.95,26.6,26.7,2039900,25.18
2016-09-09,26.75,26.9,26.1,26.2,2565700,24.71
2016-09-12,25.9,26.1,25.5,25.65,2437300,24.19
2016-09-13,25.65,25.65,25.65,25.65,0,24.19
2016-09-14,25.85,26.9,25.8,26.75,4407700,25.22
2016-09-15,27,27,26.2,26.5,3790000,24.99
2016-09-16,26.65,26.95,26.4,26.8,4355600,25.27
2016-09-19,26.8,27.1,26.65,26.95,2047900,25.41
2016-09-20,26.9,27,26.25,26.35,1777400,24.85
2016-09-21,26.45,26.6,26.35,26.5,2091000,24.99
2016-09-22,26.6,26.95,26.55,26.85,3242400,25.32
2016-09-23,26.8,26.8,25.9,26,3854700,24.52
