"Date","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
2015-08-26,1155.25,1199,1111.25,1176.65,253200,1157.44
2015-08-27,1200,1220,1178.5,1196.65,150400,1177.12
2015-08-28,1213,1239.7,1187.75,1199.35,137200,1184.72
2015-08-31,1211,1211,1160,1178.35,196300,1163.98
2015-09-01,1151,1174,1131.3,1140.4,156200,1126.49
2015-09-02,1132.2,1149,1104,1114.95,267200,1101.35
2015-09-03,1127.7,1181,1116,1154.7,235700,1140.62
2015-09-04,1154.7,1154.7,1075,1105.55,279700,1092.07
2015-09-07,1120,1124.85,1054.8,1073,122300,1059.91
2015-09-08,1069.85,1106.95,1045.55,1096.15,213400,1082.78
2015-09-09,1107.7,1136.25,1096.15,1102.2,142800,1088.76
2015-09-10,1072.5,1114.1,1050,1107.65,210400,1094.14
2015-09-11,1140,1179.9,1132,1149.7,367300,1135.68
2015-09-14,1162.35,1164,1126.15,1156.85,172200,1142.74
2015-09-15,1156.85,1172.75,1138.2,1144.3,118700,1130.34
2015-09-16,1155,1158.15,1099,1121.25,154500,1107.57
2015-09-17,1121.25,1121.25,1121.25,1121.25,0,1107.57
2015-09-18,1145.9,1154.4,1121.2,1146.75,244900,1132.76
2015-09-21,1136.6,1159,1126,1140.5,151500,1126.59
2015-09-22,1145,1198,1115,1126.15,362800,1112.41
2015-09-23,1112,1141.65,1087.9,1130.1,130600,1116.32
2015-09-24,1128.4,1150,1117.2,1128.4,212100,1114.64
2015-09-25,1128.4,1128.4,1128.4,1128.4,0,1114.64
2015-09-28,1128.4,1157,1117.8,1122.05,91500,1108.36
2015-09-29,1118.25,1147,1105.1,1130.05,111500,1116.27
2015-09-30,1134,1146.05,1102.65,1123.6,148900,1109.9
2015-10-01,1140,1145.9,1119.55,1129.8,94500,1116.02
2015-10-02,1129.8,1129.8,1129.8,1129.8,0,1116.02
2015-10-05,1140,1193.95,1139,1183.25,246400,1168.82
2015-10-06,1194.7,1209,1166,1186.3,225000,1171.83
2015-10-07,1171.05,1244.15,1171.05,1236.95,416300,1221.86
2015-10-08,1245.8,1252.4,1217.15,1230.15,269700,1215.15
2015-10-09,1230.15,1248,1200,1217.55,112200,1202.7
2015-10-12,1219.55,1240,1207.55,1226.15,110100,1211.19
2015-10-13,1234.75,1237,1212.5,1225.95,55300,1211
2015-10-14,1227.5,1276.35,1223.9,1268.65,269100,1253.18
2015-10-15,1274,1279.5,1252.55,1266.1,100900,1250.66
2015-10-16,1270,1315.8,1255,1302.75,159800,1286.86
2015-10-19,1310.25,1337.4,1295,1328.9,200200,1312.69
2015-10-20,1329.8,1330,1292.55,1308.65,81500,1292.69
2015-10-21,1309,1324.35,1290.8,1304.55,90600,1288.64
2015-10-22,1304.55,1304.55,1304.55,1304.55,0,1288.64
2015-10-23,1306,1319.5,1281.75,1291.35,83000,1275.6
2015-10-26,1294,1317.65,1286,1297.8,116900,1281.97
2015-10-27,1295.95,1311.1,1251.5,1304.1,65000,1288.19
2015-10-28,1305,1378.6,1304,1357.75,352700,1341.19
2015-10-29,1367,1392.2,1351.2,1358.65,321100,1342.08
2015-10-30,1360.4,1381.5,1307.8,1322.3,121200,1306.17
2015-11-02,1332.25,1339,1294.3,1327.9,86500,1311.7
2015-11-03,1329,1345.85,1314.95,1335.65,94300,1319.36
2015-11-04,1336,1348.7,1320.25,1329.6,72000,1313.38
2015-11-05,1329.8,1333.05,1301.1,1317.75,73800,1301.68
2015-11-06,1316.25,1326,1257.5,1291.95,174600,1276.19
2015-11-09,1245,1304.4,1231.15,1291.75,96400,1275.99
2015-11-10,1289,1299.65,1255.1,1266,93400,1250.56
2015-11-11,1266,1266,1266,1266,0,1250.56
2015-11-12,1266,1266,1266,1266,0,1250.56
2015-11-13,1271.5,1271.5,1156.65,1224.1,276000,1209.17
2015-11-16,1239.95,1272,1202.6,1265.1,128100,1249.67
2015-11-17,1278,1290,1248.75,1284.45,138100,1268.78
2015-11-18,1276.5,1292,1227,1235.65,132000,1220.58
2015-11-19,1248.8,1275,1240.3,1267.7,103400,1252.24
2015-11-20,1266,1291.9,1260.1,1276.7,118300,1261.13
2015-11-23,1278,1290.4,1248.55,1254.75,86600,1239.45
2015-11-24,1261,1271.15,1242.3,1254.35,63700,1239.05
2015-11-25,1254.35,1254.35,1254.35,1254.35,0,1239.05
2015-11-26,1266.9,1266.9,1235.1,1244.45,107600,1229.27
2015-11-27,1240,1260.05,1231.05,1252.65,91600,1237.37
2015-11-30,1254.3,1280.15,1245.85,1275.7,113400,1260.14
2015-12-01,1275,1289.45,1257.75,1264.65,75900,1249.22
2015-12-02,1275.95,1275.95,1215.5,1234.7,100500,1219.64
2015-12-03,1227.05,1253,1220,1229.45,83800,1214.45
2015-12-04,1219.8,1239,1214.3,1227.95,71300,1212.97
2015-12-07,1234.5,1245.95,1210,1222.9,66100,1207.98
2015-12-08,1218,1231,1209.75,1214.6,61700,1199.79
2015-12-09,1212,1218,1176.75,1191.3,87300,1176.77
2015-12-10,1190.05,1207.05,1167,1196.5,121300,1181.91
2015-12-11,1202,1211,1179.3,1188.6,105000,1174.1
2015-12-14,1173.15,1202.4,1164.65,1174.8,108600,1160.47
2015-12-15,1179.9,1184,1145.95,1172.7,136500,1158.4
2015-12-16,1179.95,1200,1165.1,1186.8,108600,1172.32
2015-12-17,1195,1248.15,1185.8,1242.4,302100,1227.25
2015-12-18,1242,1248,1216,1235.75,146800,1220.68
2015-12-21,1245,1259,1229,1244.4,98600,1229.22
2015-12-22,1246.9,1250.9,1222.1,1238.05,129700,1222.95
2015-12-23,1254,1254,1226.05,1229.5,89000,1214.5
2015-12-24,1233.5,1251.5,1220.1,1243.15,87800,1227.99
2015-12-25,1243.15,1243.15,1243.15,1243.15,0,1227.99
2015-12-28,1250,1285.85,1241,1275.5,140100,1259.94
2015-12-29,1294.75,1294.75,1270,1275.6,107100,1260.04
2015-12-30,1281,1284.65,1264.6,1269.55,63000,1254.07
2015-12-31,1278,1287,1255.6,1264.7,112300,1249.27
2016-01-01,1265.75,1279.85,1259,1263.1,41100,1247.69
2016-01-04,1265.8,1280.95,1235,1247.1,114000,1231.89
2016-01-05,1252,1291,1242,1282.2,121900,1266.56
2016-01-06,1279,1362,1273.05,1347.8,705900,1331.36
2016-01-07,1344,1344,1292.2,1305.3,325400,1289.38
2016-01-08,1306,1331.4,1306,1317.65,125900,1301.58
2016-01-11,1309,1309.75,1265,1295.45,74300,1279.65
2016-01-12,1309,1334.8,1292.1,1302.55,120000,1286.66
2016-01-13,1312.7,1320,1226.05,1261.65,322500,1246.26
2016-01-14,1226.15,1255,1221,1235,148500,1219.94
2016-01-15,1233,1248.65,1204.15,1213.2,137800,1198.4
2016-01-18,1210.5,1225.8,1132.3,1142.2,238100,1128.27
2016-01-19,1132,1155,1107,1134.75,152900,1120.91
2016-01-20,1122,1130,1086.8,1104.65,162100,1091.18
2016-01-21,1114,1135.95,1085.1,1115.1,144300,1101.5
2016-01-22,1119,1154.25,1117.25,1135.1,145600,1121.25
2016-01-25,1140,1164.95,1123.55,1128.05,118800,1114.29
2016-01-26,1128.05,1128.05,1128.05,1128.05,0,1114.29
2016-01-27,1135,1139,1101.05,1111.15,123500,1097.6
2016-01-28,1115,1143.95,1086.35,1136.4,349000,1122.54
2016-01-29,1144,1174,1116.05,1166.55,136000,1152.32
2016-02-01,1166.55,1185.55,1155,1164.35,97300,1150.15
2016-02-02,1155,1182,1142.55,1150.05,90000,1136.02
2016-02-03,1138,1143,1093.1,1100.6,126400,1087.18
2016-02-04,1104,1133.8,1073.25,1090.7,126600,1077.4
2016-02-05,1095.2,1143,1081,1138.95,164000,1125.06
2016-02-08,1136,1162,1119.3,1135.9,127000,1122.05
2016-02-09,1132.9,1171.05,1080,1159,239200,1144.86
2016-02-10,1159,1179.3,1129.6,1157.75,209300,1143.63
2016-02-11,1151,1162.3,1112.25,1124.3,176700,1110.59
2016-02-12,1124,1131.85,1050.8,1094.3,108800,1080.95
2016-02-15,1100,1151.85,1100,1143.55,197300,1134.79
2016-02-16,1140.05,1153.9,1076.75,1084.85,110300,1076.54
2016-02-17,1088,1113.15,1046.45,1099.65,218900,1091.22
2016-02-18,1110,1127.65,1081.05,1093.15,82900,1084.77
2016-02-19,1095,1126.4,1087,1107.95,99400,1099.46
2016-02-22,1111,1120.2,1085.6,1091.9,68200,1083.53
2016-02-23,1092.5,1102.95,1071,1078.95,119500,1070.68
2016-02-24,1070,1075,1046,1050.8,77600,1042.75
2016-02-25,1060.15,1060.15,1023,1036.25,314500,1028.31
2016-02-26,1048.6,1067,1044.05,1050.75,87600,1042.7
2016-02-29,1057,1062,1025.55,1056.5,151200,1048.4
2016-03-01,1057,1109.9,1050.75,1101.2,86100,1092.76
2016-03-02,1116.2,1133,1098.25,1105.1,209600,1096.63
