"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2015-10-22,656.6,656.6,656.6,656.6,0,656.1764
2015-10-23,664,668,660.25,665.2,861800,664.7709
2015-10-26,668.85,669,654.6,661.9,578500,661.473
2015-10-27,661.5,666,657.3,660.45,600500,660.0239
2015-10-28,658.7,677,657.95,671.45,1506100,671.0168
2015-10-29,673,675,660.85,664,1849400,663.5716
2015-10-30,664.9,693.8,661.65,687.65,4415600,687.2064
2015-11-02,688,689,680,686.5,932800,686.0571
2015-11-03,688.1,690,675.7,683.1,1076300,682.6593
2015-11-04,687.5,688.95,670,672.85,437200,672.4159
2015-11-05,671.9,671.9,647.9,650.6,931200,650.1802
2015-11-06,648.5,665.5,647.15,656.5,569000,656.0765
2015-11-09,643.1,663.7,634.65,660.1,1169500,659.6741
2015-11-10,653.1,658.05,645,646.85,652600,646.4327
2015-11-11,646.85,646.85,646.85,646.85,0,646.4327
2015-11-12,646.85,646.85,646.85,646.85,0,646.4327
2015-11-13,653.4,673.85,647,669.6,888300,669.168
2015-11-16,666,689.5,666,679.1,1111500,678.6618
2015-11-17,680.8,681,672.5,677.15,471700,676.7132
2015-11-18,671.05,682.9,667.65,672.8,702500,672.3659
2015-11-19,675.95,684,670.05,682.1,635500,681.6599
2015-11-20,680.05,692.65,678.55,682.3,1021700,681.8598
2015-11-23,688.4,694,680,684.1,588000,683.6586
2015-11-24,683.1,685.3,675.3,677.6,458800,677.1628
2015-11-25,677.6,677.6,677.6,677.6,0,677.1628
2015-11-26,680.1,687.5,676.3,685.2,467400,684.7579
2015-11-27,685.2,702.95,683,698.75,1230900,698.2992
2015-11-30,697.7,697.7,688.7,692.35,680700,691.9033
2015-12-01,693.5,695.5,686.6,688.6,435300,688.1557
2015-12-02,691,692.35,677,680.45,389600,680.011
2015-12-03,676,683.5,670.9,674.8,400900,674.3646
2015-12-04,671.9,675.35,661,664.65,1263500,664.2212
2015-12-07,664.95,673.8,664,671.6,451600,671.1667
2015-12-08,668,678,667.05,674,691500,673.5652
2015-12-09,672.7,676.6,665.8,668.6,297100,668.1686
2015-12-10,669.4,680.55,665,677.9,616400,677.4627
2015-12-11,682,682,663.9,667.7,572900,667.2692
2015-12-14,663.9,677.5,663,674.1,871800,673.6651
2015-12-15,673.95,688.9,667.5,686.6,1056600,686.157
2015-12-16,689.9,697,684,694.5,1193100,694.0519
2015-12-17,696.9,705,688.4,703.2,1441800,702.7463
2015-12-18,698.65,706,693.05,702.45,1124200,701.9968
2015-12-21,702,708,699,705.9,834000,705.4446
2015-12-22,705.8,705.9,694.3,698.2,744400,697.7496
2015-12-23,701.7,705,696.4,702.55,439500,702.0967
2015-12-24,701,704.4,697,701.35,484100,700.8975
2015-12-25,701.35,701.35,701.35,701.35,0,700.8975
2015-12-28,699.05,713.45,698.4,708,1050600,707.5432
2015-12-29,708,714.5,705,706.2,1091800,705.7444
2015-12-30,708,710.5,704.5,709.15,467200,708.6925
