"Date","LICHSGFIN.NS.Open","LICHSGFIN.NS.High","LICHSGFIN.NS.Low","LICHSGFIN.NS.Close","LICHSGFIN.NS.Volume","LICHSGFIN.NS.Adjusted"
2015-09-01,433.1,437.5,416.55,424.7,4300500,415.8
2015-09-02,428,429.4,401.55,404.05,3065300,395.59
2015-09-03,408,425,405.05,423.4,2528700,414.53
2015-09-04,421,421.95,408.45,413.35,2275500,404.69
2015-09-07,413,418.95,399.5,401.7,2117100,393.28
2015-09-08,406,424.55,399.4,416.7,2718200,407.97
2015-09-09,424.9,437.55,421.9,427.75,2433000,418.79
2015-09-10,420.95,435.65,414.25,430.7,1752000,421.68
2015-09-11,435.8,437.8,425.1,429.3,1789900,420.31
2015-09-14,428.95,441,426,439.4,2029800,430.19
2015-09-15,440,444.9,433.3,436.7,1684800,427.55
2015-09-16,440,443,432.5,441.4,2028400,432.15
2015-09-17,441.4,441.4,441.4,441.4,0,432.15
2015-09-18,447,456.75,438.3,441.5,3221400,432.25
2015-09-21,432,451.25,432,449.6,1683100,440.18
2015-09-22,452,452,432.15,435.85,1616100,426.72
2015-09-23,428,438,424.25,435.25,2044200,426.13
2015-09-24,434.8,438.65,425,426.15,1961400,417.22
2015-09-25,426.15,426.15,426.15,426.15,0,417.22
2015-09-28,429.7,430.5,421.75,423.25,1567600,414.38
2015-09-29,420,457.9,416,450.25,5879800,440.82
2015-09-30,457,473,456.5,470.55,6199300,460.69
2015-10-01,475,475.9,460.6,463,3245600,453.3
2015-10-02,463,463,463,463,0,453.3
2015-10-05,467.5,484.5,466.6,483.15,2839700,473.03
2015-10-06,485.8,486.2,472.5,479.7,1919600,469.65
2015-10-07,479,489.5,476.1,483.8,1613700,473.66
2015-10-08,485,485.95,470.05,475.1,1348100,465.15
2015-10-09,480.25,494,475.8,478.95,3554100,468.92
2015-10-12,479.85,485.9,475.05,481.55,1757200,471.46
2015-10-13,481,484.6,470.6,475.1,1540400,465.15
2015-10-14,477,483.8,473,482.15,1321100,472.05
2015-10-15,486.5,494.7,480.1,491.15,4510800,480.86
2015-10-16,497.7,499,488.1,493,3158500,482.67
2015-10-19,494.5,494.5,475.5,477.7,2875300,467.69
2015-10-20,478,483.7,471.4,473.05,1910500,463.14
2015-10-21,475,484,472.5,482.55,2611900,472.44
2015-10-22,482.55,482.55,482.55,482.55,0,472.44
2015-10-23,484.9,485.3,476.2,481.15,1744400,471.07
2015-10-26,481,491.5,478.65,489.1,4462900,478.85
2015-10-27,487,493.55,481.95,491.7,2010100,481.4
2015-10-28,491.4,504.7,487.55,490.3,3353700,480.03
2015-10-29,492.8,492.8,484.6,488.55,1583600,478.31
2015-10-30,489,489.5,475.8,479.8,1609900,469.75
2015-11-02,478.1,483.2,471,480.75,1060200,470.68
2015-11-03,481.8,487.6,481,482.3,1302100,472.2
2015-11-04,485,488.55,481,482.05,1126800,471.95
2015-11-05,481.5,481.5,457,459.45,2020300,449.82
2015-11-06,459.45,470.45,456,468.45,1743600,458.64
2015-11-09,454,478.8,453.25,476.2,1570100,466.22
2015-11-10,474,479.8,462.3,463.2,1253600,453.5
2015-11-11,463.2,463.2,463.2,463.2,0,453.5
2015-11-12,463.2,463.2,463.2,463.2,0,453.5
2015-11-13,466,473.9,461.9,465.65,1430600,455.89
2015-11-16,460.2,474.15,460.2,470.95,1241000,461.08
2015-11-17,473.3,474.65,462.7,466.45,1316600,456.68
2015-11-18,465.9,471.45,456.6,458.9,982200,449.29
2015-11-19,461.5,463.75,456.1,460.5,1302600,450.85
2015-11-20,462,468.5,460.5,465.65,1950300,455.89
2015-11-23,466.25,468.8,459.7,465.6,1091000,455.85
2015-11-24,465.6,478,463.6,475,1809700,465.05
2015-11-25,475,475,475,475,0,465.05
2015-11-26,477,483.85,473.65,474.85,1938400,464.9
2015-11-27,475.3,486.4,474.5,482.1,1357300,472
2015-11-30,483.15,492.55,482.05,484.65,2673800,474.5
2015-12-01,485.4,490.3,483.7,485.35,1479900,475.18
2015-12-02,487,492.1,476.85,479.35,1705000,469.31
2015-12-03,477.9,481.5,467,467.9,1797400,458.1
