"Date","ADANIPORTS.NS.Open","ADANIPORTS.NS.High","ADANIPORTS.NS.Low","ADANIPORTS.NS.Close","ADANIPORTS.NS.Volume","ADANIPORTS.NS.Adjusted"
2016-02-05,215.7,218,209.1,211.1,3022300,210.15
2016-02-08,211.45,216.9,210,212.05,2723500,211.09
2016-02-09,210,212.75,208.55,210.4,1954400,209.45
2016-02-10,209.85,209.9,198.4,202.85,3393400,201.93
2016-02-11,203,204.8,182.5,186.85,3670800,186.01
2016-02-12,187.95,190.7,169.15,178.05,12168300,177.25
2016-02-15,184.45,194,184,191.15,9208000,190.29
2016-02-16,195.5,204.35,193.75,200.35,9113000,199.45
2016-02-17,201.05,214.3,196.3,212.5,6728800,211.54
2016-02-18,214.5,215.8,205.75,210.4,4659200,209.45
2016-02-19,208.9,210.8,205.75,209.4,2019900,208.46
2016-02-22,209.05,211.7,204.25,205.9,2342100,204.97
2016-02-23,205.95,208.65,203,204.2,2174800,203.28
2016-02-24,202.85,203.75,198.85,200.15,3502600,199.25
2016-02-25,201.3,201.9,195.45,198.45,4868900,197.55
2016-02-26,201.9,204.45,196.65,200.1,2188300,199.2
2016-02-29,201,204,195.8,196.7,3939800,195.81
2016-03-01,198,208,196.35,206.9,2152500,205.97
2016-03-02,209,222.55,208.85,218.8,4228800,217.81
2016-03-03,220.85,229.45,217.65,227.5,3290900,226.47
2016-03-04,228.85,228.85,222.2,225.15,4768600,224.13
2016-03-07,225.15,225.15,225.15,225.15,0,224.13
2016-03-08,224,231.7,222.3,228.25,3066000,227.22
2016-03-09,228,232.65,221.3,226,4117900,224.98
2016-03-10,228.8,228.8,224.2,226.45,1543800,225.43
2016-03-11,226.45,232.85,226,231.2,2649000,230.16
2016-03-14,233,237.5,229.65,232.4,2722600,231.35
2016-03-15,233.1,233.6,227.2,228.25,1913100,227.22
2016-03-16,229,229.5,222.75,228.55,2172700,227.52
2016-03-17,231.4,239.5,231.05,235.7,5383800,234.64
2016-03-18,236.45,243.2,235.75,241.95,4606700,240.86
2016-03-21,238.95,245,236.75,243.85,3240200,242.75
2016-03-22,242,243.3,236.5,239.55,3153600,239.55
2016-03-23,239.75,243.2,237.35,238.3,2083400,238.3
2016-03-24,238.3,238.3,238.3,238.3,0,238.3
2016-03-25,238.3,238.3,238.3,238.3,0,238.3
2016-03-28,240.4,242.95,232.7,235.65,2756700,235.65
2016-03-29,236.45,242.2,233.3,237.85,2043000,237.85
2016-03-30,240,248.5,239.55,245.95,2883600,245.95
2016-03-31,247.1,250,242.5,247.7,4192900,247.7
2016-04-01,248,248,239.5,242.9,1772800,242.9
2016-04-04,249.45,249.45,241.2,242.55,1986400,242.55
2016-04-05,242.4,242.45,223.85,226.25,4836500,226.25
2016-04-06,227,229.75,221.15,224.35,6273700,224.35
2016-04-07,225.5,228,216,216.8,4171100,216.8
2016-04-08,216,220,214.7,219.25,1631000,219.25
2016-04-11,220.9,229.9,218.75,229.05,2417000,229.05
2016-04-12,229,234.8,226.3,233.6,2704600,233.6
2016-04-13,235,237.95,232,233.55,2830200,233.55
2016-04-14,233.55,233.55,233.55,233.55,0,233.55
2016-04-15,233.55,233.55,233.55,233.55,0,233.55
2016-04-18,235.85,236.75,228.05,231.3,5479000,231.3
2016-04-19,231.3,231.3,231.3,231.3,0,231.3
2016-04-20,232,236.3,231.5,233.5,2111500,233.5
2016-04-21,234.1,236,228.4,229.35,2990400,229.35
2016-04-22,229.5,233.4,227.3,230.1,7431600,230.1
2016-04-25,231,233.7,230.25,231.8,1454600,231.8
2016-04-26,232.2,232.9,227,229.1,2703700,229.1
2016-04-27,230,242,227.65,241.25,7177200,241.25
2016-04-28,241.7,241.7,234.35,235.45,5899200,235.45
2016-04-29,236,240.1,232.75,238.2,2160200,238.2
2016-05-02,237,237.25,231.8,232.95,2312400,232.95
2016-05-03,235.25,242.45,232.5,235.5,5328900,235.5
2016-05-04,234.5,234.5,205.5,208.25,22904200,208.25
2016-05-05,209.65,210.7,196.7,198,17225000,198
2016-05-06,198,199.5,190.55,194.55,15642400,194.55
2016-05-09,196.15,198.4,194.35,196.75,9413200,196.75
2016-05-10,197.95,198.95,194,194.55,4925300,194.55
2016-05-11,191.8,195.45,189.3,193,7021700,193
2016-05-12,194.2,197.65,193.6,195.15,6098200,195.15
2016-05-13,194.6,200.25,179.4,188.55,15272200,188.55
2016-05-16,189,192.2,183.7,185.8,9997200,185.8
2016-05-17,186.6,187.35,182.7,183.25,7208400,183.25
2016-05-18,182.4,185.5,180.55,183.2,5909200,183.2
2016-05-19,184.5,184.5,169.7,171.55,13478000,171.55
2016-05-20,171.6,180.4,170.35,177.95,13115100,177.95
2016-05-23,179.25,182.45,178,181.1,10109900,181.1
2016-05-24,180.95,181.5,177.1,180.85,3874700,180.85
2016-05-25,182.8,184.05,181.35,182.85,4249100,182.85
2016-05-26,184,187.5,181.4,184.8,5744800,184.8
2016-05-27,185.4,192.95,185,191.7,8241400,191.7
2016-05-30,192.7,194,185.45,190.25,3672700,190.25
2016-05-31,190.25,194.7,186.55,192.15,6758000,192.15
2016-06-01,192.85,203.3,192.5,202.3,10935700,202.3
2016-06-02,203.45,206.5,200.7,205.2,6232600,205.2
2016-06-03,206.25,206.25,202.1,204.55,3927100,204.55
2016-06-06,201,204.55,196,203.7,5811500,203.7
2016-06-07,204.65,207.65,202.2,206.5,3666800,206.5
2016-06-08,207,207.85,201.7,203.4,2752400,203.4
2016-06-09,204.45,205.85,201,201.9,2365000,201.9
2016-06-10,202.95,205.7,201.5,202.75,1978900,202.75
2016-06-13,201.2,203.7,197.7,202.6,2446100,202.6
2016-06-14,202.6,210,201.85,208.6,4836400,208.6
2016-06-15,211,211.9,206.3,207,4053400,207
