"Date","ADANIPORTS.NS.Open","ADANIPORTS.NS.High","ADANIPORTS.NS.Low","ADANIPORTS.NS.Close","ADANIPORTS.NS.Volume","ADANIPORTS.NS.Adjusted"
2016-06-16,207.5,209.5,202.1,208.5,4409300,208.5
2016-06-17,209,209.5,206.45,207.7,2988700,207.7
2016-06-20,203.35,208.9,203.35,206.8,1787200,206.8
2016-06-21,207,209.95,203,203.25,2846800,203.25
2016-06-22,204,208.45,203.1,207.35,3917700,207.35
2016-06-23,207.8,208.8,204.6,207.15,4392200,207.15
2016-06-24,200,203.1,195.35,201.9,6402900,201.9
2016-06-27,202,205.65,202,203.85,2862700,203.85
2016-06-28,204,206.8,202.55,202.9,5865600,202.9
2016-06-29,204,205.25,202.2,203.05,6496200,203.05
2016-06-30,205.9,207.8,203.5,206.85,5638100,206.85
2016-07-01,205.1,207.9,203.8,204.3,3280500,204.3
2016-07-04,206,213.95,205.5,213.25,5170900,213.25
2016-07-05,214.55,216.4,213,214.55,6536100,214.55
2016-07-06,214.55,214.55,214.55,214.55,0,214.55
2016-07-07,216.45,216.45,208.6,210.05,7139800,210.05
2016-07-08,210.05,211.95,204.6,207.05,2451300,207.05
2016-07-11,210.25,218.25,208,217.45,7409600,217.45
2016-07-12,219.2,219.9,215.4,218,5113800,218
2016-07-13,217.45,222,215.2,217.3,5136200,217.3
2016-07-14,217.3,220.7,214.55,216.9,3685700,216.9
2016-07-15,219.2,223.65,218.25,220.5,5747300,220.5
2016-07-18,221.65,222.9,216.25,217.95,3449000,217.95
2016-07-19,218.9,221.8,216.1,220.6,3614800,220.6
2016-07-20,221,222.4,218.5,221.4,3477000,221.4
2016-07-21,222,226.35,219.8,223.2,5312600,223.2
2016-07-22,223,225.95,221.6,225.35,3937700,225.35
2016-07-25,226.3,227.45,224.15,226.15,4843400,226.15
2016-07-26,227,229.45,222.15,224.4,3999200,224.4
2016-07-27,226,229.45,223.55,228.7,3648000,228.7
2016-07-28,229.8,231.55,224.4,225.25,4676600,225.25
2016-07-29,227.95,233.5,226.15,232.4,4990400,232.4
2016-08-01,234.45,236.25,225.85,228.55,3414900,228.55
2016-08-02,230,231.7,223.8,224.65,2083400,224.65
2016-08-03,225.7,228.4,221.5,222.85,3212100,222.85
2016-08-04,226.2,229.5,223.05,227.9,2779200,227.9
2016-08-05,230.6,234.9,229.25,234,2112000,234
2016-08-08,235.5,241.4,234.05,240.65,3171600,240.65
2016-08-09,241,242.9,234.8,239.75,7445100,239.75
2016-08-10,244.5,261.25,244.15,258.45,19509500,258.45
2016-08-11,258.5,259.75,251.1,253.5,4663200,253.5
2016-08-12,254.3,261,251.2,258.25,8089400,258.25
2016-08-15,258.25,258.25,258.25,258.25,0,258.25
2016-08-16,259.6,274.6,258.3,273.55,15191300,273.55
2016-08-17,274,276.35,265.2,267.65,11251600,267.65
2016-08-18,268.3,277,267.95,275.45,9439200,275.45
2016-08-19,274.9,277.9,270.15,273.05,3970900,273.05
2016-08-22,274.4,279.7,268.65,270.55,3638000,270.55
2016-08-23,271.7,276.15,270.1,272.5,4511200,272.5
2016-08-24,273.8,273.8,268.55,270.1,3036300,270.1
2016-08-25,271.5,271.5,260.1,261.75,8422300,261.75
2016-08-26,262.95,263.2,255.1,257.7,4991500,257.7
2016-08-29,253.45,263.35,247.55,262.6,6941800,262.6
2016-08-30,264.55,265.4,260.1,262.95,2076300,262.95
2016-08-31,263.25,266.45,261.7,262.95,5047200,262.95
2016-09-01,263.15,263.9,257.8,258.7,3552200,258.7
2016-09-02,259,269.4,256.8,268.2,6194100,268.2
2016-09-05,268.2,268.2,268.2,268.2,0,268.2
2016-09-06,270,271.75,267.6,270.6,4376600,270.6
2016-09-07,270,274.1,266.3,272.25,3506300,272.25
2016-09-08,272,276.5,272,275.6,3257300,275.6
2016-09-09,274.95,275.5,270.1,272.2,2254000,272.2
2016-09-12,268.9,268.9,256.4,260,4089100,260
2016-09-13,260,260,260,260,0,260
2016-09-14,261,268,256.85,264.7,5183700,264.7
2016-09-15,266.05,269.75,262,267.4,2969700,267.4
2016-09-16,268,275,267.7,271.15,5596200,271.15
2016-09-19,272,277.7,269.65,276.15,3949500,276.15
2016-09-20,276.95,276.95,267.85,270.1,4084500,270.1
2016-09-21,275,276,268,269.7,5226900,269.7
2016-09-22,273.2,277.4,271.55,275.35,4923600,275.35
2016-09-23,276.75,277.7,273.3,275.1,3066600,275.1
2016-09-26,274.5,274.5,268.8,270.4,2817100,270.4
2016-09-27,273,273.7,263.8,264.7,3623900,264.7
2016-09-28,266.7,272,262.1,271,4450500,271
2016-09-29,273.3,273.7,254.45,256.8,7369800,256.8
