"Date","JISLJALEQS.NS.Open","JISLJALEQS.NS.High","JISLJALEQS.NS.Low","JISLJALEQS.NS.Close","JISLJALEQS.NS.Volume","JISLJALEQS.NS.Adjusted"
2015-09-23,58,59.9,57.1,59.55,2791100,59.2359
2015-09-24,59.55,60.4,58.8,59.15,2060300,58.838
2015-09-25,59.15,59.15,59.15,59.15,0,58.838
2015-09-28,59.75,61,58.7,59.8,2120100,59.4846
2015-09-29,58.8,61.15,57.25,60.85,2500000,60.5291
2015-09-30,61.4,64.7,61.15,64.15,3923200,63.8117
2015-10-01,64.4,64.95,62.45,63.3,2003700,62.9661
2015-10-02,63.3,63.3,63.3,63.3,0,62.9661
2015-10-05,64,66.35,63.6,65.8,3665400,65.453
2015-10-06,66,66.4,64.4,65.1,3447600,64.7566
2015-10-07,65.6,66.45,64.5,65,3383300,64.6572
2015-10-08,65,65.45,63.05,63.5,2514500,63.1651
2015-10-09,64.05,65.85,63.85,65.4,3055400,65.0551
2015-10-12,65.95,68.1,65.35,66.15,3466100,65.8011
2015-10-13,66.35,67.7,65.95,67.35,2618100,66.9948
2015-10-14,67.2,68,66.25,66.75,1788700,66.3979
2015-10-15,66.9,67.9,66.65,67.1,1881700,66.7461
2015-10-16,67.4,67.65,66.2,66.4,2541400,66.0498
2015-10-19,66.25,66.85,65.05,66.1,2048600,65.7514
2015-10-20,66.5,68.8,66,67.95,6499500,67.5916
2015-10-21,68,68,64.55,65.75,3296200,65.4032
2015-10-22,65.75,65.75,65.75,65.75,0,65.4032
2015-10-23,66.45,67.55,66,66.3,3258400,65.9503
2015-10-26,66.4,66.65,64.5,64.75,2511800,64.4085
2015-10-27,65,66.35,64.3,65.45,3418900,65.1048
2015-10-28,65.3,66.25,64.6,65.1,2893300,64.7566
2015-10-29,65.1,65.3,63.85,64.15,3972100,63.8117
2015-10-30,64.2,64.7,61,61.8,3069000,61.4741
2015-11-02,61.8,63.5,60.9,62.7,4832300,62.3693
2015-11-03,63.05,64.9,62.55,63.4,5356300,63.0656
2015-11-04,64.5,68.1,64.5,67.75,12508800,67.3927
2015-11-05,67.05,69.25,66.7,68.2,7683900,67.8403
2015-11-06,68.55,69.4,64.15,65.55,7364400,65.2043
2015-11-09,64.3,67.5,63.5,66.6,4075200,66.2487
2015-11-10,66.1,67,64.45,65.5,2904800,65.1545
2015-11-11,65.5,65.5,65.5,65.5,0,65.1545
2015-11-12,65.5,65.5,65.5,65.5,0,65.1545
2015-11-13,65.85,68.5,65.5,66.75,2415800,66.3979
2015-11-16,66.7,68.7,66.1,67.85,2319500,67.4921
2015-11-17,68.35,68.6,66.5,67.25,1829200,66.8953
2015-11-18,67.25,67.65,65.4,65.65,1415000,65.3037
2015-11-19,65.8,66.9,65.8,66.6,1039600,66.2487
2015-11-20,66.6,67.5,66.35,66.7,1197800,66.3482
2015-11-23,66.75,67.1,66.2,66.45,1122200,66.0995
2015-11-24,66.65,67.35,66.15,66.75,1994300,66.3979
2015-11-25,66.75,66.75,66.75,66.75,0,66.3979
2015-11-26,67.15,68.1,66.75,67.2,5074100,66.8456
2015-11-27,67,68.2,66.6,67.1,1697300,66.7461
2015-11-30,67.2,67.5,66.65,67,1145600,66.6466
2015-12-01,67.25,67.35,65.8,66.4,1308800,66.0498
2015-12-02,66.7,66.95,65.35,66,1266500,65.6519
2015-12-03,65.9,70.35,65.6,69.25,4882500,68.8848
2015-12-04,69.8,69.95,68,68.35,3775100,67.9895
2015-12-07,68.5,69,67.25,68.1,1330100,67.7408
2015-12-08,68.2,68.9,64.95,65.55,2017700,65.2043
2015-12-09,65.45,65.6,61.55,62.65,3706600,62.3196
2015-12-10,63.95,63.95,62.65,63.35,1499800,63.0159
2015-12-11,63.85,63.85,60.1,61.2,2227600,60.8772
2015-12-14,60.8,62.15,60,61.05,2874800,60.728
2015-12-15,61.5,63.4,60.55,62.7,3757500,62.3693
2015-12-16,63.05,63.05,61.8,62.3,1985300,61.9714
2015-12-17,62.65,64.1,62,63.8,2242100,63.4635
2015-12-18,63.7,65.15,62.95,64.05,2506900,63.7122
2015-12-21,64.7,66.45,63.55,65.75,1979700,65.4032
2015-12-22,66,66.15,63.5,64.05,2400800,63.7122
2015-12-23,64.75,65.7,64.3,64.9,1473700,64.5577
2015-12-24,65.3,66.5,64.9,65.75,1725500,65.4032
2015-12-25,65.75,65.75,65.75,65.75,0,65.4032
2015-12-28,65.95,67,65.5,66.75,1593400,66.3979
2015-12-29,67.2,67.8,66.1,66.85,1833200,66.4974
2015-12-30,67.4,67.5,66.45,67.15,1783500,66.7958
2015-12-31,67.3,69.5,67.1,69.1,5464400,68.7355
2016-01-01,69.3,72.4,68.55,71,2568200,70.6255
2016-01-04,72,78.1,72,74.4,16707800,74.0076
2016-01-05,74.5,76.9,72.45,75.2,7153200,74.8034
2016-01-06,75,77.15,73.35,74.75,4267200,74.3558
2016-01-07,73.2,73.6,70.6,71.1,4162200,70.725
2016-01-08,71.8,73.75,71.8,72.7,2890200,72.3166
2016-01-11,71.05,73.3,71,72.3,2726400,71.9187
2016-01-12,72.7,73.6,70,71.25,3521500,70.8742
2016-01-13,71.75,72.4,64.85,69,6248000,68.6361
2016-01-14,68,68,64.75,65.45,3470400,65.1048
2016-01-15,66,66.65,60.55,61.5,4301200,61.1756
2016-01-18,61.25,61.85,56.65,59,4247700,58.6888
2016-01-19,58.95,60.65,57.65,58.8,3435100,58.4899
2016-01-20,57.95,57.95,53.65,56.35,6408200,56.0528
2016-01-21,57.6,58.95,55.85,58.05,4053900,57.7438
2016-01-22,59.8,61.45,59.1,60.9,3815000,60.5788
2016-01-25,61.5,62.8,60.3,61.5,2469900,61.1756
2016-01-26,61.5,61.5,61.5,61.5,0,61.1756
2016-01-27,62.25,62.35,61.2,62.1,2310400,61.7725
2016-01-28,62,63.7,61.55,62.55,4597000,62.2201
2016-01-29,63.5,64.75,62.1,63.9,4497100,63.563
2016-02-01,64.75,66.35,63.7,65.35,3053500,65.0053
2016-02-02,65.1,65.7,62.4,62.6,2332200,62.2698
2016-02-03,62.1,62.4,59.1,59.85,2599500,59.5343
2016-02-04,60.6,62.6,59.15,60.05,3918200,59.7333
2016-02-05,60.65,62.15,60.4,61.85,1755900,61.5238
2016-02-08,62.1,63.8,61.35,61.8,2970300,61.4741
2016-02-09,61.05,61.5,58.4,59.25,4198400,58.9375
2016-02-10,58.95,59.55,57.5,58.5,2976800,58.1915
2016-02-11,58,58.75,52.8,54.4,6452800,54.1131
2016-02-12,55,55.4,50.35,52.75,5570300,52.4718
2016-02-15,54,55.25,53.05,53.4,5304300,53.1184
2016-02-16,54.4,54.4,50.3,50.65,4096300,50.3829
2016-02-17,50.95,51,46.8,47.9,7777800,47.6474
2016-02-18,48.9,53.7,48.2,52.4,8352300,52.1236
2016-02-19,52.45,54.4,51.65,53.5,3599300,53.2178
2016-02-22,54,55.4,53.7,54.95,3368900,54.6602
2016-02-23,55.65,55.9,54,54.35,4824000,54.0633
2016-02-24,53.8,55.45,53.2,54.9,3424300,54.6104
2016-02-25,55.55,55.8,54.35,54.75,5213600,54.4612
2016-02-26,55.55,56.4,53.55,56.05,6140300,55.7544
2016-02-29,56.65,60.2,54.15,54.55,20595900,54.2623
2016-03-01,54.95,55.9,54.4,55.3,6849700,55.0083
2016-03-02,56,57.45,55.6,55.9,4767100,55.6052
2016-03-03,56.5,56.75,54.85,56.35,3361100,56.0528
2016-03-04,56.35,57.4,55.5,56.25,3066800,55.9533
2016-03-07,56.25,56.25,56.25,56.25,0,55.9533
2016-03-08,56.75,58.2,56.1,57.6,4136500,57.2962
2016-03-09,57.6,59.15,57.25,58.45,4183000,58.1417
2016-03-10,58.9,59.7,57.5,57.9,2670400,57.5946
2016-03-11,58.15,58.75,57.1,57.85,3007900,57.5449
2016-03-14,58.5,58.8,55.8,56.05,2512700,55.7544
2016-03-15,56.05,57.15,55.5,55.7,2970700,55.4062
2016-03-16,55.85,56.3,54.5,54.9,2239700,54.6104
2016-03-17,55.55,57.05,55.25,55.7,3556000,55.4062
2016-03-18,56.45,57.1,55.05,56.6,3839500,56.3015
2016-03-21,56.8,57.3,56.1,56.5,3552300,56.202
2016-03-22,56.6,57.45,56.2,56.55,2401600,56.2517
2016-03-23,56.5,57.9,56.05,56.3,2646900,56.0031
2016-03-24,56.3,56.3,56.3,56.3,0,56.0031
2016-03-25,56.3,56.3,56.3,56.3,0,56.0031
2016-03-28,56.55,59.5,56.55,57.25,8635900,56.948
2016-03-29,57.45,58.35,56.55,56.85,2774800,56.5502
2016-03-30,57.5,59.1,57.15,58.65,4879900,58.3407
2016-03-31,59.1,60.9,59.1,60.3,15010300,59.982
2016-04-01,60,61.35,59.55,60.35,3934400,60.0317
2016-04-04,60.6,60.8,59.2,59.65,1504300,59.3354
2016-04-05,59.75,60,57.65,58.1,2173000,57.7936
2016-04-06,58.4,60,57.8,59.7,2199000,59.3851
2016-04-07,59.9,60.25,58.85,59.05,1518900,58.7386
2016-04-08,59.2,59.85,58.5,58.9,1438800,58.5893
2016-04-11,58.9,59.75,58.6,59.5,2521200,59.1862
2016-04-12,59.85,64.4,59.7,63.1,9017200,62.7672
2016-04-13,64.4,65.25,63.5,63.65,4800900,63.3143
2016-04-14,63.65,63.65,63.65,63.65,0,63.3143
2016-04-15,63.65,63.65,63.65,63.65,0,63.3143
2016-04-18,63.9,65.4,63.25,64.8,3810800,64.4582
2016-04-19,64.8,64.8,64.8,64.8,0,64.4582
2016-04-20,65.45,66.75,65.05,66.4,3887500,66.0498
2016-04-21,66.9,67.25,64.85,65.15,2081600,64.8064
2016-04-22,65,65.9,64.35,64.8,2950000,64.4582
2016-04-25,65.05,65.4,62.3,63.05,2492900,62.7175
2016-04-26,63.35,64.45,62.45,63.85,2146800,63.5132
2016-04-27,64.15,64.5,63,63.6,1605900,63.2646
2016-04-28,63.5,64.2,61.4,61.65,4241200,61.3248
2016-04-29,61.6,62.45,59.9,61.1,2149400,60.7777
2016-05-02,61.05,62.5,60.4,62.15,2003100,61.8222
2016-05-03,62.45,64.15,62.35,63.45,4277700,63.1154
2016-05-04,63.05,64.7,62.5,63.7,3821800,63.364
2016-05-05,63.7,64.1,62.05,62.75,1545400,62.419
2016-05-06,62.5,66.35,62.4,65.9,4857500,65.5524
2016-05-09,66.5,67,65,66.7,3243500,66.3482
2016-05-10,67.2,72,67.2,67.8,13379200,67.4424
2016-05-11,66.95,68.9,65.9,67.25,3772400,66.8953
2016-05-12,67.5,68.05,66.75,67.3,1446200,66.945
2016-05-13,67.45,67.6,66,66.5,1613700,66.1493
2016-05-16,67,67,64.75,65.8,1876500,65.453
2016-05-17,66.1,68.2,65.8,66.95,2555100,66.5969
2016-05-18,66.65,67.1,66,66.45,1083800,66.0995
2016-05-19,67,67.35,64.85,65.15,1757800,64.8064
2016-05-20,65.1,65.75,63.55,63.9,1509700,63.563
2016-05-23,64.4,64.5,62.8,63.05,1369700,62.7175
2016-05-24,63.3,64.6,62.5,64.1,1317800,63.7619
2016-05-25,65.15,65.7,64,65.1,3218400,64.7566
2016-05-26,65.1,66.85,65,66.3,1431500,65.9503
2016-05-27,66.5,68.15,66.25,67.1,2063400,66.7461
2016-05-30,67.65,67.9,66.85,67.5,1677700,67.144
2016-05-31,67.45,67.45,63.75,64.55,3385000,64.2096
2016-06-01,64.15,65,63.5,64.25,1608300,63.9111
2016-06-02,64.2,65.4,63.55,65.05,1016400,64.7069
2016-06-03,65.65,66,64,64.75,1390800,64.4085
2016-06-06,64.55,66,64.15,65.55,1403600,65.2043
2016-06-07,66.2,66.85,65.65,66.4,1446900,66.0498
2016-06-08,66.65,69,65.8,68.35,3593100,67.9895
2016-06-09,68.6,69.15,67.2,67.9,2105700,67.5419
2016-06-10,67.8,68.95,66.25,66.45,2391700,66.0995
2016-06-13,66,68.25,65.45,67.65,4347700,67.2932
2016-06-14,67.85,68.05,66.5,67.25,2703800,66.8953
2016-06-15,67.5,68.45,67.05,68.2,2862000,67.8403
2016-06-16,68.05,68.4,66.35,67.7,2937300,67.3429
2016-06-17,68.2,68.6,67.5,67.95,2821900,67.5916
2016-06-20,67.3,68.7,67,68.15,2701300,67.7906
2016-06-21,68.25,68.75,67.05,67.4,1702800,67.0445
2016-06-22,67.6,68.5,66.55,67,2240000,66.6466
2016-06-23,71.3,71.5,69.4,70.5,10107700,70.1282
2016-06-24,67.05,70.65,65.1,70.05,8640200,69.6805
2016-06-27,70,72.6,69.65,72.1,6415600,71.7197
2016-06-28,72.95,74.55,72.7,73.45,7883200,73.0626
2016-06-29,73.95,74.65,73.35,73.95,4104500,73.56
2016-06-30,74.5,74.9,73.45,74.5,6378200,74.1071
2016-07-01,74.85,75.9,73.7,75.05,4237400,74.6542
2016-07-04,75.95,75.95,74.6,74.8,3018600,74.4055
2016-07-05,74.9,75.6,73.7,74.05,3291200,73.6594
2016-07-06,74.05,74.05,74.05,74.05,0,73.6594
2016-07-07,74.5,74.95,73.3,73.7,3366500,73.3113
2016-07-08,73.85,74.25,72.45,72.9,2031400,72.5155
2016-07-11,73.4,74.15,73.25,73.7,2464700,73.3113
2016-07-12,73.9,74.6,72.9,74.2,2759900,73.8086
2016-07-13,74.45,74.75,72.4,72.75,2586200,72.3663
2016-07-14,72.75,73.9,72.05,73.3,3122300,72.9134
2016-07-15,72.5,73.7,71.9,72.2,2544600,71.8192
2016-07-18,72.65,73.6,69.5,69.95,5134100,69.5811
2016-07-19,69,70.5,68.7,70,2992700,69.6308
2016-07-20,69,71.45,69,71.2,3098800,70.8245
2016-07-21,71.3,72,69.6,70.2,3019400,69.8297
2016-07-22,70.2,71,69.1,70.1,3341700,69.7303
2016-07-25,70.2,71.05,69.7,70.55,4268500,70.1779
2016-07-26,70.65,71.35,69.6,69.95,1910800,69.5811
2016-07-27,70,73.95,69.35,73.2,6816400,72.8139
2016-07-28,74.2,74.3,71.5,71.85,8982100,71.471
2016-07-29,71.85,72.6,70.65,70.9,2947100,70.5261
2016-08-01,71.1,72.15,69.45,70.2,4207100,69.8297
2016-08-02,70.4,73.5,70.4,72.95,7372300,72.5652
2016-08-03,73.2,75.1,72.35,73.05,12730400,72.6647
2016-08-04,73.9,74.5,73.25,74.05,4134100,73.6594
2016-08-05,74.5,74.9,73.6,74.05,2727100,73.6594
2016-08-08,74.5,75.7,73.85,74.55,3315400,74.1568
2016-08-09,74.55,77.8,73.85,77.35,10248300,76.942
2016-08-10,77.95,78.45,74.05,74.55,8401500,74.1568
2016-08-11,74.5,74.5,71.2,73.1,6611100,72.7145
2016-08-12,73.45,74.75,72.9,74.05,4745400,73.6594
2016-08-15,74.05,74.05,74.05,74.05,0,73.6594
2016-08-16,76.3,79.15,75.7,78,19006100,77.5886
2016-08-17,77.7,81.9,76.75,81.3,18424000,80.8712
2016-08-18,81.25,83,79.6,80.15,12006200,79.7273
2016-08-19,80.45,81.7,79.85,81.2,7367300,80.7717
2016-08-22,81.5,84.5,80.4,83.7,13219300,83.2585
2016-08-23,84.1,84.55,82.5,83.65,8677300,83.2088
2016-08-24,83.9,83.9,82.5,83.2,5380700,82.7612
2016-08-25,83.65,85.85,82.8,85.4,13025600,84.9496
2016-08-26,85.95,86.7,85.1,86,8989600,85.5464
2016-08-29,85.6,85.8,83.55,84.55,4217600,84.1041
2016-08-30,85,86.4,82.55,83.5,10101400,83.0596
2016-08-31,84.35,86,83.85,84.2,5904100,83.7559
2016-09-01,84.7,88.4,83.95,87.15,7866500,86.6904
2016-09-02,88,89.25,87.7,88.35,4683500,87.884
2016-09-05,88.35,88.35,88.35,88.35,0,87.884
2016-09-06,88.9,89.9,87.9,89.4,5579500,88.9285
2016-09-07,92,97.9,91.9,96.4,13579600,95.8916
2016-09-08,96.55,96.75,93.05,94.85,6785900,94.3497
2016-09-09,94.1,95.6,91.55,92.55,6265600,92.0619
2016-09-12,90.3,90.3,86.65,87.3,6529600,86.8396
2016-09-13,87.3,87.3,87.3,87.3,0,86.8396
2016-09-14,87.3,98,87,94.8,20576400,94.3
2016-09-15,95,99,94.85,98.3,13939300,98.3
2016-09-16,99.3,101.4,96.35,97.9,17193600,97.9
2016-09-19,98.2,99.6,96.15,98.35,5546900,98.35
2016-09-20,97.5,98.75,96.65,97.1,2654700,97.1
2016-09-21,96.25,97,93.25,93.95,5284700,93.95
2016-09-22,95.2,97,94.45,96.5,5283400,96.5
2016-09-23,97.05,98.45,95.35,96.6,3843900,96.6
2016-09-26,96.6,97.4,94.25,94.7,5727100,94.7
2016-09-27,94.7,95.35,91.6,92.2,5126900,92.2
2016-09-28,92.25,95.75,91.6,94.7,4441000,94.7
2016-09-29,95.25,96.9,82.65,85,19653600,85
2016-09-30,85.45,89.85,85.45,89.55,7623200,89.55
2016-10-03,91.35,96.5,90.2,95.75,8078100,95.75
2016-10-04,97.2,98.85,95.1,96.65,7280500,96.65
2016-10-05,97.15,98,95.35,95.75,5857700,95.75
2016-10-06,96.3,97.05,92.95,93.85,3332100,93.85
2016-10-07,94.35,96,92.75,95.8,3272500,95.8
2016-10-10,96.3,97.8,94.3,97.2,4271000,97.2
2016-10-11,97.2,97.2,97.2,97.2,0,97.2
2016-10-12,97.2,97.2,97.2,97.2,0,97.2
