"Date","SUNTV.NS.Open","SUNTV.NS.High","SUNTV.NS.Low","SUNTV.NS.Close","SUNTV.NS.Volume","SUNTV.NS.Adjusted"
2015-10-21,376,395.75,376,385.4,1933500,370.295
2015-10-22,385.4,385.4,385.4,385.4,0,370.295
2015-10-23,391,393.6,375.3,377.45,1646900,362.656
2015-10-26,378,385.5,375.55,381.85,608500,366.884
2015-10-27,380.7,387.45,377.3,385.2,592400,370.102
2015-10-28,387.5,396.65,375.3,380.55,4017900,365.635
2015-10-29,383.3,383.7,374.5,377,1091500,362.224
2015-10-30,379.3,413.2,370.2,396.85,3590300,381.296
2015-11-02,399.9,401,384.8,387,1101300,371.832
2015-11-03,388.1,392,378.6,382.3,1227200,367.316
2015-11-04,385,389.55,382.05,384,861200,368.949
2015-11-05,386.9,396.3,378.2,382.25,2731800,367.268
2015-11-06,374,378.8,358.4,363.85,1252200,349.589
2015-11-09,360,373.95,356.6,372.1,897500,357.516
2015-11-10,372,376.25,367.2,370.75,679400,356.219
2015-11-11,370.75,370.75,370.75,370.75,0,356.219
2015-11-12,370.75,370.75,370.75,370.75,0,356.219
2015-11-13,377.3,381.8,370.8,375.8,832100,361.071
2015-11-16,374.8,383.3,372.4,379.6,750900,364.722
2015-11-17,381,386.45,379.05,384.25,1073600,369.19
2015-11-18,384.3,384.3,372,375.6,594000,360.879
2015-11-19,379.3,382.9,375.5,381.3,439600,366.355
2015-11-20,382,384.5,379,381.05,876500,366.115
2015-11-23,381.55,386.4,380.05,384.3,765300,369.238
2015-11-24,383.55,385.75,380.75,382.55,636200,367.556
2015-11-25,382.55,382.55,382.55,382.55,0,367.556
2015-11-26,381.55,394.2,381.55,389.8,1733100,374.522
2015-11-27,388,396.65,388,394.35,840200,378.894
2015-11-30,392,407.95,392,403.25,3007700,387.445
2015-12-01,402.9,405,398.2,400,1015300,384.322
2015-12-02,400.75,405,395.95,399.9,2157000,384.226
2015-12-03,399.1,401,393.3,395.35,745400,379.855
2015-12-04,392,397.45,389.1,392.1,767800,376.732
2015-12-07,389.5,396.5,376.65,378.55,1003200,363.713
2015-12-08,378.55,388.9,376,383.05,833900,368.037
2015-12-09,384,386.55,374.15,377.2,1019400,362.416
2015-12-10,377,388,372.6,386.95,821900,371.784
2015-12-11,386.95,387.75,375.9,379.7,800500,364.818
2015-12-14,382.8,383.35,377,380.1,569000,365.202
2015-12-15,382,386,377,383,640400,367.989
2015-12-16,387,392,384.05,389.65,1383200,374.378
2015-12-17,391.3,397.25,389.75,395.4,993900,379.903
2015-12-18,385.05,398.8,385.05,387.6,790700,372.408
2015-12-21,387.6,391.35,382.95,385.25,705300,370.15
2015-12-22,386.8,394.6,384.5,387.7,1095700,372.504
2015-12-23,389.9,398.95,385.7,393.6,489100,378.173
2015-12-24,395.05,415.8,393.85,413.9,1731200,397.677
2015-12-25,413.9,413.9,413.9,413.9,0,397.677
2015-12-28,416.1,422.5,412.25,417.65,1046200,401.281
2015-12-29,415.45,418,411.25,414.05,447400,397.822
2015-12-30,415,419.3,408.85,413.95,556400,397.726
2015-12-31,418,431.75,416.5,426.4,1641800,409.688
2016-01-01,427,436.3,423.1,430.95,645300,414.059
2016-01-04,430,430.75,413.7,421.2,577700,404.691
2016-01-05,425.3,428,419.65,425.95,597200,409.255
2016-01-06,426.5,428.9,418.5,421.7,423000,405.172
2016-01-07,416.7,419,403,409.75,953700,393.69
2016-01-08,409.75,427.5,406.05,423.85,719600,407.238
2016-01-11,400,410.5,392.15,407.55,2502100,391.576
2016-01-12,409,415.9,408.5,413,804400,396.813
2016-01-13,417,420.05,386.6,404.05,1455300,388.214
2016-01-14,397.7,402,390.5,393.1,1020100,377.693
2016-01-15,396,397.45,373.4,377.8,476700,362.992
2016-01-18,374.5,377.9,360.5,366.15,624600,351.799
2016-01-19,366,372.75,360.35,369.75,1084400,355.258
2016-01-20,366,367.95,326.2,342.05,2302500,328.644
2016-01-21,344,354.9,343.9,347.65,952900,334.024
2016-01-22,348.9,356.65,348.25,350,741300,336.282
2016-01-25,354,359.9,350.6,355.1,748000,341.182
2016-01-26,355.1,355.1,355.1,355.1,0,341.182
2016-01-27,362,362,344,353,662700,339.164
2016-01-28,352.7,360.95,350,354,1302800,340.125
2016-01-29,355.05,385.95,354.1,379.2,1635900,364.338
2016-02-01,384.2,384.2,371.35,375.65,802000,360.927
2016-02-02,365.5,368.75,353.25,357.7,916900,343.68
