"Date","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
2016-06-03,1379.25,1389.65,1362.3,1370.2499,4475000,130.0019
2016-06-06,1370,1378.9,1350.65,1369.4501,6043900,129.926
2016-06-07,1375.05,1386.9501,1360.05,1377.15,6253400,130.6565
2016-06-08,1381.9,1399.85,1370.3999,1395.0999,6143000,132.3595
2016-06-09,1394.1,1419.7,1386.0001,1416.45,8053300,134.3851
2016-06-10,1416.3,1433.5001,1405,1418.7,9526200,134.5986
2016-06-13,1393,1408,1388,1400.2499,5986600,132.8481
2016-06-14,1393,1411.0001,1391.0001,1406.1501,5847700,133.4079
2016-06-15,1410.3,1413.8499,1395.15,1400.15,4008100,132.8387
2016-06-16,1402,1410.35,1380,1407.2501,6516000,133.5123
2016-06-17,1412.1001,1417.45,1390.0999,1395.05,4379300,132.3548
2016-06-20,1384.9001,1406.4999,1383.9999,1402.2501,6435900,133.0379
2016-06-21,1402,1407.5,1392.1001,1400.7001,4076100,132.8909
2016-06-22,1404.7,1404.7,1385.35,1391.3,3550700,131.999
2016-06-23,1393.7,1405.45,1381.6,1401.3499,5073700,132.9525
2016-06-24,1382.2,1394.35,1330.0999,1383.2001,6144100,131.2305
2016-06-27,1387.8999,1395,1377.4001,1386.0001,6207800,131.4962
2016-06-28,1387.8,1432.5999,1383.55,1426.4999,6105900,135.3386
2016-06-29,1428,1448,1427.2501,1444.6001,5371400,137.0558
2016-06-30,1456.0001,1475,1440,1464.35,6928500,138.9296
2016-07-01,1475.0999,1485,1457.7,1463.3,6323900,138.83
2016-07-04,1463.9999,1477.7,1450,1473.6,3835800,147.36
2016-07-05,1475,1488.95,1465.2499,1481.25,4060900,148.125
2016-07-06,1481.25,1481.25,1481.25,1481.25,0,148.125
2016-07-07,1470.0999,1485,1458.9,1463.25,6195000,146.325
2016-07-08,1468,1481.0001,1460.5,1476.9501,4296800,147.695
2016-07-11,1488,1511.6,1486.1,1508.75,4288100,150.875
2016-07-12,1510,1550,1507,1541.3,5804800,154.13
2016-07-13,1545.5,1564.95,1543.9999,1556.9501,6177500,155.695
2016-07-14,1556.9501,1583.45,1545,1575.15,6235900,157.515
2016-07-15,1580,1653.25,1575.05,1636.05,12637600,163.605
2016-07-18,1632.7,1656.45,1600,1606.05,9572600,160.605
2016-07-19,1614.4501,1634.4,1603.3,1628.2001,6883500,162.82
2016-07-20,1631.0001,1635.9,1616.2,1619.5,4359000,161.95
2016-07-21,1623.9999,1629.85,1606.25,1612.2501,4471900,161.225
2016-07-22,1605,1624.7,1590.0999,1613,4085400,161.3
2016-07-25,1610,1633,1605,1628.45,4133100,162.845
2016-07-26,1628,1671.7999,1628,1659.35,6885100,165.935
2016-07-27,1671.9501,1761.3,1666.0001,1739.2999,26450000,173.93
2016-07-28,1737.7,1746.0001,1681.0001,1684.35,13103700,168.435
2016-07-29,1693.9999,1705,1665,1675.2,5954000,167.52
2016-08-01,1685,1702.45,1643.25,1689.65,8365200,168.965
