"Date","CADILAHC.NS.Open","CADILAHC.NS.High","CADILAHC.NS.Low","CADILAHC.NS.Close","CADILAHC.NS.Volume","CADILAHC.NS.Adjusted"
2015-09-22,1994.70001,2036.99997,1925,1939.29993,652400,381.45928
2015-09-23,1937.89993,2025,1890,2015.39993,935200,396.42811
2015-09-24,2043.99994,2076.49994,2026.60004,2038.80005,1442500,401.0309
2015-09-25,2038.80005,2038.80005,2038.80005,2038.80005,0,401.0309
2015-09-28,408.95999,425,407.32999,413.76999,1648100,81.38834
2015-09-29,409.60001,417.20001,408.16,412.54001,981400,81.1464
2015-09-30,413.20001,421.20001,413.20001,418.34,1126200,82.28726
2015-10-01,421,432,418.39999,420.20999,1411700,82.65509
2015-10-02,420.20999,420.20999,420.20999,420.20999,0,82.65509
2015-10-05,423,426.54001,411.60001,416.23999,966800,81.87419
2015-10-06,418.5,427.5,400.5,425.64999,938700,418.62565
2015-10-07,425.79999,430.64999,420,423.20001,657900,416.2161
2015-10-08,423,428,407.39999,409.29999,1096000,402.54547
2015-10-09,411.25,416.35001,401.79999,408.04999,648600,401.31609
2015-10-12,410,411.54999,402.54999,407.10001,315400,400.38179
2015-10-13,409,420.85001,405,419.39999,726300,412.4788
2015-10-14,420,426.39999,418,423.14999,700800,416.16691
2015-10-15,424.95001,425,419.20001,420.60001,410600,413.659
2015-10-16,422.95001,424.5,417.10001,417.89999,398900,411.00355
2015-10-19,419.89999,434.75,419.20001,430.75,773500,423.6415
2015-10-20,437.5,439,426.20001,432.14999,909900,425.01839
2015-10-21,433.89999,443.64999,428,431.29999,1599800,424.18241
2015-10-22,431.29999,431.29999,431.29999,431.29999,0,424.18241
2015-10-23,453,453.29999,439.04999,443.10001,2948800,435.7877
2015-10-26,445,445,425.04999,427.14999,1282700,420.1009
2015-10-27,426,430.75,422,425,907100,417.98639
2015-10-28,427.75,432.39999,421.10001,425.89999,908000,418.87153
2015-10-29,427,429.5,415.20001,416.75,1410200,409.87253
2015-10-30,419.89999,424.60001,387.5,416.79999,1297000,409.9217
2015-11-02,419,419.95001,404.10001,410.39999,727900,403.62732
2015-11-03,411.04999,424,411.04999,422.75,722600,415.77352
2015-11-04,425,434.89999,424,430.79999,1073900,423.69066
2015-11-05,432.39999,437.39999,427.5,429.39999,941600,422.31377
2015-11-06,432,432.64999,407.70001,411.29999,1755700,404.51246
2015-11-09,403.25,419.25,391,416.35001,1786900,409.47914
2015-11-10,416,421.20001,408.20001,410.39999,1103000,403.62732
2015-11-11,410.39999,410.39999,410.39999,410.39999,0,403.62732
2015-11-12,410.39999,410.39999,410.39999,410.39999,0,403.62732
2015-11-13,421,430,409.5,412.29999,2753300,405.49596
2015-11-16,412,416.70001,394.25,396.79999,2523200,390.25175
2015-11-17,398,414,398,413,2891700,406.18442
2015-11-18,413.10001,413.89999,405.79999,408,1243100,401.26693
2015-11-19,411.95001,414.64999,409.5,411.95001,1332800,405.15176
2015-11-20,415,419.54999,412,417.39999,1300700,410.5118
2015-11-23,420.79999,425.95001,419.29999,423.95001,2459900,416.95373
2015-11-24,423.79999,424.85001,411.54999,412.70001,1089500,405.88938
2015-11-25,412.70001,412.70001,412.70001,412.70001,0,405.88938
2015-11-26,415.95001,417.89999,403,404.75,3360800,398.07057
2015-11-27,406,412.5,401,411.14999,3028400,404.36494
2015-11-30,412.04999,415,394.04999,397.20001,18823100,390.64517
2015-12-01,401,403.95001,396.79999,401.04999,2350200,394.43161
2015-12-02,403.10001,408.85001,400.64999,406.39999,1405500,399.69333
2015-12-03,406,409.5,400.45001,403.60001,1152400,396.93955
2015-12-04,403.04999,403.60001,388.85001,393.20001,1817600,386.71118
2015-12-07,396.89999,397.95001,391.25,393.5,718700,387.00622
2015-12-08,393.39999,399.64999,392,393.89999,1088900,387.39961
2015-12-09,393.95001,395.89999,382.45001,384.79999,978000,378.44978
2015-12-10,387.35001,395,376.95001,393.79999,1205900,387.30126
2015-12-11,394,396.79999,385.10001,388.79999,701700,382.38377
2015-12-14,387.5,401,385.14999,397.60001,932600,391.03856
2015-12-15,399.70001,400.60001,394.20001,395.85001,566800,389.31744
2015-12-16,399.04999,403.70001,391.39999,394.04999,788000,387.54713
2015-12-17,397,398.39999,392.35001,394.54999,739500,388.03888
2015-12-18,396.89999,397.5,390.29999,391.10001,628600,384.64583
2015-12-21,395,395,387.10001,388.14999,773900,381.7445
2015-12-22,396,396.79999,389.70001,390.60001,842700,384.15408
2015-12-23,392.5,396.5,391.20001,391.79999,991900,385.33426
2015-12-24,395,395,389.60001,390.04999,569400,383.61314
2015-12-25,390.04999,390.04999,390.04999,390.04999,0,383.61314
2015-12-28,392.70001,394.64999,387.14999,388.75,1241900,382.33461
2015-12-29,390,392.95001,386.45001,387.75,704100,381.35111
2015-12-30,390,391.20001,382.5,384.25,956200,377.90887
2015-12-31,384.25,384.89999,320.10001,327.54999,26761400,322.14456
2016-01-01,325,337.89999,323.60001,332.70001,7005000,327.20959
2016-01-04,334.04999,334.29999,319,320.79999,4827900,315.50595
2016-01-05,322.20001,324.89999,309.54999,313.60001,4874900,308.42478
2016-01-06,305.5,325.39999,305,320.75,7555800,315.45679
2016-01-07,314.70001,319,305.10001,306.85001,2850600,301.78618
2016-01-08,309.85001,314.29999,308.04999,310.29999,1615600,305.17923
2016-01-11,307,323.35001,305,315.04999,3814100,309.85084
2016-01-12,316.95001,324.39999,315.60001,320.75,2784900,315.45679
2016-01-13,323,326.89999,315,321.14999,3225500,315.85018
2016-01-14,316,324.54999,313.20001,315.14999,2398800,309.94919
2016-01-15,321.89999,321.89999,307,308.5,2081100,303.40894
2016-01-18,308,310.5,296,300.70001,2290200,295.73767
2016-01-19,302,310.20001,299.20001,308.70001,1729800,303.60565
2016-01-20,303.89999,304,296,301.75,2113200,296.77033
2016-01-21,303.5,307.25,295,296.54999,3104300,291.65614
2016-01-22,299.89999,303.04999,298.20001,300.95001,1079600,295.98355
2016-01-25,302.20001,307,301.5,303.10001,787100,298.09806
2016-01-26,303.10001,303.10001,303.10001,303.10001,0,298.09806
2016-01-27,305.29999,305.79999,302,304.95001,766900,299.91754
2016-01-28,303,304.95001,297.39999,299.04999,1624800,294.11488
2016-01-29,301,308.5,298.20001,304.20001,1801000,299.17992
2016-02-01,308.25,319.70001,305,318.70001,1926700,313.44063
2016-02-02,319.85001,321.79999,315.20001,316.89999,1856900,311.67031
2016-02-03,315,321.20001,307.79999,317.04999,1354500,311.81783
2016-02-04,319.5,321,308.20001,312.29999,1242600,307.14622
2016-02-05,314.20001,329.60001,310.29999,326.45001,3736200,321.06273
2016-02-08,327.45001,333.79999,321.54999,327.10001,1503800,321.702
2016-02-09,321.79999,329.75,320,328.35001,778100,322.93137
2016-02-10,326,327.39999,320.5,326.45001,619500,321.06273
2016-02-11,325.04999,334.70001,318,319.79999,1350300,314.52245
2016-02-12,322.89999,322.89999,304,306.35001,2642800,301.29443
2016-02-15,308.5,316.39999,307.95001,314.85001,868600,309.65416
2016-02-16,315.5,316.75,309.5,311.45001,524800,306.31027
2016-02-17,311.10001,319.10001,305.89999,314.04999,765700,308.86734
2016-02-18,317.10001,324.85001,315.89999,322.39999,896400,317.07955
2016-02-19,322,336.25,317,327.35001,1514600,321.94787
2016-02-22,330,332.95001,327,329.20001,810900,323.76735
2016-02-23,330,332.85001,326.14999,330.5,744200,325.04588
2016-02-24,331.79999,334,319.5,322.10001,961600,316.78451
2016-02-25,322,328,319.75,325.79999,1196300,320.42343
2016-02-26,327.5,329.20001,318,320.35001,712100,315.06339
2016-02-29,320.35001,320.35001,308.25,314.60001,1375500,309.40828
2016-03-01,317,326.95001,314.60001,326.20001,866300,320.81686
2016-03-02,330,337.54999,326.14999,330.25,1494900,324.80001
2016-03-03,332.89999,336.45001,328.79999,333.29999,650100,327.79967
2016-03-04,334.5,340,331.04999,337.95001,870500,332.37295
2016-03-07,337.95001,337.95001,337.95001,337.95001,0,332.37295
2016-03-08,336,338.60001,330.5,335.70001,738200,330.16008
2016-03-09,336,346,331.54999,344.29999,1458800,338.61814
2016-03-10,349.70001,349.70001,342.60001,345.04999,975600,339.35576
2016-03-11,348.29999,348.29999,340.79999,344.64999,763400,338.96237
2016-03-14,345,349.79999,344.25,348.75,588600,342.99471
2016-03-15,348.04999,348.79999,336.20001,338.54999,634500,332.96303
2016-03-16,338.04999,342,332,338.64999,1063100,333.06138
2016-03-17,339,339.79999,335,337.5,772300,335.09679
2016-03-18,337,342.20001,334.89999,341.35001,588200,338.91939
2016-03-21,342,344.70001,338.25,341,554700,338.57187
2016-03-22,341.70001,341.70001,312,327.70001,1315900,325.36659
2016-03-23,311,328.5,311,320.25,4389300,317.96962
2016-03-24,320.25,320.25,320.25,320.25,0,317.96962
2016-03-25,320.25,320.25,320.25,320.25,0,317.96962
2016-03-28,323,323.95001,315.10001,318.60001,797800,316.33138
2016-03-29,321.70001,321.89999,308,316.39999,1337100,314.14703
2016-03-30,321.25,324.39999,316.10001,319.39999,1017200,317.12567
2016-03-31,322.60001,322.64999,315.79999,316.89999,1946500,314.64347
2016-04-01,316.5,325.70001,313.14999,320.85001,979300,318.56536
2016-04-04,321.79999,322.95001,313.5,315.14999,1219900,312.90593
2016-04-05,315,319.95001,312,318.70001,749700,316.43067
2016-04-06,320,320,313.29999,314.5,1649200,312.26057
2016-04-07,316,320.39999,314.10001,319.5,642700,317.22497
2016-04-08,322,322.89999,317,321.60001,521000,319.31002
2016-04-11,319.04999,320.79999,314.39999,317.64999,897800,315.38813
2016-04-12,318.45001,320,304.20001,317.39999,2678100,315.13991
2016-04-13,319.20001,322.85001,317.5,320.20001,697100,317.91999
2016-04-14,320.20001,320.20001,320.20001,320.20001,0,317.91999
2016-04-15,320.20001,320.20001,320.20001,320.20001,0,317.91999
2016-04-18,320,332.25,319.70001,330.10001,919700,327.74949
2016-04-19,330.10001,330.10001,330.10001,330.10001,0,327.74949
2016-04-20,330.10001,334.10001,324.89999,326.39999,875300,324.07583
2016-04-21,327.14999,330.75,325.5,328.5,415800,326.16088
2016-04-22,328.39999,336.95001,328.39999,335.70001,942600,333.30962
2016-04-25,334,335,328.75,330.89999,241200,328.54378
2016-04-26,329,330.14999,327.29999,328,325900,325.66444
2016-04-27,330,332.14999,326.04999,326.85001,318000,324.52263
2016-04-28,327.14999,329.5,323.85001,327.10001,330100,324.77085
2016-04-29,328.14999,329.5,324.10001,327.60001,276200,325.26729
2016-05-02,325.04999,328.89999,323.64999,324.60001,328200,322.28866
2016-05-03,325,326.60001,319.29999,320.10001,729700,317.8207
2016-05-04,320.5,325.89999,319,323.04999,453800,320.74968
2016-05-05,326.10001,327.89999,319.85001,320.89999,491400,318.61499
2016-05-06,320.60001,322.39999,315.45001,317.95001,573500,315.68601
2016-05-09,318,321.29999,316.79999,320.29999,397100,318.01926
2016-05-10,324.5,336.79999,324,333.39999,1423300,331.02598
2016-05-11,329,338.79999,328.39999,333,883200,330.62884
2016-05-12,336,336.85001,331.20001,333.39999,435600,331.02598
2016-05-13,334.95001,338.89999,324.25,326.54999,1768800,324.22475
2016-05-16,330,330.14999,321.04999,321.70001,739400,319.40931
2016-05-17,323.45001,324.5,319.10001,320.54999,755200,318.26748
2016-05-18,321,321.75,318.79999,320,692400,317.72141
2016-05-19,319.89999,326.75,319.60001,324.70001,661500,322.38795
2016-05-20,326,327.5,320.25,321.54999,567900,319.26036
