"Date","IBREALEST.NS.Open","IBREALEST.NS.High","IBREALEST.NS.Low","IBREALEST.NS.Close","IBREALEST.NS.Volume","IBREALEST.NS.Adjusted"
2015-08-10,66.75,69.2,66.3,68,9359600,68
2015-08-11,68.4,69.15,66.5,68.4,7135100,68.4
2015-08-12,67.9,68,63.5,64.75,8929000,64.75
2015-08-13,64,66,60.8,61.8,7342600,61.8
2015-08-14,62.45,67.05,61.45,65.5,18387900,65.5
2015-08-17,65.5,65.55,62.6,63.45,7618900,63.45
2015-08-18,63.9,65.5,62.6,64.6,11547900,64.6
2015-08-19,64.05,65.15,60.5,61.4,9666000,61.4
2015-08-20,60.85,61.3,51.3,55.75,18480800,55.75
2015-08-21,54.05,58.35,53.45,56.3,10714300,56.3
2015-08-24,51,53.75,45.6,46.85,16204200,46.85
2015-08-25,49.5,56.7,48.9,55.55,30571600,55.55
2015-08-26,54.5,61,52.35,59.95,23449600,59.95
2015-08-27,60.85,66.1,59.9,65.55,25372600,65.55
2015-08-28,66,66.9,61.3,62.4,12012000,62.4
2015-08-31,61.5,63.45,60.15,61.85,5624300,61.85
2015-09-01,60.4,62.1,57.3,57.75,5878200,57.75
2015-09-02,59.1,62.4,57.6,60.45,8395600,60.45
2015-09-03,61.25,65.4,61.25,64.55,9459700,64.55
2015-09-04,63.95,63.95,55,60.7,14501400,60.7
2015-09-07,61.1,63.7,60,60.6,7647700,60.6
2015-09-08,61.5,64.9,58.7,63.95,13986700,63.95
2015-09-09,65.35,66.2,62.1,64.4,9963500,64.4
2015-09-10,62.25,64.3,61.2,63.95,6007900,63.95
2015-09-11,64.55,64.75,61.95,63,6258000,63
2015-09-14,63.25,66.7,62.55,66,6336900,66
2015-09-15,66.45,67.35,63,63.5,7799600,63.5
2015-09-16,64.8,65.05,61.65,62.05,6121200,62.05
2015-09-17,62.05,62.05,62.05,62.05,0,62.05
2015-09-18,63.4,66.9,63.15,64.2,11779100,64.2
2015-09-21,63.25,64.7,62.65,64.2,5209600,64.2
2015-09-22,64.85,65.1,60.25,60.75,7289400,60.75
2015-09-23,59.5,61.95,59.05,61.1,5743900,61.1
2015-09-24,61.15,62.3,60.3,60.95,4356000,60.95
2015-09-25,60.95,60.95,60.95,60.95,0,60.95
2015-09-28,61.2,63.6,60.5,61.6,5884900,61.6
2015-09-29,60.7,65.9,59.5,64.3,13766200,64.3
2015-09-30,64.85,65.6,62.1,63.85,8229900,63.85
2015-10-01,64.4,64.8,62.3,62.8,5821400,62.8
2015-10-02,62.8,62.8,62.8,62.8,0,62.8
2015-10-05,63.45,65.7,63.4,65.35,6609500,65.35
2015-10-06,65.95,71.15,65.5,70,19802700,70
2015-10-07,70.45,72.4,69,70.5,9891200,70.5
2015-10-08,70.7,71.1,67.65,67.95,7901400,67.95
2015-10-09,69,70.3,66.25,67.15,10644900,67.15
2015-10-12,67.8,68.3,65.05,66.3,9633000,66.3
2015-10-13,66.45,67.7,66.2,67.35,7664400,67.35
2015-10-14,67.8,69.3,66.5,67.2,8032600,67.2
2015-10-15,67.8,68.8,67.05,67.75,5658700,67.75
2015-10-16,68.2,68.8,66.8,68.3,5145800,68.3
2015-10-19,68.5,73.4,67.9,72.25,9204500,72.25
2015-10-20,73,73.6,70.25,70.95,8647200,70.95
2015-10-21,71.3,71.6,65.65,67.75,17538200,67.75
2015-10-22,67.75,67.75,67.75,67.75,0,67.75
2015-10-23,68.8,68.9,64.7,65.05,7047600,65.05
2015-10-26,65.7,66.45,62.8,63.3,6581500,63.3
2015-10-27,63.2,66,62.8,65.3,7408400,65.3
2015-10-28,65.55,66.45,63.85,64.3,5786600,64.3
2015-10-29,64.6,65.25,63.8,64.15,6041900,64.15
2015-10-30,64.8,65.5,61.6,62.4,5581800,62.4
2015-11-02,62.75,63.7,61.3,62.5,5280900,62.5
