"Date","AMBUJACEM.NS.Open","AMBUJACEM.NS.High","AMBUJACEM.NS.Low","AMBUJACEM.NS.Close","AMBUJACEM.NS.Volume","AMBUJACEM.NS.Adjusted"
2015-11-11,196.7,196.7,196.7,196.7,0,193.3342
2015-11-12,196.7,196.7,196.7,196.7,0,193.3342
2015-11-13,195.25,196.85,191.5,192.65,3043500,189.3535
2015-11-16,192.3,196,188.75,194.15,3882100,190.8278
2015-11-17,195.1,199.7,194.8,199,3433600,195.5948
2015-11-18,198.7,202.75,196.1,197.45,3293500,194.0713
2015-11-19,198.15,199,195.3,198.05,1583000,194.6611
2015-11-20,198,203.75,197.95,201.95,1408000,198.4943
2015-11-23,203.9,203.9,199.65,200.7,825200,197.2657
2015-11-24,200.1,205.05,200.05,202.6,2351500,199.1332
2015-11-25,202.6,202.6,202.6,202.6,0,199.1332
2015-11-26,201.7,204.5,201.1,203.2,2387700,199.723
2015-11-27,203.5,205,201.3,202.6,772000,199.1332
2015-11-30,202.6,203,198.1,198.9,3352900,195.4965
2015-12-01,200.1,203.5,200,200.8,1088900,197.364
2015-12-02,203.35,203.75,199.15,200.15,2388600,196.7251
2015-12-03,199.2,200.45,197.2,197.7,1969500,194.3171
2015-12-04,197,197.55,194.5,195.05,2711000,191.7124
2015-12-07,196.5,198.5,195.15,195.9,1962300,192.5479
2015-12-08,195,195.1,193.25,194.65,1650900,191.3193
2015-12-09,194.1,195,188.25,189.4,2732200,186.1591
2015-12-10,190.55,191.9,188.1,189.9,1553100,186.6505
2015-12-11,190,194.45,187.6,189,2526900,185.7659
2015-12-14,190.45,194.5,189.05,193.25,1484000,189.9432
2015-12-15,194,194.1,190.15,193.35,955600,190.0415
2015-12-16,194,194.75,192.05,194.35,1968300,191.0244
2015-12-17,194.55,198.85,194.2,198.15,1386900,194.7594
2015-12-18,198,202.5,195,199.5,2885400,196.0863
2015-12-21,200,202.4,198.15,200.8,928700,197.364
2015-12-22,200,202,199.3,200,1053400,196.5777
2015-12-23,200.95,201.7,200.45,201.45,810700,198.0029
2015-12-24,201.85,204.2,200.7,203.3,494000,199.8213
2015-12-25,203.3,203.3,203.3,203.3,0,199.8213
2015-12-28,203,204.5,201.6,202.7,1402300,199.2315
2015-12-29,202.8,206.3,201.9,205.55,1357700,202.0328
2015-12-30,205.9,206,204.3,204.95,685300,201.443
2015-12-31,205,205.9,202.4,203.05,1177200,199.5755
2016-01-01,203.5,206.4,203,205.65,553700,202.131
2016-01-04,204.05,205.6,200.25,202.15,1079100,198.6909
2016-01-05,203,204.7,201.8,204,1097700,200.5093
2016-01-06,204.95,204.95,200.5,203.05,1593400,199.5755
2016-01-07,202,202.5,195.75,197.6,2114300,194.2188
2016-01-08,199,199.65,194.1,198.35,1860800,194.956
2016-01-11,196,198.8,194.55,197.95,1818900,194.5628
2016-01-12,198.4,199.2,194.2,195.2,1601800,191.8598
2016-01-13,196.95,198.85,194.05,197.95,1692400,194.5628
2016-01-14,194.1,199.5,192.5,197.95,1391500,194.5628
2016-01-15,196.55,198.95,192.6,193.9,1561700,190.5821
2016-01-18,194.4,194.8,189.05,191.1,2315700,187.83
2016-01-19,190,192.6,189,191.35,2220800,188.0757
2016-01-20,189,196,185.2,186.95,1976000,183.751
2016-01-21,189,194.4,187.3,192.1,1546700,188.8129
2016-01-22,193.8,196.65,191.65,193,1064200,189.6975
2016-01-25,194.2,199.35,193.55,196.95,1102200,193.5799
2016-01-26,196.95,196.95,196.95,196.95,0,193.5799
2016-01-27,196.95,197.4,190.9,191.9,1409000,188.6163
2016-01-28,191.9,195,191,193.2,2728100,189.8941
2016-01-29,193.95,196.5,193,195.35,1857500,192.0073
2016-02-01,196.5,200.8,195.35,199.95,1699600,196.5286
2016-02-02,200.8,201.95,195.6,196.6,1122800,193.2359
2016-02-03,195.8,197.55,191.1,191.9,954600,188.6163
2016-02-04,192.75,197,192.75,195.65,802300,192.3021
2016-02-05,194.1,199.4,194.1,195.5,1742900,192.1547
2016-02-08,195.5,201,195.4,197.15,924300,193.7765
2016-02-09,196.5,198.3,195,197.65,962100,194.2679
2016-02-10,197,197,191,195.6,2357600,192.253
2016-02-11,188.5,195.75,188.1,193.35,3151300,190.0415
2016-02-12,195,196.35,190.4,194.65,1650700,191.3193
2016-02-15,196,199.35,195.3,198,1061800,194.6119
2016-02-16,198.9,199.2,192.4,194,704400,190.6804
2016-02-17,194,194.6,188.5,193.4,986600,190.0906
2016-02-18,195,196.4,192.7,195.35,1106400,192.0073
2016-02-19,194.7,195.65,194,194.95,1086900,191.6141
2016-02-22,195.75,197,195,196,1609700,193.8393
2016-02-23,195.8,196.35,192.7,193.6,1271200,191.4658
2016-02-24,193,194.3,190.75,191.4,905400,189.29
2016-02-25,190.85,192.65,187.9,188.8,2832400,186.7187
2016-02-26,190.9,192.35,186.4,189,1864000,186.9165
2016-02-29,190,192,185,187.95,2396200,185.8781
2016-03-01,189.25,191.45,188.2,190.4,1759600,188.301
2016-03-02,193,197,191.65,195.65,1346200,193.4932
2016-03-03,197.9,200.7,195.8,199.65,2223500,197.4491
2016-03-04,201.8,203.2,199.55,202.4,1767100,200.1688
2016-03-07,202.4,202.4,202.4,202.4,0,200.1688
2016-03-08,202,204.45,199.75,201.65,3088200,199.427
2016-03-09,201.8,205.35,201.5,204.35,4723800,202.0973
2016-03-10,204.4,204.6,200.75,201.5,5056900,199.2787
2016-03-11,200,202.65,199.65,200.7,3751900,198.4875
2016-03-14,201.9,206,201.9,203.7,2540400,201.4544
2016-03-15,204.05,206.4,202.55,204.9,2283200,202.6412
2016-03-16,205,207.7,203.15,206.2,2060000,203.9269
2016-03-17,207.5,219.9,207.5,218.15,4253900,215.7451
2016-03-18,219,223.15,216.65,222.05,2980800,219.6022
2016-03-21,222.3,233.95,221.5,231.95,5598500,229.393
2016-03-22,231.25,231.9,224.4,229.85,4129100,227.3162
2016-03-23,229.8,232.9,226.25,228.25,2525200,225.7338
2016-03-24,228.25,228.25,228.25,228.25,0,225.7338
2016-03-25,228.25,228.25,228.25,228.25,0,225.7338
2016-03-28,228,235.65,225.15,229.7,4176200,227.1678
2016-03-29,231,233.5,226.3,230.9,2206600,228.3546
2016-03-30,231.75,234.6,230.1,231.4,2195000,228.8491
2016-03-31,231.7,234,229.7,232.55,3951900,229.9864
2016-04-01,231.9,236.4,229.15,235.35,1438900,232.7555
2016-04-04,236.35,236.9,230.55,231.2,1587500,228.6513
2016-04-05,230,231.1,225.25,226.1,2201000,223.6075
2016-04-06,226.85,231,225.75,229.05,1630900,226.525
2016-04-07,229.05,230.3,225.1,226.45,1036400,223.9536
2016-04-08,225.7,231.35,223.05,225.75,2292100,223.2614
2016-04-11,226.95,227.65,221.5,224.55,1953500,222.0746
2016-04-12,224.55,226.35,221.5,223.75,1992500,221.2834
2016-04-13,227,232.5,226.05,231.1,4045600,228.5524
2016-04-14,231.1,231.1,231.1,231.1,0,228.5524
2016-04-15,231.1,231.1,231.1,231.1,0,228.5524
2016-04-18,234.65,234.65,227.9,228.6,2161900,226.0799
2016-04-19,228.6,228.6,228.6,228.6,0,226.0799
2016-04-20,228.7,231.45,225.55,226.25,2229800,223.7558
2016-04-21,228.1,228.4,220.1,221.15,1539100,218.7121
2016-04-22,219.75,222.25,216.5,220.9,2644100,218.4648
2016-04-25,223,224.4,221.35,223.35,1167100,220.8878
2016-04-26,224.9,226.5,222.25,224.45,1853100,221.9757
2016-04-27,225.6,227.7,224.05,225.3,1052400,222.8163
2016-04-28,225.8,228.7,219.1,219.85,2041600,217.4264
2016-04-29,223,224.4,219.55,221,2815000,218.5637
2016-05-02,221.05,224.35,218.95,223.8,1083900,221.3329
2016-05-03,224.35,225.95,217.8,218.6,2144000,216.1902
2016-05-04,217.9,218.45,214.05,214.9,1684800,212.531
2016-05-05,214.75,217.4,212.75,215.85,1192700,213.4705
2016-05-06,216.95,221.05,215.5,219.95,2109100,217.5253
2016-05-09,221.25,222.5,219.6,220.3,2535900,217.8714
2016-05-10,219.25,222.75,217.5,220.4,2697500,217.9703
2016-05-11,218.25,221.85,217,220.55,1385600,218.1187
2016-05-12,220.3,222.6,219.15,221,702600,218.5637
2016-05-13,220,221.7,216.9,217.25,1070200,214.8551
2016-05-16,217.75,219,215.2,217.25,965900,214.8551
2016-05-17,218,218.85,215,216.9,2549300,214.5089
2016-05-18,216.2,217.25,214.35,216.65,816100,214.2617
2016-05-19,217,217,212.15,213.65,1695400,211.2947
2016-05-20,213.85,214.9,207.55,208.85,1384600,206.5477
2016-05-23,210.3,213.45,208.85,212.6,1347100,210.2563
2016-05-24,213.6,216.8,212,215.45,2405700,213.0749
2016-05-25,217.25,223.25,216.2,222.4,2306500,219.9483
2016-05-26,223,229.5,223,224.6,8149800,222.124
2016-05-27,226,232,226,230.25,5155300,227.7118
2016-05-30,232,232.6,228.1,229.15,1338200,226.6239
2016-05-31,228.5,232.85,227.25,228.4,4144600,225.8821
2016-06-01,229,232.8,228.55,231.35,5666500,228.7996
2016-06-02,231.35,231.35,229,229.75,1578500,227.2173
2016-06-03,230.15,233.75,228.1,228.65,2388200,226.1294
2016-06-06,228.7,231.75,228.05,228.9,1874600,226.3766
2016-06-07,230,235,228.65,234.25,2061500,231.6677
2016-06-08,235.35,239,233.2,238.2,2491700,235.5741
