"Date","RDEL.NS.Open","RDEL.NS.High","RDEL.NS.Low","RDEL.NS.Close","RDEL.NS.Volume","RDEL.NS.Adjusted"
2015-06-30,59.95,60.3,59.7,59.9,2137300,59.9
2015-07-01,60,60.35,59.9,60,182100,60
2015-07-02,60.05,60.25,60,60,198100,60
2015-07-03,60,60.2,59.85,60,180800,60
2015-07-06,59.3,60.2,59.3,60,232900,60
2015-07-07,60,60.1,59.4,59.7,971100,59.7
2015-07-08,59.55,59.85,59.35,59.6,208500,59.6
2015-07-09,59.7,60.15,59.65,59.75,139500,59.75
2015-07-10,59.8,60.1,59.75,59.75,245600,59.75
2015-07-13,59.55,60.15,59.55,59.8,186400,59.8
2015-07-14,59.85,60.05,59.75,59.85,176500,59.85
2015-07-15,60,61.5,59.95,60.15,948400,60.15
2015-07-16,64,64.95,62.1,62.3,13345000,62.3
2015-07-17,62.9,63.4,62.35,62.65,1953500,62.65
2015-07-20,63,63.5,62.6,62.85,1571000,62.85
2015-07-21,63,63.4,61.6,62.6,1426300,62.6
2015-07-22,63.25,63.45,62.2,62.35,1625100,62.35
2015-07-23,62.45,62.7,61.55,61.7,840600,61.7
2015-07-24,61.75,61.9,61.2,61.25,561900,61.25
2015-07-27,60.9,61.45,60.55,61,716500,61
2015-07-28,61.05,61.25,60.2,60.3,463100,60.3
2015-07-29,60.1,61.2,60.1,60.6,738700,60.6
2015-07-30,60.7,61,60.3,60.45,382300,60.45
2015-07-31,60.65,60.7,60.1,60.25,412400,60.25
2015-08-03,60.25,60.6,60.1,60.15,393200,60.15
2015-08-04,60.25,60.45,60,60.15,467400,60.15
2015-08-05,60.2,60.8,60.1,60.6,386100,60.6
2015-08-06,60.65,63.6,60.65,62.95,3090900,62.95
2015-08-07,62.8,62.8,61.9,62.35,471800,62.35
2015-08-10,62.7,62.7,61.1,61.25,413000,61.25
2015-08-11,61.5,61.5,60.6,60.95,290600,60.95
2015-08-12,61,63.25,60.55,62.05,2381300,62.05
2015-08-13,62.15,62.75,61.6,61.75,796200,61.75
2015-08-14,61.8,62,61.1,61.65,633300,61.65
2015-08-17,61.2,63,60.8,62,1670500,62
2015-08-18,62.5,62.8,61.4,61.6,866300,61.6
2015-08-19,62.25,63,61.7,62.05,2224300,62.05
2015-08-20,62.15,62.4,60.15,60.55,2467500,60.55
2015-08-21,60.2,60.4,58.5,58.85,1582200,58.85
2015-08-24,57.9,58.6,57,57.5,2764400,57.5
2015-08-25,57.3,57.8,51.3,55.75,1072100,55.75
2015-08-26,56,57.35,54.5,56.8,388600,56.8
2015-08-27,57.5,59.5,56.55,57.6,590400,57.6
2015-08-28,60,60.7,57.1,57.35,1866200,57.35
2015-08-31,57.4,58.15,56.2,56.4,452000,56.4
2015-09-01,56.1,56.25,55,55.1,630700,55.1
2015-09-02,55.5,57.1,54.65,55.05,803900,55.05
2015-09-03,55.35,55.8,55.1,55.6,249500,55.6
2015-09-04,55.45,55.6,54.1,54.3,450000,54.3
2015-09-07,54.3,54.7,54.2,54.5,198600,54.5
2015-09-08,54.55,57.75,54.25,57.2,525200,57.2
2015-09-09,57.6,58.5,56.95,58.25,330200,58.25
2015-09-10,57.6,59.55,56.7,59.25,290100,59.25
2015-09-11,59.4,59.65,58.1,58.35,170100,58.35
2015-09-14,58.35,60,57.65,59.9,1130600,59.9
2015-09-15,60.35,60.35,58.35,58.65,598700,58.65
2015-09-16,58.95,59,58.2,58.3,372100,58.3
2015-09-17,58.3,58.3,58.3,58.3,0,58.3
