"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2016-04-21,155,162.3,154.6,157.75,18110600,157.75
2016-04-22,156.85,163.9,155.4,161.95,13127700,161.95
2016-04-25,162.25,162.45,156.55,157.85,7200700,157.85
2016-04-26,157.45,162.15,156.25,161.7,8570000,161.7
2016-04-27,161.7,163.35,159.8,161.05,5587200,161.05
2016-04-28,160.4,163.3,159.2,160.55,10995500,160.55
2016-04-29,160.6,162.6,152.85,157.9,7904100,157.9
2016-05-02,157.8,158.5,155.1,155.5,4710500,155.5
2016-05-03,156.25,159.4,152.1,152.9,6028800,152.9
2016-05-04,152.55,154.6,148,148.65,8544000,148.65
2016-05-05,149.95,150.95,146.8,148.7,7567600,148.7
2016-05-06,148.7,152.5,148.55,150.6,6562700,150.6
2016-05-09,152,156.4,150.8,155.15,6471900,155.15
2016-05-10,155,158.25,152.4,157.4,6802000,157.4
2016-05-11,154.45,158.15,152.8,156.85,7745400,156.85
2016-05-12,159.75,160.15,155.2,157.65,8079200,157.65
2016-05-13,157.5,157.5,154.1,155.1,10556500,155.1
2016-05-16,150,150,139.75,142.3,37212300,142.3
2016-05-17,143.3,144.65,139.7,141.9,15796800,141.9
2016-05-18,140,143.6,140,142.4,9622900,142.4
2016-05-19,142,142,136.2,137.2,10018900,137.2
2016-05-20,136.85,138.7,134.5,135.05,8781800,135.05
2016-05-23,135.8,136.4,131.3,131.8,11239800,131.8
2016-05-24,131.25,131.9,128.25,129.8,9149900,129.8
2016-05-25,131.85,134.2,130.5,133.2,9150800,133.2
2016-05-26,133.55,136.35,132.5,134.85,15954700,134.85
2016-05-27,135.9,140.8,134.4,138.6,8704200,138.6
2016-05-30,141,141.4,136.5,138.4,7009800,138.4
2016-05-31,138.7,143.45,136.8,142.8,8312100,142.8
2016-06-01,143.3,143.4,137.9,138.75,7562700,138.75
2016-06-02,138.45,142.3,137.45,141.55,6802300,141.55
2016-06-03,142,144.45,139.35,140.2,9742000,140.2
2016-06-06,140.95,144.35,140.25,143.45,8445400,143.45
2016-06-07,144.75,146.9,142.9,145.4,11139400,145.4
2016-06-08,145.95,149.4,144.25,147.95,7976100,147.95
2016-06-09,147.9,151.65,146.65,149.05,8885200,149.05
2016-06-10,148.3,150.8,145.25,146.3,6775500,146.3
2016-06-13,144.2,147.5,142.2,146.1,5251300,146.1
2016-06-14,148,149.5,147.2,148.8,6759700,148.8
2016-06-15,149.5,153.5,148.2,151.8,9172000,151.8
2016-06-16,151.25,153.7,148.5,151.6,12052900,151.6
2016-06-17,152.95,153.2,148.7,150.6,7173100,150.6
2016-06-20,147.85,152.6,147.5,151.65,9750600,151.65
2016-06-21,151.9,152.9,149.05,149.9,4510600,149.9
2016-06-22,149.55,151.6,148.3,149.1,5702500,149.1
2016-06-23,149.9,153.3,149.3,152.2,5687000,152.2
2016-06-24,144.95,147.95,140.8,147.15,14542700,147.15
2016-06-27,146.1,152.6,146.1,151.85,8394500,151.85
2016-06-28,152.45,155,150.5,154.4,9508400,154.4
2016-06-29,155,156,153.35,153.9,5909400,153.9
