"Date","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
2016-02-10,184.659,186.166,173.619,178.434,5742800,178.434
2016-02-11,177.801,180.914,165.351,167.783,5141600,167.783
2016-02-12,169.485,173.424,156.792,169.485,9125400,169.485
2016-02-15,172.16,180.087,171.187,174.494,5305700,174.494
2016-02-16,176.975,177.51,164.525,165.838,4233300,165.838
2016-02-17,163.406,168.512,158.056,167.345,4889000,167.345
2016-02-18,170.069,172.063,163.552,167.734,3044900,167.734
2016-02-19,167.248,170.944,165.449,166.47,4597200,166.47
2016-02-22,167.345,168.318,162.482,163.211,2980500,163.211
2016-02-23,162.433,163.601,157.57,158.202,3009200,158.202
2016-02-24,156.5,163.114,155.138,158.883,3345600,158.883
2016-02-25,159.564,161.461,155.625,156.16,3380600,156.16
2016-02-26,158.737,159.515,154.652,156.841,3694400,156.841
2016-02-29,158.105,161.461,151.734,154.117,7094500,154.117
2016-03-01,154.944,161.363,154.944,160.488,3270200,160.488
2016-03-02,170.215,174.154,168.415,172.354,6055000,172.354
2016-03-03,174.3,175.564,169.047,173.57,3662300,173.57
2016-03-04,174.786,180.622,170.798,179.26,4883900,179.26
2016-03-07,179.26,179.26,179.26,179.26,0,179.26
2016-03-08,178.385,181.595,173.765,174.592,4169700,174.592
2016-03-09,172.646,175.807,170.652,175.224,4733800,175.224
2016-03-10,176.051,177.51,172.452,175.078,2514500,175.078
2016-03-11,172.549,178.628,171.917,177.266,3727200,177.266
2016-03-14,179.406,181.206,178.142,180.087,2239800,180.087
2016-03-15,180.914,183.248,179.455,181.497,2707300,181.497
2016-03-16,181.886,183.54,177.753,182.47,3007200,182.47
2016-03-17,186.263,186.409,180.914,182.081,3085400,182.081
2016-03-18,182.762,185.874,181.595,185.096,2250800,185.096
2016-03-21,187.042,188.501,185.972,187.82,2037900,187.82
2016-03-22,189.473,189.473,184.513,187.868,2010000,187.868
2016-03-23,186.555,187.868,184.902,186.069,2261000,186.069
2016-03-24,186.069,186.069,186.069,186.069,0,186.069
2016-03-25,186.069,186.069,186.069,186.069,0,186.069
2016-03-28,185.777,186.604,176.002,177.218,2562600,177.218
2016-03-29,177.315,178.482,174.348,175.467,3139700,175.467
2016-03-30,177.12,183.589,176.342,182.081,2673900,182.081
2016-03-31,182.567,186.409,179.747,184.853,3992100,184.853
2016-04-01,183.832,194.336,182.567,193.218,4264400,193.218
2016-04-04,194.92,196.379,190.738,192.926,2817400,192.926
2016-04-05,192.002,193.072,179.941,181.254,4412900,181.254
2016-04-06,180.427,182.178,178.044,179.747,2929500,179.747
2016-04-07,179.941,181.595,176.002,177.072,2919500,177.072
2016-04-08,177.315,178.677,176.051,177.51,2145900,177.51
2016-04-11,178.336,182.713,175.564,182.324,3704800,182.324
2016-04-12,182.373,186.069,181.984,185.096,2816700,185.096
2016-04-13,187.285,193.85,187.285,191.273,4006500,191.273
2016-04-14,191.273,191.273,191.273,191.273,0,191.273
2016-04-15,191.273,191.273,191.273,191.273,0,191.273
2016-04-18,191.127,191.127,186.263,188.355,1641100,188.355
2016-04-19,188.355,188.355,188.355,188.355,0,188.355
2016-04-20,187.722,192.877,184.804,191.759,2936000,191.759
2016-04-21,193.607,203.771,193.607,200.27,5667500,200.27
2016-04-22,199.735,208.634,199.394,205.668,6630000,205.668
2016-04-25,206.641,207.321,198.422,201.096,3267300,201.096
2016-04-26,201.68,208.829,198.713,208.148,4155300,208.148
2016-04-27,208.051,211.455,204.938,206.106,3657800,206.106
2016-04-28,207.078,208.926,202.75,203.966,2893400,203.966
2016-04-29,204.209,205.911,195.212,200.318,3517100,200.318
2016-05-02,199.394,199.443,194.045,195.552,3601800,195.552
2016-05-03,196.963,199.394,190.251,190.932,4140600,190.932
2016-05-04,190.057,192.488,183.102,184.124,3128200,184.124
