"Date","MARICO.NS.Open","MARICO.NS.High","MARICO.NS.Low","MARICO.NS.Close","MARICO.NS.Volume","MARICO.NS.Adjusted"
2015-12-11,424.79999,431.20001,424.5,428.79999,973000,209.21148
2015-12-14,433.89999,433.89999,425,430.5,859400,210.04092
2015-12-15,434,435,430.29999,432.89999,2373900,211.21188
2015-12-16,434.89999,438,433.10001,435.54999,2572300,212.50481
2015-12-17,220.5,227.35001,218.39999,225.45,19343500,109.99704
2015-12-18,225.95,228.97501,222.5,227.3,9324400,110.89966
2015-12-21,231.39999,234.3,222.5,231.5,10922300,112.94883
2015-12-22,225,225,216.64999,221.2,4847600,215.84693
2015-12-23,222.2,225.7,221.45,222.95,2171700,217.55458
2015-12-24,224.5,229.75,222.7,226.10001,3905200,220.62835
2015-12-25,226.10001,226.10001,226.10001,226.10001,0,220.62835
2015-12-28,226.45,228,223.35001,224.3,1072000,218.87191
2015-12-29,226,226,222.89999,223.5,1217500,218.09127
2015-12-30,224.5,227.3,223.05,225.5,3092600,220.04287
2015-12-31,227,228,224.10001,226.14999,3893200,220.67713
2016-01-01,225.89999,229.75,224.39999,227.14999,275500,221.65293
2016-01-04,226.75,226.85001,223.55,225.3,549100,219.84771
2016-01-05,226,233.8,223.85001,229.64999,1173700,224.09243
2016-01-06,231,233.45,224.75,226.85001,1507100,221.3602
2016-01-07,224.05,225.7,221.8,223.7,1808300,218.28643
2016-01-08,224.5,229,224.25,228.2,942900,222.67752
2016-01-11,225,225.60001,219.05,221.5,1761500,216.13967
2016-01-12,221.55,224,219.5,221.05,1188500,215.70056
2016-01-13,221.05,226.60001,221.05,225.3,1419900,219.84771
2016-01-14,224.3,228.2,221.8,225.14999,828900,219.70133
2016-01-15,226.89999,228.89999,223.55,225.10001,650400,219.65255
2016-01-18,223,225.95,216.8,219.64999,2183600,214.33443
2016-01-19,220.75,227,220.55,224,870000,218.57917
2016-01-20,224,228.5,221.5,226.10001,2664800,220.62835
2016-01-21,227.5,229,219,219.85001,2974900,214.5296
2016-01-22,221.2,224,216.8,219.3,3104900,213.99291
2016-01-25,222.95,222.95,214,214.95,640900,209.74818
2016-01-26,214.95,214.95,214.95,214.95,0,209.74818
2016-01-27,212.05,216.39999,210.95,213.60001,1411300,208.43086
2016-01-28,211.45,215.89999,207.3,213.14999,2012000,207.99173
2016-01-29,213.25,223.95,211.60001,221.64999,2138700,216.28603
2016-02-01,225.89999,231.60001,221.05,226,3107700,220.53077
2016-02-02,226.05,227.95,220.89999,222.75,959000,217.35942
2016-02-03,220.89999,225.8,219.2,221.14999,1086200,215.79813
2016-02-04,224.7,229.89999,223.95,225.10001,1961000,219.65255
2016-02-05,224.8,229,224.05,227.95,3948700,223.92575
2016-02-08,227.05,238.14999,227.05,233.25,1782500,229.13219
2016-02-09,230,234.45,229,230.3,1527100,226.23427
2016-02-10,230.45,232.45,226.10001,228.39999,842900,224.36781
2016-02-11,231.89999,231.89999,225.39999,228.25,1885500,224.22046
2016-02-12,228,230.60001,226.8,228.25,2248700,224.22046
2016-02-15,233,233,227.05,229.14999,3516800,225.10457
2016-02-16,227.25,230.39999,220.2,221.39999,609100,217.49138
2016-02-17,223,229.5,215.60001,227.3,1085400,223.28723
2016-02-18,230.2,231.95,228,231.35001,1954500,227.26574
2016-02-19,232.45,234.39999,229.75,233.05,2913500,228.93572
2016-02-22,235,242.39999,234,241.14999,2502700,236.89272
2016-02-23,242.39999,242.39999,236,237.5,1338400,233.30716
2016-02-24,238.45,240,231.60001,236.45,1459400,232.27569
2016-02-25,234.05,243.60001,234.05,241.05,2425600,236.79449
2016-02-26,242.89999,246,236.75,237.55,912600,233.35628
2016-02-29,238.95,240,234.7,236.75,1066100,232.5704
2016-03-01,237,238.05,234.39999,235.75,1400200,231.58806
2016-03-02,236.8,240.89999,236.10001,236.95,990100,232.76687
2016-03-03,239.3,241.75,237.3,239.2,1651300,234.97715
2016-03-04,240.10001,241.95,236.5,237.25,1181000,233.06157
2016-03-07,237.25,237.25,237.25,237.25,0,233.06157
2016-03-08,237.05,241.35001,235,238.35001,931500,234.14216
2016-03-09,239.7,240.39999,236.55,238.8,1198600,234.58421
2016-03-10,240.39999,240.39999,236.60001,237.64999,986500,233.45451
2016-03-11,239,248.05,236.75,246.05,2708500,241.70622
2016-03-14,250,252.89999,249.10001,250.85001,1750500,246.42148
2016-03-15,251.75,251.75,241.5,242.89999,1749300,238.61182
2016-03-16,242.89999,242.89999,238.05,240.2,1082000,235.95949
2016-03-17,242.8,247.75,240.64999,245.5,5781800,242.17414
2016-03-18,245.8,249,240.2,247.7,2292000,244.34433
2016-03-21,243.55,250.5,243.55,247.35001,3331800,243.99908
2016-03-22,247.3,250.64999,243.95,245.05,1555600,241.73024
2016-03-23,245.2,246.45,239.95,240.8,1054300,237.53781
2016-03-24,240.8,240.8,240.8,240.8,0,237.53781
2016-03-25,240.8,240.8,240.8,240.8,0,237.53781
2016-03-28,239,242.75,235.35001,237.8,1173100,234.57845
2016-03-29,236.5,241.45,236.05,240.3,964200,237.04459
2016-03-30,244,251,240.75,247.2,1845800,243.8511
2016-03-31,247.10001,247.85001,241.05,244.3,2119800,240.9904
2016-04-01,244.55,246.39999,240.10001,242,943900,238.72155
2016-04-04,242,244.5,240,243.14999,660300,239.85597
2016-04-05,243,246.39999,240.8,245,680800,241.68091
2016-04-06,246.5,253.75,245.10001,251.89999,1541700,248.48743
2016-04-07,254.60001,254.89999,245.5,247.14999,1149800,243.80178
2016-04-08,248.5,253.5,245.35001,252.10001,1214800,248.68473
2016-04-11,253,254.64999,250.2,254.05,680400,250.60831
2016-04-12,255,259.29999,251.64999,258.20001,977400,254.7021
2016-04-13,258.20001,258.20001,250.05,251.39999,1520100,247.9942
2016-04-14,251.39999,251.39999,251.39999,251.39999,0,247.9942
2016-04-15,251.39999,251.39999,251.39999,251.39999,0,247.9942
2016-04-18,252.64999,259.35001,248.5,257.85001,1447000,254.35683
2016-04-19,257.85001,257.85001,257.85001,257.85001,0,254.35683
2016-04-20,257.85001,258.5,251.95,253.45,1144200,250.01643
2016-04-21,253.85001,260.79999,253.75,259.20001,852800,255.68855
2016-04-22,262,263.5,258,259,1068400,255.49125
2016-04-25,258,261.25,252.5,254.45,757000,251.00289
2016-04-26,254,255,251.10001,251.55,1170500,248.14218
2016-04-27,252.64999,252.64999,247.25,250,815500,246.61317
2016-04-28,251,253.89999,247.5,251.14999,2352700,247.74759
2016-04-29,253.10001,260.5,252.14999,259.10001,2361400,255.5899
2016-05-02,261.89999,268.70001,259.25,267.39999,1554800,263.77745
2016-05-03,269,269.25,253.25,254.5,2346900,251.05221
2016-05-04,254,255.8,249.75,250.5,1458200,247.1064
2016-05-05,251,252.45,245.75,246.60001,1100000,243.25924
2016-05-06,247.95,249.75,244.64999,245.2,673800,241.8782
2016-05-09,245.64999,252.2,245.64999,247.3,987800,243.94976
2016-05-10,247.35001,251.5,246.64999,250.10001,1060900,246.71183
2016-05-11,248.7,256.79999,245.95,255.3,1182100,251.84138
2016-05-12,255.7,258,253,254.3,569300,250.85492
2016-05-13,253.35001,257.39999,251.7,254.39999,686100,250.95356
2016-05-16,254.8,255.85001,249.14999,251.60001,563600,248.19151
2016-05-17,252.5,253.8,248.89999,249.39999,440400,246.0213
