"Date","CENTURYTEX.NS.Open","CENTURYTEX.NS.High","CENTURYTEX.NS.Low","CENTURYTEX.NS.Close","CENTURYTEX.NS.Volume","CENTURYTEX.NS.Adjusted"
2016-01-22,511.8,523.5,507,522.1,788700,513.7
2016-01-25,525,534,517.5,521.4,615700,513.01
2016-01-26,521.4,521.4,521.4,521.4,0,513.01
2016-01-27,523,526.55,516,519.05,408300,510.7
2016-01-28,518,519.1,506.55,508.95,918700,500.76
2016-01-29,509,526.5,503.4,524.15,858100,515.72
2016-02-01,525.5,537.3,516.75,525.5,1669600,517.05
2016-02-02,533,537.5,500.8,503.1,1109300,495.01
2016-02-03,499.95,503.95,476.4,481.9,1249100,474.15
2016-02-04,482,488,465.15,477.95,1451500,470.26
2016-02-05,480,489.45,473.85,487.65,781400,479.81
2016-02-08,488,492.3,475,476.95,810600,469.28
2016-02-09,467.5,477.5,462.6,474.5,1284800,466.87
2016-02-10,469.25,474.55,453.4,464.65,942300,457.18
2016-02-11,459,467.25,423,436.25,1074800,429.23
2016-02-12,436.6,444.35,410.1,434.55,1414600,427.56
2016-02-15,439.95,460.4,439.95,451.5,810200,444.24
2016-02-16,451.8,454.5,432.4,435.2,1221300,428.2
2016-02-17,439,440.25,419,437.6,803200,430.56
2016-02-18,442,453.15,433.5,444.9,819100,437.74
2016-02-19,444,460,439.1,454.7,855300,447.39
2016-02-22,457.5,470.25,455.25,467.45,1091000,459.93
2016-02-23,467.45,469.5,448.65,451.6,959200,444.34
2016-02-24,449,449,436.5,439.95,763500,432.87
2016-02-25,441.2,444.5,423.45,424.8,1015700,417.97
2016-02-26,428.3,434.5,423.5,425.8,819700,418.95
2016-02-29,427.9,431.4,403,419.2,887700,412.46
2016-03-01,422,441.6,420.1,437.2,1015300,430.17
2016-03-02,442.5,462,442.5,456.1,1311500,448.76
2016-03-03,460.05,474.7,456,470.25,968800,462.69
2016-03-04,471.05,474.8,460.05,467.6,838600,460.08
2016-03-07,467.6,467.6,467.6,467.6,0,460.08
2016-03-08,464,482,461.1,479.5,835400,471.79
2016-03-09,474.5,483.5,472.4,481.4,679500,473.66
2016-03-10,482,484.7,470.25,473.6,721100,465.98
2016-03-11,475,493.5,470.85,485.75,1554200,477.94
2016-03-14,489.4,493.5,484.15,488.9,816600,481.04
2016-03-15,486.5,490.65,478.6,483.15,480000,475.38
2016-03-16,481.5,488,474.5,485.25,616800,477.44
2016-03-17,490.3,499.5,483.7,486.55,754600,478.72
2016-03-18,488,516.85,486,514.05,1969100,505.78
2016-03-21,516.25,521.35,511,518.55,869000,510.21
2016-03-22,516.3,529.5,514.2,524.15,1136000,515.72
2016-03-23,523.15,526,508,519.9,1041900,511.54
2016-03-24,519.9,519.9,519.9,519.9,0,511.54
2016-03-25,519.9,519.9,519.9,519.9,0,511.54
2016-03-28,520.05,527.9,517.25,520.65,754900,512.28
2016-03-29,521.3,534.35,519.6,528.3,908700,519.8
2016-03-30,531.05,540.5,531.05,535.4,712300,526.79
2016-03-31,534,539.4,527.35,529.7,866700,521.18
2016-04-01,530,549.85,526.4,539.65,979200,530.97
2016-04-04,542.9,546,535.1,540.7,414200,532
2016-04-05,534.7,536.2,521.95,529.45,704900,520.93
2016-04-06,532,587.8,528,581.15,3556200,571.8
2016-04-07,581.5,584.4,564.55,568,2188400,558.86
2016-04-08,561.3,582.5,561.3,575.85,1221700,566.59
2016-04-11,578,597.5,575.1,590.75,1806100,581.25
2016-04-12,590,617.45,584.6,609.1,1955800,599.3
2016-04-13,614.9,627.75,611.05,615,1099600,605.11
2016-04-14,615,615,615,615,0,605.11
2016-04-15,615,615,615,615,0,605.11
2016-04-18,617,622,604.5,618.55,662100,608.6
2016-04-19,618.55,618.55,618.55,618.55,0,608.6
