"Date","ALBK.NS.Open","ALBK.NS.High","ALBK.NS.Low","ALBK.NS.Close","ALBK.NS.Volume","ALBK.NS.Adjusted"
2015-10-15,78.05,78.9,77.9,78.35,1132900,78.35
2015-10-16,78.5,78.9,77.3,78.65,1308300,78.65
2015-10-19,78.7,78.9,77.7,78.4,1198600,78.4
2015-10-20,78.5,81.2,78.35,79.85,2660800,79.85
2015-10-21,80,80.55,77.1,77.65,1769600,77.65
2015-10-22,77.65,77.65,77.65,77.65,0,77.65
2015-10-23,78.65,79.5,78.05,78.2,1514800,78.2
2015-10-26,78.9,78.9,77.15,77.3,1212400,77.3
2015-10-27,77.2,77.8,76.45,77.35,1065800,77.35
2015-10-28,77.3,77.4,74.7,75.45,1613200,75.45
2015-10-29,75.4,76.25,74.35,74.7,1839100,74.7
2015-10-30,75,76.2,74.75,75.15,2121000,75.15
2015-11-02,75,76.8,74.25,76.3,1383300,76.3
2015-11-03,76.65,77.2,75.4,75.6,1179800,75.6
2015-11-04,76.2,76.4,75.1,75.5,1200300,75.5
2015-11-05,75.55,75.7,74.25,74.4,776000,74.4
2015-11-06,74.9,75.7,73.45,74.5,1410700,74.5
2015-11-09,72,79.45,72,78.2,5267200,78.2
2015-11-10,77.7,79.65,76.1,76.6,2126900,76.6
2015-11-11,76.6,76.6,76.6,76.6,0,76.6
2015-11-12,76.6,76.6,76.6,76.6,0,76.6
2015-11-13,76.35,76.7,75,75.25,1205500,75.25
2015-11-16,74.9,76.1,74.55,75.65,1344200,75.65
2015-11-17,76.25,76.95,75.1,75.85,1625000,75.85
2015-11-18,75.8,76.55,73.6,74,1479800,74
2015-11-19,74.6,74.8,74.15,74.45,928500,74.45
2015-11-20,74.4,74.9,73.65,73.95,1411900,73.95
2015-11-23,74.1,74.5,73.7,73.9,941800,73.9
2015-11-24,73.8,74.4,73.3,73.65,1178400,73.65
2015-11-25,73.65,73.65,73.65,73.65,0,73.65
2015-11-26,73.75,74,73,73.25,1695500,73.25
2015-11-27,73.7,76.1,73.35,75.8,2376300,75.8
2015-11-30,75.85,77.7,75.6,77.2,1751900,77.2
2015-12-01,77.9,78.8,76.4,77.35,2442300,77.35
2015-12-02,77.55,77.7,75.6,75.9,807300,75.9
2015-12-03,75.5,75.7,74.6,74.8,854500,74.8
2015-12-04,74.5,75,72.95,73.1,1531900,73.1
2015-12-07,73.6,73.7,72.6,73,798600,73
2015-12-08,72.65,73.4,70.1,70.45,1399000,70.45
2015-12-09,70.7,71.3,69.15,69.45,1369100,69.45
2015-12-10,70,70.3,67.85,68.65,2110800,68.65
2015-12-11,69,69.6,67.15,67.85,1586100,67.85
2015-12-14,67.7,68.9,67.2,67.95,1419000,67.95
2015-12-15,68.15,68.4,67,67.55,991400,67.55
2015-12-16,67.9,69.4,67.65,68.05,1257000,68.05
2015-12-17,68.8,69.7,68.5,69.45,1040500,69.45
2015-12-18,69.2,71.15,68.8,70.3,1745900,70.3
2015-12-21,70,71.4,69.75,71.05,1027100,71.05
2015-12-22,71.2,71.8,69.95,70.25,1062900,70.25
2015-12-23,71,71.35,70.45,70.85,695700,70.85
2015-12-24,71.35,71.35,70.1,70.65,613900,70.65
2015-12-25,70.65,70.65,70.65,70.65,0,70.65
2015-12-28,70.65,71.4,70.65,71.15,851900,71.15
2015-12-29,71.45,71.45,69.15,69.5,1683000,69.5
2015-12-30,69.45,69.7,68.4,68.8,2151200,68.8
2015-12-31,68.8,69.6,68.2,69.15,3890700,69.15
2016-01-01,69.15,70.8,68.85,70.5,1259900,70.5
2016-01-04,70.5,70.55,67.5,68.15,1570700,68.15
2016-01-05,68.7,68.7,67.05,67.75,1214700,67.75
2016-01-06,67.75,69,67.4,68.05,1028700,68.05
2016-01-07,67.4,67.5,64.1,64.35,1999400,64.35
2016-01-08,64.85,65.3,63.9,64.65,949500,64.65
2016-01-11,63.65,64.85,62.25,63.7,1549900,63.7
2016-01-12,63.9,64.4,61,61.3,1670100,61.3
