"Date","UNIONBANK.NS.Open","UNIONBANK.NS.High","UNIONBANK.NS.Low","UNIONBANK.NS.Close","UNIONBANK.NS.Volume","UNIONBANK.NS.Adjusted"
2015-08-05,204.7,213.6,203.1,204.3,13486000,201.15
2015-08-06,202.4,215,199.1,213.7,10405400,210.4
2015-08-07,210.9,215.95,205.1,206.55,6812500,203.36
2015-08-10,205.1,211.4,204.5,206.15,4183700,202.97
2015-08-11,207.9,210.5,202.15,203.9,5263700,200.76
2015-08-12,202.9,207.3,195.75,196.7,8324100,193.67
2015-08-13,200,205,194.7,196.85,6526900,193.81
2015-08-14,199.25,208.9,192.3,207.8,7408200,204.6
2015-08-17,209.3,221.7,208.6,219.65,11428100,216.26
2015-08-18,220.75,222.7,215.4,218.35,6606700,214.98
2015-08-19,217.6,217.6,210.7,212.1,3277000,208.83
2015-08-20,208.8,214.25,198.75,201.2,5742300,198.1
2015-08-21,192.6,202,191,199.9,6151800,196.82
2015-08-24,187.9,191.95,171.25,173.4,5593100,170.73
2015-08-25,180,180,164.25,175.9,8259000,173.19
2015-08-26,175,177,169.25,170.15,3771500,167.53
2015-08-27,174.2,181.95,170,180.95,5911800,178.16
2015-08-28,185.6,185.75,172.5,175,5063700,172.3
2015-08-31,173.8,182.3,173.3,177.45,5371600,174.71
2015-09-01,174.9,176.4,165.1,167.75,4170800,165.16
2015-09-02,170,170.9,157.1,158.45,6576000,156.01
2015-09-03,160,165.4,157.9,161.6,5272700,159.11
2015-09-04,159.85,159.85,151.9,156.85,5725000,154.43
2015-09-07,156.75,160.9,152.7,153.45,3609200,151.08
2015-09-08,154,162.35,152.1,159.45,4940400,156.99
2015-09-09,163,172.65,160,170.9,7924500,168.26
2015-09-10,165.65,169.4,163.25,166.9,4380300,164.33
2015-09-11,169.9,171.15,164.55,166.05,4028400,163.49
2015-09-14,166.5,173.3,165.5,172.5,4486000,169.84
2015-09-15,172.05,174.45,168.7,169,3523000,166.39
2015-09-16,172.8,173.7,169.45,171.65,2859800,169
2015-09-17,171.65,171.65,171.65,171.65,0,169
2015-09-18,174.45,181.9,173.7,178,5994800,175.26
2015-09-21,175,182.25,173.4,181.3,4093600,178.5
2015-09-22,182.7,184.7,172.25,173.15,4676300,170.48
2015-09-23,169.95,180.65,169.1,179.6,5501200,176.83
2015-09-24,178.55,182.4,177.6,179.05,3552600,176.29
2015-09-25,179.05,179.05,179.05,179.05,0,176.29
2015-09-28,179.15,183.2,178.15,179.1,2730900,176.34
2015-09-29,177.4,185.25,172.6,180.1,8619700,177.32
