"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2015-08-12,460,466.45,456.2,461.35,601100,456.482
2015-08-13,462,473.9,459.95,462.85,668000,457.967
2015-08-14,462.6,470.95,462.6,469.4,330300,464.447
2015-08-17,469,481,465,479.45,567500,474.391
2015-08-18,483,484.9,471.6,479.9,702000,474.837
2015-08-19,479,484.95,475.55,477.6,484900,472.561
2015-08-20,476.65,483.9,469,470.05,496700,465.091
2015-08-21,465,468,461,464.05,271500,459.154
2015-08-24,454.2,454.9,395.3,409.7,1032300,405.377
2015-08-25,419.8,429.9,395.55,427.1,1046500,422.594
2015-08-26,429,433,418,424.9,448200,420.417
2015-08-27,430,443.9,428.3,437.35,1143600,432.736
2015-08-28,448.75,448.75,438.3,441.6,409200,436.941
2015-08-31,438,451.35,437.2,443.8,303900,439.118
2015-09-01,442.8,447.4,431.7,436.95,438900,432.34
2015-09-02,439.7,441.7,428.3,436.85,411300,432.241
2015-09-03,439.7,442.35,434.5,439.7,261000,435.061
2015-09-04,439,440,422.05,428.25,357300,423.732
2015-09-07,428,434.25,426.45,428.1,350400,423.583
2015-09-08,429.1,437,420.1,434.4,450300,429.817
2015-09-09,438,439.9,434,436.35,352600,431.746
2015-09-10,433,436.7,429.6,434.9,217800,430.311
2015-09-11,435.5,442.75,434.35,436.8,184000,432.191
2015-09-14,437.5,449,435.35,447.45,313800,442.729
2015-09-15,448,453.55,444.15,448.15,366700,443.422
2015-09-16,451.5,453.75,442.9,444.8,352400,440.107
2015-09-17,444.8,444.8,444.8,444.8,0,440.107
2015-09-18,448.8,452.5,438.9,440.85,294300,436.199
2015-09-21,438,442.4,437.1,440,276600,435.358
2015-09-22,439.8,448.5,431.8,435.85,491100,431.251
2015-09-23,434,441.8,432,439.45,240000,434.813
2015-09-24,438.4,445.8,434.8,437,426600,432.389
2015-09-25,437,437,437,437,0,432.389
2015-09-28,438.8,447.5,435,442.65,277100,437.98
2015-09-29,438.3,442,433.25,436.75,363700,432.142
2015-09-30,440.9,446.9,436.9,444.6,233600,439.909
2015-10-01,446.5,453,444.7,448.3,265600,443.57
2015-10-02,448.3,448.3,448.3,448.3,0,443.57
2015-10-05,454.3,456,450,451.6,259100,446.835
2015-10-06,453,455.7,448.1,449,209400,444.263
2015-10-07,449,452.8,444.05,445.3,211000,440.602
2015-10-08,445.4,449.35,440.6,443.5,219800,438.821
2015-10-09,445.9,447.2,441.5,443.35,174900,438.672
2015-10-12,448.45,448.45,438.05,439.05,216200,434.418
2015-10-13,439,441.4,435.6,437.85,278800,433.23
2015-10-14,438,445,436.25,441.85,185300,437.188
2015-10-15,445.6,445.9,438.5,440.3,193500,435.654
2015-10-16,443.8,452.5,441,451,478800,446.242
2015-10-19,453.05,459.8,449.55,457.75,401100,452.92
2015-10-20,459.3,464.5,456,457.3,683300,452.475
2015-10-21,461,465,451.05,452.5,1603600,447.726
2015-10-22,452.5,452.5,452.5,452.5,0,447.726
2015-10-23,456,457.1,446.6,447.5,296300,442.779
2015-10-26,447.5,450.75,443.3,445.8,294100,441.096
2015-10-27,446.9,446.9,442.85,445.65,191800,440.948
2015-10-28,443.8,454.8,443.25,452.4,399000,447.627
2015-10-29,452.7,454.15,449.2,451.7,569600,446.934
2015-10-30,452.2,457.8,449.55,454.95,265100,450.15
2015-11-02,455.8,457.9,448.25,451.45,265800,446.687
2015-11-03,452.1,457,450.65,452.8,235400,448.023
2015-11-04,454.1,456.4,448.6,450.65,188800,445.895
2015-11-05,449.9,451.5,438,441.8,223700,437.139
2015-11-06,441,443,436.15,441.85,163600,437.188
2015-11-09,436,457.8,433.85,454.8,250400,450.002
2015-11-10,451.6,453.45,436.9,437.9,175000,433.28
2015-11-11,437.9,437.9,437.9,437.9,0,433.28
2015-11-12,437.9,437.9,437.9,437.9,0,433.28
2015-11-13,438,446,436.25,443.65,230400,438.969
2015-11-16,443.6,448,440.25,444.55,178700,439.86
2015-11-17,446.2,448.4,438.95,444.2,322400,439.513
2015-11-18,444,452.9,443,450.5,299100,445.747
2015-11-19,453,456.25,448.8,454.55,299900,449.754
2015-11-20,454,459,452.1,453.8,225900,449.012
2015-11-23,454.2,459.7,452.8,457.75,245600,452.92
2015-11-24,456.9,458,452.45,455.4,255600,450.595
2015-11-25,455.4,455.4,455.4,455.4,0,450.595
2015-11-26,460,464,455.6,459.95,790700,455.097
2015-11-27,461,466.95,457.4,464.8,256300,459.896
2015-11-30,468,470,459.5,461.65,380700,456.779
2015-12-01,462.5,468.3,459.55,467.3,234700,462.37
2015-12-02,469.8,475,462.45,472.5,296800,467.515
2015-12-03,474.8,474.8,465.25,467.05,291800,462.122
2015-12-04,464.05,468.6,461.3,463.75,236100,458.857
2015-12-07,464,473.3,464,470.35,368700,465.387
2015-12-08,468.8,470,458,459.05,226900,454.207
2015-12-09,459.2,467.75,456.85,463.4,588100,458.511
2015-12-10,469.05,475,461.5,473.25,664100,468.257
2015-12-11,471.65,473.5,465,467.7,360300,462.765
2015-12-14,465,475,464.6,472.85,277400,467.861
2015-12-15,471.3,477.8,469.2,472.25,437100,467.267
2015-12-16,473.3,476,469.8,470.45,261900,465.486
2015-12-17,471.7,485,470,482.25,484400,477.162
2015-12-18,483.3,486.55,479.3,480.55,350400,475.48
2015-12-21,484.6,485.65,477.25,484.5,388000,479.388
2015-12-22,485,488.15,480.5,484.1,421300,478.992
2015-12-23,485,487,481,482.4,309300,477.31
2015-12-24,486.1,513.9,483.3,508.05,3138200,502.69
2015-12-25,508.05,508.05,508.05,508.05,0,502.69
2015-12-28,511.1,515.5,505.1,508.55,1174100,503.184
2015-12-29,511.05,514,505,506.65,764100,501.304
2015-12-30,506.6,522.7,506.25,513.95,1643100,508.527
2015-12-31,517,522.75,515.6,518.1,964000,512.634
2016-01-01,520.95,528.5,515.7,521.2,782900,515.701
2016-01-04,519.75,541.55,515.6,534.2,1267500,528.564
2016-01-05,543,544.55,532.5,534.15,1103600,528.514
