"Date","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
2015-09-18,563.35,568.9,557,559.15,125500,554.9355
2015-09-21,560.1,563.95,555,561.6,99100,557.367
2015-09-22,564,567.7,547,552.55,132000,548.3852
2015-09-23,550,563,548.45,554.6,245000,550.4197
2015-09-24,553.1,562.7,550.3,554.8,268000,550.6182
2015-09-25,554.8,554.8,554.8,554.8,0,550.6182
2015-09-28,554.15,561.5,553,553.9,120400,549.725
2015-09-29,546.5,560.5,546.5,556.3,175900,552.1069
2015-09-30,557.45,571,556.4,567.85,187400,563.5698
2015-10-01,569.25,583.2,567,580,335000,575.6283
2015-10-02,580,580,580,580,0,575.6283
2015-10-05,584.9,585.5,575,579,291400,574.6358
2015-10-06,579.7,581.35,572.55,579.65,361500,575.281
2015-10-07,581,583.4,570.75,572.5,229600,568.1848
2015-10-08,575.2,578.5,563,574.9,277500,570.5668
2015-10-09,576,583.55,570.5,578.85,390100,574.4869
2015-10-12,579.55,582.2,573,573.85,99800,569.5246
2015-10-13,573.8,578.6,570.5,575.7,146400,571.3607
2015-10-14,575,581.9,573.5,577.85,105900,573.4945
2015-10-15,579.95,589.9,577.05,579.7,428500,575.3306
2015-10-16,582.4,582.45,578.6,579.3,203500,574.9336
2015-10-19,579,586.55,576,578.75,140800,574.3877
2015-10-20,579.5,583.65,575.5,578.25,173800,573.8915
2015-10-21,578,581.95,572.5,573.7,82900,569.3758
2015-10-22,573.7,573.7,573.7,573.7,0,569.3758
2015-10-23,575.4,578,568.8,570.9,111100,566.5969
2015-10-26,571,576,569.05,572.75,134800,568.4329
2015-10-27,571.3,577.8,566.05,570.15,201000,565.8526
2015-10-28,571.35,574.9,558,564.2,251500,559.9474
2015-10-29,575,577.8,566.2,569.45,421600,565.1578
2015-10-30,573.9,573.9,555,561.6,173400,557.367
2015-11-02,565.35,576.8,555.65,573.6,344200,569.2765
2015-11-03,578,579.9,568,569.65,238700,565.3563
2015-11-04,572,574.25,559.25,561.95,155600,557.7144
2015-11-05,559.5,560.35,545.1,547.2,193100,543.0755
2015-11-06,548,550.85,536.4,540.2,244900,536.1283
2015-11-09,535,549,530,546.55,194400,542.4304
2015-11-10,547.45,549,529.95,530.9,211700,526.8984
2015-11-11,530.9,530.9,530.9,530.9,0,526.8984
2015-11-12,530.9,530.9,530.9,530.9,0,526.8984
2015-11-13,536.85,536.85,523.05,530.8,180400,526.7991
2015-11-16,533.5,541.95,530.65,532.9,136400,528.8833
2015-11-17,537.9,538.25,529.35,536.35,121100,532.3073
2015-11-18,537,541.35,531.1,533.95,106400,529.9254
2015-11-19,536,540,533.2,537.35,153000,533.2997
2015-11-20,538,554,536,551.85,567200,547.6904
2015-11-23,556,557.4,540.5,544.15,347600,540.0485
2015-11-24,542.2,545.65,538.75,542.9,153200,538.808
2015-11-25,542.9,542.9,542.9,542.9,0,538.808
2015-11-26,545,545,535.15,537.8,780700,533.7464
2015-11-27,543,552.25,536.1,549.75,575900,545.6063
2015-11-30,549.95,562.1,544.35,558,250500,553.7941
2015-12-01,564,564.85,551.65,553.6,266000,549.4273
2015-12-02,553.9,555,548,551.7,167300,547.5416
2015-12-03,551.7,558.55,549.55,551.5,266200,547.3431
2015-12-04,549.7,556.4,548.2,553.05,101500,548.8814
2015-12-07,555,559.25,550.3,556.25,231800,552.0573
2015-12-08,555.55,556,544,546.65,160700,542.5297
2015-12-09,540,552.8,529.95,535.55,586800,531.5133
2015-12-10,536.9,541,531.15,535.1,398400,531.0667
2015-12-11,535,536.5,526.1,527.4,571700,523.4248
2015-12-14,524.1,534.95,520.3,531.5,500500,527.4939
2015-12-15,536,539.5,528.5,538.1,433100,534.0441
2015-12-16,538.1,551.45,537.7,545.1,347300,540.9913
2015-12-17,547,549,540.5,543.8,604000,539.7011
2015-12-18,544.1,550,538.5,540.05,243300,535.9794
2015-12-21,540.1,544,536,542,392500,537.9147
2015-12-22,542,544.95,540,541.65,71800,537.5674
2015-12-23,544,553.45,542.1,549.35,578600,545.2093
2015-12-24,551.1,557,549.45,553.4,195800,549.2288
2015-12-25,553.4,553.4,553.4,553.4,0,549.2288
2015-12-28,554,562.3,553.2,554.7,257200,550.519
2015-12-29,554,554.6,548,549.4,784500,545.259
2015-12-30,550,551.95,545.05,550.4,730100,546.2514
2015-12-31,552,560.7,550.2,552.45,227600,548.286
2016-01-01,552.9,559.95,552.25,555.5,104700,551.313
2016-01-04,555.45,564,550.2,557.6,735300,553.3971
2016-01-05,559.3,571,554.25,567.6,355300,563.3217
2016-01-06,568.5,570.8,561.5,562.9,406800,558.6572
2016-01-07,562,562.4,554,556.7,293900,552.5039
2016-01-08,562,564,554.65,557.15,189000,552.9505
2016-01-11,556.9,561.95,549.5,551.85,144100,547.6904
2016-01-12,551.25,556.85,541.55,546.05,970700,541.9342
2016-01-13,549,551.9,536.65,549.45,265800,545.3086
2016-01-14,548.9,559,541.45,556.95,1166400,552.752
2016-01-15,558,561.9,553,555.95,574200,551.7596
2016-01-18,552,554.75,535.05,539.45,539500,535.3839
2016-01-19,543.9,544.15,531.6,539.75,354800,535.6817
2016-01-20,535.1,537.95,528.5,534.75,653400,530.7194
2016-01-21,540,543.2,529.25,530.25,483700,526.2533
2016-01-22,536,545,534,540.2,317400,536.1283
2016-01-25,548,548,538.4,544.05,247300,539.9493
2016-01-26,544.05,544.05,544.05,544.05,0,539.9493
2016-01-27,548.85,565.45,545.1,563.55,776300,559.3023
2016-01-28,569,575.9,554.1,556.8,383600,552.6031
2016-01-29,561.9,571.8,556.05,566.25,205500,561.9819
2016-02-01,580,580,566.85,569.75,391700,565.4556
2016-02-02,569.9,585.85,568.15,570.25,671400,565.9518
2016-02-03,569.4,574.8,558,567,200500,562.7263
2016-02-04,574.9,586.5,568,582.45,368700,578.0598
2016-02-05,585.5,598,585,596.95,449300,592.4505
2016-02-08,598.7,613,596.7,601,605500,596.47
