"Date","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
2016-06-13,745,756,741.7,753.65,2065100,736.9467
2016-06-14,755,764.95,744.05,752.4,1646300,735.7244
2016-06-15,751,757.3,749.95,755.2,979200,738.4624
2016-06-16,752.55,754,742.5,751.7,1133100,735.0399
2016-06-17,750,755,747.85,753.65,2717000,736.9467
2016-06-20,749.95,781.45,747.85,770.65,4132600,753.5699
2016-06-21,768.5,775.8,766.2,770.1,1466400,753.0321
2016-06-22,774,774,766.3,770.45,1567000,753.3744
2016-06-23,770,772,762,769.8,1292200,752.7387
2016-06-24,743.95,746.7,723.3,741.85,3081600,725.4082
2016-06-27,730.2,749,721,735.05,1443700,718.7589
2016-06-28,729,737.5,711.15,713.2,2842600,697.3932
2016-06-29,715.7,729.95,708,728.45,2483200,712.3052
2016-06-30,729.2,735.45,726.4,730.45,2396900,714.2609
2016-07-01,735,736.8,730,731.7,1011800,715.4832
2016-07-04,735,750,734.05,748.35,1631800,731.7641
2016-07-05,748,748,732.2,738.4,1867800,722.0347
2016-07-06,738.4,738.4,738.4,738.4,0,722.0347
2016-07-07,741,741,715.75,717.1,3432500,701.2067
2016-07-08,715,725.75,715,721.85,851300,705.8515
2016-07-11,722,726.6,715.05,716.8,2124300,700.9134
2016-07-12,718,723.3,716.05,721.35,1614900,705.3625
2016-07-13,722.5,724,716.6,720,3356500,704.0425
2016-07-14,721.5,729.9,719.6,728.25,1084300,712.1096
2016-07-15,732.9,740,710.25,717.5,2967500,701.5979
2016-07-18,722.2,724.7,715,722.5,928600,706.4871
2016-07-19,717.75,731.7,717.75,730.15,1734700,713.9676
2016-07-20,724.9,731.9,716.6,730,1222200,713.8209
2016-07-21,730,730.9,720.15,723.55,885000,707.5138
2016-07-22,725,730,721.6,729.2,914300,713.0386
2016-07-25,729.5,741,725,740.4,1488300,723.9904
2016-07-26,738.9,747.4,736.25,745.25,1349100,728.7329
2016-07-27,747,754.9,742.5,753.5,1677200,736.8
2016-07-28,757.5,758.95,746.1,750.8,2277000,734.1598
2016-07-29,749,758,745.5,752.95,847300,736.2622
2016-08-01,753,791,752.5,780.45,3026500,763.1527
2016-08-02,785.85,804.9,781.15,800.75,4700000,783.0028
2016-08-03,857,858.5,816.35,826.15,9552500,807.8399
2016-08-04,833,836,820.1,823.85,1485800,805.5908
2016-08-05,824.8,831.45,817.3,821.75,1300300,803.5374
2016-08-08,822,829.4,811.6,819.1,1514500,800.9461
2016-08-09,821,824.6,811.05,816.85,1240300,798.746
2016-08-10,816.75,820,805.55,818.15,1152600,805.937
2016-08-11,820,827.45,813.8,824.55,1739600,812.2415
2016-08-12,826.05,835.5,807,814.2,1651500,802.046
2016-08-15,814.2,814.2,814.2,814.2,0,802.046
2016-08-16,813.2,823.8,785.55,792.35,2244700,780.5221
2016-08-17,790,800.85,782,784.55,2367800,772.8386
2016-08-18,789.8,792.4,780.1,785.8,1541700,774.0699
2016-08-19,785,794.4,779.6,781.85,1309100,770.1789
2016-08-22,784.95,787.35,765,772.25,1346700,760.7222
2016-08-23,776,795.85,771.6,791,1707600,779.1923
2016-08-24,795,798.35,781.1,790.35,1208700,778.552
2016-08-25,798,805,794.05,798.05,2212900,786.137
2016-08-26,798,800.45,772.8,778.75,1662000,767.1252
2016-08-29,782.95,782.95,751.1,755.1,1530400,743.8282
2016-08-30,756,775.75,753.9,773.9,2160200,762.3476
2016-08-31,774,793.45,773.05,778.55,2792100,766.9281
2016-09-01,781.3,789.55,779.1,783.8,1298700,772.0998
2016-09-02,786.95,787.5,779.1,784.55,1131800,772.8386
2016-09-05,784.55,784.55,784.55,784.55,0,772.8386
2016-09-06,780.25,788.3,774.7,785.6,1522200,773.8729
2016-09-07,791.9,807,783,787.1,1789600,775.3505
2016-09-08,781.5,781.9,750.5,773.95,2579300,762.3968
2016-09-09,774,789.5,773,780.55,1467000,768.8983
2016-09-12,772,792.1,770,782.7,2385200,771.0162
2016-09-13,782.7,782.7,782.7,782.7,0,771.0162
2016-09-14,784.65,794.65,775,776.35,1623500,764.761
2016-09-15,782.95,784.5,775,779,953400,767.3714
2016-09-16,782,790.95,774,786.35,2159400,774.6117
2016-09-19,790,798.2,781.9,789.05,1883200,777.2714
2016-09-20,794.95,795.75,784.5,792.05,1515600,780.2266
2016-09-21,793.95,798,788.5,792.6,1403000,780.7684
2016-09-22,799,799.95,783.8,788.85,1117300,777.0744
2016-09-23,794.65,804,792.4,797.25,2605700,785.349
2016-09-26,795.05,796.95,785.65,788.95,1825900,777.1729
2016-09-27,788.95,799.8,784,795.85,1631500,783.9699
2016-09-28,798,801.9,790,796.3,1533100,784.4132
