"Date","BHARTIARTL.NS.Open","BHARTIARTL.NS.High","BHARTIARTL.NS.Low","BHARTIARTL.NS.Close","BHARTIARTL.NS.Volume","BHARTIARTL.NS.Adjusted"
2016-01-20,308.5,313.85,302.8,309.6,5073800,308.385
2016-01-21,313,313.4,303.65,309.3,3084200,308.086
2016-01-22,311.1,311.2,291.55,298.7,5321000,297.527
2016-01-25,299.85,300.95,292.55,297.5,3136000,296.332
2016-01-26,297.5,297.5,297.5,297.5,0,296.332
2016-01-27,297.5,299.5,291.8,297.8,5087500,296.631
2016-01-28,294.3,295.85,288.35,291.4,6381300,290.256
2016-01-29,289.4,297.3,282.3,289.9,6645400,288.762
2016-02-01,292.2,298,291.2,296.6,3988400,295.436
2016-02-02,296.6,304,295.7,302.2,4333800,301.014
2016-02-03,300.7,301.8,296.15,299.8,4716200,298.623
2016-02-04,303.8,305.8,301.6,304.25,3074300,303.056
2016-02-05,302.1,308.5,302.05,307.2,2385900,305.994
2016-02-08,308.35,313.5,305.6,311,2481200,309.779
2016-02-09,309,313.95,307,312.25,2835300,311.024
2016-02-10,311,314.95,308.5,311.3,9174800,310.078
2016-02-11,305,315.5,304.45,308.7,5876800,307.488
2016-02-12,312.5,330,307.5,324.55,3649500,323.276
2016-02-15,328.55,329.9,316.45,318.9,5061000,317.648
2016-02-16,322.35,324.9,313.75,315.3,2623500,314.062
2016-02-17,313.5,321.6,308.6,319.55,3582100,318.296
2016-02-18,323,323.1,316.05,321.2,2315300,319.939
2016-02-19,320.5,327.95,316.75,326.05,5373100,324.77
2016-02-22,324.5,334.9,322,329.1,3113900,327.808
2016-02-23,333,333,318.1,321.3,4900600,320.039
2016-02-24,318.15,325.55,317.65,323.95,2274100,322.678
2016-02-25,324.95,325.45,318,322.55,8613200,321.284
2016-02-26,324.85,324.85,317,317.95,6367000,316.702
2016-02-29,317,322.35,313.05,315.5,3594700,314.262
2016-03-01,315.55,322.3,310.25,320.7,4353500,319.441
2016-03-02,322,327.75,321,326.35,2964800,325.069
2016-03-03,328.4,334.95,324,333.4,2942600,332.091
