"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2015-09-11,283,284.29999,280.5,281.79999,690400,278.4145
2015-09-14,283,284.04999,280.14999,281.70001,419200,278.31573
2015-09-15,280.85001,285,280.25,282.29999,553800,278.90849
2015-09-16,284,284.95001,272.5,273.89999,2462700,270.60942
2015-09-17,273.89999,273.89999,273.89999,273.89999,0,270.60942
2015-09-18,275.45001,278.5,269.64999,275.25,3991400,271.9432
2015-09-21,276,280.35001,273.60001,279.04999,2478500,275.69754
2015-09-22,280.10001,280.95001,273.60001,277.95001,2699700,274.61078
2015-09-23,273.04999,278.35001,273.04999,275.85001,1033900,272.536
2015-09-24,276.5,277.04999,273.39999,274.85001,2438000,271.54802
2015-09-25,274.85001,274.85001,274.85001,274.85001,0,271.54802
2015-09-28,276.70001,276.70001,273.25,274.54999,682300,271.2516
2015-09-29,273.60001,275.25,271.95001,274.75,1076900,271.44921
2015-09-30,278,278,274.79999,276,2843800,272.68419
2015-10-01,277.5,279.70001,275.25,278.70001,1383800,275.35177
2015-10-02,278.70001,278.70001,278.70001,278.70001,0,275.35177
2015-10-05,281.45001,286.75,274.64999,275.10001,2503200,271.79501
2015-10-06,276.5,278.79999,275,276.89999,2333100,273.57337
2015-10-07,277.29999,282.29999,274.10001,279.60001,2288500,276.24095
2015-10-08,280,280,275.79999,277.79999,700700,274.46256
2015-10-09,278.20001,281.60001,277.20001,279.85001,1003100,276.48795
2015-10-12,280.10001,283.60001,278.10001,279,886500,275.64815
2015-10-13,279.70001,279.70001,270.5,271,2078100,267.74426
2015-10-14,271.75,274.20001,270.85001,272.79999,602900,269.52263
2015-10-15,273,274.54999,271,271.79999,623900,268.53464
2015-10-16,272,273.10001,271.10001,272.64999,450500,269.37443
2015-10-19,275,275.29999,271.54999,272.45001,652000,269.17685
2015-10-20,273,273,269.64999,271.04999,805900,267.79365
2015-10-21,271.85001,271.85001,268.79999,270.25,648200,267.00327
2015-10-22,270.25,270.25,270.25,270.25,0,267.00327
2015-10-23,271.29999,272.70001,262,262.89999,1925400,259.74157
