"Date","CESC.NS.Open","CESC.NS.High","CESC.NS.Low","CESC.NS.Close","CESC.NS.Volume","CESC.NS.Adjusted"
2015-12-10,516,525.45,512.25,514.1,740900,497.57
2015-12-11,512.3,528.35,505.55,517.15,641600,500.53
2015-12-14,516,521.8,508.4,517.8,458900,501.16
2015-12-15,515,523.95,514.35,518.65,445600,501.98
2015-12-16,520,521,494.45,502.2,1526400,486.06
2015-12-17,503.5,511,498.05,508.7,663200,492.35
2015-12-18,508.2,512.45,504.5,508.1,740100,491.77
2015-12-21,509,511,500.05,509.1,371000,492.73
2015-12-22,512,512,507,510,662000,493.61
2015-12-23,512.3,514,504.1,510.5,495600,494.09
2015-12-24,513,525,510.5,522.9,1093900,506.09
2015-12-25,522.9,522.9,522.9,522.9,0,506.09
2015-12-28,528.1,528.85,515.05,516.35,607000,499.75
2015-12-29,518,519.65,508.65,511.6,348900,495.15
2015-12-30,515,520.95,512.1,518.2,283300,501.54
2015-12-31,518,519.5,509,513.6,465600,497.09
2016-01-01,513.6,521.95,513.4,517.45,289700,500.82
2016-01-04,517.45,526.5,513.8,522.55,473700,505.75
2016-01-05,523.5,525.45,515,516.2,278400,499.61
2016-01-06,518.05,519.5,510,512.4,268300,495.93
2016-01-07,510.05,510.05,482.3,490.2,684700,474.44
2016-01-08,491.45,499.4,490.25,494.05,231100,478.17
2016-01-11,491.2,496,486.1,490.25,197400,474.49
2016-01-12,490.5,498.45,488.4,493,352300,477.15
2016-01-13,495,496.95,465,480.95,438100,465.49
2016-01-14,472.7,472.9,460.95,462.75,261900,447.87
2016-01-15,462.75,469,450.2,453.25,458400,438.68
2016-01-18,451.9,457.6,441.55,444.75,1334700,430.45
2016-01-19,444,473,442.15,457,509000,442.31
2016-01-20,452.4,452.4,436.25,444.15,626300,429.87
2016-01-21,449,457.35,436.9,440.45,250800,426.29
2016-01-22,444,455,440.55,448.75,875000,434.32
2016-01-25,452.5,456.9,426.8,431.55,1157300,417.68
2016-01-26,431.55,431.55,431.55,431.55,0,417.68
2016-01-27,430.6,449.1,428.35,447.15,889800,432.78
2016-01-28,450,452.9,438.65,448.45,1414900,434.03
2016-01-29,448.5,455.75,442.6,452.3,860800,437.76
2016-02-01,456.05,456.05,446.5,450.35,271000,435.87
2016-02-02,452.5,453,438.75,441.95,358000,427.74
2016-02-03,435.3,448.4,426.55,439.3,494500,425.18
2016-02-04,445,448.45,431.95,435.35,361500,421.36
2016-02-05,440,451.45,436,449.8,557500,435.34
2016-02-08,452,458.2,445.45,447.4,614000,433.02
2016-02-09,447,450.5,427.5,432.2,563600,418.31
2016-02-10,423,442,412.5,439.65,1054800,425.52
2016-02-11,438.5,444.8,412,417.7,481300,404.27
2016-02-12,419.25,427.2,404.55,416.6,520500,403.21
2016-02-15,421.8,434.5,420,431.85,365500,417.97
2016-02-16,433.9,438,422.05,424.65,734500,411
2016-02-17,424,434.05,408.75,432.1,439800,418.21
2016-02-18,438,442.65,422.6,429.65,589600,415.84
2016-02-19,427.95,436.65,422.4,433.4,300800,419.47
2016-02-22,439,450.4,432.05,447.45,323500,433.07
2016-02-23,449.8,453.1,441.4,446.35,418900,432
2016-02-24,445.95,445.95,432.1,438.65,399300,424.55
2016-02-25,440,441,428.4,430.95,443100,417.1
2016-02-26,431.35,444.2,421.3,434.75,493200,420.77
2016-02-29,434.25,444,425.4,437.2,450500,423.15
2016-03-01,442,453,438,451.35,307500,436.84
2016-03-02,454,465.35,453.95,460.4,469300,445.6
2016-03-03,461.15,469,453,459.95,391500,445.16
2016-03-04,462.9,464.95,455.6,458.55,198700,443.81
2016-03-07,458.55,458.55,458.55,458.55,0,443.81
2016-03-08,458.55,474.75,458,468.05,343800,453
2016-03-09,467.75,478,462,476.4,291500,461.09
2016-03-10,478,481.5,467,468.7,236600,453.63
2016-03-11,469,473.65,457.45,461.35,426300,446.52
2016-03-14,463,468.9,455.8,464.75,288600,449.81
2016-03-15,464.5,483.5,462.8,479.8,546600,464.38
2016-03-16,481,485.85,468.05,477.85,543400,462.49
2016-03-17,475.9,475.9,459.55,463.5,256000,458.19
2016-03-18,463.5,476.8,462.95,474.15,263300,468.72
2016-03-21,474.5,482.7,470.1,475.3,265600,469.85
2016-03-22,475,482,474.15,480.1,339000,474.6
2016-03-23,482.95,486,471,472.55,351200,467.14
2016-03-24,472.55,472.55,472.55,472.55,0,467.14
2016-03-25,472.55,472.55,472.55,472.55,0,467.14
2016-03-28,474.5,476.25,461.05,462.45,316400,457.15
2016-03-29,465.9,465.9,454.5,459.8,394300,454.53
2016-03-30,460.1,471.95,460.1,470.3,204700,464.91
2016-03-31,475,477,468.05,472.7,624700,467.28
2016-04-01,471.45,477.2,466.35,473.95,214000,468.52
2016-04-04,473.5,482,472.7,474.65,389500,469.21
2016-04-05,474.4,481.8,471.05,472.3,421500,466.89
2016-04-06,474.9,475.3,467.55,471.5,106000,466.1
2016-04-07,472,477.8,468.5,471.65,377100,466.25
2016-04-08,476.65,476.65,470,472.95,102300,467.53
2016-04-11,476.95,479.3,471.5,475.9,163000,470.45
2016-04-12,477,498.4,475.5,491.15,629700,485.52
2016-04-13,495,505,495,498.15,486700,492.44
2016-04-14,498.15,498.15,498.15,498.15,0,492.44
2016-04-15,498.15,498.15,498.15,498.15,0,492.44
2016-04-18,495,510.95,493,505.85,390200,500.05
2016-04-19,505.85,505.85,505.85,505.85,0,500.05
2016-04-20,507,536,505.3,525.95,1019200,519.92
2016-04-21,526.6,531.8,517.15,519.1,311900,513.15
2016-04-22,517.7,538,515.8,535.5,448800,529.36
2016-04-25,542.9,551.5,535,547.7,675600,541.42
2016-04-26,546.7,550.85,538.9,547.35,306400,541.08
2016-04-27,548.8,556.25,542.05,553.3,386900,546.96
2016-04-28,553.3,557,528.75,534.65,936600,528.52
2016-04-29,530,540.5,526.25,538.5,334100,532.33
2016-05-02,534.1,546.8,533,542.1,293900,535.89
2016-05-03,538.5,551,532.5,535.3,212000,529.17
2016-05-04,535,542,528.35,530.5,191200,524.42
2016-05-05,533.9,533.95,520,524.2,240000,518.19
2016-05-06,524,544.6,519.5,542.4,366500,536.19
2016-05-09,546.95,548.7,534.75,538.4,317000,532.23
2016-05-10,539.75,546.7,531.8,533.6,213400,527.49
2016-05-11,529.8,539.9,524.3,532.35,304700,526.25
2016-05-12,535,540.55,528.15,535.5,302300,529.36
2016-05-13,535,545,532.8,542.2,306100,535.99
2016-05-16,538,543.55,532.3,534.1,142300,527.98
2016-05-17,540.1,543,535.25,538.15,310200,531.98
2016-05-18,536.95,555,535.2,546.45,718500,540.19
2016-05-19,547.7,554.5,534.5,551.9,1330000,545.58
2016-05-20,557,561,549,555.15,525500,548.79
2016-05-23,562.4,571.95,546.75,567.8,384200,561.29
2016-05-24,569.95,577,558,560.5,423400,554.08
2016-05-25,564.15,568,553.75,559.05,506400,552.64
2016-05-26,559,563.5,555.2,559.05,459400,552.64
2016-05-27,559,567,555.45,562.35,279900,555.91
2016-05-30,563.7,563.7,552.35,556.65,189500,550.27
2016-05-31,553.25,559.2,542.95,544.5,462500,538.26
2016-06-01,545,548.85,539.2,542.45,240200,536.23
2016-06-02,543,543,530.8,538.05,421500,531.88
2016-06-03,538.6,558.8,538.6,548.4,622800,542.12
2016-06-06,549.4,564.8,549,561.3,580400,554.87
2016-06-07,562.7,566,550.1,554.65,448600,548.29
2016-06-08,555.1,559.3,549.5,556.2,369200,549.83
2016-06-09,556.9,563.9,554.95,556.3,148000,549.93
2016-06-10,556.65,566.25,556.65,565.05,416600,558.58
2016-06-13,561.25,564.2,548.45,552.35,317000,546.02
2016-06-14,555.6,557.9,551,553,293900,546.66
2016-06-15,554.05,582.5,553.75,577.6,594300,570.98
2016-06-16,582.75,587.95,572.65,578.6,593500,571.97
2016-06-17,583.95,586.7,576.55,581.1,237000,574.44
2016-06-20,580,580.4,575,577.2,154100,570.59
2016-06-21,577.9,583.8,566.55,580.85,395300,574.19
2016-06-22,588.7,592.25,572.05,575.8,693900,569.2
2016-06-23,574,577,567.4,569.6,164000,563.07
2016-06-24,557.55,578.9,547.45,575.8,446000,569.2
2016-06-27,570,581.5,570,579.85,506200,573.21
2016-06-28,575,587.3,573.05,584.55,299200,577.85
2016-06-29,587,588.95,580.5,585,283600,578.3
2016-06-30,586,600,585,596.85,647700,590.01
2016-07-01,598.3,605.85,595,598.4,493600,591.54
2016-07-04,599.1,619.1,597.2,616.5,384100,609.44
2016-07-05,615.1,619.4,602.05,604.5,191500,597.57
2016-07-06,604.5,604.5,604.5,604.5,0,597.57
2016-07-07,609.9,616,606,611.25,338400,604.25
2016-07-08,615.8,619.45,604.3,609.35,347500,602.37
2016-07-11,612.35,616.9,605.75,607.7,315700,600.74
