"Date","PVR.NS.Open","PVR.NS.High","PVR.NS.Low","PVR.NS.Close","PVR.NS.Volume","PVR.NS.Adjusted"
2015-10-06,840.75,851,829,846,217800,844.57
2015-10-07,849.9,860.05,833.2,838.7,81900,837.28
2015-10-08,845.9,845.9,826.2,834.6,120200,833.19
2015-10-09,851.95,853,825,828.3,61200,826.9
2015-10-12,832,839.95,815,823.4,76800,822.01
2015-10-13,811.6,838,811.6,829.95,88300,828.54
2015-10-14,834.95,842,827.15,838.3,62600,836.88
2015-10-15,841.65,851.95,837.4,849.2,57600,847.76
2015-10-16,851,875,850.25,853,516900,851.56
2015-10-19,857,861,851.1,854.5,118100,853.05
2015-10-20,862,862,841.5,852.75,92700,851.31
2015-10-21,854.05,855.5,846,849.3,65200,847.86
2015-10-22,849.3,849.3,849.3,849.3,0,847.86
2015-10-23,856,860,807.5,821.8,140000,820.41
2015-10-26,840,840,820,824.3,78000,822.9
2015-10-27,827.8,835,825,830.45,75300,829.04
2015-10-28,834.85,838.8,822.6,831.9,47200,830.49
2015-10-29,839.7,846,834,843.75,92000,842.32
2015-10-30,849,849.8,816.6,828.45,75900,827.05
2015-11-02,822.5,869.05,822.5,860.4,224600,858.94
2015-11-03,868,887.9,834.2,842.95,1045500,841.52
2015-11-04,852.7,869.9,838.1,845.3,171700,843.87
2015-11-05,845.3,849.85,818,821.75,58600,820.36
2015-11-06,815.05,829.35,782,815.1,185200,813.72
2015-11-09,807,817.8,780.1,798.45,83100,797.1
2015-11-10,799,819.35,797.1,802.15,74600,800.79
2015-11-11,802.15,802.15,802.15,802.15,0,800.79
2015-11-12,802.15,802.15,802.15,802.15,0,800.79
2015-11-13,809.75,812.45,793,796.4,103600,795.05
2015-11-16,798.9,809.8,797,804.95,70000,803.59
2015-11-17,805,815,798.45,804.5,49900,803.14
2015-11-18,804.95,809.95,785,795.1,45700,793.75
2015-11-19,800,815.7,800,813.8,79300,812.42
2015-11-20,810.8,831,805,827.5,64100,826.1
2015-11-23,825,835.5,818.25,826.45,28700,825.05
2015-11-24,819.1,835.15,819,832.1,27500,830.69
2015-11-25,832.1,832.1,832.1,832.1,0,830.69
2015-11-26,835,842,820,835.15,45800,833.74
