"Date","TATAPOWER.NS.Open","TATAPOWER.NS.High","TATAPOWER.NS.Low","TATAPOWER.NS.Close","TATAPOWER.NS.Volume","TATAPOWER.NS.Adjusted"
2015-10-26,70.7,71.9,70.15,70.65,3336000,68.20334
2015-10-27,70.5,71.5,70.35,70.95,4220300,68.49294
2015-10-28,70.8,71.05,69.4,69.7,2772800,67.28623
2015-10-29,69.6,70,68.5,69.65,6150900,67.23797
2015-10-30,69.75,71.5,68.65,68.85,7852500,66.46567
2015-11-02,68.7,69.15,68.1,68.75,1629500,66.36913
2015-11-03,69.5,69.6,68.35,68.85,1841300,66.46567
2015-11-04,69.4,69.5,68.45,68.6,2170000,66.22433
2015-11-05,69.1,69.5,68.15,68.5,1836300,66.12779
2015-11-06,69.4,69.5,66.6,67.55,2400300,65.21069
2015-11-09,67,69.55,66.05,68.1,9032400,65.74164
2015-11-10,69.25,69.8,67.35,67.8,4596100,65.45204
2015-11-11,67.8,67.8,67.8,67.8,0,65.45204
2015-11-12,67.8,67.8,67.8,67.8,0,65.45204
2015-11-13,68.45,68.85,67.55,68.3,1967300,65.93472
2015-11-16,68.15,68.55,66.65,67.3,4186000,64.96935
2015-11-17,67.5,68.2,66.95,67.4,1783100,65.06589
2015-11-18,67.55,68.25,65.65,65.85,2070900,63.56956
2015-11-19,66.05,66.95,66.05,66.75,1319900,64.4384
2015-11-20,66.35,67.5,66.3,66.65,1435300,64.34186
2015-11-23,67,67.1,66.5,66.95,1691800,64.63147
2015-11-24,66.9,67.3,66.3,66.55,1807300,64.24532
2015-11-25,66.55,66.55,66.55,66.55,0,64.24532
2015-11-26,66.7,67.05,66.15,66.3,4945500,64.00398
2015-11-27,66.8,67.35,65.9,66.25,1778900,63.95571
2015-11-30,66.5,67.9,66.45,67.2,6754100,64.87281
2015-12-01,68,68,66.35,66.6,3104600,64.29359
2015-12-02,66.8,66.95,65.85,66.3,1407700,64.00398
2015-12-03,66,66.8,65.25,65.65,1727600,63.37649
2015-12-04,64.9,66,64,64.2,2544900,61.9767
2015-12-07,64.9,64.95,64,64.15,1516100,61.92844
2015-12-08,62.9,64.3,62.75,63.55,2207300,61.34921
2015-12-09,63.75,63.75,61.7,62,1717900,59.85289
2015-12-10,62.3,62.9,62,62.6,1552800,60.43211
2015-12-11,62.4,63.15,61,61.85,2013000,59.70809
2015-12-14,62,62.55,61.1,61.6,1926400,59.46674
2015-12-15,61.5,62.05,61.1,61.45,1989100,59.32194
2015-12-16,61.95,63.1,61.7,62,2509000,59.85289
2015-12-17,62.95,64.95,62.3,64.75,3638900,62.50766
2015-12-18,64.75,66,64.5,65,3813600,62.749
2015-12-21,65,65.5,64.4,65,2932300,62.749
2015-12-22,65.05,66.4,64.75,65.25,2654500,62.99034
2015-12-23,65.65,66.15,65.3,65.75,1163800,63.47303
2015-12-24,66,66.8,65.45,66.4,1359000,64.10052
2015-12-25,66.4,66.4,66.4,66.4,0,64.10052
2015-12-28,67,68.35,67,67.5,3739200,65.16242
2015-12-29,67.7,67.9,66.8,67.1,1868000,64.77627
2015-12-30,68.45,68.45,67.45,67.75,2193300,65.40376
2015-12-31,67.9,69,67.6,67.9,3580000,65.54857
2016-01-01,68.1,69.45,67.8,68.95,1973800,66.56221
2016-01-04,68.9,69.9,67.5,68.25,2644900,65.88645
2016-01-05,68.55,70.7,68.45,69.35,3266000,66.94835
2016-01-06,69.3,69.75,68,68.8,3274500,66.41741
2016-01-07,67.95,68.4,65.8,66.35,2616700,64.05225
2016-01-08,67,69.3,66.35,68.7,2913300,66.32086
2016-01-11,67.95,67.95,66.2,67.15,3288800,64.82454
2016-01-12,67.65,68.25,66.45,67,2857300,64.67974
2016-01-13,67.5,68,64.4,65.7,3728000,63.42476
2016-01-14,65.1,65.85,63.5,64.75,2720600,62.50766
2016-01-15,65,65.5,61.3,61.75,2254300,59.61155
2016-01-18,61.45,63.45,61.1,61.65,2870300,59.51501
2016-01-19,62.2,64.95,62,64.25,3722000,62.02497
2016-01-20,63.2,63.7,60.4,61.75,3483900,59.61155
2016-01-21,62.1,62.75,60.1,61.15,4223900,59.03233
2016-01-22,62.4,62.5,61.5,61.75,2793900,59.61155
2016-01-25,62.55,62.55,61.05,61.35,2573200,59.2254
2016-01-26,61.35,61.35,61.35,61.35,0,59.2254
2016-01-27,62.4,62.4,61,61.3,2950500,59.17713
2016-01-28,61.3,61.7,59.75,60,5165300,57.92215
2016-01-29,60.2,61.35,59.8,60.1,4490300,58.01869
2016-02-01,61,61,60.1,60.6,3874200,58.50137
2016-02-02,60.75,60.85,58.4,58.75,4705400,56.71544
2016-02-03,58.5,58.5,56.5,57.05,3077300,55.07431
2016-02-04,57.45,59.85,57.45,59.05,3734600,57.00505
2016-02-05,59.75,60.5,59.45,60.25,4254900,58.1635
2016-02-08,60.25,60.8,58.65,58.95,4217100,56.90852
2016-02-09,58.5,60,58.3,59.7,2166500,57.63254
2016-02-10,59.55,59.8,57.65,59.2,2181000,57.14986
2016-02-11,59,59.5,55.6,56.3,3390800,54.35029
2016-02-12,56.55,57.9,55,56.7,3828500,54.73644
2016-02-15,57.2,60.25,57.15,59.55,11819200,57.48774
2016-02-16,60.8,61.9,58.05,58.55,6203800,56.52237
2016-02-17,58.9,59.45,57,58.7,5755900,56.66717
2016-02-18,59.2,59.7,58.35,59.2,3013700,57.14986
2016-02-19,59.15,59.85,58.3,58.8,4420700,56.76371
2016-02-22,59.45,59.45,58.4,58.6,1875600,56.57064
2016-02-23,59,59.05,57.8,58,1930100,55.99142
2016-02-24,57.9,58.6,57.55,57.8,1459200,55.79834
2016-02-25,58.1,58.95,56.6,57.05,5151000,55.07431
2016-02-26,57.7,58,57,57.55,1469400,55.557
2016-02-29,58,58.35,56.25,57.3,3685500,55.31566
2016-03-01,57.65,58.8,57.15,58.4,2593400,56.37756
2016-03-02,59.5,59.8,58.55,58.9,4236800,56.86025
2016-03-03,59.3,59.9,58.5,59.5,3763900,57.43947
2016-03-04,59.8,59.9,58.8,59.25,4978500,57.19813
2016-03-07,59.25,59.25,59.25,59.25,0,57.19813
2016-03-08,59.25,59.8,58.35,58.75,4639900,56.71544
2016-03-09,57.4,59.05,57.4,58.65,5840000,56.61891
2016-03-10,59.15,59.55,58.75,58.9,2834600,56.86025
2016-03-11,58.9,59.4,58.55,59,2138500,56.95678
2016-03-14,59.2,59.65,59.05,59.2,1546300,57.14986
2016-03-15,59.2,59.45,58.65,58.75,3150100,56.71544
2016-03-16,58.9,59.1,58.1,58.85,3192000,56.81198
2016-03-17,59.1,59.35,58.25,58.45,3314500,56.42583
2016-03-18,58.6,58.8,58,58.5,3214500,56.4741
2016-03-21,58.5,59.35,58.4,59.15,1715000,57.10159
2016-03-22,59.3,61.95,59.15,61.8,9339300,59.65982
2016-03-23,63.05,63.4,62.35,62.65,7172400,60.48038
2016-03-24,62.65,62.65,62.65,62.65,0,60.48038
2016-03-25,62.65,62.65,62.65,62.65,0,60.48038
2016-03-28,63.05,63.05,60.75,60.95,3602300,58.83925
2016-03-29,61.25,62.4,60.4,61.4,2455900,59.27367
2016-03-30,61.7,63.25,61.15,62.65,6428000,60.48038
2016-03-31,63.4,65.1,63.1,64.65,16079100,62.41112
2016-04-01,64.95,65.5,63.65,65.2,4168500,62.94207
2016-04-04,65.85,69.75,65.7,68.3,9789600,65.93472
2016-04-05,68.15,68.15,66.5,67,6724100,64.67974
2016-04-06,67.3,67.65,66,66.5,3777200,64.19705
2016-04-07,67.95,70.1,60.55,63.9,53852600,61.68709
2016-04-08,65.7,66.15,64.1,65.8,9017800,63.5213
2016-04-11,65.7,67.9,65.5,67.7,6184900,65.35549
2016-04-12,67.7,69.15,67.5,67.85,6464200,65.5003
2016-04-13,68.5,70.25,68.3,70,6604000,67.57585
2016-04-14,70,70,70,70,0,67.57585
2016-04-15,70,70,70,70,0,67.57585
2016-04-18,69.5,70.3,68.7,69.6,3167700,67.1897
2016-04-19,69.6,69.6,69.6,69.6,0,67.1897
2016-04-20,69.6,71.5,69.5,70.55,4163200,68.1068
2016-04-21,71,71.45,68.8,69.7,2708700,67.28623
2016-04-22,69.9,70.9,69.75,69.95,2624200,67.52757
2016-04-25,70.1,70.45,68.75,69.55,1890200,67.14143
2016-04-26,69.55,72.2,69.3,72,4028600,69.50658
2016-04-27,72.1,72.3,70.25,70.75,3189300,68.29987
2016-04-28,70.95,71.05,68.85,69.25,4533500,66.85182
2016-04-29,69.1,71,68.3,70.5,4697800,68.05853
2016-05-02,70.45,71,69.5,70.15,3813800,67.72065
2016-05-03,71.35,73.5,70.65,71.1,9645800,68.63775
2016-05-04,70.6,72,70.1,70.4,3527800,67.96199
2016-05-05,70.4,71.25,69.9,70.3,2260900,67.86546
2016-05-06,70.3,72.5,69.9,72.2,3358900,69.69966
2016-05-09,72.5,74,72.25,73.45,4298200,70.90637
2016-05-10,73.4,73.5,71.8,72.45,2270300,69.941
2016-05-11,71.75,72.3,70.85,71,2852200,68.54121
2016-05-12,71.15,72.05,70.5,70.85,2876200,68.39641
2016-05-13,70.6,71.1,69.6,70.35,3286400,67.91372
2016-05-16,70.5,70.9,69.35,70.25,4503400,67.81719
2016-05-17,70.5,70.65,69.5,70,3257500,67.57585
2016-05-18,69.5,70.45,69.15,70,2552000,67.57585
2016-05-19,70,70.35,68,68.4,2676700,66.03126
2016-05-20,68.65,70.15,68.45,69.4,3274700,66.99663
2016-05-23,71.2,71.4,70.25,70.65,4459800,68.20334
2016-05-24,72.2,72.75,71.25,71.7,7098400,69.21697
2016-05-25,72.15,73.4,71.8,73.15,3625200,70.61676
2016-05-26,73.5,74,72.3,73.65,5051600,71.09944
2016-05-27,73.65,74.8,72.4,72.6,4308300,70.0858
2016-05-30,72.9,76,72.3,75.15,4012300,72.5475
2016-05-31,75,75.3,73.3,73.75,6855700,71.19598
2016-06-01,74.95,74.95,72.45,72.75,4052100,70.23061
2016-06-02,72.85,73.55,71.9,72.25,4488200,69.74793
2016-06-03,72.35,74.45,72.35,73.9,4785100,71.34079
2016-06-06,74,75,72.95,74.2,2596700,71.63039
2016-06-07,74.5,74.7,73,73.5,5048800,70.95464
2016-06-08,73.85,75.9,73.15,75.45,4076700,72.83711
2016-06-09,76.2,77.2,75.2,75.65,6019500,73.03018
2016-06-10,75.75,76.65,75.4,76.2,2779200,73.56113
2016-06-13,77,77.4,75.1,75.65,8139300,73.03018
2016-06-14,75.95,76.15,74.55,75.65,3686700,73.03018
2016-06-15,76.35,77,75.6,76.55,3143900,73.89902
2016-06-16,76.45,76.95,74.45,76.3,3581800,73.65767
2016-06-17,76,76.15,72.3,73.7,6058400,71.14771
2016-06-20,73.35,75.2,72.45,75.05,2258100,72.45096
2016-06-21,75.35,75.9,73.15,73.3,3364500,70.76157
2016-06-22,73.55,74.1,73.05,73.7,2269100,71.14771
2016-06-23,73.3,75.1,71.95,73.1,6538900,70.56849
2016-06-24,71.55,72.9,69.3,72.7,4366500,70.18234
2016-06-27,72.5,72.65,71.75,72.2,2383900,69.69966
2016-06-28,72.25,72.75,71.75,72,2667400,69.50658
2016-06-29,72.35,73.2,72,72.65,4642600,70.13408
2016-06-30,72.85,73.7,72.6,73.35,10502700,70.80983
2016-07-01,74,74.85,73.9,74.35,7839100,71.7752
2016-07-04,75,75.55,74.55,74.9,3698400,72.30616
2016-07-05,74.9,74.9,73.85,74.3,3605300,71.72694
2016-07-06,74.3,74.3,74.3,74.3,0,71.72694
2016-07-07,74.25,74.4,73.35,73.55,3261400,71.00291
2016-07-08,73.55,74.1,72.8,73.2,3813800,70.66502
2016-07-11,74.05,74.25,73.5,73.95,4781300,71.38905
2016-07-12,74.05,74.3,71.1,72.7,6293300,70.18234
2016-07-13,72.8,73.25,71.9,72.05,3796600,69.55486
2016-07-14,71.8,72,71.15,71.8,3847200,69.31351
2016-07-15,72.55,72.55,71.2,71.65,4554100,69.16871
2016-07-18,71.7,71.9,70.05,70.35,2888100,67.91372
2016-07-19,70.75,71,69.8,70.4,4152500,67.96199
2016-07-20,70.45,72.95,70.4,72.35,6920800,69.84446
2016-07-21,73,73.15,70.5,70.75,5259700,68.29987
2016-07-22,71.5,72.45,71.05,72.05,3320700,70.85682
2016-07-25,72.15,72.4,71.3,72,2470400,70.80764
2016-07-26,72.5,73,71.05,71.35,4026900,70.16841
2016-07-27,71.2,71.75,70.6,71.05,3949600,69.87338
2016-07-28,71.15,71.45,70.35,70.7,5838500,69.52917
2016-07-29,70.95,72.5,70.6,72,6171400,70.80764
2016-08-01,72.55,73.05,71.1,72,4255300,70.80764
2016-08-02,72.35,72.7,71.45,71.7,2909200,70.51261
2016-08-03,72.25,72.5,70.8,71.25,5023700,70.07006
2016-08-04,71.55,71.8,70.5,70.8,4065800,69.62752
2016-08-05,71.15,71.5,70.85,71.1,7685100,69.92255
2016-08-08,71.45,73.3,71.05,72.75,14343000,71.54522
2016-08-09,73.25,76.4,73.25,75.4,14218600,74.15134
2016-08-10,75.9,75.9,73.6,74,4373100,72.77452
2016-08-11,74.2,76,73.3,74.65,3901300,73.41376
2016-08-12,74.85,76.15,73.6,75.2,5276100,73.95465
2016-08-15,75.2,75.2,75.2,75.2,0,73.95465
2016-08-16,75,77.25,75,76.55,8040600,75.2823
2016-08-17,76.65,78.6,75.9,77.95,8821600,76.65911
2016-08-18,78,78.55,76.4,76.9,5317700,75.6265
2016-08-19,77,78.5,76.55,78.05,3821900,76.75746
2016-08-22,78.4,79.15,76.85,77.05,4454100,75.77402
2016-08-23,77.9,78.3,73.8,74.8,16453200,73.56128
2016-08-24,74.05,76.75,73.8,76.45,10358100,75.18395
2016-08-25,77,77,75.5,75.65,4536600,74.3972
2016-08-26,75.75,76.3,75,75.75,4446600,74.49554
2016-08-29,75.9,76.25,75.15,75.95,2310600,74.69223
2016-08-30,76.05,77.8,75.95,77.1,3920500,75.82318
2016-08-31,77.35,79,76.55,78.5,7628400,77.2
2016-09-01,79.8,80.35,77.5,78.15,7490200,76.8558
2016-09-02,78.1,79.35,77.35,79,3402700,77.69172
2016-09-05,79,79,79,79,0,77.69172
