"Date","DIVISLAB.NS.Open","DIVISLAB.NS.High","DIVISLAB.NS.Low","DIVISLAB.NS.Close","DIVISLAB.NS.Volume","DIVISLAB.NS.Adjusted"
2016-04-19,1039.05,1039.05,1039.05,1039.05,0,1039.05
2016-04-20,1048.95,1053.45,1032.9,1048.55,362800,1048.55
2016-04-21,1060,1095.2,1048,1091.05,566400,1091.05
2016-04-22,1099.45,1106.4,1064,1069.45,648900,1069.45
2016-04-25,1067.95,1076.65,1056.85,1059.95,234900,1059.95
2016-04-26,1063.85,1068.7,1051.1,1058.45,448800,1058.45
2016-04-27,1071,1071,1038.2,1042.25,320200,1042.25
2016-04-28,1042.65,1058.75,1036.2,1050.15,323600,1050.15
2016-04-29,1059,1060.95,1041,1051.1,183700,1051.1
2016-05-02,1048,1059.75,1043.4,1055.8,105500,1055.8
2016-05-03,1060.1,1067.55,1036.95,1040.15,245800,1040.15
2016-05-04,1042.5,1055,1025,1051,248100,1051
2016-05-05,1060,1064.5,1038.4,1044,240000,1044
2016-05-06,1044.1,1044.1,1019.2,1022.2,320200,1022.2
2016-05-09,1026,1065,1019.4,1050.05,285800,1050.05
2016-05-10,1060,1074.9,1045.4,1071.2,294300,1071.2
2016-05-11,1068,1083.9,1048,1064.95,265800,1064.95
2016-05-12,1073.9,1079,1062.1,1064.05,283200,1064.05
2016-05-13,1058,1081,1056.15,1078.6,162500,1078.6
2016-05-16,1078.6,1078.6,1045,1057.25,219400,1057.25
2016-05-17,1060,1094,1058,1090.15,784700,1090.15
2016-05-18,1084,1089.95,1068,1070.65,224800,1070.65
2016-05-19,1071.95,1077,1052.1,1056.25,440300,1056.25
2016-05-20,1057.45,1067.6,1039,1043.25,164000,1043.25
2016-05-23,1046,1053.9,1028.3,1034.7,175500,1034.7
2016-05-24,1017,1043.4,1013.45,1030.25,201200,1030.25
2016-05-25,1035.05,1046.2,1031.4,1040.05,125500,1040.05
2016-05-26,1041.4,1049.9,1026.8,1041.5,202400,1041.5
2016-05-27,1043,1089,1043,1084.65,224900,1084.65
2016-05-30,1120.65,1120.8,1081,1110.15,694000,1110.15
2016-05-31,1114.9,1123.3,1092,1099.45,538400,1099.45
2016-06-01,1092,1135.9,1092,1125.75,506400,1125.75
2016-06-02,1118,1146.4,1108,1141.75,483900,1141.75
2016-06-03,1142.9,1152.4,1128.4,1140.75,471300,1140.75
2016-06-06,1141,1168.5,1138.1,1142.05,456300,1142.05
2016-06-07,1149,1152,1130.25,1148.25,278400,1148.25
2016-06-08,1148.25,1150.5,1133,1137.5,160100,1137.5
2016-06-09,1143.7,1147.55,1106.55,1113.5,194600,1113.5
2016-06-10,1114.75,1127,1097,1123.3,337800,1123.3
2016-06-13,1115,1126.95,1102.75,1122,250000,1122
2016-06-14,1123.25,1139.8,1106,1115.05,343100,1115.05
2016-06-15,1116.3,1126.9,1109.2,1123.25,445500,1123.25
2016-06-16,1122.55,1127,1102.25,1107.55,197000,1107.55
2016-06-17,1111,1118.4,1095.25,1113.15,295400,1113.15
2016-06-20,1111.9,1124.95,1098.8,1123.05,191400,1123.05
2016-06-21,1124.3,1128.95,1108.15,1117.2,360500,1117.2
2016-06-22,1128,1128,1102.05,1108.35,179700,1108.35
2016-06-23,1109.85,1112.65,1100.05,1102.75,299200,1102.75
2016-06-24,1081.7,1109.6,1057,1100,385300,1100
2016-06-27,1081,1109.25,1081,1098.05,298000,1098.05
2016-06-28,1099,1114.5,1095.25,1107.2,580900,1107.2
2016-06-29,1112,1119.75,1104.9,1110.65,285200,1110.65
2016-06-30,1121,1121,1099,1109.65,781100,1109.65
2016-07-01,1120,1137.85,1116.25,1133.6,441700,1133.6
2016-07-04,1137.5,1149.2,1134.4,1144.4,284800,1144.4
2016-07-05,1136.25,1143.9,1131.25,1139.1,138700,1139.1
2016-07-06,1139.1,1139.1,1139.1,1139.1,0,1139.1
2016-07-07,1142,1144.95,1118.8,1123,256900,1123
2016-07-08,1129.8,1129.8,1110,1121.8,351400,1121.8
2016-07-11,1126.2,1155,1125,1150.3,253800,1150.3
2016-07-12,1155,1173.4,1155,1163.9,340800,1163.9
2016-07-13,1170,1174.95,1156.25,1165.9,691900,1165.9
2016-07-14,1172.45,1172.45,1150.1,1153.5,289200,1153.5
2016-07-15,1155.5,1165.95,1148.55,1152.45,270200,1152.45
2016-07-18,1152.45,1169.4,1140.25,1151.3,402200,1151.3
2016-07-19,1152.6,1164.95,1146.9,1159.1,288700,1159.1
2016-07-20,1159.1,1190.45,1157.75,1186.5,385000,1186.5
2016-07-21,1190.5,1197,1179.5,1187.85,473300,1187.85
2016-07-22,1191,1214,1186,1204.65,461600,1204.65
2016-07-25,1206,1229,1198.05,1204.15,481100,1204.15
2016-07-26,1206,1211,1183,1186.45,211200,1186.45
2016-07-27,1187,1196.95,1174.25,1189.8,241400,1189.8
2016-07-28,1190,1203,1166.55,1195.5,415500,1195.5
2016-07-29,1197,1210,1192.9,1198.5,390400,1198.5
2016-08-01,1199,1209.95,1169.1,1175.35,263100,1175.35
2016-08-02,1177,1191.4,1173.1,1181.4,109700,1181.4
2016-08-03,1182,1191,1170,1172.7,150000,1172.7
2016-08-04,1175.7,1185,1141,1150.75,228700,1150.75
2016-08-05,1155,1189.95,1153.25,1184.15,165700,1184.15
2016-08-08,1188,1199.7,1175.5,1192.9,124700,1192.9
