"Date","DIVISLAB.NS.Open","DIVISLAB.NS.High","DIVISLAB.NS.Low","DIVISLAB.NS.Close","DIVISLAB.NS.Volume","DIVISLAB.NS.Adjusted"
2015-11-18,1124.5,1138,1122.2,1132.25,174500,1120.6473
2015-11-19,1144,1163,1129,1152.65,290200,1140.8383
2015-11-20,1154.5,1160,1142.35,1149.05,123100,1137.2752
2015-11-23,1149.05,1173.9,1137.5,1150.3,212700,1138.5124
2015-11-24,1152,1165.5,1133.15,1145.05,216000,1133.3162
2015-11-25,1145.05,1145.05,1145.05,1145.05,0,1133.3162
2015-11-26,1145,1149,1121.2,1129.1,534600,1117.5296
2015-11-27,1131.1,1152,1131.1,1145.75,598400,1134.009
2015-11-30,1147,1167,1125,1150.3,544800,1138.5124
2015-12-01,1143,1150,1132.2,1135.85,144200,1124.2104
2015-12-02,1145.5,1151.7,1132,1138.1,242600,1126.4373
2015-12-03,1140,1143.35,1122,1126.65,198400,1115.1047
2015-12-04,1122,1144,1115.25,1129.85,278200,1118.2719
2015-12-07,1131,1149.9,1061.85,1128.25,144800,1116.6883
2015-12-08,1126,1149.35,1125,1130,231500,1118.4204
2015-12-09,1130,1139,1103.1,1123.05,277000,1111.5416
2015-12-10,1126.85,1133,1099.1,1106.35,179000,1095.0127
2015-12-11,1110,1130,1098.1,1125.9,279400,1114.3624
2015-12-14,1130,1142.5,1119.7,1128.95,268400,1117.3811
2015-12-15,1128.95,1132.2,1115.7,1119.05,301400,1107.5826
2015-12-16,1129,1137,1113,1116.25,230600,1104.8113
2015-12-17,1120.75,1135,1118.35,1130.45,377900,1118.8657
2015-12-18,1131,1152.45,1129,1148.1,455000,1136.3349
2015-12-21,1159,1173.3,1157.05,1161.05,433100,1149.1522
2015-12-22,1159.8,1173,1157,1164.1,176000,1152.1709
2015-12-23,1167,1179.5,1158.65,1166.55,180500,1154.5959
2015-12-24,1171.9,1177.5,1162,1166.65,104200,1154.6948
2015-12-25,1166.65,1166.65,1166.65,1166.65,0,1154.6948
2015-12-28,1166.65,1185.6,1166.5,1172.95,162900,1160.9302
2015-12-29,1175,1184.4,1154.65,1166.9,189700,1154.9423
2015-12-30,1171,1174.9,1155,1158.6,138600,1146.7273
2015-12-31,1160.05,1166.75,1145.1,1154.85,302100,1143.0157
2016-01-01,1154,1165,1145.55,1162.5,100100,1150.5873
2016-01-04,1161,1173.7,1137.8,1149.7,233100,1137.9184
2016-01-05,1147,1157.5,1138.5,1147.5,302200,1135.741
2016-01-06,1149,1154.3,1135,1137.2,392100,1125.5465
2016-01-07,1115,1136.55,1115,1126.95,316500,1115.4016
2016-01-08,1139.75,1139.75,1122,1129.7,366400,1118.1234
2016-01-11,1128,1128,1094.3,1099.5,168200,1088.2329
2016-01-12,1100,1108.8,1088.7,1100.3,275700,1089.0248
2016-01-13,1105,1116.6,1059,1084.45,239900,1073.3371
2016-01-14,1075.5,1100,1065,1087.45,366800,1076.3063
2016-01-15,1088.95,1092.65,1062.6,1077.1,152900,1066.0624
2016-01-18,1077.9,1080,1036,1067.4,229100,1056.4619
2016-01-19,1064.85,1080.8,1040,1070.7,667000,1059.728
2016-01-20,1067,1079.05,1041.65,1060.2,359500,1049.3356
2016-01-21,1069.75,1076.1,1051.05,1057.95,337900,1047.1086
2016-01-22,1062,1091,1061,1081.85,162100,1070.7638
2016-01-25,1099.8,1104.8,1082.3,1087.1,210400,1075.96
2016-01-26,1087.1,1087.1,1087.1,1087.1,0,1075.96
2016-01-27,1085,1148.8,1085,1144.2,383500,1132.4748
2016-01-28,1139,1154,1107.85,1129.15,334500,1117.5791
2016-01-29,1148,1156,1115.15,1140.95,349600,1129.2581
2016-02-01,1152,1158,1130.55,1141.95,283000,1130.2479
2016-02-02,1140,1161.25,1113.4,1124.5,303600,1112.9767
2016-02-03,1120,1135.5,1101,1106.55,249400,1095.2107
2016-02-04,1111.8,1111.8,1056.1,1087.3,512600,1076.158
2016-02-05,1083,1120,1074.4,1110.45,474600,1099.0706
2016-02-08,1080,1091.6,1058.25,1068.65,520600,1057.6991
2016-02-09,1055,1075,1022.95,1033.65,301100,1023.0577
2016-02-10,1024.8,1032.9,997.35,1017.65,366900,1007.2217
2016-02-11,1002,1024.2,990,1019.55,462600,1009.1022
2016-02-12,1021.2,1026.1,960.25,987.15,736000,977.0342
2016-02-15,1003,1009.5,986.2,992.75,455800,982.5768
2016-02-16,986.25,992,950.2,969.75,395900,959.8125
2016-02-17,973.2,999,930,988.5,526300,978.3704
2016-02-18,998.9,1009.05,961.1,975.35,342500,965.3551
2016-02-19,975.5,1001,960.75,995.65,212900,985.4471
2016-02-22,1015,1025,986.6,991.4,359200,981.2407
2016-02-23,989.95,991.8,972,980,314100,969.9575
2016-02-24,979,979,926.6,941.9,823800,932.2479
2016-02-25,935,945.25,930.1,940.85,679700,931.2086
2016-02-26,952.7,962.8,923.25,934.05,583400,924.4783
2016-02-29,935,957.2,917.8,950.55,792900,940.8093
2016-03-01,955,960.85,942.45,957.45,486600,947.6386
2016-03-02,963,996.4,957.95,970.45,616800,960.5054
2016-03-03,976,986,966.35,977.6,479000,967.5821
2016-03-04,977.6,1023.7,977.2,1010.65,531700,1000.2934
2016-03-07,1010.65,1010.65,1010.65,1010.65,0,1000.2934
2016-03-08,1010.7,1025.55,998,1022.75,387100,1012.2694
2016-03-09,1022.75,1022.75,998.1,1009.6,203000,999.2541
2016-03-10,1010,1027.7,1002,1016.4,262700,1005.9845
2016-03-11,1023,1023,999.5,1004.3,248000,994.0085
2016-03-14,1014.5,1018.6,997.55,1012.55,503200,1002.1739
2016-03-15,1020,1020,941.1,963.7,1371300,953.8245
2016-03-16,959,987,953.05,975.85,464500,965.85
2016-03-17,980,983.75,966.5,975.2,623600,975.2
2016-03-18,978.5,988.15,956.5,983.85,314000,983.85
2016-03-21,980,999,969.1,991.95,276600,991.95
2016-03-22,997.2,997.2,960.2,979.05,630700,979.05
2016-03-23,979.45,980,958,969.4,519600,969.4
2016-03-24,969.4,969.4,969.4,969.4,0,969.4
2016-03-25,969.4,969.4,969.4,969.4,0,969.4
2016-03-28,978,979,960.05,972.2,382000,972.2
2016-03-29,970,981.25,935.1,977,528100,977
2016-03-30,976.8,990.6,972.15,982.25,573800,982.25
2016-03-31,986,989.9,968.75,987.25,461500,987.25
2016-04-01,984.95,1011.45,977.95,1008.55,228300,1008.55
2016-04-04,1010.05,1013.9,990.75,1010.6,112300,1010.6
2016-04-05,1007.6,1028,1000.7,1013.35,275200,1013.35
2016-04-06,1012.8,1018.4,971.85,995.15,729200,995.15
2016-04-07,1004.8,1024.6,985.5,1013.9,226200,1013.9
2016-04-08,1010.2,1020,999.6,1013.45,133400,1013.45
2016-04-11,1014.9,1037,1005.1,1020.1,276900,1020.1
2016-04-12,1027,1034.9,1012,1021.9,187900,1021.9
2016-04-13,1035,1035,1008.6,1023.05,444300,1023.05
2016-04-14,1023.05,1023.05,1023.05,1023.05,0,1023.05
2016-04-15,1023.05,1023.05,1023.05,1023.05,0,1023.05
2016-04-18,1009,1049,1009,1039.05,300900,1039.05
