"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2015-07-28,957,965,942.15,944.95,2797900,407.3751
2015-07-29,949,959.5,937.6,949.3,2307100,409.2504
2015-07-30,953.5,955.25,943.15,947.2,3254400,408.3451
2015-07-31,950,951.75,917.95,926.75,2637900,399.5289
2015-08-03,934,940.75,904.5,908.8,3571200,391.7905
2015-08-04,918,936.95,914.25,933.55,4585300,402.4604
2015-08-05,939.8,951,927.7,930.6,2342900,401.1887
2015-08-06,934.8,947.7,932,938.6,2916000,404.6375
2015-08-07,942.5,963,927.75,955.5,3736800,411.9233
2015-08-10,960,979.55,941.05,946.7,3323000,408.1295
2015-08-11,949.7,949.9,914.25,925.25,2994400,398.8823
2015-08-12,928.8,931,864.5,870,5254600,375.0636
2015-08-13,874.4,893.75,857.8,885.25,4199700,381.638
2015-08-14,890,907.7,870.1,873.75,4767200,376.6802
2015-08-17,879,888,860.05,865.15,3175200,372.9727
2015-08-18,873.7,902,865.5,896.45,3996200,386.4664
2015-08-19,902.95,915.9,884,887.1,3251600,382.4355
2015-08-20,898.95,918.9,885,902.05,5596700,388.8806
2015-08-21,886,895,867.85,889.65,4142800,383.5348
2015-08-24,862,872,802.9,818.6,4778500,352.9046
2015-08-25,830.25,869.4,817.15,862.75,5114200,371.938
2015-08-26,865,876.8,832,837.65,3710600,361.1173
2015-08-27,860,884.5,848.15,880.2,3576900,379.4609
2015-08-28,866.8,867.75,845.75,860.95,4035800,391.16
2015-08-31,863.35,887,851.5,883.2,5049000,401.269
2015-09-01,871.2,878.7,851.25,863.35,2051300,392.2504
2015-09-02,874.9,875.9,845.6,849.1,3632400,385.7761
2015-09-03,854,860.95,832.3,837.95,2662000,380.7103
2015-09-04,840,854.8,820,850.6,2726000,386.4576
2015-09-07,845.35,859.1,823.6,830.2,1959300,377.1892
2015-09-08,835.05,839,811.6,821.25,2219000,373.1229
2015-09-09,834,845,817.7,820.25,3302400,372.6686
2015-09-10,820,843,818,839.7,5120400,381.5054
2015-09-11,845,857.8,842.95,850.55,2244600,386.4349
2015-09-14,859.75,885.95,857.35,880.4,3065300,399.9968
2015-09-15,884.8,892.4,871,879.6,2058700,399.6333
2015-09-16,881.5,887.5,853.05,862.35,2810100,391.7961
2015-09-17,862.35,862.35,862.35,862.35,0,391.7961
2015-09-18,875,887.5,863.65,869.55,2384100,395.0673
2015-09-21,868.1,881.4,864.3,871.25,1690100,395.8397
2015-09-22,877,880.9,854.1,861.4,1977700,391.3645
2015-09-23,861,884.55,856.55,876.75,1318800,398.3385
2015-09-24,885.5,892.3,877.55,880.9,1952100,400.224
2015-09-25,880.9,880.9,880.9,880.9,0,400.224
2015-09-28,880.9,898.95,876.2,883.5,1744900,401.4053
2015-09-29,880,880,843.2,847.8,3066500,385.1855
2015-09-30,850.1,860,845.65,850.7,3073700,386.5031
2015-10-01,857.25,864.45,845,855.1,2639000,388.5021
2015-10-02,855.1,855.1,855.1,855.1,0,388.5021
2015-10-05,860,867.65,850.1,860.7,2183300,391.0464
2015-10-06,863.9,884,859.4,875.65,2674000,397.8387
2015-10-07,875,881.1,855,863.55,3116500,392.3413
2015-10-08,866,866.75,846.85,854.95,2058400,388.434
2015-10-09,859,863,837.25,848.5,2055000,385.5035
2015-10-12,850,853,839.15,849.05,1451900,385.7534
2015-10-13,857.3,869.85,856.1,863.5,2677000,392.3186
2015-10-14,868.9,871,860.25,862.3,1504200,391.7734
2015-10-15,869,898.1,866.25,893.1,3121900,405.7669
2015-10-16,901.9,914.7,898.4,911.25,3468700,414.0131
2015-10-19,906,923.3,906,918.5,2046600,417.307
2015-10-20,916,925.6,910,912.45,1789400,414.5583
2015-10-21,912,914.25,897,900.6,1425900,409.1744
2015-10-22,900.6,900.6,900.6,900.6,0,409.1744
