"Date","RPOWER.NS.Open","RPOWER.NS.High","RPOWER.NS.Low","RPOWER.NS.Close","RPOWER.NS.Volume","RPOWER.NS.Adjusted"
2016-03-03,46.55,47.35,45.9,47.1,4344800,47.1
2016-03-04,47.25,47.7,46.15,46.7,5361900,46.7
2016-03-07,46.7,46.7,46.7,46.7,0,46.7
2016-03-08,46.95,47.5,45.9,46.8,3876800,46.8
2016-03-09,46.8,48.1,46.35,47.9,4429300,47.9
2016-03-10,47.9,48.65,46.9,47.25,5804300,47.25
2016-03-11,47.45,47.65,46,46.45,3521300,46.45
2016-03-14,47,47.1,45.65,46.25,2718300,46.25
2016-03-15,46.1,47.15,46,46.75,3419800,46.75
2016-03-16,46.85,47.15,44.9,46.05,5847600,46.05
2016-03-17,46.65,46.9,45.9,46.15,3799000,46.15
2016-03-18,46.3,46.95,46.1,46.75,2985200,46.75
2016-03-21,47,47.3,46.45,47,2954000,47
2016-03-22,47.2,48.3,46.7,48.1,5365000,48.1
2016-03-23,48,48.5,47.65,47.95,2953200,47.95
2016-03-24,47.95,47.95,47.95,47.95,0,47.95
2016-03-25,47.95,47.95,47.95,47.95,0,47.95
2016-03-28,48,48.1,45.9,46.4,3467200,46.4
2016-03-29,46.4,46.9,45.95,46.1,1955800,46.1
2016-03-30,46.5,47.95,46.5,47.65,2874300,47.65
2016-03-31,47.8,49.95,47.45,49.4,7905000,49.4
2016-04-01,49.7,50.95,49.55,50.2,4589900,50.2
2016-04-04,50.35,51.6,50.3,50.95,4352200,50.95
2016-04-05,51,51,48.4,48.75,4231000,48.75
2016-04-06,48.7,49.2,48,48.95,3356200,48.95
2016-04-07,49.05,50.4,47.6,48.55,7333400,48.55
2016-04-08,48.65,49.4,48.3,49.25,2618100,49.25
2016-04-11,49.3,51.95,49.25,51.45,7834400,51.45
2016-04-12,51.35,51.95,50.55,51.4,3394700,51.4
2016-04-13,51.45,52.7,51.45,51.9,4580300,51.9
2016-04-14,51.9,51.9,51.9,51.9,0,51.9
2016-04-15,51.9,51.9,51.9,51.9,0,51.9
2016-04-18,51.9,52.15,51.1,51.95,3218500,51.95
2016-04-19,51.95,51.95,51.95,51.95,0,51.95
2016-04-20,51.95,52.95,51.85,52.25,3192300,52.25
2016-04-21,52.7,52.8,51.6,52.05,3159000,52.05
2016-04-22,51.65,53.5,51.65,52.9,5247500,52.9
2016-04-25,52.9,53.2,51.9,52.3,3007000,52.3
2016-04-26,52,54.15,51.85,53.5,6863600,53.5
2016-04-27,53.95,53.95,52.9,53.3,3846300,53.3
2016-04-28,53.3,53.5,51.4,51.65,4169200,51.65
2016-04-29,51.4,51.8,49.8,50.95,4122800,50.95
2016-05-02,50.4,51.95,50.25,51.4,4163600,51.4
2016-05-03,51.6,52.95,51.1,51.35,4746800,51.35
2016-05-04,51.25,51.7,49.5,49.7,3943000,49.7
2016-05-05,50.45,50.45,48.75,49.3,4056800,49.3
2016-05-06,49.2,50.2,48.95,49.65,2883900,49.65
2016-05-09,49.85,51.5,49.85,51.15,3091600,51.15
2016-05-10,51.2,51.5,50.75,50.95,2042100,50.95
2016-05-11,50,51.1,49.55,50.15,3321000,50.15
2016-05-12,50.15,50.7,49.8,50.5,2143000,50.5
2016-05-13,50.2,50.35,48.9,49.25,3213100,49.25
2016-05-16,49,49.7,48.6,48.95,2436800,48.95
2016-05-17,49.1,49.45,48.65,48.85,2257600,48.85
2016-05-18,48.5,49.3,48.4,49.1,1716900,49.1
2016-05-19,49.15,49.95,48.15,48.35,2530700,48.35
2016-05-20,48.45,48.75,48,48.1,1755200,48.1
2016-05-23,48.15,48.5,47.75,47.9,1442800,47.9
2016-05-24,47.9,48.25,46.45,46.9,3645300,46.9
2016-05-25,47.8,48.15,47.2,47.95,1810900,47.95
2016-05-26,48,48.8,47.8,48.65,2451600,48.65
2016-05-27,48.7,53.9,48.65,52.25,14394500,52.25
2016-05-30,53.05,53.5,52.1,52.45,3394800,52.45
2016-05-31,52.5,52.75,51.4,52,2257800,52
2016-06-01,52.1,53.3,51.5,51.7,4441500,51.7
2016-06-02,51.65,52,50.9,51.6,2627200,51.6
2016-06-03,51.7,52,50.6,50.85,3271200,50.85
2016-06-06,50.85,51.5,50.3,51.25,1910300,51.25
2016-06-07,51.5,51.9,51,51.65,2280500,51.65
2016-06-08,51.65,52.6,51.55,52.3,3670200,52.3
2016-06-09,52.3,53,51.9,52.4,2878900,52.4
2016-06-10,52.4,53,51.9,52.2,2942900,52.2
2016-06-13,51.8,51.9,50.65,51.2,2366100,51.2
2016-06-14,51,52.95,51,52.45,3984500,52.45
2016-06-15,52.75,52.95,52,52.65,1978600,52.65
2016-06-16,52.2,53.3,51.3,52.05,3538500,52.05
2016-06-17,53.7,53.75,52.1,52.6,3640300,52.6
2016-06-20,52,52.95,51.8,52.6,2540800,52.6
2016-06-21,52.6,53.2,51.8,52.1,2851000,52.1
2016-06-22,52.35,52.5,51,51.3,2811200,51.3
2016-06-23,50.2,51.2,50,51.05,4245700,51.05
2016-06-24,50,50,48.25,49.35,3880500,49.35
2016-06-27,49.3,50.05,49.15,49.6,1940500,49.6
2016-06-28,49.75,50.55,49.65,50,1950600,50
2016-06-29,50.1,50.6,50,50.3,1293200,50.3
2016-06-30,51,51.7,50.4,51.35,4185700,51.35
2016-07-01,51.35,52.3,51.35,51.7,3158400,51.7
2016-07-04,51.8,53.35,51.6,52.45,3354900,52.45
2016-07-05,52.4,54.6,52.15,53.7,7327700,53.7
