"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2015-11-26,100.851,101.625,99.7511,101.136,1244800,97.0814
2015-11-27,101.258,104.354,101.054,103.987,1618200,99.8181
2015-11-30,104.639,104.639,103.05,103.335,927500,99.1923
2015-12-01,103.783,106.064,103.091,105.331,2221000,101.1083
2015-12-02,105.739,105.82,102.562,103.702,862300,99.5446
2015-12-03,103.458,103.743,101.665,102.48,853100,98.3716
2015-12-04,101.665,102.317,100.525,100.81,888700,96.7685
2015-12-07,101.258,101.747,100.281,100.484,590600,96.4556
2015-12-08,99.7918,100.729,99.3845,99.4659,501100,95.4783
2015-12-09,99.0586,100.403,98.1625,98.5698,1164300,94.6181
2015-12-10,98.6106,98.7735,96.9406,97.185,1614000,93.2888
2015-12-11,97.2664,98.244,94.9855,95.8816,1473800,92.0377
2015-12-14,94.5782,97.3072,94.5782,96.2889,641300,92.4287
2015-12-15,96.3704,96.7777,95.5965,96.3296,459400,92.4677
2015-12-16,96.6962,98.5698,96.3296,97.4701,656700,93.5625
2015-12-17,97.9996,99.3845,97.796,98.855,721500,94.8919
2015-12-18,98.855,101.258,97.9181,99.3845,2444400,95.4002
2015-12-21,99.7103,100.443,99.4659,100.036,528700,96.0255
2015-12-22,100.118,100.932,98.6513,99.2215,583100,95.2437
2015-12-23,99.5881,100.362,99.3845,99.6696,463200,95.6738
2015-12-24,100.118,100.443,98.7328,99.1401,535500,95.1656
2015-12-25,99.1401,99.1401,99.1401,99.1401,0,95.1656
2015-12-28,99.7103,101.421,99.4252,100.932,531600,96.8856
2015-12-29,101.421,101.747,99.7918,100.036,451800,96.0255
2015-12-30,99.9547,100.525,99.0586,99.4659,779700,95.4783
2015-12-31,99.4659,100.362,98.692,99.9954,863500,95.9866
2016-01-01,99.9954,101.991,99.8325,101.665,585300,97.5892
2016-01-04,101.177,101.747,97.5516,98.4884,1024900,94.54
2016-01-05,98.5698,98.9364,96.7777,97.3479,1581900,93.4452
2016-01-06,97.4294,98.4069,96.5333,96.6555,682200,92.7806
2016-01-07,96.0445,96.4111,91.4826,92.0121,2007500,88.3233
2016-01-08,92.3787,93.5192,92.0528,92.5823,602500,88.8707
2016-01-11,91.9306,93.1933,90.4236,92.1343,1534800,88.4406
2016-01-12,92.0528,92.4601,87.8982,88.2648,1719500,84.7263
2016-01-13,88.3055,88.9573,83.9066,86.88,3447500,83.397
2016-01-14,82.7661,84.6397,79.8334,80.4444,4226400,77.2194
2016-01-15,81.0554,82.2366,76.6564,77.1452,3292600,74.0524
2016-01-18,76.5749,82.2773,75.5974,80.8924,7208300,77.6494
2016-01-19,81.422,82.2773,79.9556,80.6888,2378700,77.454
2016-01-20,79.5076,79.8334,77.3895,78.3671,2209100,75.2254
2016-01-21,79.8334,81.7885,78.1634,78.8966,2275300,75.7336
2016-01-22,80.4851,82.8883,79.6705,81.4627,2196600,78.1968
2016-01-25,83.0512,83.0512,80.4851,80.811,888300,77.5713
2016-01-26,80.811,80.811,80.811,80.811,0,77.5713
2016-01-27,81.259,82.7661,79.4668,81.3812,1671100,78.1186
2016-01-28,81.4627,81.8293,79.4668,80.3222,2053800,77.1021
2016-01-29,80.1593,80.8924,78.2856,80.4037,1192000,77.1803
2016-02-01,81.2998,81.7071,79.5076,79.8334,927300,76.6329
2016-02-02,79.9149,81.6256,79.2632,80.0371,2012900,76.8284
2016-02-03,79.0595,79.141,76.8193,77.2266,1448300,74.1306
2016-02-04,77.7969,78.3264,75.3937,76.1676,1355000,73.114
2016-02-05,76.2491,78.9373,75.964,78.082,1610800,74.9517
2016-02-08,78.1227,80.5259,77.9191,78.3671,1377400,75.2254
2016-02-09,76.9822,78.2856,75.8418,76.2491,1189200,73.1923
2016-02-10,76.1269,76.1269,72.9906,73.9274,2798500,70.9636
2016-02-11,74.3347,74.3347,71.1169,72.1352,1978400,69.2433
2016-02-12,72.1352,76.0454,70.2208,73.2757,2588500,70.3381
2016-02-15,74.2532,76.86,74.2532,76.1676,1424900,73.114
2016-02-16,77.0637,77.7561,75.0679,75.5566,1744300,72.5275
2016-02-17,74.9864,75.7603,72.0945,75.2715,1633500,72.2539
2016-02-18,75.801,77.5525,74.131,75.8825,2632500,72.8404
