"Date","IGL.NS.Open","IGL.NS.High","IGL.NS.Low","IGL.NS.Close","IGL.NS.Volume","IGL.NS.Adjusted"
2015-08-18,490,498.15,486.2,488.1,111600,476
2015-08-19,490,492.35,479.05,486.35,466800,474.29
2015-08-20,481.55,492.55,471,479.3,415500,467.42
2015-08-21,477,486.45,469,481.6,230500,469.66
2015-08-24,472.9,472.9,435.65,457.55,916300,446.21
2015-08-25,458.95,468,433.7,458.4,292700,447.04
2015-08-26,457.9,463.85,454.1,459.85,132500,448.45
2015-08-27,473.8,477.65,462,472.55,403300,460.83
2015-08-28,478.5,492.75,475.35,485.05,167300,473.02
2015-08-31,487,488.95,473.6,477.5,135800,465.66
2015-09-01,472,483.95,470.2,475.95,174700,464.15
2015-09-02,475.35,478.9,464.9,466.45,168200,454.89
2015-09-03,469.4,482.2,455.15,466.1,156300,454.54
2015-09-04,466.1,473,457.2,461.55,160900,450.11
2015-09-07,462.1,477,458,464.5,191700,452.98
2015-09-08,460.1,474.8,460.1,465,300700,453.47
2015-09-09,464.8,468.25,461.85,464.45,167300,458.86
2015-09-10,460.9,467.9,457.9,461.35,978400,455.79
2015-09-11,466,474.2,466,469.85,292900,464.19
2015-09-14,467.8,473.6,464.25,466.85,100600,461.23
2015-09-15,465,476,462,462.65,222500,457.08
2015-09-16,466.3,471,460,466.65,1055000,461.03
2015-09-17,466.65,466.65,466.65,466.65,0,461.03
2015-09-18,466.9,481,466.65,475.8,279800,470.07
2015-09-21,473,486.85,473,482.45,272800,476.64
2015-09-22,481.5,490,473.2,476,146300,470.27
2015-09-23,472.1,475.5,463.6,468,143500,462.36
2015-09-24,468.9,476.5,467,470.35,336400,464.68
2015-09-25,470.35,470.35,470.35,470.35,0,464.68
2015-09-28,471.05,475.4,461.8,464.2,118700,458.61
2015-09-29,454,465.75,454,460.55,162600,455
2015-09-30,464.5,498.7,460.5,477.45,1330800,471.7
2015-10-01,482,484,465.4,467.4,274200,461.77
2015-10-02,467.4,467.4,467.4,467.4,0,461.77
2015-10-05,472,476.8,461.15,470.5,462200,464.83
2015-10-06,473.3,480.85,471.8,476,503700,470.27
2015-10-07,478,478,467.6,469.75,214000,464.09
2015-10-08,470.35,475.5,464,465.1,127100,459.5
2015-10-09,465.6,470.6,465.1,467,102100,461.38
2015-10-12,468.05,473.7,465.65,467.35,179400,461.72
2015-10-13,464.1,476.2,464.1,471.55,259400,465.87
2015-10-14,471.45,481.65,469.1,478.45,311600,472.69
2015-10-15,481.2,489.9,480.5,485.4,292300,479.55
2015-10-16,489.9,489.9,477.15,482.05,111000,476.24
2015-10-19,482.55,489.95,476.2,479.9,172300,474.12
2015-10-20,480.4,484.4,475.5,479.3,229300,473.53
2015-10-21,480.1,482.95,474.2,477.2,173000,471.45
2015-10-22,477.2,477.2,477.2,477.2,0,471.45
2015-10-23,479.05,486.45,478.4,484.3,285900,478.47
2015-10-26,486,506.75,485,493.35,830100,487.41
2015-10-27,492.4,508,487.15,493.45,395200,487.51
2015-10-28,499.65,502.05,488.25,491.9,237600,485.98
2015-10-29,493.05,497.35,486.55,489.95,562600,484.05
2015-10-30,490,498.7,487.5,489,207400,483.11
2015-11-02,491.9,496.7,482.05,486.35,173100,480.49
2015-11-03,489.4,492,480.05,484.1,152800,478.27
2015-11-04,486.9,488.8,478.25,479.85,188200,474.07
2015-11-05,480.2,487.75,476.8,479.05,202400,473.28
2015-11-06,480.55,482.95,474.1,476.65,138600,470.91
2015-11-09,472,474.75,465.1,472.35,210900,466.66
2015-11-10,472,478.05,471.2,473.8,120600,468.09
2015-11-11,473.8,473.8,473.8,473.8,0,468.09
2015-11-12,473.8,473.8,473.8,473.8,0,468.09
2015-11-13,471.85,473.5,461.3,469.65,141200,463.99
2015-11-16,470,471.6,465.1,468,102900,462.36
2015-11-17,468.6,478,466.25,471.95,137200,466.27
2015-11-18,472,474.9,459.1,460,229200,454.46
2015-11-19,463.9,467.9,458.55,463.8,186000,458.21
2015-11-20,466,495.95,466,481.3,767700,475.5
2015-11-23,483,491.3,475.75,484.95,315900,479.11
2015-11-24,485.1,488,474.45,480.75,222700,474.96
2015-11-25,480.75,480.75,480.75,480.75,0,474.96
2015-11-26,480.75,484.8,476.15,481.1,222900,475.31
2015-11-27,481.7,482.4,468.5,472.45,172300,466.76
2015-11-30,472.5,491,470.9,483.95,374100,478.12
2015-12-01,483.85,491.05,479.45,480.2,246900,474.42
2015-12-02,484.7,484.7,474.75,479.9,197800,474.12
2015-12-03,482.4,483.95,477,479.9,153400,474.12
2015-12-04,480.05,483.95,471.1,473.9,461300,468.19
2015-12-07,480,480.85,464.75,466.25,406100,460.63
2015-12-08,464.5,469.6,460.45,462.1,200100,456.53
2015-12-09,461.65,462.1,453.4,459.95,500400,454.41
2015-12-10,462.7,466.35,455.05,465,549200,459.4
2015-12-11,468,487.55,459.95,481.8,1300400,476
2015-12-14,482,487.4,470.05,474.15,672500,468.44
2015-12-15,473.9,474.8,466.05,469,323300,463.35
2015-12-16,478,506.8,475.3,500.25,5273000,494.22
2015-12-17,508.9,511.35,496,498.65,1897000,492.64
2015-12-18,497,503.75,492.15,493.95,824600,488
2015-12-21,494.55,513.9,492.1,508.9,1526400,502.77
2015-12-22,509.45,517,507.25,509.15,819700,503.02
2015-12-23,510,524.1,510,519.3,1248100,513.05
2015-12-24,519,521,511.5,515.3,399300,509.09
2015-12-25,515.3,515.3,515.3,515.3,0,509.09
2015-12-28,517,532.4,517,527.45,1521900,521.1
2015-12-29,535,539.3,530.75,534.5,1297700,528.06
2015-12-30,539.3,539.3,521.15,526.4,711800,520.06
2015-12-31,526.9,538.5,526,529,795100,522.63
2016-01-01,534,534.3,525,526.95,386000,520.6
2016-01-04,523.1,529.45,518.05,519.25,545900,513
2016-01-05,521,577.3,520.15,556.45,2772800,549.75
2016-01-06,555.4,571.5,543.25,567.7,3710400,560.86
2016-01-07,557,585,554.9,560.25,2951200,553.5
2016-01-08,572,573.25,562.15,565.05,818500,558.24
2016-01-11,560,608,558.55,591.55,2721300,584.42
2016-01-12,595.95,600.95,574.6,577.7,2301900,570.74
2016-01-13,584.3,592,562.7,574.25,1832000,567.33
2016-01-14,571,579,555.1,558.65,1150000,551.92
2016-01-15,562.8,568.95,547.55,551.65,793300,545.01
2016-01-18,547,563.75,539.45,552.3,961100,545.65
2016-01-19,557,561.35,539.05,552.65,683900,545.99
2016-01-20,549.8,560.8,542.2,548.85,553600,542.24
2016-01-21,553.9,558.4,545.1,546.7,411400,540.12
2016-01-22,554.9,574.6,548.4,570.2,1227400,563.33
2016-01-25,582.2,589.4,575.2,582.5,1137400,575.48
2016-01-26,582.5,582.5,582.5,582.5,0,575.48
2016-01-27,588,588,571,574.2,679500,567.28
2016-01-28,577.7,579,555.65,563.7,1183000,556.91
2016-01-29,568,568,517.25,559.85,2973500,553.11
2016-02-01,558.55,571.4,550.2,563.9,495500,557.11
2016-02-02,564.6,573,559.3,567.05,514200,560.22
2016-02-03,565.65,570,555.6,557.65,417100,550.93
2016-02-04,561.95,563.95,541.55,550.3,351300,543.67
2016-02-05,552.7,559.45,542.05,552,427800,545.35
2016-02-08,553,555.3,542.15,544.8,652200,538.24
2016-02-09,533,548.4,533,542.45,387200,535.92
2016-02-10,538,547,533.05,540.8,552400,534.29
2016-02-11,544.8,547.75,516.45,527.4,631500,521.05
2016-02-12,521.5,531.25,507,522.95,831400,516.65
2016-02-15,525.25,549,523.7,540.1,462700,533.59
2016-02-16,542,545.4,528.5,532.85,524800,526.43
2016-02-17,533,534.9,520,530.95,400300,524.55
2016-02-18,536,546.5,531.8,538.9,346000,532.41
2016-02-19,540.4,541.5,518,525.4,554600,519.07
2016-02-22,526.9,533.8,522.7,530.3,333300,523.91
2016-02-23,532,533,522.45,526.25,350400,519.91
2016-02-24,528.2,529.95,506.05,509.35,861500,503.21
2016-02-25,510.15,510.15,483.95,489.4,1153900,483.51
2016-02-26,495.9,519.1,490,516.1,635300,509.88
2016-02-29,518,526.3,493,508.35,719700,502.23
2016-03-01,510.5,533.9,509.85,532.25,539700,525.84
2016-03-02,535.15,548.2,526.15,528.2,446200,521.84
2016-03-03,531.2,539.9,529,536.15,321100,529.69
2016-03-04,538.7,545,530.7,533.7,212800,527.27
2016-03-07,533.7,533.7,533.7,533.7,0,527.27
2016-03-08,537.5,539,522,524.1,304400,517.79
2016-03-09,520.45,537,518.55,533.2,241300,526.78
2016-03-10,538.2,550,527.1,539.45,674600,532.95
2016-03-11,541,543.3,526.85,529.1,366700,522.73
2016-03-14,532,534.55,520,523.2,389800,516.9
2016-03-15,524.1,524.1,507.5,517.5,627100,511.27
2016-03-16,520,521.85,510.55,516.4,231800,510.18
2016-03-17,520,530.45,515.05,522.05,491700,515.76
2016-03-18,522.05,524.85,512.4,520.2,633600,513.93
2016-03-21,516.1,540,516.1,534.95,613100,528.51
2016-03-22,534,554.8,531.6,544.65,637000,538.09
2016-03-23,546,555.6,539.6,552.25,564900,545.6
2016-03-24,552.25,552.25,552.25,552.25,0,545.6
2016-03-25,552.25,552.25,552.25,552.25,0,545.6
2016-03-28,560,560.2,539.4,542.15,485500,535.62
2016-03-29,549.9,551.2,539.4,543.4,386000,536.85
2016-03-30,548.9,554.1,546,550.7,473000,544.07
2016-03-31,556,575.95,551.2,569.6,994300,562.74
2016-04-01,567.3,584.2,560.1,563.6,512400,556.81
2016-04-04,565,574.6,563.15,565.05,284200,558.24
2016-04-05,565,571.75,558.25,561.25,243100,554.49
2016-04-06,561.25,563.75,550.15,551.7,351400,545.05
2016-04-07,551.9,552.65,537.4,539.75,277800,533.25
2016-04-08,537,549.75,537,546.35,260400,539.77
2016-04-11,546.55,555.5,546.35,552.3,159500,545.65
2016-04-12,552.9,562.8,551,560.4,208900,553.65
2016-04-13,570,575.95,560.1,574.35,396800,567.43
2016-04-14,574.35,574.35,574.35,574.35,0,567.43
2016-04-15,574.35,574.35,574.35,574.35,0,567.43
2016-04-18,575.95,578.6,564.7,566.25,136900,559.43
2016-04-19,566.25,566.25,566.25,566.25,0,559.43
2016-04-20,567,584,562.9,571.9,816400,565.01
2016-04-21,575,578,564.3,573.35,439400,566.44
2016-04-22,579,594.5,572.35,578.25,1335700,571.29
2016-04-25,575,577.8,564,567.2,346500,560.37
2016-04-26,567.45,575.25,563.2,572.55,224500,565.65
2016-04-27,570.05,575.5,568.15,572,306900,565.11
2016-04-28,570.8,575.5,569.85,572,420900,565.11
2016-04-29,570,578.45,570,573.3,451900,566.39
2016-05-02,579,588,576.1,583.3,583400,576.27
2016-05-03,587.9,587.9,567.4,570.5,705600,563.63
2016-05-04,567.9,575.4,565,571.6,400400,564.72
2016-05-05,573.3,573.8,558.05,562.15,311400,555.38
2016-05-06,560.95,576,556.6,573.2,523600,566.3
2016-05-09,576,576.9,570.6,574.55,310700,567.63
2016-05-10,576.9,576.9,568,571.85,336200,564.96
2016-05-11,568,570.4,565,566.9,292100,560.07
2016-05-12,570,580.25,567.25,568.8,534300,561.95
2016-05-13,570.45,574.55,562.05,568.45,371200,561.6
2016-05-16,576.95,580.95,566.1,574.35,1622300,567.43
2016-05-17,575.05,593.9,575.05,591.35,1810000,584.23
