"Date","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
2016-01-01,653.20001,658.45001,648.5,655.34998,556000,653.09208
2016-01-04,652.04999,653.79999,639.40002,645.65002,631500,643.42555
2016-01-05,646.20001,649.95001,638.04999,640.84998,642200,638.64204
2016-01-06,639.70001,655.95001,638.70001,652.09998,1234000,649.85328
2016-01-07,648,650,629,637.45001,732300,635.25379
2016-01-08,637.29999,645,614,622.34998,1553400,620.20578
2016-01-11,617.40002,617.40002,604.25,610.04999,1668600,607.94817
2016-01-12,609,616.90002,605.70001,611.45001,1278500,609.34337
2016-01-13,615.25,615.95001,596.09998,608.65002,794100,606.55303
2016-01-14,603.40002,617.04999,596.75,614.29999,986500,612.18352
2016-01-15,616,616.95001,602.34998,609.09998,1119400,607.00143
2016-01-18,608,608.04999,586.40002,591.04999,1435000,589.01363
2016-01-19,590.34998,600.79999,583,598.04999,849400,595.98951
2016-01-20,594.79999,603.15002,588,593.15002,1002700,591.10643
2016-01-21,600.25,601.45001,576.54999,580.25,1452400,578.25085
2016-01-22,582.79999,588.5,577.40002,581.90002,1297100,579.89519
2016-01-25,590,590,579.20001,580.59998,910500,578.59962
2016-01-26,580.59998,580.59998,580.59998,580.59998,0,578.59962
2016-01-27,582,587.65002,572.29999,580.5,982500,578.49999
2016-01-28,581,585.5,575,577.79999,1336900,575.80928
2016-01-29,579.95001,592,578.09998,585.09998,1146000,583.08411
2016-02-01,591.90002,605.95001,589.15002,599.45001,1045300,597.38471
2016-02-02,601,606.04999,562,574,1779100,572.02238
2016-02-03,570,578.79999,559.40002,562.04999,1188600,560.11354
2016-02-04,567,570.40002,540.04999,550.40002,1614000,548.50372
2016-02-05,555,573.29999,544.09998,570.15002,864000,568.18567
2016-02-08,574.95001,575.75,561.09998,566.84998,1264300,564.89699
2016-02-09,564.90002,571.20001,551.09998,555.84998,1357600,553.93489
2016-02-10,555,558.95001,534,538.59998,2425400,536.74432
2016-02-11,530,548.70001,517.29999,540.84998,5647600,538.98657
2016-02-12,543,543.54999,525.04999,528.59998,1981900,526.77878
2016-02-15,533.04999,542,528.5,539.70001,2467200,537.84057
2016-02-16,545.95001,549.5,520.45001,524.04999,2664600,522.24446
2016-02-17,526,526.5,513.40002,519.09998,1924500,517.31151
2016-02-18,527.09998,529.40002,520.59998,524.40002,1967700,522.59329
2016-02-19,525.95001,531,519.20001,524.65002,1054000,522.84243
2016-02-22,529.34998,531.84998,525,530.5,1236400,528.67225
2016-02-23,531.90002,532.90002,517.5,522.59998,1047700,520.79945
2016-02-24,522.20001,523.04999,510.5,513.95001,1836700,512.17929
2016-02-25,518,521.79999,510,519,2723500,517.21188
2016-02-26,522.84998,527.75,519,524,1985500,522.19465
2016-02-29,528,528,505,514.15002,3487800,512.37861
2016-03-01,515,521.40002,509.60001,516.34998,2146100,514.57098
2016-03-02,523.5,532,519.40002,525.59998,3422300,523.78911
2016-03-03,530,531,523.40002,527.09998,3101700,525.28394
2016-03-04,533.70001,545.59998,530.25,537.70001,2693400,535.84746
2016-03-07,537.70001,537.70001,537.70001,537.70001,0,535.84746
