"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2015-07-24,485,491,475.1,487.75,136300,477.2777
2015-07-27,483,487.8,462.6,467.6,127100,457.5603
2015-07-28,468.75,484.5,465,472.25,232600,462.1104
2015-07-29,473.05,483,473.05,477.75,89100,467.4924
2015-07-30,481.6,491,478.35,482,97200,471.6511
2015-07-31,484.95,489.6,480,482.25,96900,471.8957
2015-08-03,484,485.7,476.95,479.7,79800,469.4005
2015-08-04,483.8,485.75,462.5,465.95,106900,455.9457
2015-08-05,469,477,460,463.15,121300,453.2058
2015-08-06,464.4,485.05,464.1,471.85,204000,461.719
2015-08-07,472.1,497.4,471.05,478.55,244500,468.2752
2015-08-10,476,496.4,476,485,171800,474.5867
2015-08-11,482.1,529.7,482.1,518.4,403500,507.2696
2015-08-12,524.5,537,510.8,531.6,595600,520.1861
2015-08-13,537,539.75,488.5,497.4,240000,486.7205
2015-08-14,498.6,514,491.7,507.25,251800,496.359
2015-08-17,507.25,518.8,499.5,513.15,220000,502.1323
2015-08-18,516.3,526.1,513.55,520.3,180700,509.1288
2015-08-19,520.3,522,512.7,519.95,134400,508.7863
2015-08-20,516.6,518.85,504.3,509.05,73000,498.1203
2015-08-21,509.05,509.7,476.9,495.15,118600,484.5188
2015-08-24,481,481,425.9,453.75,127400,444.0077
2015-08-25,462.5,467.35,405.1,435.45,196500,426.1006
2015-08-26,435,448,424,430.7,77900,421.4526
2015-08-27,434,445.4,432.3,439.55,94200,430.1125
2015-08-28,442.95,452,418.5,431.75,124500,422.48
2015-08-31,437,473.5,432.05,466.35,297300,456.3371
2015-09-01,464.7,482.95,460,468.15,323400,458.0985
2015-09-02,463.25,476.9,455.15,467.9,107600,457.8538
2015-09-03,467.5,471.5,460,462.65,31600,452.7166
2015-09-04,464,464,442,448.1,46800,438.479
2015-09-07,446.6,453.1,432.1,441.45,52800,431.9718
2015-09-08,438.85,444,427.2,429.5,61100,420.2783
2015-09-09,436,447.5,435,445.2,65200,435.6412
2015-09-10,438.1,459.6,433.55,453.95,69100,444.2034
2015-09-11,456.9,461,447,451.8,354300,442.0995
2015-09-14,455,455,438,443,62800,433.4885
2015-09-15,447.7,451.4,435.7,435.7,35100,426.3452
2015-09-16,442.05,459.35,438.05,453.35,70700,443.6163
2015-09-17,453.35,453.35,453.35,453.35,0,443.6163
2015-09-18,455.55,457.85,434.4,440.5,134900,431.0421
2015-09-21,436.2,449.35,431.05,441.2,58300,431.7271
2015-09-22,440.7,446,437,441,141800,431.5314
2015-09-23,438.05,452.95,431.55,447.65,89900,438.0386
2015-09-24,455.95,479.8,454.9,471.2,157800,461.083
2015-09-25,471.2,471.2,471.2,471.2,0,461.083
2015-09-28,473,485.7,463,479.6,192900,469.3026
2015-09-29,470.2,477.8,460.35,466.3,117700,456.2882
2015-09-30,472.5,478.5,470.1,472.7,56200,462.5508
2015-10-01,477.9,477.9,466.1,473.85,45400,463.6761
2015-10-02,473.85,473.85,473.85,473.85,0,463.6761
2015-10-05,473.85,475.5,463.45,465.85,40400,455.8479
2015-10-06,468,475,461.1,467.5,90100,457.4624
2015-10-07,467.5,472.7,456,458.8,80100,448.9492
2015-10-08,459.95,466.4,455.5,457.6,57500,447.775
2015-10-09,464.6,464.6,442,443.6,101400,434.0756
