"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2015-10-02,20.2315,20.2315,20.2315,20.2315,0,19.68101
2015-10-05,20.322,20.5935,20.322,20.4578,1883400,19.90115
2015-10-06,20.5935,20.5935,20.1409,20.3672,5275800,19.81302
2015-10-07,20.503,20.8199,20.322,20.503,3803900,19.94512
2015-10-08,20.503,20.6841,20.2767,20.3672,1970800,19.81302
2015-10-09,20.4125,20.5935,19.9599,20.0957,3276300,19.5489
2015-10-12,20.1862,20.4125,20.0504,20.322,2948900,19.76904
2015-10-13,20.3672,20.503,20.1862,20.3672,2701200,19.81302
2015-10-14,20.2767,20.7746,20.2315,20.6388,3513900,20.07722
2015-10-15,20.8199,21.1367,20.5483,20.5935,4906300,20.03316
2015-10-16,20.6388,20.9556,20.4125,20.503,4854000,19.94512
2015-10-19,21.0462,21.0462,20.322,20.4125,5647900,19.85708
2015-10-20,20.2767,20.6388,20.2767,20.3672,1796300,19.81302
2015-10-21,20.2315,20.322,19.9146,20.0504,2511900,19.50483
2015-10-22,20.0504,20.0504,20.0504,20.0504,0,19.50483
2015-10-23,20.1409,20.322,19.7789,19.8694,2383900,19.32876
2015-10-26,19.8694,19.9146,19.5978,19.6431,1784500,19.10862
2015-10-27,19.5073,19.7789,19.3715,19.462,3254200,18.93244
2015-10-28,19.3715,19.3715,18.7831,18.9189,4423100,18.40412
2015-10-29,18.9642,19.1452,18.5568,18.6473,10614000,18.13991
2015-10-30,18.6473,18.7379,18.421,18.5116,2990000,18.00791
2015-11-02,18.6021,18.7379,18.24,18.6926,3477600,18.18398
2015-11-03,18.6473,18.8284,18.3758,18.421,2063100,17.91977
2015-11-04,18.5116,19.462,18.4663,18.9189,6800300,18.40412
2015-11-05,18.9642,18.9642,18.5568,18.6021,1818500,18.09594
2015-11-06,18.6021,18.6473,18.4663,18.5568,1579400,18.05188
2015-11-09,18.2853,18.7831,17.9232,18.6473,2020900,18.13991
2015-11-10,18.8284,18.8284,18.3758,18.421,1181900,17.91977
2015-11-11,18.421,18.421,18.421,18.421,0,17.91977
2015-11-12,18.421,18.421,18.421,18.421,0,17.91977
2015-11-13,18.3758,18.5116,18.3305,18.421,1062400,17.91977
2015-11-16,18.3305,18.6926,18.24,18.5116,3710900,18.00791
2015-11-17,18.6021,18.6473,18.4663,18.5116,2712300,18.00791
2015-11-18,18.4663,18.6473,18.1042,18.1947,2098900,17.69963
2015-11-19,18.3305,18.5568,18.1042,18.24,3369700,17.74369
2015-11-20,18.2853,18.5116,18.1042,18.1947,4396100,17.69963
2015-11-23,18.3305,18.3305,18.1042,18.1495,4512100,17.65566
2015-11-24,18.1042,18.1495,17.9684,18.1042,7821100,17.61159
2015-11-25,18.1042,18.1042,18.1042,18.1042,0,17.61159
2015-11-26,18.0137,18.24,18.0137,18.1042,10072500,17.61159
2015-11-27,18.1042,18.421,18.059,18.1495,7432700,17.65566
2015-11-30,18.1495,18.24,18.1042,18.1042,3061400,17.61159
2015-12-01,18.1495,19.2357,18.1495,19.0094,9805000,18.49216
2015-12-02,19.1452,19.3263,18.7379,18.8284,5622600,18.31608
2015-12-03,18.6926,18.8284,18.3305,18.421,3710100,17.91977
2015-12-04,18.2853,18.5568,18.24,18.2853,2506800,17.78776
2015-12-07,18.421,18.4663,18.24,18.2853,2212600,17.78776
2015-12-08,18.1947,18.3305,18.0137,18.059,1432300,17.56762
2015-12-09,17.8326,17.9684,17.4706,17.5158,3355800,17.0392
2015-12-10,17.5611,17.6516,17.2443,17.4253,4578200,16.95116
2015-12-11,17.4253,17.4706,17.0632,17.2443,5882700,16.77509
2015-12-14,17.199,17.5611,17.1537,17.4253,6333500,16.95116
2015-12-15,17.6063,17.6063,17.3801,17.4253,7411100,16.95116
2015-12-16,17.4706,17.6516,17.4253,17.5158,6674300,17.0392
2015-12-17,17.6516,17.7421,17.4253,17.4706,5252200,16.99523
2015-12-18,17.4706,17.5158,17.3801,17.4253,4824200,16.95116
2015-12-21,17.4253,17.6516,17.4253,17.5158,3432600,17.0392
2015-12-22,17.5158,17.7874,17.4253,17.4706,3217000,16.99523
2015-12-23,17.5158,17.7421,17.3801,17.6969,5598400,17.21537
2015-12-24,17.6063,17.7421,17.5158,17.6516,2971100,17.17131
2015-12-25,17.6516,17.6516,17.6516,17.6516,0,17.17131
2015-12-28,17.5611,18.0137,17.5611,17.6969,4924700,17.21537
2015-12-29,17.6969,17.7421,17.6063,17.6969,5658800,17.21537
2015-12-30,17.6516,17.7421,17.6516,17.6969,9200300,17.21537
2015-12-31,17.6969,17.7421,17.4253,17.5158,3064700,17.0392
2016-01-01,17.4706,17.8326,17.4706,17.7874,1949700,17.30341
2016-01-04,17.7874,18.1947,17.6063,17.6969,3370900,17.21537
2016-01-05,17.7421,18.1495,17.6516,18.059,3159800,17.56762
2016-01-06,18.1947,18.421,17.6516,18.1495,5146200,17.65566
2016-01-07,17.7874,18.0137,17.6063,17.6969,6319700,17.21537
2016-01-08,17.7874,17.9684,17.6516,17.6969,2030100,17.21537
2016-01-11,17.6969,17.7874,17.4706,17.6516,4415300,17.17131
2016-01-12,17.6969,17.7874,17.3348,17.3801,3836200,16.90719
2016-01-13,17.4253,17.6063,16.7917,17.3348,7392600,16.86313
2016-01-14,17.199,17.4253,16.9727,17.3801,6461200,16.90719
2016-01-15,17.2895,17.4706,16.4296,16.6106,6350700,16.15863
2016-01-18,16.5654,16.8822,16.2033,16.3391,4129900,15.89452
2016-01-19,16.3843,16.9274,16.3843,16.6106,3356300,16.15863
2016-01-20,16.4748,16.7917,15.8864,16.2485,9733300,15.80638
2016-01-21,16.3391,16.7011,16.3391,16.5654,3779000,16.11466
2016-01-22,16.7464,16.9274,16.5654,16.6559,3842200,16.2027
2016-01-25,16.8822,16.9274,16.5201,16.6106,2355200,16.15863
2016-01-26,16.6106,16.6106,16.6106,16.6106,0,16.15863
2016-01-27,16.6559,16.8822,16.4748,16.7464,1820100,16.29074
2016-01-28,16.7011,16.9727,16.5654,16.6559,9933500,16.2027
2016-01-29,16.5654,16.7917,16.5654,16.7011,4052200,16.24667
2016-02-01,16.9274,17.018,16.6559,16.8822,5837400,16.42284
2016-02-02,16.8369,17.3801,16.7917,17.2443,4394500,16.77509
2016-02-03,17.0632,17.1537,16.6559,16.7464,3846200,16.29074
2016-02-04,16.7464,16.9274,16.3391,16.4296,5461600,15.98256
2016-02-05,16.4296,16.9274,16.4296,16.7917,1925100,16.3348
2016-02-08,16.9274,17.199,16.7011,16.7917,3287700,16.3348
2016-02-09,16.5201,16.7464,16.4296,16.6106,1062700,16.15863
2016-02-10,16.3843,16.6106,16.2938,16.3843,2782300,15.93849
2016-02-11,16.2485,16.2938,15.4338,15.5244,5636700,15.10199
2016-02-12,15.6149,16.2938,15.2075,16.0675,5561400,15.63031
2016-02-15,16.158,16.8369,16.158,16.4748,2342300,16.02653
2016-02-16,16.7011,16.7011,15.7054,15.7959,2972200,15.3661
2016-02-17,15.8412,15.9317,15.4338,15.5244,5623000,15.10199
2016-02-18,15.6601,15.8864,15.2981,15.5244,3111800,15.10199
2016-02-19,15.5244,15.5696,15.0265,15.2528,4701700,14.83778
2016-02-22,15.3433,15.4791,15.2528,15.3433,1945700,14.92581
2016-02-23,15.4338,15.4338,15.2075,15.2528,2087600,14.83778
2016-02-24,15.2075,15.3433,15.117,15.1623,2094000,14.74974
2016-02-25,15.1623,15.2075,15.0265,15.0718,3900600,14.6617
2016-02-26,15.2075,15.2981,14.936,15.0718,2889900,14.6617
2016-02-29,15.1623,15.1623,14.8002,15.0718,2950100,14.6617
2016-03-01,15.0718,15.2981,15.0265,15.2075,3547000,14.79371
2016-03-02,15.4338,15.8412,15.4338,15.7507,6594000,15.32213
2016-03-03,15.8412,16.1127,15.6601,16.0675,2520500,15.63031
2016-03-04,16.2485,16.3391,15.8412,16.1127,3781800,15.67428
2016-03-07,16.1127,16.1127,16.1127,16.1127,0,15.67428
2016-03-08,16.2485,16.2485,15.8412,15.977,2875500,15.54227
2016-03-09,15.977,16.1127,15.6601,16.0222,2293100,15.58624
2016-03-10,16.0222,16.0675,15.8412,15.977,1804100,15.54227
2016-03-11,15.977,15.977,15.7054,15.7507,2363000,15.32213
2016-03-14,15.7959,15.8412,15.6601,15.7054,4231100,15.27806
2016-03-15,15.6601,15.7507,15.6149,15.7054,1745800,15.27806
2016-03-16,15.6601,15.7054,15.4791,15.5696,1266200,15.14596
2016-03-17,15.7054,15.8412,15.5244,15.7054,3844200,15.27806
2016-03-18,15.7054,16.158,15.6149,15.977,7517600,15.54227
2016-03-21,16.1127,16.2485,15.9317,16.1127,2943900,15.67428
2016-03-22,16.158,16.2033,15.8864,16.0675,2066100,15.63031
2016-03-23,16.0222,16.2033,15.9317,16.0675,1718900,15.63031
2016-03-24,16.0675,16.0675,16.0675,16.0675,0,15.63031
2016-03-25,16.0675,16.0675,16.0675,16.0675,0,15.63031
2016-03-28,16.1127,16.158,15.7054,15.7507,2799900,15.32213
2016-03-29,15.7507,15.8412,15.4791,15.5244,2922700,15.10199
2016-03-30,15.6149,15.8864,15.5696,15.7959,2746400,15.3661
2016-03-31,15.8864,16.0675,15.7054,15.977,3864800,15.54227
2016-04-01,15.8864,16.5654,15.8864,16.4748,3438600,16.02653
2016-04-04,16.6106,16.7011,16.2938,16.5201,2379500,16.07059
2016-04-05,16.4748,16.5201,15.7959,15.8412,3708200,15.41017
2016-04-06,15.6601,15.977,15.6601,15.7959,1936900,15.3661
2016-04-07,15.8864,15.8864,15.6601,15.7054,1056000,15.27806
2016-04-08,15.7054,15.7959,15.6601,15.7054,1466600,15.27806
2016-04-11,15.7507,15.8864,15.6149,15.7959,2268100,15.3661
2016-04-12,15.7959,16.1127,15.7054,15.977,4148700,15.54227
2016-04-13,16.0675,16.3843,16.0222,16.158,3600200,15.71835
2016-04-14,16.158,16.158,16.158,16.158,0,15.71835
2016-04-15,16.158,16.158,16.158,16.158,0,15.71835
2016-04-18,15.9317,16.2938,15.9317,16.158,4083400,15.71835
2016-04-19,16.158,16.158,16.158,16.158,0,15.71835
2016-04-20,16.158,16.7011,16.1127,16.6559,5220400,16.2027
2016-04-21,16.7464,16.9274,16.4748,16.5201,4285900,16.07059
2016-04-22,16.3843,16.6559,16.3391,16.5201,4398700,16.07059
2016-04-25,16.5654,16.6106,16.2938,16.3391,1830400,15.89452
2016-04-26,16.3843,16.5654,16.2485,16.5201,4350000,16.07059
2016-04-27,16.4748,16.6106,16.4296,16.5201,1297500,16.07059
2016-04-28,16.5654,16.5654,16.2485,16.3843,5031700,15.93849
2016-04-29,16.3843,16.7464,16.2485,16.5201,3664500,16.07059
2016-05-02,16.4748,16.5201,16.2485,16.2938,1707400,15.85045
2016-05-03,16.2938,16.5654,16.158,16.2033,2954500,15.76241
2016-05-04,16.2033,16.2938,16.0222,16.0675,3058400,15.63031
2016-05-05,16.2485,16.2938,15.9317,16.0675,3783500,15.63031
2016-05-06,16.0222,16.4748,16.0222,16.2938,3901600,15.85045
2016-05-09,16.3391,16.5201,16.2938,16.3391,1888600,15.89452
2016-05-10,16.3391,16.4296,16.2033,16.2485,2955800,15.80638
2016-05-11,16.2033,16.5654,16.0675,16.2938,8806500,15.85045
2016-05-12,16.4296,16.4748,16.2485,16.2938,6364400,15.85045
2016-05-13,16.2938,17.018,16.2485,16.8822,6550700,16.42284
