"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2015-10-13,226,229.95,223.95,226.55,429100,215.033
2015-10-14,226.9,229,224.3,225.55,334400,214.083
2015-10-15,226.3,236.45,226.3,235,1278100,223.053
2015-10-16,237.65,239.55,232.4,235.7,986100,223.717
2015-10-19,236.3,238.45,232.75,237.05,521800,224.999
2015-10-20,238.45,241.9,234,237.05,2714300,224.999
2015-10-21,239.5,241.8,233.45,236.8,922100,224.761
2015-10-22,236.8,236.8,236.8,236.8,0,224.761
2015-10-23,239.1,239.95,232.6,234.1,942000,222.199
2015-10-26,235,235,229.2,231.45,708300,219.683
2015-10-27,231,235.95,230.5,233.25,493900,221.392
2015-10-28,232.4,235.05,230.1,231.6,726300,219.826
2015-10-29,231.95,232.7,225.15,226.75,1430300,215.222
2015-10-30,227,229.4,222.2,224.8,726000,213.372
2015-11-02,224.4,224.4,218.5,220.65,643600,212.265
2015-11-03,221.15,223,218.1,219.95,806000,211.592
2015-11-04,222,224,218.05,219.65,938500,211.303
2015-11-05,218.65,219.45,213.5,214.4,741100,206.253
2015-11-06,214.5,215.7,210.75,212.85,906900,204.762
2015-11-09,209,215.75,205.35,213.3,1342400,205.195
2015-11-10,213.9,214.45,211.05,212.3,615600,204.233
2015-11-11,212.3,212.3,212.3,212.3,0,204.233
2015-11-12,212.3,212.3,212.3,212.3,0,204.233
2015-11-13,216.9,217.4,213,213.85,768700,205.724
2015-11-16,214,216.5,213.15,215.35,381300,207.167
2015-11-17,217,217.8,214.75,216.15,850700,207.936
2015-11-18,216.3,217.5,210.15,210.75,1768500,202.741
2015-11-19,212.9,215.6,212.2,214.4,503900,206.253
2015-11-20,214.9,219.25,213.3,216.2,1100600,207.984
2015-11-23,217.5,221.4,215.5,219.35,754800,211.015
2015-11-24,220.2,222.95,219,220,912900,211.64
2015-11-25,220,220,220,220,0,211.64
2015-11-26,221.25,226.5,221.25,222.55,1600500,214.093
2015-11-27,223.25,225.25,220.8,222.3,738900,213.853
2015-11-30,223.2,225.8,222.3,223.4,461000,214.911
2015-12-01,223.4,224.95,221.2,222.5,563200,214.045
2015-12-02,223.05,224.7,220.15,221.55,308400,213.131
2015-12-03,220.95,225.9,220.05,222.85,686400,214.382
2015-12-04,220.7,222.7,216.3,217.1,610300,208.85
2015-12-07,217.5,221,217.5,219.25,480200,210.918
2015-12-08,219.05,222,217,218.3,470400,210.005
2015-12-09,218.1,220,211.05,212.9,818100,204.81
2015-12-10,213.45,217.8,211.55,216.85,526300,208.61
2015-12-11,217,217.6,209,211.55,674300,203.511
2015-12-14,211.8,216.15,208.8,215.35,327700,207.167
2015-12-15,216.1,217.3,213.5,216.05,346100,207.84
2015-12-16,217.3,220.5,215.1,216.25,604600,208.032
2015-12-17,218,229.55,217.5,228.6,1287900,219.913
2015-12-18,229.3,233.7,227.45,229.1,1054600,220.394
2015-12-21,229.95,233.85,229.5,230.95,652200,222.174
2015-12-22,231.3,232.35,226.5,227.25,429000,218.614
2015-12-23,228,231.55,227.55,229.05,403300,220.346
