"Date","IOC.NS.Open","IOC.NS.High","IOC.NS.Low","IOC.NS.Close","IOC.NS.Volume","IOC.NS.Adjusted"
2015-08-26,393.75,414,387.05,393.9,11922500,171.2581
2015-08-27,402.65,414.5,399.55,409.85,12602200,178.1928
2015-08-28,410.4,413.55,395.7,405.25,6392800,176.1928
2015-08-31,405.8,416.4,403.2,414.45,7249700,180.1928
2015-09-01,410.15,422,401.35,405.95,22967800,176.4972
2015-09-02,414.8,414.8,393.55,395.15,6358900,171.8016
2015-09-03,396,405.85,396,399.75,4779100,173.8016
2015-09-04,394.95,411.65,387,408.85,14624500,183.8282
2015-09-07,405.45,409.95,389.5,394.4,3007000,177.3311
2015-09-08,395.7,398.6,389.2,392.35,4021100,176.4094
2015-09-09,397,405.5,396,402.6,5900800,181.018
2015-09-10,399,406.35,395.1,398.8,3642600,179.3095
2015-09-11,401,402.9,397.15,399.3,2367300,179.5343
2015-09-14,403,408.9,401.1,401.85,3857900,180.6808
2015-09-15,404,405.45,396.6,398.1,2528400,178.9947
2015-09-16,404,404,389.85,395.05,1885000,177.6234
2015-09-17,395.05,395.05,395.05,395.05,0,177.6234
2015-09-18,399,402.9,386.75,390.05,6016700,175.3753
2015-09-21,389.65,390.9,384,386.45,3325500,173.7566
2015-09-22,389.9,395.9,386.75,390.65,3164300,175.645
2015-09-23,390,397.3,387.95,395.6,1971800,177.8707
2015-09-24,396.9,398.7,391.7,394.25,5369100,177.2637
2015-09-25,394.25,394.25,394.25,394.25,0,177.2637
2015-09-28,395.2,401,394.25,398.85,1568600,179.3319
2015-09-29,393,397.8,387.25,394.65,2044500,177.4435
2015-09-30,397.95,404.5,396.5,402.2,3165900,180.8382
2015-10-01,402.95,405.65,399.85,401.25,1614200,180.411
2015-10-02,401.25,401.25,401.25,401.25,0,180.411
2015-10-05,404.8,405,400.05,402.15,2268500,180.8157
2015-10-06,404,407,402.1,403.25,2914400,181.3103
2015-10-07,402,404.1,396.8,397.9,1754200,178.9048
2015-10-08,400,402.4,398.1,399.9,1479600,179.804
2015-10-09,401,402,395.1,399.3,1401300,179.5343
2015-10-12,400.55,401,396.5,399.2,1374800,179.4893
2015-10-13,402,403.65,397,399.95,1319200,179.8265
2015-10-14,401.95,402.5,398.7,399.95,1315800,179.8265
2015-10-15,400.1,404.9,398.2,403.1,2798200,181.2428
2015-10-16,407,408,402.55,407.15,5132300,183.0638
2015-10-19,408,410.5,405.2,405.95,3260400,182.5243
2015-10-20,409.3,409.95,401.55,402.45,5640200,180.9506
2015-10-21,404.7,404.7,396,397.3,1988800,178.635
2015-10-22,397.3,397.3,397.3,397.3,0,178.635
2015-10-23,401.2,401.25,397.9,399.8,2461600,179.7591
2015-10-26,400.8,400.9,391.5,393.05,1386300,176.7241
2015-10-27,392.05,399.9,391.5,398.95,1718700,179.3769
2015-10-28,402,402,397.5,399.85,2047100,179.7816
2015-10-29,400,400.65,391.1,392.5,4570800,176.4768
2015-10-30,393.4,402.5,393,399.75,2418600,179.7366
2015-11-02,401.6,401.6,394.4,397.35,1805400,178.6575
2015-11-03,396.6,403.9,387,401.3,10478300,180.4335
2015-11-04,401.5,411.95,397.55,410.1,6751800,184.3902
2015-11-05,408,412.9,407.25,408.95,3107000,183.8731
2015-11-06,409,414.6,408.1,411.75,2816400,185.1321
2015-11-09,403,414.6,402.8,413.2,2467900,185.784
2015-11-10,412.05,416.1,394.3,399,5009500,179.3994
2015-11-11,399,399,399,399,0,179.3994
2015-11-12,399,399,399,399,0,179.3994
2015-11-13,405.25,408.7,401.1,407.8,2273500,183.3561
2015-11-16,405.25,413,400.9,402.3,2641900,180.8831
2015-11-17,405,408.15,397.05,399.85,1681600,179.7816
2015-11-18,401,406.4,399.2,403.7,1363800,181.5126
2015-11-19,403.3,408.65,400.4,407.1,3548500,183.0413
2015-11-20,405.25,414.95,404.55,411.5,4169800,185.0197
2015-11-23,411,414,408.75,411.8,3144400,185.1545
2015-11-24,412,423.85,410.9,418.4,5442000,188.1221
2015-11-25,418.4,418.4,418.4,418.4,0,188.1221
2015-11-26,418.4,428.25,416.05,421.05,5370200,189.3136
2015-11-27,424,425.15,415.25,419.45,3149700,188.5942
2015-11-30,422.25,424.9,419.35,420.5,2836500,189.0663
2015-12-01,423.6,434.8,423.2,433.35,5410300,194.8439
2015-12-02,435,436.85,430,431.45,2561200,193.9896
2015-12-03,432.6,436.5,428.65,430.55,4561800,193.585
2015-12-04,428.5,433.2,426.95,428.3,1526000,192.5733
2015-12-07,430.1,436.9,427.05,428.7,3148200,192.7532
2015-12-08,430,432.8,420.8,422.6,1947900,190.0105
2015-12-09,422.75,424.45,410.5,413.1,2207400,185.7391
2015-12-10,414.9,417.6,409.7,415.8,3267200,186.953
2015-12-11,415.8,421.8,413.35,415.4,2548600,186.7732
2015-12-14,415,420.6,412,414,1472500,186.1437
2015-12-15,414.9,420.3,414.5,418.25,1672700,188.0546
2015-12-16,421,431.6,421,425.75,2746300,191.4268
2015-12-17,428.15,431.25,426.25,430.05,3697600,193.3602
2015-12-18,432.9,435.65,424.25,425.6,3107200,191.3593
2015-12-21,432,439.6,426,435.45,1895000,195.7881
2015-12-22,436.5,438,430.6,432.65,1648500,194.5292
2015-12-23,432,436.8,431.55,433.1,1526800,194.7315
2015-12-24,430.8,435,430.8,433.6,973300,194.9563
2015-12-25,433.6,433.6,433.6,433.6,0,194.9563
2015-12-28,433.5,437.95,430,430.9,1126200,193.7423
2015-12-29,432.95,434,428.15,430.4,1766400,193.5175
2015-12-30,428.5,430.2,425,425.85,674000,191.4717
2015-12-31,425.55,433.2,424.25,428.55,10507100,192.6857
2016-01-01,428.1,434.7,428,433.25,1251400,194.799
2016-01-04,433,433.25,422,426.45,2005900,191.7415
2016-01-05,427.85,446,426.5,442.65,2642100,199.0254
2016-01-06,444.9,456,441,450.85,4842300,202.7123
2016-01-07,444.4,452.35,435.3,441.55,4505300,198.5308
2016-01-08,441.25,451,441.25,446.8,2882200,200.8913
2016-01-11,445,448.7,438.45,442.9,2183600,199.1378
2016-01-12,444.4,449,438.35,440,2640200,197.8339
2016-01-13,444.8,446.25,429.55,439.2,1903100,197.4742
2016-01-14,435.15,441.9,432.5,435.4,2770100,195.7656
2016-01-15,438.9,441.7,424.25,426.65,2268000,191.8314
2016-01-18,426.5,434.35,415.05,416.9,2433300,187.4476
2016-01-19,420,420,410.3,415,1560100,186.5933
2016-01-20,412.5,414.7,398.25,403.2,2657300,181.2878
2016-01-21,406.15,412.4,393.25,396.15,1853100,178.118
2016-01-22,399.7,410.4,396.05,406.4,2287200,182.7266
2016-01-25,407,409.45,390.7,395.5,1985000,177.8257
2016-01-26,395.5,395.5,395.5,395.5,0,177.8257
2016-01-27,397.5,404,393.85,397,2405000,178.5001
2016-01-28,396.3,407.35,393.95,398.55,5687100,179.197
2016-01-29,399,407,398.8,402.3,3856900,180.8831
2016-02-01,405,406.1,394,403.75,2997600,181.5351
2016-02-02,403,405.6,397.25,398.6,1424200,179.2195
2016-02-03,397,402.3,392,396.35,2327000,178.2079
2016-02-04,401,401,385.25,389.45,1793300,175.1055
2016-02-05,390,398.95,383.25,394.55,1701400,177.3986
2016-02-08,398,399.55,388.05,390.35,1419300,175.5102
2016-02-09,385,393.45,385,388.4,1029200,174.6334
2016-02-10,386.1,390,377.75,384.05,1405700,172.6775
2016-02-11,387.95,387.95,366.45,372.2,2341000,167.3495
2016-02-12,372,377.9,344.9,364.55,4219200,163.9099
2016-02-15,372.05,401,372,388.6,3023300,174.7233
2016-02-16,394.75,394.9,372.15,377.55,2073000,169.755
2016-02-17,381,385.15,375.5,382.5,2466400,171.9806
2016-02-18,385,392.2,383.85,391.25,1967400,175.9148
2016-02-19,388.5,389.9,371.25,373.25,2347300,167.8216
2016-02-22,376,380,372,378.4,1654600,170.1372
2016-02-23,372.4,375.75,360.05,362.7,1739200,167.9607
