"Date","OFSS.NS.Open","OFSS.NS.High","OFSS.NS.Low","OFSS.NS.Close","OFSS.NS.Volume","OFSS.NS.Adjusted"
2015-12-23,3812,3830.35,3801,3804.5,10700,3530.987
2015-12-24,3805,3829.8,3775.15,3782.15,33400,3510.244
2015-12-25,3782.15,3782.15,3782.15,3782.15,0,3510.244
2015-12-28,3785,3794.95,3745.65,3769.25,32800,3498.272
2015-12-29,3770,3786,3764,3767.25,28200,3496.415
2015-12-30,3771.05,3787.85,3735.05,3749.9,23900,3480.313
2015-12-31,3750,3789.9,3713.4,3732.6,36700,3464.257
2016-01-01,3732,3817.8,3710.7,3801.75,8400,3528.435
2016-01-04,3810,3839.05,3720.15,3746.4,47800,3477.064
2016-01-05,3727,3790,3727,3739.45,15500,3470.614
2016-01-06,3783.95,3783.95,3710.65,3737.25,16800,3468.572
2016-01-07,3710,3758,3680,3687.15,28700,3422.074
2016-01-08,3699,3728.95,3664.1,3707.45,29800,3440.915
2016-01-11,3744,3744,3675,3689.15,43500,3423.93
2016-01-12,3681,3742,3681,3725.75,30800,3457.899
2016-01-13,3725,3747.95,3630,3688.65,21400,3423.466
2016-01-14,3700,3728.95,3649.25,3680.3,16200,3415.716
2016-01-15,3690,3720.7,3585.4,3614.6,20200,3354.74
2016-01-18,3614.6,3638,3531.3,3548.1,18100,3293.021
2016-01-19,3513,3575,3478,3531.3,10900,3277.428
2016-01-20,3482,3568.1,3445.2,3536.15,19100,3281.93
2016-01-21,3520,3624.9,3511.1,3528.85,26600,3275.155
2016-01-22,3530,3626.2,3515.8,3616.8,15400,3356.782
2016-01-25,3583,3712.95,3583,3703.3,15900,3437.063
2016-01-26,3703.3,3703.3,3703.3,3703.3,0,3437.063
2016-01-27,3720,3729.6,3663,3689.8,15500,3424.534
2016-01-28,3654,3714.8,3583.1,3603.5,62000,3344.438
2016-01-29,3624,3659,3600,3639.7,8900,3378.035
2016-02-01,3640,3682.95,3617,3648.35,14500,3386.063
2016-02-02,3665,3790,3633.85,3750,33100,3480.406
2016-02-03,3721,3749.9,3630,3637.8,19200,3376.272
2016-02-04,3657,3680,3591,3613,11500,3353.255
2016-02-05,3639,3703.7,3608.05,3661.45,16500,3398.222
