"Date","PCJEWELLER.NS.Open","PCJEWELLER.NS.High","PCJEWELLER.NS.Low","PCJEWELLER.NS.Close","PCJEWELLER.NS.Volume","PCJEWELLER.NS.Adjusted"
2015-10-27,398,405,376.1,378.55,229600,375.97
2015-10-28,381.45,415.5,381.45,410.05,639400,407.25
2015-10-29,409,435,409,430,464400,427.07
2015-10-30,434,449.8,433.2,446.35,468300,443.3
2015-11-02,446.95,461.6,439.65,457.25,493200,454.13
2015-11-03,463.8,468.7,458.1,466.8,549300,463.61
2015-11-04,469,470.45,445,449.9,361300,446.83
2015-11-05,450,452.95,431.05,441.9,320700,438.88
2015-11-06,443,461.7,441.85,452.6,411500,449.51
2015-11-09,449.25,464,442.1,446.7,372500,443.65
2015-11-10,447.8,451.9,413.3,424.4,157600,421.5
2015-11-11,424.4,424.4,424.4,424.4,0,421.5
2015-11-12,424.4,424.4,424.4,424.4,0,421.5
2015-11-13,428,428,408.25,412.1,102600,409.29
2015-11-16,412.1,414.9,393,394.6,119300,391.91
2015-11-17,399,408.75,394.25,398.3,126700,395.58
2015-11-18,398,403,381.4,385.3,109900,382.67
2015-11-19,396.6,396.6,382,385.9,106800,383.27
2015-11-20,388,396,383.5,387.05,118600,384.41
2015-11-23,393.2,396,385.2,387.7,162400,385.05
2015-11-24,390,391,373.2,376,153600,373.43
2015-11-25,376,376,376,376,0,373.43
2015-11-26,377.5,383.5,362.65,365.4,166600,362.91
2015-11-27,370.25,371,360.55,365.85,116000,363.35
2015-11-30,361.1,367.8,359,360.25,93600,357.79
2015-12-01,361,379.9,361,374.45,225800,371.89
2015-12-02,378.7,379.65,370,370.5,164400,367.97
2015-12-03,368,377,366.6,369.35,107200,366.83
2015-12-04,366.9,375.8,365.05,366.6,153400,364.1
2015-12-07,373.65,376.5,368,372.55,82300,370.01
2015-12-08,370,378,364.1,375.75,237400,373.19
2015-12-09,372,387,371.2,378.4,1449300,375.82
2015-12-10,379.05,393,377.3,390.8,434900,388.13
2015-12-11,393.7,398,386.1,390.65,261500,387.98
2015-12-14,383,398,382.5,392.25,98400,389.57
2015-12-15,387.5,399.7,387.05,390.55,230600,387.88
2015-12-16,395,409.8,395,405.7,283100,402.93
2015-12-17,420,420,409.35,411.5,247000,408.69
2015-12-18,404.7,408.9,401,402.05,113300,399.31
2015-12-21,402.5,430,402.5,414.5,131200,411.67
2015-12-22,409,417.9,409,415.6,130700,412.76
2015-12-23,416.5,418.9,411.05,416,220400,413.16
2015-12-24,416,420.6,410.1,415.85,243500,413.01
2015-12-25,415.85,415.85,415.85,415.85,0,413.01
2015-12-28,418.95,418.95,406.55,410.4,110300,407.6
2015-12-29,410.5,413.95,401.65,409.7,147900,406.9
2015-12-30,408.4,413.8,399.05,402.8,126000,400.05
2015-12-31,400,407.9,383.7,390.25,109000,387.59
2016-01-01,393.6,404,383,392.7,83300,390.02
2016-01-04,394.65,399.9,389.1,395.8,59000,393.1
2016-01-05,396.2,405,392.25,402.95,69200,400.2
2016-01-06,407.95,407.95,390,393.4,78000,390.71
2016-01-07,390,398,385,388.9,53300,386.25
2016-01-08,394.75,396,385,388.3,39300,385.65
2016-01-11,385.05,397,380.15,384.7,49400,382.07
2016-01-12,382.05,391,380.1,382.8,37600,380.19
2016-01-13,387.95,390.95,369,383.1,51900,380.49
2016-01-14,380,388,373,380.75,46300,378.15
2016-01-15,380,384.95,365.1,371.35,49200,368.82
2016-01-18,365.05,371,341.5,355.3,58000,352.87
2016-01-19,352.25,372.7,348.55,364.35,45500,361.86
2016-01-20,361,366.2,346.5,360.15,45700,357.69
2016-01-21,360.15,368.8,348,355.8,112700,353.37
2016-01-22,358,368.5,357.1,362.55,87100,360.08
2016-01-25,368.95,394.8,368.05,384,135400,381.38
2016-01-26,384,384,384,384,0,381.38
2016-01-27,389.9,397,380.95,393.85,86700,391.16
2016-01-28,394,421,392.1,418.75,194300,415.89
2016-01-29,426.05,433.9,406,414.85,274700,412.02
2016-02-01,418.7,425,412,422.85,86700,419.96
2016-02-02,418.15,422.5,414.2,416.9,47600,414.05
2016-02-03,416.9,429.4,413.1,416.25,95600,413.41
2016-02-04,422.2,422.2,405.25,416.05,528100,413.21
2016-02-05,416.5,416.5,402.5,404.85,33900,402.09
2016-02-08,412,418,409,412.65,72200,409.83
2016-02-09,408,422,407.95,420.85,89700,417.98
2016-02-10,417.95,424.25,409,421.35,73400,418.47
2016-02-11,419.95,420,380,395.55,56300,392.85
2016-02-12,390.5,399.8,360,377.35,794900,374.77
2016-02-15,377.35,403.1,377.35,392.4,49200,389.72
2016-02-16,392.9,400,380,388.7,40900,386.05
2016-02-17,389,392.5,371.5,385.25,57600,382.62
2016-02-18,386.1,403,385,395.45,56700,392.75
2016-02-19,394.2,408.4,392,404.6,95000,401.84
2016-02-22,406.95,412,397.95,399.25,93300,396.52
2016-02-23,399,401.5,381.9,385.3,128600,382.67
2016-02-24,384,384,368.9,374.4,71100,371.84
2016-02-25,380.95,382,369,372.75,85900,370.21
2016-02-26,377.35,381.8,320.1,324.1,2130200,321.89
2016-02-29,315.1,336.9,295.8,320.8,2649600,318.61
2016-03-01,312.1,340.75,301,338.05,2822100,335.74
2016-03-02,334.9,371.8,329.7,365.2,1486500,362.71
2016-03-03,362.15,363.85,341.1,345.55,906800,343.19
2016-03-04,344.05,358,338.8,353.1,490600,350.69
2016-03-07,353.1,353.1,353.1,353.1,0,350.69
2016-03-08,351,395.95,345,383.15,1374600,380.53
2016-03-09,367.4,377.4,362.65,366.3,845000,363.8
2016-03-10,367.7,370.5,353.7,356.15,521200,353.72
2016-03-11,355,365.5,351.65,357.85,544500,355.41
2016-03-14,360,365.9,352.6,362.45,321800,359.98
2016-03-15,361.9,367.15,356.65,359.15,274100,356.7
2016-03-16,360,360.9,335.55,350.25,572500,347.86
2016-03-17,351.9,353,340.95,342.55,407000,340.21
2016-03-18,339,344.95,332.55,336.55,532300,334.25
2016-03-21,352,355.2,341,345.95,880800,343.59
2016-03-22,346.95,357,339.75,352.3,610600,349.9
2016-03-23,350,354,345.6,349.95,325100,347.56
2016-03-24,349.95,349.95,349.95,349.95,0,347.56
2016-03-25,349.95,349.95,349.95,349.95,0,347.56
2016-03-28,345,353.6,336.5,344.25,514900,341.9
2016-03-29,341.7,350.5,336,347.95,509000,345.58
2016-03-30,353,362,348.8,360.05,503500,357.59
2016-03-31,355.25,370,349.7,363.55,769400,361.07
2016-04-01,359,363.45,352,354.3,229100,351.88
2016-04-04,353.05,359.2,350,353.25,231000,350.84
2016-04-05,348.7,362.6,347,356.8,360300,354.36
2016-04-06,355,360.4,352.1,353.55,163100,351.14
2016-04-07,356,359,349.85,353.5,260700,351.09
2016-04-08,350.1,354.25,346,348.55,270000,346.17
2016-04-11,344.5,352.45,344.5,347.2,221900,344.83
2016-04-12,349.8,376.9,349.8,360.75,1183400,358.29
2016-04-13,364.7,376,352.2,354.1,1754300,351.68
2016-04-14,354.1,354.1,354.1,354.1,0,351.68
2016-04-15,354.1,354.1,354.1,354.1,0,351.68
2016-04-18,354,355.95,343.6,353.8,441900,351.39
2016-04-19,353.8,353.8,353.8,353.8,0,351.39
2016-04-20,357,367.5,356.3,362.05,656600,359.58
2016-04-21,374.9,376.9,365.35,369.55,885900,367.03
2016-04-22,369,369.05,360.25,361.55,257700,359.08
2016-04-25,362,367,354,357.5,236500,355.06
2016-04-26,353.9,358.5,350,357.1,322600,354.66
2016-04-27,357,370.7,356.85,365.15,287100,362.66
2016-04-28,365,367.9,357.7,363.7,408700,361.22
2016-04-29,358.9,364.2,358,360.6,157200,358.14
2016-05-02,362,364.55,354.2,355.1,171200,352.68
2016-05-03,356.2,359.2,346.5,347.4,151600,345.03
2016-05-04,344.9,354.6,336,339.2,293600,336.88
2016-05-05,339.95,343.3,331.8,333.95,227100,331.67
2016-05-06,333.95,338.95,332.2,334.7,159700,332.42
2016-05-09,338.9,342.7,336.65,338.35,172900,336.04
2016-05-10,335,343.4,330.1,338.5,269000,336.19
2016-05-11,333.3,341.35,331.6,338.9,95100,336.59
2016-05-12,341,345.5,338.9,340.35,647600,338.03
2016-05-13,342.35,345.8,341.1,342.75,111700,340.41
2016-05-16,345.5,347.5,342.25,346.35,88400,343.99
2016-05-17,348.5,351.55,344.8,346.15,97400,343.79
2016-05-18,346.85,349.95,343.8,346.15,75800,343.79
2016-05-19,348.25,348.3,339.5,344.1,777900,341.75
2016-05-20,344.3,346.65,340.25,343.45,65800,341.11
2016-05-23,345.7,347.55,341.1,344.2,81600,341.85
2016-05-24,344.2,358.55,340.55,354.85,199600,352.43
2016-05-25,357.1,363,353.1,359.65,175000,357.2
2016-05-26,357.25,372.05,356.1,369.75,407200,367.23
2016-05-27,371.9,371.9,365,368.1,152700,365.59
2016-05-30,368,370,359.95,362,113200,359.53
2016-05-31,368,379.8,358.15,364.1,1018000,361.61
2016-06-01,366,366.4,358.5,359.8,408600,357.34
2016-06-02,353.1,356,348.15,352.85,331700,350.44
2016-06-03,353.6,358.35,350.1,352.5,151500,350.09
2016-06-06,353.1,357.95,350.7,355.3,67400,352.87
2016-06-07,352.5,362.95,352.5,359.15,106000,356.7
2016-06-08,359.9,364.5,353.6,362,93300,359.53
2016-06-09,364,369.25,357.5,364.4,87900,361.91
2016-06-10,368.85,370.8,363.85,369.35,162700,366.83
2016-06-13,371.8,371.8,364.65,366.75,75700,364.25
2016-06-14,365.8,377.5,364.4,373.6,82700,371.05
2016-06-15,376,378,370.1,374.65,172800,372.09
2016-06-16,372,376.45,366.25,375.35,138700,372.79
2016-06-17,375.95,383,373.25,381.45,230200,378.85
2016-06-20,378.2,388.1,372.55,377.1,241900,374.53
2016-06-21,376.8,378.95,369.4,374.6,84400,372.04
2016-06-22,374.2,376.5,370,373.3,162800,370.75
2016-06-23,372,377.55,370.45,374.35,64200,371.79
2016-06-24,369.95,392,365,371.5,338300,368.96
2016-06-27,370,379.95,370,372.55,122900,370.01
2016-06-28,372.2,378,370.9,372.5,136800,369.96
2016-06-29,373.65,376.8,370.45,371.65,84200,369.11
2016-06-30,372.15,388.35,372.15,385.5,394400,382.87
2016-07-01,389.5,397,387.3,393.05,338200,390.37
2016-07-04,396,404.2,396,398.75,163700,396.03
2016-07-05,399.25,407,396,400.85,164700,398.11
2016-07-06,400.85,400.85,400.85,400.85,0,398.11
2016-07-07,401.4,406,387.4,389.15,144400,386.49
2016-07-08,395.6,395.6,371.15,373.15,212900,370.6
2016-07-11,378,380.15,374.65,376.45,147100,373.88
2016-07-12,380.9,380.9,365.5,376.7,147200,374.13
2016-07-13,381.9,383.5,369.7,371.1,116400,368.57
2016-07-14,375.9,384,375.1,380.95,286600,378.35
2016-07-15,377.4,388,377.4,382.25,157300,379.64
2016-07-18,382,387.3,378.15,383.7,135000,381.08
2016-07-19,382.1,392,378.8,388.8,227100,386.15
2016-07-20,379.05,393,378.5,390.25,149000,387.59
2016-07-21,389,394,387,390.1,215900,387.44
2016-07-22,390.65,400,385,397.65,173600,394.94
2016-07-25,398.15,433,397.5,430.1,555100,427.16
2016-07-26,430,430,413.35,420.65,323600,417.78
2016-07-27,419.95,449.35,414.55,431.45,568900,428.51
2016-07-28,431.45,436.25,416,422.9,349800,420.01
2016-07-29,427.5,433.7,420.6,428.3,141100,425.38
2016-08-01,428.35,433.7,419,420.4,121400,417.53
2016-08-02,425,437.6,419.35,425.35,162000,422.45
2016-08-03,426.4,426.9,401,403.8,245300,401.04
2016-08-04,416,418,401.55,409.45,333400,406.66
2016-08-05,410.55,425,408,422.25,188500,419.37
2016-08-08,423.15,429.8,420.45,423.85,120600,420.96
2016-08-09,423.85,436.35,423.05,424.25,196400,421.35
2016-08-10,425.5,429.55,411.25,418.3,112800,415.44
2016-08-11,419.5,432.4,418,429.65,145400,426.72
2016-08-12,430.9,435.3,422,424.55,92600,421.65
2016-08-15,424.55,424.55,424.55,424.55,0,421.65
2016-08-16,418,426.75,403.3,422.6,149100,419.72
2016-08-17,417.45,431.95,417.45,429,131600,426.07
2016-08-18,429.65,437.9,427.3,428.75,157400,425.82
2016-08-19,433.9,443,430.05,437.5,405100,434.51
2016-08-22,438.05,445,434.65,436.3,179800,433.32
2016-08-23,436.25,438.65,429.8,434.75,98900,431.78
