"Date","NCC.NS.Open","NCC.NS.High","NCC.NS.Low","NCC.NS.Close","NCC.NS.Volume","NCC.NS.Adjusted"
2015-08-06,83.7,83.8,81.75,82.4,3129000,81.37348
2015-08-07,80.6,83.2,80.6,82.2,2110700,81.17597
2015-08-10,81.05,83.15,80.2,80.95,1766100,80.33245
2015-08-11,81.4,81.4,76.3,76.5,2692500,75.9164
2015-08-12,76.3,76.3,70.35,73.05,4057400,72.49272
2015-08-13,74.45,78.4,74.1,75,6129100,74.42784
2015-08-14,76.3,78.85,76.2,78.45,3314500,77.85152
2015-08-17,78.65,79.65,74.7,77.9,2255100,77.30572
2015-08-18,78.3,79.3,76.7,78.75,1662500,78.14924
2015-08-19,78.8,78.95,76.75,77.75,1483500,77.15687
2015-08-20,77.05,79.45,76.85,78.8,2462300,78.19886
2015-08-21,76.55,78.6,75.5,78,1664500,77.40496
2015-08-24,73,74.5,64.1,69.75,3588600,69.2179
2015-08-25,71,72.3,64.3,69.5,3224300,68.9698
2015-08-26,67.55,72.1,67.55,71.6,1972100,71.05378
2015-08-27,73.05,75.35,72.7,73.95,2035200,73.38585
2015-08-28,75.1,76,73,74,1347400,73.43547
2015-08-31,73.25,73.25,70.9,71.7,2341700,71.15302
2015-09-01,70.3,71.9,68.25,69.45,1986600,68.92018
2015-09-02,69.9,70.8,66.3,67,3257100,66.48887
2015-09-03,67.8,68.35,65.4,66.05,4557900,65.54612
2015-09-04,65.65,65.65,57.6,58.1,8507700,57.65677
2015-09-07,58.9,60.3,53.25,55.15,8588400,54.72928
2015-09-08,56.4,59.85,54.25,59,5661600,58.5499
2015-09-09,60.55,64.85,60.25,63.1,4909300,62.61863
2015-09-10,60.8,62.65,59.1,61.55,3057100,61.08045
2015-09-11,61.8,63.8,61.15,63,2485300,62.51939
2015-09-14,63,64.2,61.55,62.9,2250200,62.42015
2015-09-15,62.95,64.1,61.8,62.75,1595800,62.2713
2015-09-16,63.15,65.8,60.9,63.95,3244800,63.46214
2015-09-17,63.95,63.95,63.95,63.95,0,63.46214
2015-09-18,65.2,67,64.8,66.4,3181800,65.89345
2015-09-21,65.2,69.15,64.75,68.05,2066500,67.53087
2015-09-22,68.5,74.2,68.45,70.45,7551900,69.91255
2015-09-23,69,71.9,67.75,68.8,4676000,68.27515
2015-09-24,70.7,72.25,69.65,71.4,4787600,70.85531
2015-09-25,71.4,71.4,71.4,71.4,0,70.85531
2015-09-28,72.2,73.25,69,69.45,6740500,68.92018
2015-09-29,68.1,73.9,66.3,73.05,8919000,72.49272
2015-09-30,73.8,75.5,72,74.8,6105000,74.22937
2015-10-01,75.6,77,73.3,74.6,6257800,74.03089
2015-10-02,74.6,74.6,74.6,74.6,0,74.03089
2015-10-05,75.9,76.85,75.2,76.1,3611000,75.51945
2015-10-06,76.7,76.7,74.5,75.25,2599700,74.67594
2015-10-07,75,76.3,74.2,75.5,2538500,74.92403
2015-10-08,75.9,76.2,74.2,75.3,2250800,74.72556
2015-10-09,75.7,76.6,74.3,75.1,1708600,74.52708
2015-10-12,75.3,77.15,75,75.6,2257300,75.02327
2015-10-13,75.75,81.5,75.35,81.1,7613700,80.48131
