"Date","DRREDDY.NS.Open","DRREDDY.NS.High","DRREDDY.NS.Low","DRREDDY.NS.Close","DRREDDY.NS.Volume","DRREDDY.NS.Adjusted"
2015-12-09,2967.95,3024,2951.5,2995.2,1039500,2961.8795
2015-12-10,2994,3037.7,2966.6499,2995.3,687000,2961.9785
2015-12-11,2995.95,3023.95,2951,2969,485800,2935.971
2015-12-14,2966,3017,2951.25,3010.3999,375300,2976.9104
2015-12-15,3011,3041.95,2986.3,2994.2,394700,2960.8906
2015-12-16,3006.8999,3043,2997.3501,3004.5,320800,2971.0761
2015-12-17,3036,3063.95,3010.55,3017.95,492300,2984.3764
2015-12-18,3005,3008.25,2969.8,2974.2,438400,2941.1131
2015-12-21,2983.5,3029.5,2962.55,3009.45,366700,2975.971
2015-12-22,3020.2,3032,2995,3001.1001,190300,2967.714
2015-12-23,3015,3031.25,3010.1499,3024.6001,172700,2990.9526
2015-12-24,3038.5,3049.05,3005,3010,226500,2976.5149
2015-12-25,3010,3010,3010,3010,0,2976.5149
2015-12-28,3015,3129,3015,3120.7,751900,3085.9834
2015-12-29,3100,3147.1499,3090,3100.5,623300,3066.0081
2015-12-30,3111,3172,3111,3121.1499,633200,3086.4283
2015-12-31,3129,3155,3095.3501,3108.6001,545900,3074.0181
2016-01-01,3118.8,3123,3090,3108.6001,171800,3074.0181
2016-01-04,3105,3120,3042.55,3056,333900,3022.0032
2016-01-05,3065,3085.3999,3060,3070.6499,301500,3036.4901
2016-01-06,3073.95,3092,3034.8,3046.25,266700,3012.3617
2016-01-07,3021,3021,2970,2991.8,483900,2958.5174
2016-01-08,2980,3032,2975.8,3010.7,370800,2977.2071
2016-01-11,2993.5,2994,2922.3999,2931.5,465900,2898.8882
2016-01-12,2916,2942.8999,2890.25,2923.25,471500,2890.73
2016-01-13,2935,2949.3,2855.3999,2890.95,375100,2858.7893
2016-01-14,2880,2925,2854,2915,391300,2882.5718
2016-01-15,2931.2,2965,2923.45,2935.8999,341100,2903.2392
2016-01-18,2928,2950.7,2860.1001,2874.8999,275400,2842.9178
2016-01-19,2897.8999,2945.7,2841.6499,2915.5,245100,2883.0662
2016-01-20,2893,2903,2857.8999,2870.1001,395300,2838.1714
2016-01-21,2894,2894,2750.05,2757.1001,623900,2726.4284
2016-01-22,2784,2911.8501,2779.05,2882.3501,384400,2850.2851
2016-01-25,2910,2926,2880.3999,2903.25,188600,2870.9525
2016-01-26,2903.25,2903.25,2903.25,2903.25,0,2870.9525
2016-01-27,2918,2982,2900,2973,427200,2939.9265
2016-01-28,2973.6001,3029.8,2965,3011.2,610100,2977.7015
2016-01-29,2997.95,3119.95,2971,3105.3999,869900,3070.8535
2016-02-01,3085,3138,3041.25,3050.5,565700,3016.5644
2016-02-02,3060,3107.6001,3041,3048.5,409300,3014.5866
2016-02-03,3037.8999,3037.8999,2997.3,3008.3,341900,2974.8339
2016-02-04,3049,3049,2970,3008.6499,338100,2975.1798
2016-02-05,3014.1001,3124,2993.3999,3109.1001,440200,3074.5126
2016-02-08,3099,3124,3032,3070.3501,340500,3036.1936
2016-02-09,3058,3115,2948,2959.6001,1121900,2926.6757
2016-02-10,2900,2937.6499,2825,2885.05,639900,2852.955
2016-02-11,2900,2977.55,2852,2885.3501,786100,2853.2517
2016-02-12,2914.8999,2934.1499,2825.3,2847.45,508300,2815.7732
2016-02-15,2872.3,2896.8999,2813.05,2859.05,380700,2827.2442
2016-02-16,2862.2,2923.5,2845.1499,2855.6499,330900,2823.8819
2016-02-17,2879.1001,2989,2879.1001,2960.7,727600,2927.7633
2016-02-18,3050,3154.3999,3020,3103.6001,1131700,3069.0738
2016-02-19,3105,3105,3045.7,3058.8,385500,3024.7721
2016-02-22,3070,3117.8,3067.3999,3108,287600,3073.4247
2016-02-23,3120,3149,3066,3080.8999,346200,3046.6261
2016-02-24,3074.7,3074.7,3000,3013.2,397200,2979.6793
2016-02-25,3010.8999,3022.75,2985,2994.45,559900,2961.1379
2016-02-26,3020,3029.8,2956.2,2994.05,243000,2960.7424
2016-02-29,2980.6001,3076,2978.05,3036.25,501800,3002.4729
2016-03-01,3040,3049.45,3000,3024.55,319400,2990.9031
2016-03-02,3049.8999,3074.8999,3006,3015.25,368500,2981.7065
2016-03-03,3062,3201,3062,3188.1499,890000,3152.683
2016-03-04,3213.95,3283,3200,3252.75,592600,3216.5644
2016-03-07,3252.75,3252.75,3252.75,3252.75,0,3216.5644
2016-03-08,3260,3270,3188,3219.55,300600,3183.7338
2016-03-09,3221,3226.1001,3174.3999,3219.95,350300,3184.1293
2016-03-10,3235.5,3235.5,3160,3184.25,254700,3148.8265
2016-03-11,3180,3222.2,3178,3210.8501,308100,3175.1306
2016-03-14,3210,3247,3182.2,3233.6499,337800,3197.6768
2016-03-15,3233,3233,3109,3133.3501,214800,3098.4928
2016-03-16,3111,3163.7,3066.25,3154.3,291700,3119.2097
2016-03-17,3164.3999,3165.1001,3105.3501,3125.5,296300,3090.73
2016-03-18,3108,3178,3086.3999,3171.3,380800,3136.0206
2016-03-21,3157,3199,3126.55,3182.25,324800,3146.8487
2016-03-22,3180,3199.8999,3045,3057.95,1035500,3023.9314
2016-03-23,3060,3078.75,3031,3047.8999,404900,3013.9932
2016-03-24,3047.8999,3047.8999,3047.8999,3047.8999,0,3013.9932
2016-03-25,3047.8999,3047.8999,3047.8999,3047.8999,0,3013.9932
2016-03-28,3038,3074.55,3014.1001,3035.6499,380400,3001.8795
2016-03-29,3030,3030,2887.1499,2941.3,506700,2908.5792
2016-03-30,2971.1001,3026.3,2925.45,3015.6499,361100,2982.102
2016-03-31,3022,3063,3003.5,3035.2,662200,3001.4345
2016-04-01,3020.2,3026.1499,2965.1499,2979.95,317100,2946.7992
2016-04-04,3008,3044.3,2997,3011.75,306400,2978.2455
2016-04-05,3005,3040,2992.1001,2999.8999,283700,2966.5272
2016-04-06,3009,3040,2970.1001,3001.45,229600,2968.06
2016-04-07,3005,3075,3005,3035.75,358500,3001.9785
2016-04-08,3050,3089.45,3030.3,3039.1499,220900,3005.3405
2016-04-11,3029.1499,3035,2995,3029.25,228500,2995.5508
2016-04-12,3050,3098,3050,3082.75,287000,3048.4556
2016-04-13,3100,3122.7,3085.05,3099.5,363900,3065.0193
2016-04-14,3099.5,3099.5,3099.5,3099.5,0,3065.0193
2016-04-15,3099.5,3099.5,3099.5,3099.5,0,3065.0193
2016-04-18,3104,3109,3021.8999,3091.05,452000,3056.6633
2016-04-19,3091.05,3091.05,3091.05,3091.05,0,3056.6633
2016-04-20,3116,3130,3099.3501,3108.75,355000,3074.1664
2016-04-21,3119,3139.8999,3108.75,3131.2,307700,3096.3666
2016-04-22,3117.8999,3160,3117.8999,3141.95,242900,3106.997
2016-04-25,3158.45,3168.8999,3097.55,3116.1499,180400,3081.4839
2016-04-26,3117,3134.8501,3100.5,3120.25,177300,3085.5384
2016-04-27,3099.8,3135,3086,3130.75,193200,3095.9216
2016-04-28,3129.8999,3144,3071.6001,3083.3501,328300,3049.049
2016-04-29,3100,3108,3067,3088.7,387500,3054.3394
2016-05-02,3080.95,3080.95,3005,3011.8,213100,2978.2949
2016-05-03,3009,3028,2951.5,2959.3501,348600,2926.4285
2016-05-04,2949,2959,2920,2933.3,234000,2900.6682
2016-05-05,2939,2952,2911,2929.55,201800,2896.9599
2016-05-06,2919.95,2919.95,2859.95,2866.3,244100,2834.4136
2016-05-09,2851,2869.8501,2822,2840.05,393700,2808.4556
2016-05-10,2864,2962,2850.25,2924.45,447400,2891.9166
2016-05-11,2913.6001,2913.6001,2855.05,2868.7,363100,2836.7868
2016-05-12,2871,2988,2844.05,2971.45,1731100,2938.3937
2016-05-13,2899.8999,2943.7,2884.7,2917.2,675600,2884.7472
2016-05-16,2926.8,3028,2926.8,3002.3999,726100,2968.9994
2016-05-17,3012.95,3037,3009.1001,3017.75,307100,2984.1787
2016-05-18,3015.5,3045,3000,3025.3,251400,2991.6448
2016-05-19,3049.5,3049.5,3015,3025.6001,362500,2991.9415
2016-05-20,3040,3045,3022,3033.8,227500,3000.0502
2016-05-23,3020,3047.3,3019.05,3029.8,239000,2996.0947
2016-05-24,3025,3040,3015.1001,3025.1499,176900,2991.4963
2016-05-25,3020,3075,3020,3051.55,209400,3017.6027
2016-05-26,3062.3999,3110,3060.05,3090.7,281500,3056.3171
2016-05-27,3084,3138,3075.1499,3116.05,181700,3081.3852
2016-05-30,3112,3176.3501,3112,3170.25,275400,3134.9822
2016-05-31,3173.55,3198.7,3160,3183.1001,556300,3147.6893
2016-06-01,3190,3219.8999,3172.1001,3183.1499,194200,3147.7386
2016-06-02,3172,3198.75,3166.7,3177.05,238400,3141.7066
2016-06-03,3187,3196.95,3142.3,3160.1001,338600,3124.9452
2016-06-06,3156.3999,3169,3126.3,3151.2,398800,3116.1441
2016-06-07,3140.1499,3183,3132,3155.95,599200,3120.8412
2016-06-08,3149,3165.8,3135,3137.95,236500,3103.0415
2016-06-09,3098.7,3099,3062.25,3070.95,570400,3036.7868
2016-06-10,3055.25,3093.05,3050,3065.8,296200,3031.6942
2016-06-13,3069,3102.25,3068,3088.25,396600,3053.8944
2016-06-14,3088,3109.2,3080,3097.3,269900,3062.8438
2016-06-15,3095,3095,3077.3999,3086.75,217700,3052.4111
2016-06-16,3086.75,3089,3032,3048.25,1081500,3014.3394
2016-06-17,3081,3094.8999,2999.8,3002.95,1066300,2969.5433
2016-06-20,3006,3064,3006,3056.95,142400,3022.9426
2016-06-21,3079,3094,3038,3049.05,132400,3015.1306
2016-06-22,3069,3134,3064.8501,3105.1001,306700,3070.5571
2016-06-23,3108.3501,3178.95,3108.3501,3171.55,216400,3136.2678
2016-06-24,3110,3166.95,3085,3153.25,298300,3118.1713
2016-06-27,3132,3268,3132,3246.6001,416300,3210.4829
2016-06-28,3240,3285,3235.1499,3273.05,401800,3236.6386
2016-06-29,3299,3321.95,3259.3,3274.7,424000,3238.2702
2016-06-30,3328.2,3393.1001,3316,3381.7,612500,3344.0799
2016-07-01,3430,3505.75,3430,3484.1001,549000,3445.3408
2016-07-04,3555.6001,3558.45,3418.3,3435,340500,3396.787
2016-07-05,3440,3480.05,3430,3450.55,316700,3412.164
2016-07-06,3450.55,3450.55,3450.55,3450.55,0,3412.164
2016-07-07,3469.8999,3546,3468,3524.8,602000,3485.588
2016-07-08,3537.05,3572,3495,3561.25,214600,3521.6325
2016-07-11,3582,3639,3573.6001,3626.45,267800,3586.1071
2016-07-12,3627,3631.8999,3566.05,3596.3501,281100,3556.3421
2016-07-13,3605,3626.7,3555,3615.6001,186300,3575.378
2016-07-14,3593.7,3602.1499,3560,3583.2,217000,3543.3382
2016-07-15,3581,3613.8,3563.75,3588,273600,3568.0001
