"Date","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
2015-09-10,175.3,185.4,173.3,184.5,3003900,182.24
2015-09-11,185,188.6,183.05,185.4,2531500,183.13
2015-09-14,186.4,190.15,185.2,188.05,1501900,185.75
2015-09-15,188.55,189.9,185,185.9,1484700,183.62
2015-09-16,187.8,189,183.75,184.6,1587400,182.34
2015-09-17,184.6,184.6,184.6,184.6,0,182.34
2015-09-18,187.05,191.5,185.65,186.55,2692800,184.27
2015-09-21,184.8,194.7,183.85,193.4,2685200,191.03
2015-09-22,195.05,197.5,180.9,183.5,3707600,181.25
2015-09-23,179,186.5,179,185.55,2040000,183.28
2015-09-24,183.8,187.65,183.5,186.7,2464800,184.41
2015-09-25,186.7,186.7,186.7,186.7,0,184.41
2015-09-28,187,188.6,181.75,182.85,989600,180.61
2015-09-29,179,185,177.2,182.2,1926000,179.97
2015-09-30,184.35,185.4,177.9,179.95,2265900,177.75
2015-10-01,180.8,184.15,180.1,182.15,1493000,179.92
2015-10-02,182.15,182.15,182.15,182.15,0,179.92
2015-10-05,182.6,192.3,182.6,190.95,2138700,188.61
2015-10-06,191.9,197,189.25,195.55,2405900,193.16
2015-10-07,196.1,198.5,193.2,194.55,1884200,192.17
2015-10-08,194.7,195.65,190.4,193.25,1375400,190.88
2015-10-09,194.5,195.55,185.1,187.95,1775700,185.65
2015-10-12,188.7,190.3,184.25,188,1065300,185.7
2015-10-13,187,191.35,186.9,190.55,1575100,188.22
2015-10-14,192.1,192.1,186.3,187.1,1251800,184.81
2015-10-15,187.75,192.6,187.75,191.3,1296800,188.96
2015-10-16,192.7,193.85,189.7,191.55,1490600,189.2
2015-10-19,192,194.8,191.05,193.8,944700,191.43
2015-10-20,195,196.8,194.05,194.95,2467000,192.56
2015-10-21,194.9,196.25,191,192.95,1685800,190.59
2015-10-22,192.95,192.95,192.95,192.95,0,190.59
2015-10-23,194.05,198.3,192.25,194.75,1979500,192.36
2015-10-26,195.05,196.25,189.5,190.25,1662100,187.92
2015-10-27,189.4,190.85,187.65,190.1,944700,187.77
2015-10-28,190,193,188.8,190.85,1163600,188.51
2015-10-29,190.25,190.75,181.5,182.25,2334900,180.02
2015-10-30,181.05,181.5,168.2,171.05,5702100,168.96
2015-11-02,171.95,172.6,165.7,169.85,3576700,167.77
2015-11-03,171.1,171.5,163.4,164.75,3632900,162.73
2015-11-04,165.3,166.4,161.7,162.2,3101300,160.21
2015-11-05,162,163.15,158.1,159.05,3894900,157.1
2015-11-06,159.15,162.3,156.45,158.9,1949000,156.95
2015-11-09,156.8,161.4,153.4,160.55,2276900,158.58
2015-11-10,160,162.25,155.7,156.45,1731100,154.53
2015-11-11,156.45,156.45,156.45,156.45,0,154.53
2015-11-12,156.45,156.45,156.45,156.45,0,154.53
2015-11-13,158,158,154.25,155.1,1354900,153.2
2015-11-16,154.9,160.35,151.25,157.7,4472800,155.77
2015-11-17,160.65,163.3,159.25,162,4481600,160.02
2015-11-18,162.5,163.65,156,157.6,2754800,155.67
2015-11-19,159.25,161,157.6,160.35,2058700,158.39
2015-11-20,160.8,162.4,159.6,161.05,1526000,159.08
2015-11-23,161.75,162.25,160.2,161.4,1079800,159.42
2015-11-24,161.6,164.4,160.7,162,2070400,160.02
2015-11-25,162,162,162,162,0,160.02
2015-11-26,162.9,162.9,160.5,160.85,2250900,158.88
2015-11-27,161.35,165.2,161,163.05,1508000,161.05
2015-11-30,163.4,165,161.15,162.7,1098900,160.71
2015-12-01,162,164.5,161,162.95,2109300,160.95
2015-12-02,164.8,166.8,163.5,164.05,2349800,162.04
2015-12-03,163.5,165,157.5,158.45,2693300,156.51
2015-12-04,156,157.9,154.1,155.2,1789700,153.3
2015-12-07,157.2,158.3,156.25,156.8,978300,154.88
2015-12-08,157,157.5,154.5,156.05,1617800,154.14
2015-12-09,154.5,157.05,150.25,151.1,1671100,149.25
2015-12-10,151.15,153,147.55,150.9,2443200,149.05
2015-12-11,151.4,152.1,146.6,148.05,2112900,146.24
2015-12-14,146,151.7,145.15,151,2203100,149.15
2015-12-15,152.6,152.65,147.05,149.3,1467400,147.47
2015-12-16,151,152.15,149.35,150.2,1246300,148.36
2015-12-17,151,154.3,149.2,153.65,1833700,151.77
2015-12-18,153,153.55,150.1,150.9,1726000,149.05
2015-12-21,150.7,152.5,149.2,151.7,1236000,149.84
2015-12-22,152,154.9,151.15,151.65,2060100,149.79
2015-12-23,153.1,153.35,151,152.25,856100,150.39
2015-12-24,152.65,154.3,151.7,153.55,820700,151.67
2015-12-25,153.55,153.55,153.55,153.55,0,151.67
2015-12-28,153.5,156.6,153.35,155.65,1051600,153.74
2015-12-29,156,157.8,155.8,157,1237000,155.08
2015-12-30,157,158.5,154.25,155.2,1045000,153.3
2015-12-31,156.4,157.9,155.2,156.2,1053100,154.29
2016-01-01,156.9,160,156.05,159,1224200,157.05
2016-01-04,159.15,161.9,153.25,155.75,2203700,153.84
2016-01-05,156.95,158.4,154.25,157.25,1324700,155.32
2016-01-06,156.8,160.4,154.5,155.35,1550000,153.45
2016-01-07,153.75,153.8,147,148.85,3355300,147.03
2016-01-08,150.85,151.4,144.25,150.1,3121200,148.26
