"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2016-04-26,90.55,92.15,89.1,91.4,6214700,91.4
2016-04-27,91.7,92.85,90.55,90.9,2366300,90.9
2016-04-28,90.2,92,89.25,89.85,4837900,89.85
2016-04-29,90,91.1,88.5,90.5,2676100,90.5
2016-05-02,89.5,91.6,89.2,90.45,2418100,90.45
2016-05-03,90.8,92.5,90.05,90.75,2682800,90.75
2016-05-04,90.9,90.9,87.75,88.2,1794500,88.2
2016-05-05,86.6,90.25,86.6,89.6,1905600,89.6
2016-05-06,88.75,90.15,88.3,89.5,1987100,89.5
2016-05-09,89.8,91.75,89.8,91.45,3148700,91.45
2016-05-10,91.7,92.35,90.85,91.2,2134900,91.2
2016-05-11,89.05,96.25,89.05,95.7,11302700,95.7
2016-05-12,96.55,97.25,94.8,96.3,5838400,96.3
2016-05-13,96.2,97.15,95.1,96.15,3031400,96.15
2016-05-16,96.4,98.7,95.7,97.6,4524700,97.6
2016-05-17,98,98.3,96.2,96.5,2095700,96.5
2016-05-18,96,96.3,93.5,95.05,2475500,95.05
2016-05-19,94.7,96.65,90.8,91.85,2313000,91.85
2016-05-20,92.95,94.95,92.95,93.9,3528400,93.9
2016-05-23,95,98,87.35,88.25,26363200,88.25
2016-05-24,88.15,88.4,80.05,83.8,21345500,83.8
2016-05-25,85.95,87.2,85.1,86.4,7905200,86.4
2016-05-26,86.9,87.25,84.75,85.65,8466900,85.65
2016-05-27,85.9,88.15,85.9,86.7,4159300,86.7
2016-05-30,87,89,85.4,88.3,4036700,88.3
2016-05-31,88.8,88.95,87,88.3,3409900,88.3
2016-06-01,88.4,91.15,87.55,88.8,4110800,88.8
2016-06-02,89.05,89.8,87.05,88.2,2148300,88.2
2016-06-03,88.7,89.3,86.4,86.85,1968600,86.85
2016-06-06,87.5,88.2,85.6,86.85,1946900,86.85
2016-06-07,86.95,88.9,86.95,88.65,1884200,88.65
2016-06-08,88.8,91.65,88.4,91.1,3270900,91.1
2016-06-09,91.3,92.75,90,92.3,3685600,92.3
2016-06-10,91.95,93.7,91.15,91.7,2595800,91.7
2016-06-13,90.8,91.8,88.5,91.15,2415900,91.15
2016-06-14,91.1,92.4,91.1,91.85,2158900,91.85
2016-06-15,92.4,94.2,91.75,92.5,3712000,92.5
2016-06-16,92,95.3,91.8,94.6,5080100,94.6
2016-06-17,95.1,95.95,92.65,93.8,2277400,93.8
2016-06-20,93.4,98.2,92.6,95.75,6013700,95.75
2016-06-21,96.1,97.5,94.05,94.5,4934100,94.5
2016-06-22,94.95,95.45,93.05,93.9,3626700,93.9
2016-06-23,94,94.6,92.85,93.75,2675800,93.75
2016-06-24,91.1,93.25,86.1,92.7,4434800,92.7
2016-06-27,92.7,94.45,91.75,93.45,2219000,93.45
2016-06-28,93.2,95,93.2,93.6,3744600,93.6
2016-06-29,94.05,96.75,94,96.35,3919300,96.35
2016-06-30,97,98.75,96.45,97.7,5878500,97.7
2016-07-01,97.2,99.7,97.2,99.05,6148200,99.05
2016-07-04,99.9,102.35,99.75,100.2,4794900,100.2
2016-07-05,100.25,102,97.4,98.55,4236300,98.55
2016-07-06,98.55,98.55,98.55,98.55,0,98.55
2016-07-07,98.8,99.4,95.9,96.5,3286500,96.5
2016-07-08,97,98,95.7,97.15,1990000,97.15
2016-07-11,98.2,98.7,96.95,97.55,1982700,97.55
2016-07-12,97.8,99.7,96.1,99.25,5231600,99.25
2016-07-13,99.7,99.8,96.85,99,8136800,99
2016-07-14,98.45,101,97.75,99.4,2483800,99.4
2016-07-15,100.5,100.7,98.1,98.65,2406200,98.65
2016-07-18,99,100.35,95.85,96.35,2098300,96.35
2016-07-19,96.45,96.65,93.7,95.75,2595600,95.75
2016-07-20,95.5,97,95.5,96.5,2053900,96.5
2016-07-21,96.6,99.25,96.55,98.6,5545000,98.6
2016-07-22,98.7,99.45,96.85,97.85,4229000,97.85
2016-07-25,97.8,99.4,97.75,98.8,2793100,98.8
2016-07-26,99,101.4,98,98.75,2967500,98.75
2016-07-27,99.35,100,93,93.55,4909100,93.55
2016-07-28,94.5,96,91.3,93.9,13335700,93.9
2016-07-29,94.7,103.8,94.55,102.95,20589200,102.95
2016-08-01,103.65,107.4,103,104.8,15531100,104.8
2016-08-02,105.7,106.95,101.95,103.5,8585200,103.5
2016-08-03,103.75,104.65,100.5,101.4,6174100,101.4
2016-08-04,105,105,96.6,97.4,11387100,97.4
2016-08-05,98,99.1,96.75,98.2,3811800,98.2
2016-08-08,99,101.45,98.65,100.1,5399500,100.1
2016-08-09,99.8,99.8,94.5,95.8,19676000,95.8
2016-08-10,95.7,95.8,89.2,90.2,10534600,90.2
2016-08-11,90.5,91.8,87.65,89.4,6053700,89.4
2016-08-12,89.5,90.8,86,87.95,4695700,87.95
2016-08-15,87.95,87.95,87.95,87.95,0,87.95
2016-08-16,86.6,92,86.6,91.35,7151700,91.35
2016-08-17,91.9,95.5,91.55,92.4,10381900,92.4
2016-08-18,93.4,96.7,93.2,96.35,10332300,96.35
2016-08-19,96.55,97.5,93.5,94.15,7531100,94.15
2016-08-22,94.15,94.15,92.25,93.05,4212100,93.05
2016-08-23,92.9,96.3,92.8,96,9757400,96
2016-08-24,96.45,98.1,96.15,97.75,6571900,97.75
2016-08-25,98.2,98.25,93.75,94.2,7591300,94.2
2016-08-26,94.85,96.9,93.35,95.55,6657100,95.55
2016-08-29,95.7,96,93,95.35,4072800,95.35
2016-08-30,95.9,97.35,94.3,97,3703000,97
2016-08-31,97.3,99.45,96.25,98.65,7581000,98.65
2016-09-01,98.3,98.35,91.85,93,7311500,93
2016-09-02,93,95.65,92.9,94.95,3893300,94.95
2016-09-05,94.95,94.95,94.95,94.95,0,94.95
2016-09-06,94.85,96.5,94.55,96,3743500,96
2016-09-07,96,96.9,95.1,96.35,4717200,96.35
2016-09-08,96.35,98.3,96.35,97.55,2861400,97.55
2016-09-09,97.1,97.7,95.15,96.05,3864000,96.05
2016-09-12,94.8,94.8,91.2,91.8,5002800,91.8
2016-09-13,91.8,91.8,91.8,91.8,0,91.8
2016-09-14,91.9,96.35,91.9,95.9,7018900,95.9
2016-09-15,96,101.05,95.6,100.45,11997900,100.45
