"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2015-07-30,109,116.5,108.7,115.55,11714000,115.55
2015-07-31,116,117.15,113.15,116.05,7517900,116.05
2015-08-03,116.45,116.95,114.7,115.2,3885100,115.2
2015-08-04,115.8,116.1,113.8,115.3,4185800,115.3
2015-08-05,116,121.35,115.2,120.8,9619400,120.8
2015-08-06,121.2,121.65,118.5,119,4838300,119
2015-08-07,119.05,120.4,117.55,118.7,4964300,118.7
2015-08-10,118.3,121.4,118.05,118.95,4640500,118.95
2015-08-11,119.75,120.9,117.9,119.6,4203500,119.6
2015-08-12,119.65,120.65,113.65,114.2,4935900,114.2
2015-08-13,115.25,117.4,112.6,113.65,5279400,113.65
2015-08-14,114.15,119.5,113.85,119,5189400,119
2015-08-17,118.1,120.5,116.6,118.95,3391400,118.95
2015-08-18,119.15,119.75,115.3,116.65,3740300,116.65
2015-08-19,117,117.8,115.1,115.65,4313800,115.65
2015-08-20,114.85,116.7,109.7,111.4,5290600,111.4
2015-08-21,109.5,110.3,106.45,109.1,7034800,109.1
2015-08-24,105,105.4,94.95,96.7,9367800,96.7
2015-08-25,101,104.4,96.4,103.2,9542400,103.2
2015-08-26,101.5,109.75,100.3,106.25,8365900,106.25
2015-08-27,108,109.1,106.15,107.05,6073100,107.05
2015-08-28,108.2,108.7,102.4,103.85,7719800,103.85
2015-08-31,103.35,105.25,102.3,104.3,3018700,104.3
2015-09-01,104.4,104.45,99,101.5,3143500,101.5
2015-09-02,102.85,103.9,100.7,102.85,3283800,102.85
2015-09-03,103.8,106.8,103.5,105.85,4608100,105.85
2015-09-04,105.75,105.75,100.9,102.05,3235300,102.05
2015-09-07,102.6,103.65,98.85,99.6,2540500,99.6
2015-09-08,99.2,103.15,94.85,101.85,8522000,101.85
2015-09-09,103.55,104.4,101.55,101.95,3340500,101.95
2015-09-10,99.2,104.15,97.7,103.6,6625700,103.6
2015-09-11,104.45,106,103.4,104.2,2694100,104.2
2015-09-14,104.75,106.9,104.25,106.45,3286800,106.45
2015-09-15,106.25,109.25,105.85,106.8,4900300,106.8
2015-09-16,107.9,109.3,106.3,108.35,5887400,108.35
2015-09-17,108.35,108.35,108.35,108.35,0,108.35
2015-09-18,109,110.55,108.2,109.3,3455300,109.3
2015-09-21,113.5,116.95,112.1,116.35,13096600,116.35
2015-09-22,117.1,117.3,112.25,113.55,3726300,113.55
2015-09-23,111.75,114.9,111.4,114.35,2962000,114.35
2015-09-24,113.3,116,113.3,113.85,3997800,113.85
2015-09-25,113.85,113.85,113.85,113.85,0,113.85
2015-09-28,113.4,115.7,113.2,114,2142000,114
2015-09-29,112.6,113.9,109.55,110.3,3328400,110.3
2015-09-30,106.7,108.45,105.1,106.35,27251000,106.35
2015-10-01,107.4,108.1,106,106.35,5362000,106.35
2015-10-02,106.35,106.35,106.35,106.35,0,106.35
2015-10-05,107,108.45,106.5,107.95,5117400,107.95
2015-10-06,108.5,109.4,107.25,107.55,4291300,107.55
2015-10-07,107.05,107.85,105.25,107.1,5367300,107.1
2015-10-08,107.45,107.75,105.65,106,4821900,106
2015-10-09,106.6,107.05,103.1,104.55,3809000,104.55
2015-10-12,104.9,105.45,102.6,103.15,3913200,103.15
2015-10-13,102.5,105.1,102.5,104.7,3072000,104.7
2015-10-14,104.15,105.25,102.9,103.2,2603700,103.2
2015-10-15,104.05,106,103.5,105.65,3279900,105.65
2015-10-16,106.1,107.7,105.7,107.05,3629200,107.05
2015-10-19,107.6,109.2,107.3,108.5,3373600,108.5
2015-10-20,108.95,109.55,107.5,108.1,3781000,108.1
2015-10-21,107.55,109.5,105.75,108.8,7460800,108.8
2015-10-22,108.8,108.8,108.8,108.8,0,108.8
2015-10-23,110,110.45,108.5,109.3,2878100,109.3
2015-10-26,109.85,110.3,108.55,109.55,3031300,109.55
2015-10-27,109.55,111.9,106.6,107.65,21036500,107.65
2015-10-28,107.95,110.85,107.7,108.8,8696400,108.8
2015-10-29,109.3,109.35,106.9,107.3,8023700,107.3
2015-10-30,107.15,108.15,105.55,105.95,3619400,105.95
2015-11-02,106.5,106.5,102.9,104.35,4465700,104.35
2015-11-03,104.9,105.5,103.35,103.7,2683500,103.7
2015-11-04,104.3,104.3,100.75,102.45,7390800,102.45
2015-11-05,101.5,101.9,95.9,96.7,7103100,96.7
2015-11-06,97,99.3,95.1,98.4,4426700,98.4
