"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2015-06-26,852,855.6,839.6,850.75,1747900,842.45
2015-06-29,833,840,824,837.55,2601700,829.38
2015-06-30,839,846,834.05,843.85,2180200,835.62
2015-07-01,843.9,871.5,841.65,867.05,2001600,858.6
2015-07-02,868,878,867,869.7,2549100,861.22
2015-07-03,869.8,874.55,862.2,871.35,1086800,862.85
2015-07-06,859.7,870.7,855,869.55,1967900,861.07
2015-07-07,870,877.9,856.25,862,1703300,853.59
2015-07-08,850,852.65,792.2,797.5,10252100,789.72
2015-07-09,809,820,795,799.8,6145800,792
2015-07-10,807.95,814.35,804,809.85,2491600,801.95
2015-07-13,815,820.1,788,814.5,4772300,806.56
2015-07-14,815,821.9,806,812,2628500,804.08
2015-07-15,811.7,815,801,804.3,2743500,796.46
2015-07-16,808,835.7,804.8,830.35,5620100,822.25
2015-07-17,821,836,812,824.55,4237100,816.51
2015-07-20,825.9,827,814,817.95,2146800,809.97
2015-07-21,820,822.55,805.05,807.65,1594300,799.77
2015-07-22,807,824.9,801.1,823.1,2642900,815.07
2015-07-23,822,832,815.05,820.35,1978400,812.35
2015-07-24,821,827.5,806,808.15,2551900,800.27
2015-07-27,808,809.35,782.25,785.3,3218500,777.64
2015-07-28,787.95,799.95,784.1,794.95,2159300,787.2
2015-07-29,801.9,821,796,816.1,6444600,808.14
2015-07-30,822,825.9,808.8,812.5,3904000,804.58
2015-07-31,817.9,840.8,814.1,828.95,4308200,820.87
2015-08-03,834.95,840.9,824.25,833.25,3818200,825.12
2015-08-04,831.5,843.5,825.05,841.65,3742800,833.44
2015-08-05,844,846.45,829.2,830.6,1322900,822.5
2015-08-06,833,836.4,825,827.6,1450600,819.53
2015-08-07,828,829.7,819.35,821.45,1332800,813.44
2015-08-10,824,834.3,812.1,816.75,2218300,808.79
2015-08-11,820,823,797,798.65,2514100,790.86
2015-08-12,794.8,795,766.7,770,3082900,762.49
2015-08-13,780,785,757.2,762.15,3570100,754.72
2015-08-14,766,798.8,765,796.8,3792400,789.03
2015-08-17,796.95,802.5,783.4,790.6,1488500,782.89
2015-08-18,794.95,800,781.75,786,1994800,778.34
2015-08-19,788,789.6,771.55,774.25,1695400,766.7
2015-08-20,774,775.8,703.3,720.05,6941300,713.03
2015-08-21,708.95,709,679.3,692.15,9555100,685.4
2015-08-24,663,663,595,629.7,9807300,623.56
2015-08-25,648,684.95,637.5,680.7,7175700,674.06
2015-08-26,680.7,695,662.8,681.65,5683900,675
2015-08-27,704.7,705,668.6,687.6,6174200,680.89
2015-08-28,699.85,701.8,658.8,676.7,5860300,670.1
2015-08-31,676.95,694.25,671,689.45,2981800,682.73
2015-09-01,679.9,679.9,652.8,666.4,4187100,659.9
2015-09-02,675,677.2,652.3,659.25,3786000,652.82
2015-09-03,666,676.4,660.8,671.7,3012500,665.15
2015-09-04,665,668,635,647.2,3741000,640.89
2015-09-07,649,656.25,641.1,650.7,2689500,644.35
2015-09-08,656.4,700.9,653.2,696.85,6837800,690.05
2015-09-09,717.75,723.9,710,716.55,6101700,709.56
2015-09-10,695,719.7,691,713,3547000,706.05
2015-09-11,719.7,726.35,704.35,710.95,3034000,704.02
2015-09-14,710,734.1,706.3,731.65,3313100,724.52
2015-09-15,732.7,741.25,725.35,727.95,3222100,720.85
2015-09-16,735,760.4,735,758.45,5430400,751.05
2015-09-17,758.45,758.45,758.45,758.45,0,751.05
2015-09-18,773,779,763.6,771.65,5365800,764.13
2015-09-21,759.65,772.8,755.9,767.2,3252900,759.72
2015-09-22,772,773.8,723,733.25,3825100,726.1
2015-09-23,723,743.9,714.25,738.25,5706400,731.05
2015-09-24,737.7,743.5,718.6,720.9,3667700,713.87
2015-09-25,720.9,720.9,720.9,720.9,0,713.87
2015-09-28,720,741.5,720,729.9,3474100,722.78
2015-09-29,720.1,749,702.75,738.6,7700800,731.4
2015-09-30,744.3,754.35,723.3,729.7,4205000,722.58
2015-10-01,739,739.4,715,728.6,3744700,721.5
2015-10-02,728.6,728.6,728.6,728.6,0,721.5
2015-10-05,732.75,753,732.75,750.25,3239700,742.93
2015-10-06,752.4,756.6,736.9,743.1,2644400,735.85
2015-10-07,743.1,745.65,733.6,735.75,2485700,728.58
2015-10-08,733,735.5,720.45,727.35,2761300,720.26
2015-10-09,733.3,741.9,720.1,725.65,2676100,718.57
2015-10-12,729.3,736.5,720.6,723.75,2329500,716.69
2015-10-13,725.9,736.1,724,733.8,3022400,726.64
2015-10-14,733,742.6,730,738.7,1934200,731.5
2015-10-15,742,761.1,742,759.15,3951100,751.75
2015-10-16,760,774.7,752.25,773.55,3243600,766.01
2015-10-19,772.85,775.95,766.1,770.45,1877400,762.94
2015-10-20,770.9,778.7,761.35,770.1,2724200,762.59
2015-10-21,770,775.4,757,765.3,1886500,757.84
2015-10-22,765.3,765.3,765.3,765.3,0,757.84
2015-10-23,772.6,780,764,771.15,2474200,763.63
2015-10-26,774,776,743.6,746.2,2263100,738.92
2015-10-27,746,756.3,742,751.3,2730900,743.97
2015-10-28,741,748.45,716.8,727.65,4021100,720.55
2015-10-29,729.9,747.6,707.75,743.6,11994800,736.35
2015-10-30,749.9,765.65,744,758.65,4009700,751.25
2015-11-02,755.2,773.5,752.4,772,2661600,764.47
2015-11-03,775.4,781.5,766.5,779.3,3031200,771.7
2015-11-04,784,790,780.2,783.75,2479100,776.11
2015-11-05,780,780.5,759.1,762,2421000,754.57
2015-11-06,762.2,773.7,750,758.45,2568300,751.05
2015-11-09,744,768.2,735.3,761.95,3939300,754.52
2015-11-10,755.15,766.5,737.1,739.65,2396100,732.44
2015-11-11,750,760,750,756.3,704400,748.93
2015-11-12,756.3,756.3,756.3,756.3,0,748.93
2015-11-13,753.5,757.5,733.5,738.1,3929500,730.9
2015-11-16,736,753,735.1,750.95,2554500,743.63
2015-11-17,756.4,757.4,737,745.65,3085400,738.38
2015-11-18,745.65,751,720.2,723.05,2699000,716
2015-11-19,728.5,734.9,724.1,733.4,3323700,726.25
2015-11-20,733.35,741.6,725.1,731.2,2613700,724.07
2015-11-23,734,744.75,732.1,740.65,2244600,733.43
