"Date","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
2015-07-06,862.04999,880.29999,861.5,878.90002,1381800,874.85453
2015-07-07,879.5,891.79999,875,885.34998,2556800,881.27479
2015-07-08,883.29999,888.5,866.90002,871.29999,2485100,867.28947
2015-07-09,871,885.34998,864.20001,872.40002,2059400,868.38445
2015-07-10,881,907.79999,878.90002,901.54999,3549800,897.40024
2015-07-13,909.90002,925.5,908,915.5,3265100,911.28604
2015-07-14,915.40002,921.5,905.54999,919.40002,1706300,915.16811
2015-07-15,921.5,933,914.5,929.75,2417300,925.47045
2015-07-16,934.29999,943.5,932,941.34998,1756800,937.01703
2015-07-17,948,957,942.59998,947.65002,2256600,943.28808
2015-07-20,952.84998,953.70001,945,948,1378900,943.63644
2015-07-21,853.20001,853.20001,795.25,805.25,32687500,801.54351
2015-07-22,811,836.95001,808.09998,834.54999,10872700,830.70863
2015-07-23,839,839.09998,821.5,828.84998,3645700,825.03485
2015-07-24,829,839.79999,825.29999,836.20001,3052600,832.35106
2015-07-27,833.70001,839.79999,819.09998,823.70001,3606100,819.9086
2015-07-28,825,834.5,810.04999,820.15002,2689600,816.37495
2015-07-29,823,834.04999,819.65002,829.75,2301200,825.93074
2015-07-30,835,835.5,810.20001,814.25,4324600,810.50208
2015-07-31,819,825.29999,812,822.40002,3307400,818.61459
2015-08-03,822,832,820,830.95001,2029100,827.12522
2015-08-04,834.79999,834.79999,820,830.09998,3069400,826.2791
2015-08-05,833,844.40002,827.09998,841.90002,2246900,838.02484
2015-08-06,845,857.40002,842.09998,845.40002,3573900,841.50872
2015-08-07,855,857.25,850,851.95001,2261300,848.02856
2015-08-10,854.79999,856.54999,831,840.70001,2206900,836.83035
2015-08-11,843,846.59998,831.29999,841.75,2135200,837.8755
2015-08-12,847.95001,884.90002,847,866.15002,5281100,862.16321
2015-08-13,868.90002,888,840,879.04999,2580600,875.0038
2015-08-14,888,914.70001,887.59998,897.70001,4606500,893.56798
2015-08-17,909,918,889.59998,906.20001,2930800,902.02886
2015-08-18,907.15002,915,885.75,889.75,1790800,885.65456
2015-08-19,897,930,896.25,927.75,5294200,923.47965
2015-08-20,946,966,931.70001,936.65002,7479700,932.33871
2015-08-21,933,942.34998,907.54999,937.90002,4481800,933.58296
2015-08-24,909,940,875.20001,891.09998,6095500,886.99832
2015-08-25,915.84998,921.65002,850,890.59998,5366500,886.50062
2015-08-26,892.90002,900.34998,868.59998,872.90002,3455200,868.88214
2015-08-27,896,905.84998,880,902,5115900,897.84818
2015-08-28,911,916.5,865,886.45001,4988400,882.36976
2015-08-31,882.40002,911.40002,870,898.95001,13512100,894.81223
2015-09-01,883.70001,916,882,901.95001,4315400,897.79842
2015-09-02,914,917,886.70001,890.15002,4877000,886.05274
2015-09-03,898,901.90002,881.09998,884.95001,2306700,880.87667
2015-09-04,890,890,852.65002,857.70001,3075600,853.7521
2015-09-07,860.15002,866,832,836.5,2479600,832.64967
2015-09-08,842,850,815,844.59998,3192900,840.71236
2015-09-09,856.65002,860,835.20001,839.04999,2164300,835.18792
2015-09-10,835,844.04999,824.90002,839.70001,2478500,835.83495
2015-09-11,844,851.95001,840.34998,846.04999,2710700,842.1557
2015-09-14,854.20001,858.95001,845.34998,857.04999,2590700,853.10506
2015-09-15,858.59998,871.5,855,866.70001,3818300,862.71067
