"Date","GRANULES.NS.Open","GRANULES.NS.High","GRANULES.NS.Low","GRANULES.NS.Close","GRANULES.NS.Volume","GRANULES.NS.Adjusted"
2015-07-27,109,115.75,108.6,114.8,7082600,113.136
2015-07-28,116.35,119.7,116.2,117.9,4124200,116.191
2015-07-29,119,119.6,113.25,118.15,3465200,116.438
2015-07-30,119.5,121.6,116.25,117.2,2654500,115.501
2015-07-31,117.1,118.4,113.6,114.2,1770000,112.545
2015-08-03,114.9,117.7,110.7,116.2,1836800,114.516
2015-08-04,115.9,119.4,113.1,117.6,2127500,116.396
2015-08-05,117.95,121,116.1,118.25,2070200,117.189
2015-08-06,118,119.3,116.75,117.55,1308300,116.496
2015-08-07,117.5,117.85,114.5,115.2,1084800,114.167
2015-08-10,115.3,118.4,115,116.1,891200,115.059
2015-08-11,116.8,117.15,106.6,107.9,1865700,106.932
2015-08-12,107,108.7,102.5,104.1,1801200,103.166
2015-08-13,105.75,111.4,105.4,107.3,2021300,106.338
2015-08-14,108.6,113.2,108.5,112.25,1692800,111.243
2015-08-17,112.4,116.95,108.9,115.2,1689900,114.167
2015-08-18,115.75,120.8,115.75,118.95,2425600,117.883
2015-08-19,119.3,131.95,118.35,130.65,6674700,129.478
2015-08-20,130.9,134.2,121.2,125.25,2841300,124.127
2015-08-21,124,130.9,117.15,129.4,2719500,128.239
2015-08-24,121,125,103.55,111.2,4408100,110.203
2015-08-25,112,118.5,101.25,111.7,3946300,110.698
2015-08-26,111.8,117.5,108.3,114.6,2440500,113.572
2015-08-27,117.95,125,117.95,124.4,3152600,123.284
2015-08-28,126.6,128.9,120.1,121.9,2226800,120.807
2015-08-31,122.1,126.4,120.1,123.95,1695100,122.838
2015-09-01,122.3,125.75,118.05,121.9,1993100,120.807
2015-09-02,123.25,124.9,119.1,119.9,1613300,118.824
2015-09-03,121.2,123.5,120.2,121.25,1280900,120.162
2015-09-04,121.85,121.85,115,116.75,1616300,115.703
2015-09-07,117.45,118.8,110.2,110.6,1526700,109.608
2015-09-08,110.95,113.8,103,111.9,2755800,110.896
2015-09-09,114,116.85,113.6,113.95,1618200,112.928
2015-09-10,112,117.4,108.5,116.6,1951100,115.554
2015-09-11,117.6,119.25,115.1,116.5,1130900,115.455
2015-09-14,117.5,119.2,115,117.25,940300,116.198
2015-09-15,117.45,117.7,114.1,115,1101700,113.968
2015-09-16,116.7,117.25,114.6,115.4,840400,114.365
2015-09-17,115.4,115.4,115.4,115.4,0,114.365
2015-09-18,120,123,119.3,120.85,2622900,119.766
2015-09-21,121.2,132.4,118.4,131.3,5617000,130.122
2015-09-22,132.5,135.5,125,127.75,3770800,126.604
2015-09-23,124.4,138.85,123.95,137.55,4922200,136.316
2015-09-24,138.4,144.9,138.2,141.45,4200500,140.181
2015-09-25,141.45,141.45,141.45,141.45,0,140.181
2015-09-28,142.5,145.85,136.5,137.7,2423500,136.465
2015-09-29,136,141,133.2,138.5,2809400,137.258
2015-09-30,139.9,143.25,138.3,140.8,1461700,139.537
2015-10-01,142,143.8,139.1,141.05,2510400,139.785
2015-10-02,141.05,141.05,141.05,141.05,0,139.785
2015-10-05,142.5,145.8,142,143.35,1899500,142.064
2015-10-06,144.4,150.75,143.15,149.3,4288600,147.961
2015-10-07,151.45,154.9,149.3,153.75,3599600,152.371
2015-10-08,154.9,156.4,152.15,155.05,2012400,153.659
2015-10-09,156.6,163.5,156.2,162.45,3584800,160.993
2015-10-12,163.9,164.35,156.2,157.45,2448000,156.038
2015-10-13,158,158,153.2,155.25,1599300,153.857
2015-10-14,155.25,159.6,153.5,156,1719500,154.601
2015-10-15,157,157.6,152.25,153.2,1317900,151.826
2015-10-16,153.7,153.7,150.4,152.4,1058300,151.033
2015-10-19,153,155.75,151.1,154.35,2043800,152.965
