"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2015-07-21,4176.95,4194.95,4141.45,4152.85,146000,4099.61
2015-07-22,4139.8,4199,4134,4191.15,305400,4137.42
2015-07-23,4198.9,4245.5,4193.05,4234.05,229800,4179.77
2015-07-24,4237.95,4261.9,4205.4,4234.2,226100,4179.92
2015-07-27,4241.55,4241.55,4166.6,4178.1,220300,4124.54
2015-07-28,4207.9,4242,4151.6,4196.95,940100,4143.15
2015-07-29,4224.9,4309.5,4171.2,4273.7,819300,4218.91
2015-07-30,4310,4318,4281.05,4296.45,294300,4241.37
2015-07-31,4297,4359,4284.2,4331.45,297200,4275.92
2015-08-03,4380,4439,4380,4427.05,341800,4370.3
2015-08-04,4449,4453.95,4411.45,4438.8,313000,4381.9
2015-08-05,4457,4484,4422.25,4471.65,198400,4414.33
2015-08-06,4461,4478.35,4430.05,4452.1,184100,4395.03
2015-08-07,4450.7,4468.2,4430.1,4452.95,144200,4395.87
2015-08-10,4470,4507.95,4446,4497.15,241800,4439.5
2015-08-11,4510,4534,4465.05,4504.3,216700,4446.56
2015-08-12,4504.3,4504.3,4504.3,4504.3,0,4446.56
2015-08-13,4477,4522.7,4430.15,4492.85,261700,4435.26
2015-08-14,4509.5,4589,4490.5,4572.5,181400,4513.88
2015-08-17,4584.95,4587,4535.5,4549.8,157000,4491.47
2015-08-18,4555,4648,4536,4634,172400,4574.6
2015-08-19,4627,4687,4605.7,4671.85,255100,4611.96
2015-08-20,4630,4692.4,4601.25,4634.15,279300,4574.74
2015-08-21,4611,4613.85,4529,4567.35,310400,4508.8
2015-08-24,4350,4452.55,4207.55,4241.8,930800,4187.42
2015-08-25,4299,4369,4062.1,4199,915500,4145.17
2015-08-26,4197,4256.4,4111.4,4207.05,612400,4177.99
2015-08-27,4255,4272.9,4186,4203.75,795900,4174.72
2015-08-28,4250,4292,4175,4205.85,372500,4176.8
2015-08-31,4199,4233,4142.35,4167.2,298200,4138.42
2015-09-01,4170,4199.45,4046.2,4061.45,605300,4033.4
2015-09-02,4083,4089.95,4010,4030,392000,4002.17
2015-09-03,4059,4162.3,4040.05,4143.25,514400,4114.63
2015-09-04,4137,4139.7,4051.2,4063.3,316100,4035.24
2015-09-07,4067.9,4128.5,4045,4069.6,3e+05,4041.49
2015-09-08,4106,4155.85,4077,4139.3,292900,4110.71
2015-09-09,4210,4319,4187.65,4305.15,589700,4275.42
2015-09-10,4255,4317.95,4225.15,4301.45,321300,4271.74
2015-09-11,4329,4360,4308.6,4317.75,281700,4287.93
2015-09-14,4330,4347,4285,4319.5,207300,4289.67
2015-09-15,4375.5,4419.1,4320,4325,734800,4295.13
2015-09-16,4377,4377,4330.1,4355.6,418000,4325.52
2015-09-17,4355.6,4355.6,4355.6,4355.6,0,4325.52
2015-09-18,4379.3,4478.3,4355.6,4400.85,621200,4370.46
2015-09-21,4397.95,4509,4387.1,4490.25,642800,4459.24
2015-09-22,4508,4519.9,4440.5,4473.05,924200,4442.16
2015-09-23,4459,4523,4413.25,4497.65,880600,4466.59
2015-09-24,4499.5,4604,4484.75,4566.65,1098000,4535.11
2015-09-25,4566.65,4566.65,4566.65,4566.65,0,4535.11
2015-09-28,4570,4615,4516.75,4536.25,684300,4504.92
2015-09-29,4509.95,4740,4467,4682.3,1222100,4649.96
2015-09-30,4710,4763.45,4657.55,4685.6,835700,4653.24
2015-10-01,4720,4721.9,4570,4580.35,1087100,4548.72
2015-10-02,4580.35,4580.35,4580.35,4580.35,0,4548.72
2015-10-05,4570,4570,4389,4414.05,1949300,4383.56
2015-10-06,4449,4449,4338.05,4354,1159100,4323.93
2015-10-07,4352.25,4437.9,4345.05,4364.5,801300,4334.36
2015-10-08,4380,4407,4332.2,4353.75,726200,4323.68
2015-10-09,4390,4397.2,4262.75,4276.35,816600,4246.82
2015-10-12,4310.9,4322.65,4216.5,4231.85,837700,4202.62
2015-10-13,4231,4288,4229.15,4273.85,605000,4244.33
2015-10-14,4270.9,4295.6,4242,4249.75,656000,4220.4
2015-10-15,4269.9,4389.15,4261,4377.4,982400,4347.17
2015-10-16,4410,4461,4381.05,4447,929500,4416.29
2015-10-19,4465,4478,4408.1,4458.95,594900,4428.15
2015-10-20,4467.9,4516.7,4441.65,4508.75,675500,4477.61
2015-10-21,4489,4524.7,4450,4474.7,316500,4443.8
2015-10-22,4474.7,4474.7,4474.7,4474.7,0,4443.8
2015-10-23,4500.8,4508,4371.1,4380.9,621500,4350.64
2015-10-26,4400,4452,4375.8,4385.15,535100,4354.86
2015-10-27,4409,4518,4376.6,4497,1290300,4465.94
2015-10-28,4530,4559,4472,4495.2,989200,4464.15
2015-10-29,4501.5,4512.55,4419.25,4439.55,907400,4408.89
2015-10-30,4446,4467.9,4400.1,4449,738300,4418.27
2015-11-02,4470,4525.05,4425.2,4495.75,603700,4464.7
2015-11-03,4519.9,4521.2,4465.05,4482.55,320900,4451.59
2015-11-04,4487.75,4536.55,4455.1,4520.55,660800,4489.33
2015-11-05,4518.95,4555,4496.4,4526.6,406200,4495.34
2015-11-06,4532.95,4535.35,4481.05,4522.8,361900,4491.56
2015-11-09,4440,4639,4440,4628.2,729700,4596.24
2015-11-10,4649.5,4729.95,4629.75,4712.7,909900,4680.15
2015-11-11,4712.7,4712.7,4712.7,4712.7,0,4680.15
2015-11-12,4712.7,4712.7,4712.7,4712.7,0,4680.15
2015-11-13,4734.45,4737.25,4602.4,4619.8,983100,4587.89
2015-11-16,4600,4664,4572.9,4646.9,644200,4614.81
2015-11-17,4645.4,4676.15,4618,4632.25,638200,4600.26
2015-11-18,4634.5,4652,4525,4533.25,725900,4501.94
2015-11-19,4580.9,4661.5,4571.05,4650.35,1030600,4618.23
2015-11-20,4666,4766,4631,4737.9,917400,4705.18
2015-11-23,4730,4790,4702.35,4736.25,1034100,4703.54
2015-11-24,4724.05,4724.05,4621,4639.9,1287900,4607.85
2015-11-25,4639.9,4639.9,4639.9,4639.9,0,4607.85
2015-11-26,4659.95,4659.95,4577.95,4606.55,1436700,4574.73
2015-11-27,4680,4680,4556.4,4580.05,1231800,4548.42
2015-11-30,4586,4700,4492.1,4555,10567700,4523.54
2015-12-01,4609,4616,4531.35,4556.2,1506600,4524.73
2015-12-02,4600,4627.35,4556.2,4618.8,1123400,4586.9
2015-12-03,4609,4644.7,4600.5,4627.05,567200,4595.09
2015-12-04,4610,4634,4579.15,4600.35,581000,4568.58
2015-12-07,4622,4640,4558,4564.2,493600,4532.68
2015-12-08,4540,4579.8,4520,4542.55,577600,4511.18
2015-12-09,4538.8,4542,4470,4479.1,607100,4448.16
2015-12-10,4495,4519.8,4406.05,4498.1,506400,4467.03
2015-12-11,4519.75,4528,4412,4480.75,532700,4449.8
2015-12-14,4478.9,4590,4471.5,4576.8,484600,4545.19
2015-12-15,4605,4634,4563.1,4620,581100,4588.09
2015-12-16,4655,4657.15,4604,4619.4,357500,4587.5
2015-12-17,4650,4679,4573.85,4666.75,443500,4634.52
2015-12-18,4684.7,4702,4611.5,4620.45,682200,4588.54
2015-12-21,4626.9,4660,4616.25,4639.1,274000,4607.06
2015-12-22,4630,4644.95,4602.05,4617.2,207100,4585.31
2015-12-23,4635,4656,4620,4634.95,227900,4602.94
2015-12-24,4633.25,4634.35,4586.15,4598.4,162700,4566.64
2015-12-25,4598.4,4598.4,4598.4,4598.4,0,4566.64
2015-12-28,4598.4,4645.95,4588,4640,272100,4607.95
2015-12-29,4641.95,4655.9,4612.8,4636.9,253100,4604.87
2015-12-30,4637,4642.9,4575,4587.2,265100,4555.52
2015-12-31,4587,4637,4566.3,4621.95,422000,4590.03
