"Date","SYNDIBANK.NS.Open","SYNDIBANK.NS.High","SYNDIBANK.NS.Low","SYNDIBANK.NS.Close","SYNDIBANK.NS.Volume","SYNDIBANK.NS.Adjusted"
2015-11-11,90.3,90.3,90.3,90.3,0,90.3
2015-11-12,90.3,90.3,90.3,90.3,0,90.3
2015-11-13,90,91.9,89.8,91.5,1444700,91.5
2015-11-16,91.2,95.2,91,94.7,1669000,94.7
2015-11-17,95.75,96,92.6,93.05,1577000,93.05
2015-11-18,93.35,93.8,89.65,90,1453200,90
2015-11-19,90.9,91.35,90.1,90.75,1368200,90.75
2015-11-20,90.9,92.2,89.5,90.65,2126000,90.65
2015-11-23,91.1,92.25,90,91.5,1531400,91.5
2015-11-24,91.1,91.9,90.55,91,910500,91
2015-11-25,91,91,91,91,0,91
2015-11-26,91,91.35,89.55,89.9,2031600,89.9
2015-11-27,90.2,95.25,90.1,94.7,2053900,94.7
2015-11-30,94.15,96.5,94.15,96,1262600,96
2015-12-01,96.15,96.7,94.8,96.05,895800,96.05
2015-12-02,96,96.4,93,93.2,1546300,93.2
2015-12-03,93,93.65,92.05,92.35,782100,92.35
2015-12-04,91.55,91.8,90.35,90.65,904600,90.65
2015-12-07,91.2,92,90,90.35,647200,90.35
2015-12-08,90.05,90.55,88.1,88.4,737100,88.4
2015-12-09,87.55,88.65,86.6,87.4,1254900,87.4
2015-12-10,87.6,88.5,85.7,86.45,811500,86.45
2015-12-11,86.9,87.85,84,85.25,1628900,85.25
2015-12-14,84.4,86.2,84.3,85,1071700,85
2015-12-15,85.2,85.6,83.85,84.65,719200,84.65
2015-12-16,84.85,85.9,84.5,84.85,1138700,84.85
2015-12-17,85.6,87.5,85.2,87.05,1313800,87.05
2015-12-18,87.05,89.4,86.5,87.85,1903800,87.85
2015-12-21,88.5,88.9,87.6,88.15,790500,88.15
2015-12-22,88.3,89,86.2,86.6,742300,86.6
2015-12-23,87.05,88,87.05,87.75,836300,87.75
2015-12-24,87.85,88,86.35,86.7,856800,86.7
2015-12-25,86.7,86.7,86.7,86.7,0,86.7
2015-12-28,86.9,87.85,86.5,87.6,808400,87.6
2015-12-29,88,88.1,87.05,87.55,670900,87.55
2015-12-30,88,88.55,86.8,87.15,610300,87.15
2015-12-31,87.15,88.45,86.55,87.75,978800,87.75
2016-01-01,88.15,90.45,87.5,89.85,1198300,89.85
2016-01-04,90.4,90.4,86,86.5,1357000,86.5
2016-01-05,86.9,87,85.15,85.45,1151500,85.45
2016-01-06,85.45,86.7,84.95,85.4,880400,85.4
2016-01-07,84.3,84.3,81.35,81.7,1561700,81.7
2016-01-08,81.75,82.85,81.6,81.9,963600,81.9
2016-01-11,81,83.4,79.95,81.95,1260700,81.95
2016-01-12,82,82.5,77.7,78.15,2237500,78.15
