"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2015-08-07,1190,1247.65,1154,1187.3,1239400,1162.4196
2015-08-10,1185,1219,1146.65,1187.3,429100,1162.4196
2015-08-11,1196.05,1199.3,1146.1,1157,189700,1132.7545
2015-08-12,1149.8,1200,1119.9,1128.4,229100,1104.7538
2015-08-13,1139,1175.35,1110,1151.65,204700,1127.5166
2015-08-14,1159.95,1198.9,1158,1191.8,214100,1166.8253
2015-08-17,1207.8,1207.8,1152.25,1166.8,145100,1142.3492
2015-08-18,1179.95,1182.65,1153,1161.9,175500,1137.5518
2015-08-19,1158.5,1190,1143.25,1180.1,357000,1155.3704
2015-08-20,1180.1,1180.1,1137,1143.9,479600,1119.929
2015-08-21,1149,1164.8,1103.25,1141.9,201900,1117.9709
2015-08-24,1121.9,1121.9,1025,1041.6,231000,1019.7727
2015-08-25,1051,1168.55,1005,1115.1,360700,1091.7325
2015-08-26,1149,1149,1081.25,1101,206400,1077.928
2015-08-27,1122,1129.7,1075,1080.45,190100,1057.8086
2015-08-28,1080.45,1122,1080.45,1110.85,354100,1087.5716
2015-08-31,1108.25,1125,1083.6,1099,134200,1075.9699
2015-09-01,1075,1104.9,1036.85,1071.85,168400,1049.3888
2015-09-02,1072.7,1088,1058,1065.95,106800,1043.6124
2015-09-03,1068.8,1103.5,1065.05,1070,250800,1047.5776
2015-09-04,1075.95,1090,1057.05,1079.45,160200,1056.8295
2015-09-07,1080,1085,1032.35,1061,102200,1038.7662
2015-09-08,1058,1084,1039.45,1055.45,138800,1033.3325
2015-09-09,1069.8,1125,1066,1117.6,149400,1094.1801
2015-09-10,1105,1122,1077.7,1110.25,200300,1086.9842
2015-09-11,1118.85,1118.85,1090.5,1108.85,141700,1085.6135
2015-09-14,1117,1125,1098.1,1108.35,224100,1085.1239
2015-09-15,1116.8,1116.8,1091,1097.95,77400,1074.9419
2015-09-16,1099.85,1099.85,1076,1089.45,205000,1066.62
2015-09-17,1089.45,1089.45,1089.45,1089.45,0,1066.62
2015-09-18,1092,1159.5,1081.3,1116.55,440300,1093.1522
2015-09-21,1085,1127.8,1085,1118.55,127800,1095.1103
2015-09-22,1133.8,1133.8,1085,1102.65,89300,1079.5434
2015-09-23,1085,1107.8,1082,1089.75,731600,1066.9137
2015-09-24,1089,1115.9,1083,1100.75,88500,1077.6832
2015-09-25,1100.75,1100.75,1100.75,1100.75,0,1077.6832
2015-09-28,1112,1119,1087.1,1094.8,109100,1071.858
2015-09-29,1097.95,1099.6,1070,1074.3,172600,1051.7876
2015-09-30,1095,1119,1074,1095.4,254700,1072.4454
2015-10-01,1095,1109,1081.05,1088.5,46500,1065.6899
2015-10-02,1088.5,1088.5,1088.5,1088.5,0,1065.6899
2015-10-05,1090,1123.6,1088,1104,122000,1080.8651
2015-10-06,1116.7,1116.7,1074.05,1078.45,183600,1055.8505
2015-10-07,1086.4,1089.8,1058.3,1064.2,125500,1041.8991
2015-10-08,1065,1072,1045,1049.65,60200,1027.6541
2015-10-09,1055,1078,1051,1064.55,111500,1042.2419
2015-10-12,1066.05,1074.9,1053,1063.5,65700,1041.2138
2015-10-13,1075,1075,1026.05,1033.95,106400,1012.283
2015-10-14,1039.9,1053.15,1036,1050.65,62600,1028.6331
2015-10-15,1064,1073.5,1046.1,1054.2,133400,1032.1087
2015-10-16,1065,1070,1045,1059.3,295300,1037.1019
2015-10-19,1058,1072,1049,1062.4,294600,1040.1369
2015-10-20,1062.5,1096,1050,1074.7,556300,1052.1791
2015-10-21,1073,1083.95,1064,1075.55,152400,1053.0114
2015-10-22,1075.55,1075.55,1075.55,1075.55,0,1053.0114
2015-10-23,1077,1087.9,1046,1062.85,334200,1040.5774
2015-10-26,1070,1109.1,1031.2,1062.4,370100,1040.1369
2015-10-27,1083,1094.85,1051,1062.5,105600,1040.2348
2015-10-28,1060.25,1065,1055.25,1060.25,573200,1038.0319
2015-10-29,1075,1075,1058,1063.4,153800,1041.1159
2015-10-30,1063.4,1082.9,1051,1073.7,106900,1051.2
2015-11-02,1088,1089.95,1070.15,1077.1,86000,1054.5288
2015-11-03,1084,1088.5,1057.35,1070.35,237000,1047.9203
2015-11-04,1070.1,1102.75,1065,1082.85,94600,1060.1583
2015-11-05,1080,1094.5,1051.1,1059.05,149800,1036.8571
2015-11-06,1059.05,1059.6,992.1,1045.45,298500,1023.542
2015-11-09,1039,1054.6,1009.3,1048.6,91200,1026.626
2015-11-10,1048.65,1048.65,1002.5,1014.7,72600,993.4365
2015-11-11,1014.7,1014.7,1014.7,1014.7,0,993.4365
2015-11-12,1014.7,1014.7,1014.7,1014.7,0,993.4365
2015-11-13,1039,1050,1001.95,1011.7,97700,990.4993
2015-11-16,1011,1014.8,995,1007.45,65000,986.3384
2015-11-17,1008,1013.6,956,992.15,557200,971.359
2015-11-18,992,999.4,976,987.95,138600,967.247
2015-11-19,987.95,999.95,980,995.9,77000,975.0304
2015-11-20,1001,1013,990.2,1008.5,83600,987.3664
2015-11-23,1016,1018.75,996,1005.4,34300,984.3314
2015-11-24,1011,1025,995.25,1009.4,51900,988.2475
2015-11-25,1009.4,1009.4,1009.4,1009.4,0,988.2475
2015-11-26,1019,1019,982.05,996.5,219700,975.6178
2015-11-27,1004,1004,986,994.8,133600,973.9535
2015-11-30,1004,1005,987.55,991.45,101800,970.6737
2015-12-01,1001.8,1043,993.05,1027,99600,1005.4787
2015-12-02,1020,1036.95,991,1013.15,211700,991.919
2015-12-03,1008,1017.75,995.1,998.85,159900,977.9186
2015-12-04,992.3,1015,991.55,994.8,48600,973.9535
2015-12-07,994.7,1015,993.6,1003.8,58500,982.7649
2015-12-08,995,1007,981.55,993.2,58700,972.387
2015-12-09,990,998.95,968.5,993.55,55200,972.7296
2015-12-10,993.6,996.95,981,991.35,129200,970.5757
2015-12-11,991.35,997,980.05,990.75,77200,969.9883
