"Date","CONCOR.NS.Open","CONCOR.NS.High","CONCOR.NS.Low","CONCOR.NS.Close","CONCOR.NS.Volume","CONCOR.NS.Adjusted"
2016-02-26,1173,1185.95,1152.25,1170.3,366900,913.4387
2016-02-29,1163,1170.65,1144.3,1158.4,279900,904.1505
2016-03-01,1179,1194,1161.6,1186.3,289500,925.9269
2016-03-02,1221,1243.45,1192.15,1212.45,940700,946.3375
2016-03-03,1225.5,1225.5,1186.35,1192,282400,930.3758
2016-03-04,1190.1,1255.1,1182.45,1236.85,200300,965.382
2016-03-07,1236.85,1236.85,1236.85,1236.85,0,965.382
2016-03-08,1230,1265,1199.9,1226.5,96600,957.3037
2016-03-09,1203.5,1209,1185.25,1195,630400,932.7174
2016-03-10,1189,1196,1158.35,1163.4,525300,908.0531
2016-03-11,1168,1179,1144.2,1147.55,2170600,895.6819
2016-03-14,1143.8,1164,1141.15,1157.35,427100,903.331
2016-03-15,1164,1164,1142.65,1149.1,350000,896.8917
2016-03-16,1147.65,1157.95,1145,1154.1,196900,900.7943
2016-03-17,1157.8,1173.95,1154,1170,297600,913.2045
2016-03-18,1174,1174,1136.45,1147.85,554700,895.9161
2016-03-21,1153,1204.9,1152.3,1199.5,380900,936.2297
2016-03-22,1199,1220,1184,1214.05,181600,947.5863
2016-03-23,1214.95,1226.9,1202.6,1221.25,150200,953.206
2016-03-24,1221.25,1221.25,1221.25,1221.25,0,953.206
2016-03-25,1221.25,1221.25,1221.25,1221.25,0,953.206
2016-03-28,1221,1236.9,1218.5,1226.45,135100,957.2646
2016-03-29,1232,1234.9,1185.25,1192.2,573800,930.532
2016-03-30,1196.15,1255,1196.15,1243.6,272800,970.6505
2016-03-31,1246.5,1267,1215.5,1243.35,1777500,970.4554
2016-04-01,1243,1266,1224.85,1258.4,153600,982.2022
2016-04-04,1268.3,1291.4999,1262,1274.2,182000,994.5343
2016-04-05,1253.1,1270.75,1234,1254.9,348900,979.4704
2016-04-06,1268,1280,1249.5,1270,226800,991.2562
2016-04-07,1274,1278,1252.55,1273.95,98600,994.3392
2016-04-08,1270,1277.7,1254.25,1268.15,72700,989.8122
2016-04-11,1268.15,1275.1,1250,1257.15,114800,981.2265
2016-04-12,1260,1280.0999,1260,1268.05,183600,989.7342
2016-04-13,1279.9,1284.9001,1235.65,1270.45,302600,991.6074
2016-04-14,1270.45,1270.45,1270.45,1270.45,0,991.6074
2016-04-15,1270.45,1270.45,1270.45,1270.45,0,991.6074
2016-04-18,1283.8499,1339.9001,1275,1332.3,514800,1039.8823
2016-04-19,1332.3,1332.3,1332.3,1332.3,0,1039.8823
2016-04-20,1340.5,1386.0001,1336.7999,1379.35,360600,1076.6057
2016-04-21,1385,1386.0001,1358.75,1360.5,267700,1061.893
2016-04-22,1358.95,1368.9999,1351.05,1359.35,79300,1060.9953
2016-04-25,1362,1369.85,1336.25,1339.65,256900,1045.6191
2016-04-26,1339.65,1368.8499,1331.1,1356.75,460600,1058.966
2016-04-27,1355,1363.25,1337.2,1346.7,136100,1051.1218
2016-04-28,1346.9501,1346.9501,1310,1320.8501,411600,1030.9455
2016-04-29,1329.9001,1357.7,1317.2501,1352.85,192900,1055.922
