"Date","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
2015-10-05,1037.90002,1046.69995,1022.01001,1041.51001,435800,502.1438
2015-10-06,1045,1048.47998,1028.55005,1033.07996,746500,498.07941
2015-10-07,1033,1040.01001,1017.42999,1024.02002,590000,493.71134
2015-10-08,1024.03003,1024.03003,1005.32001,1008.28998,404100,486.12741
2015-10-09,1010.26001,1035.59998,988,999.27002,502700,481.77861
2015-10-12,999.29999,1007.95001,987.29999,992.67999,493500,478.60136
2015-10-13,982.59998,999,982.59998,995.33002,358300,479.87902
2015-10-14,995.33002,997,984,987.97998,205400,476.33534
2015-10-15,988,1010,984.40002,996.87,341100,480.62149
2015-10-16,1000,1004.39001,989.79999,999.59998,237500,481.93769
2015-10-19,1003.78998,1009.09003,995.33002,1003.09003,413000,483.62035
2015-10-20,1013.79999,1069.80005,1005.79999,1062.17004,3775600,512.10464
2015-10-21,1085,1085.54004,1049.19995,1071.60999,1504100,516.65592
2015-10-22,1071.60999,1071.60999,1071.60999,1071.60999,0,516.65592
2015-10-23,1075,1076.34998,1051.31006,1054.60999,470700,508.4597
2015-10-26,1057.80005,1068.93005,1052,1061.57996,432900,511.82014
2015-10-27,1060.01001,1072,1057.54004,1064.16003,262100,513.06407
2015-10-28,1065.19995,1066.12,1036.40002,1041.65002,568700,502.21131
2015-10-29,1049.96997,1049.96997,1022.90997,1032.42004,1072700,497.76125
2015-10-30,1039.80005,1049.59998,1037.59998,1044.46997,413900,503.57089
2015-11-02,1046.59998,1050.01001,1035.02002,1044.64001,249300,503.65287
2015-11-03,1057.19995,1057.80005,1043.23999,1050.68005,208100,506.56496
2015-11-04,1051.76001,1070,1051.76001,1068.98999,405500,515.39274
2015-11-05,1070,1074,1055.34998,1065.13,595000,513.53172
2015-11-06,1066.19995,1066.19995,1050.32996,1059.46997,403400,510.80285
2015-11-09,1050.90002,1080,1040,1069.22998,316200,515.50845
2015-11-10,1069.21997,1079.54004,1060,1068.43994,347300,515.12754
2015-11-11,1068.43994,1068.43994,1068.43994,1068.43994,0,515.12754
2015-11-12,1068.43994,1068.43994,1068.43994,1068.43994,0,515.12754
2015-11-13,1076.97998,1076.97998,1048,1062.13,608700,512.08533
2015-11-16,1060,1063.59998,1042.39001,1054.42004,544900,508.36812
2015-11-17,1055.59998,1063.18994,1038.13,1046.07996,415500,504.34711
2015-11-18,1053.78003,1062,1035.04004,1055.16003,591000,508.7249
2015-11-19,1056,1085,1050.02002,1083.40002,350700,522.34026
2015-11-20,1084.51001,1097.39001,1078.14001,1089.65002,386100,525.35357
2015-11-23,1091.69995,1100,1086.20996,1099.35999,403500,530.03504
2015-11-24,1098,1120,1098,1108.95996,625400,534.66348
2015-11-25,1108.95996,1108.95996,1108.95996,1108.95996,0,534.66348
2015-11-26,1111,1129,1099,1110.09998,779800,535.21312
2015-11-27,1106.02002,1124.88,1102.92004,1115.87,349400,537.99502
2015-11-30,1119.80005,1119.80005,1094.71997,1108.19995,264500,534.29706
2015-12-01,1103,1124.97998,1099.06995,1120.76001,472500,540.35265
2015-12-02,1114,1125.97998,1110.40002,1114.53003,273600,537.34898
2015-12-03,1119.76001,1120.93994,1106.02002,1109.22998,182800,534.79367
2015-12-04,1109.19995,1117.18994,1087.15002,1089.42004,170000,525.24269
2015-12-07,1090.54004,1104.31995,1088.02002,1095.33997,193300,528.09687
2015-12-08,1094.80005,1119.5,1076.14001,1107.43994,267500,533.93064
2015-12-09,1107.98999,1114.17004,1092.23999,1100.89001,718300,530.77272
2015-12-10,1102.02002,1116,1097.97998,1107.55005,187100,533.98372
2015-12-11,1107.55005,1115.76001,1100.22998,1104.92004,280300,532.71572
2015-12-14,1104,1110,1083.81006,1087.58997,285500,524.36036
2015-12-15,1095,1125,1086.02002,1121.18005,329500,540.55516
2015-12-16,1122.01001,1139.18005,1117.40002,1121.65002,439100,540.78175
2015-12-17,1126,1151.97998,1125,1147.35999,917500,553.17731
2015-12-18,1147.19995,1170,1147.19995,1162.76001,646400,560.60213
2015-12-21,1150,1184.90002,1150,1173.95996,378800,566.00197
2015-12-22,1180.97998,1182.79004,1169,1179.08997,257200,568.4753
2015-12-23,1180,1190.29004,1171.32996,1182.30005,284800,570.02298
2015-12-24,1183,1185,1170.30005,1180.18005,246000,569.00087
2015-12-25,1180.18005,1180.18005,1180.18005,1180.18005,0,569.00087
2015-12-28,1183,1183,1177,1181.27002,90200,569.52637
2015-12-29,1182,1199.80005,1178.23999,1197.28003,362300,577.24529
2015-12-30,1200,1204.19995,1188.64001,1194.83997,382900,576.06886
2015-12-31,1199.97998,1208,1192.28003,1201.98999,551900,579.5161
2016-01-01,1203.21997,1223.75,1200,1219.17004,303900,587.79913
2016-01-04,1219.80005,1219.80005,1199.08997,1210.48999,407200,583.61421
2016-01-05,1215,1219.77002,1196,1199.56995,511200,578.34933
2016-01-06,1199.38,1236,1190.19995,1221.44995,346000,588.89835
2016-01-07,1219.95996,1237.97998,1206.04004,1221.26001,782200,588.80677
2016-01-08,1227.19995,1273.04004,1218.52002,1262.90002,1035000,608.88269
2016-01-11,1262.38,1277.80005,1244.19995,1261.23999,532400,608.08234
2016-01-12,1262,1265.80005,1230.40002,1241.76001,584500,598.69045
2016-01-13,1244,1259.07996,1207.01001,1215.56995,1035900,586.06342
2016-01-14,1210,1224.26001,1197.89001,1215.18005,557500,585.87544
2016-01-15,1206,1229.18005,1176.30005,1195.06006,415200,576.17497
