"Date","HINDUNILVR.NS.Open","HINDUNILVR.NS.High","HINDUNILVR.NS.Low","HINDUNILVR.NS.Close","HINDUNILVR.NS.Volume","HINDUNILVR.NS.Adjusted"
2016-01-27,781,783.85,766.4,767.9,1291100,753.162
2016-01-28,769.8,797,766.5,791.75,1967400,776.554
2016-01-29,791.1,820,791.1,816.9,1733600,801.221
2016-02-01,816,817.4,799,800.95,1025800,785.577
2016-02-02,809.5,809.95,796.95,800.1,960200,784.743
2016-02-03,795.5,828.5,795.5,821.6,1843000,805.831
2016-02-04,824.5,838.4,816.55,834.8,1698700,818.777
2016-02-05,830,855.5,830,844.95,2043400,828.733
2016-02-08,844,848.2,826.45,828.9,490400,812.991
2016-02-09,826.35,842.15,824.7,826.35,964600,810.49
2016-02-10,826,832.1,820.1,824.55,781000,808.724
2016-02-11,823.9,828,791.2,802.6,1010200,787.195
2016-02-12,800.5,816.7,795,812.6,1318400,797.004
2016-02-15,817,821.95,798,804.7,1206900,789.255
2016-02-16,810,811.85,799.45,803.2,926000,787.784
2016-02-17,800.5,814,789.75,812.55,783600,796.955
2016-02-18,814.05,830.5,812.5,827.4,1179000,811.52
2016-02-19,831.85,831.85,813.45,827.6,620200,811.716
2016-02-22,827,866,826.35,861.65,1883600,845.112
2016-02-23,858.45,858.45,834.2,836.85,590700,820.788
2016-02-24,836.9,844.9,828.2,836.75,1062100,820.69
2016-02-25,837.7,846.2,832.4,842.8,859800,826.624
2016-02-26,848,852.65,841.1,849.9,1191400,833.588
2016-02-29,851,851.7,823.5,830.4,1974900,814.462
2016-03-01,829.85,829.85,818.1,824.15,1777300,808.332
2016-03-02,830,855,830,849.25,1221700,832.95
2016-03-03,855.5,856.1,845.75,848.9,746300,832.607
2016-03-04,848.5,855.9,841.45,848.75,1331500,832.46
2016-03-07,848.75,848.75,848.75,848.75,0,832.46
2016-03-08,848,848,824,826.25,1342300,810.392
2016-03-09,826.55,843.9,826.55,839.65,1929600,823.534
2016-03-10,837,841,829,837.55,1140100,821.475
2016-03-11,842,857.95,831.5,851.6,1527600,835.255
2016-03-14,855.05,860,845,857.15,825300,840.699
2016-03-15,852.1,856.8,835.55,840.8,1330600,824.662
2016-03-16,844.9,845.85,831,844.15,1511400,827.948
2016-03-17,848.1,855,843,849.65,1970900,833.342
2016-03-18,850,852,838,848.35,1848200,832.067
2016-03-21,847.1,883,847.1,879.65,1587500,862.767
2016-03-22,876.05,880.65,862.4,870.15,2024600,853.449
2016-03-23,870,877.35,860.55,873.6,1373500,856.833
2016-03-24,873.6,873.6,873.6,873.6,0,856.833
2016-03-25,873.6,873.6,873.6,873.6,0,856.833
2016-03-28,876,876.1,860.2,863.65,2033100,847.074
2016-03-29,860.3,871.35,858.6,861.15,1389800,844.622
2016-03-30,862,878.95,858.9,861.65,1453600,845.112
2016-03-31,855.5,875.7,855.5,869.5,2635900,852.811
2016-04-01,867.1,874.9,856,867.8,1096400,851.144
2016-04-04,863.1,874.95,861.3,872.2,960100,855.46
2016-04-05,870.2,882.85,862.3,868.5,1096800,851.831
2016-04-06,869,872.9,863,871.7,1041600,854.969
2016-04-07,870,874.85,855.05,860,848000,843.494
2016-04-08,861,863,845.8,850.4,712400,834.078
2016-04-11,853,867.85,845.1,864.3,943700,847.711
2016-04-12,866.9,874.4,860.2,872.5,867400,855.754
2016-04-13,875,899.6,873.5,897.7,1897500,880.47
2016-04-14,897.7,897.7,897.7,897.7,0,880.47
2016-04-15,897.7,897.7,897.7,897.7,0,880.47
2016-04-18,900.2,904.95,886.5,899.15,1091500,881.892
2016-04-19,899.15,899.15,899.15,899.15,0,881.892
2016-04-20,899.1,906,893.15,904.1,1424800,886.747
2016-04-21,905,906.9,896,904.05,1162800,886.698
2016-04-22,897.8,904.3,883,884.2,1078300,867.229
2016-04-25,880.5,889,875.5,884.15,828000,867.18
2016-04-26,881.6,896,880.7,885.75,1214600,868.75
2016-04-27,884.4,894,880.9,892.2,778600,875.076
2016-04-28,893.2,896.8,871,876.25,2715400,859.432
2016-04-29,876,879.35,859.2,867.9,1581200,851.242
2016-05-02,867,867,855,863.95,787100,847.368
2016-05-03,863.95,869,848,851,1305300,834.667
2016-05-04,850,855.9,844,853.4,568400,837.021
2016-05-05,859,861.9,846.8,850.15,760800,833.833
2016-05-06,848,856.5,846.75,853.4,411200,837.021
2016-05-09,851,869.7,839.2,845.5,3215700,829.272
2016-05-10,848.8,867.9,845.6,862.45,1523200,845.897
2016-05-11,855,866.8,851.1,862.55,697200,845.995
2016-05-12,858.4,862,849.35,853,730600,836.628
2016-05-13,852.95,852.95,821.95,831.8,2369600,815.835
2016-05-16,833,848.5,817,846.25,1940100,830.008
2016-05-17,850,850.35,831,834.05,1434000,818.042
2016-05-18,833.7,834.55,823,825.5,1428400,809.656
2016-05-19,826.1,829.85,810.35,815.1,1866700,799.456
2016-05-20,820,821,806.15,812.4,1624600,796.807
2016-05-23,817,825.75,813.05,819.6,1118700,803.869
2016-05-24,819,824.45,815.45,823.1,946700,807.302
2016-05-25,828,841.45,827.05,840.1,1127600,823.976
2016-05-26,840.2,854,832,850.35,2479300,834.029
2016-05-27,851.35,865.95,850.5,861.2,1531200,844.671
2016-05-30,864,867.2,849.75,854.35,776200,837.952
2016-05-31,857.8,859.9,845,848.2,12132000,831.92
2016-06-01,852.15,863.4,846.05,855.15,1223700,838.737
2016-06-02,855,873.95,835,868.2,3409300,851.536
2016-06-03,872,888,869.4,884.85,1752200,867.867
2016-06-06,887.6,892,875.05,879.35,1941200,862.472
2016-06-07,884,898.8,880.4,897.05,2185900,879.833
2016-06-08,895,908,891.6,897.2,1470400,879.98
2016-06-09,899,899,874.45,876.45,1376900,859.628
2016-06-10,876,884.8,871.15,874.65,793100,857.863
2016-06-13,867.35,880.95,867.35,874.2,1071800,857.421
2016-06-14,872.1,875.2,860.3,865.7,826200,849.084
2016-06-15,868,876.6,863,874.65,863200,857.863
2016-06-16,871.85,880.85,859.15,879.45,803700,862.571
2016-06-17,883.95,884.7,872.5,881.35,849700,864.434
2016-06-20,875,882.35,870.55,879.4,526300,862.521
2016-06-21,876.5,879,866.15,870.25,1214000,853.547
2016-06-22,862.95,867.75,857,859.25,723100,852.06
2016-06-23,860,873,854.3,869.35,574700,862.075
2016-06-24,858.55,862.2,847.1,859.1,1157900,851.911
2016-06-27,858,873.85,855.25,858.85,815700,851.663
2016-06-28,861,889.95,859,887.75,1607500,880.321
2016-06-29,889.9,894.15,877,883.8,857900,876.404
2016-06-30,891,902.9,890.55,898.55,2029000,891.031
2016-07-01,898.6,904.55,886.1,897.6,1099500,890.089
2016-07-04,900,902.75,888,893.05,674900,885.577
2016-07-05,895.2,896.2,886.85,890.2,631400,882.751
2016-07-06,890.2,890.2,890.2,890.2,0,882.751
2016-07-07,890,920,888.6,918.3,1689000,910.615
2016-07-08,919,926.3,913.45,920.7,1579800,912.995
2016-07-11,927,934.9,921.35,929.4,746000,921.623
2016-07-12,933.9,933.9,913.65,925.3,813300,917.557
2016-07-13,923.1,929.75,917.45,927.45,598000,919.689
2016-07-14,927,935,922.05,932.95,757000,925.143
2016-07-15,935,951.45,932.05,941.5,1284800,933.621
2016-07-18,944,946.6,910,921.95,3013200,914.235
2016-07-19,904.1,906.9,888,895.15,2602400,887.659
2016-07-20,899.45,910.3,897.2,906.9,897800,899.311
2016-07-21,907,913.65,900.5,910.05,876100,902.435
2016-07-22,911.2,915,897,903.2,967900,895.642
2016-07-25,900.5,909.3,895.7,906.95,1297600,899.36
2016-07-26,911.9,911.9,899,902.7,1094700,895.146
2016-07-27,900,909.45,898.25,903.85,1168000,896.286
2016-07-28,904.9,913,895.1,909.4,1760300,901.79
2016-07-29,905.4,925,902.55,922.55,1284400,914.83
2016-08-01,930,930.05,916.15,925,1270500,917.259
2016-08-02,928.9,940.85,924.2,927.4,1442200,919.639
2016-08-03,926.8,926.8,909.55,913.8,1067700,906.153
2016-08-04,922,922.25,908.85,918.05,685500,910.368
2016-08-05,921.15,928.65,916.4,925.5,936200,917.755
2016-08-08,926.55,934.35,922.4,929.5,640000,921.722
2016-08-09,929.5,935.9,924.15,934.25,912200,926.432
2016-08-10,935,935.35,922.8,924.95,675200,917.21
2016-08-11,924.9,938.1,922.55,935.65,859800,927.82
2016-08-12,934.8,947,926,935,664200,927.176
2016-08-15,935,935,935,935,0,927.176
2016-08-16,931.25,943.9,921.35,926.2,847400,918.449
2016-08-17,924.9,925.7,910.3,913.2,685200,905.558
2016-08-18,913,916.7,905.25,906.9,1047800,899.311
2016-08-19,909,915.7,901.25,910.65,1232600,903.03
2016-08-22,911.9,933.9,911.9,930.05,1405700,922.267
2016-08-23,931,931.65,919.05,921.7,923100,913.987
2016-08-24,921,924.95,908.25,919.4,929700,911.706
2016-08-25,921,922,907.2,910.8,1760900,903.178
2016-08-26,914.8,914.8,900,904.5,753200,896.931
2016-08-29,906,908,901,905.2,488000,897.625
2016-08-30,908,926.3,907.6,924.8,921400,917.061
2016-08-31,925,926.5,911.85,917.05,2185000,909.376
2016-09-01,917.1,929.5,913.35,925.8,654500,918.053
2016-09-02,923.5,926.55,917.55,920.75,968800,913.045
2016-09-05,920.75,920.75,920.75,920.75,0,913.045
2016-09-06,924.25,939.75,922.3,937.85,811200,930.002
2016-09-07,937,938.9,927.4,933,728800,925.192
2016-09-08,933,953.6,931.5,951.55,1528100,943.587
2016-09-09,950,954,927.4,929.95,888900,922.168
2016-09-12,924.85,924.85,912.45,918.45,677500,910.764
2016-09-13,918.45,918.45,918.45,918.45,0,910.764
2016-09-14,917,924.5,905,908.45,1349800,900.848
2016-09-15,910.2,920.85,906,914,964700,906.351
2016-09-16,916.25,928.6,909.4,911.7,1542400,904.071
2016-09-19,915.45,922.5,909.1,911.95,793000,904.319
2016-09-20,912.15,916.8,900.9,902.9,1133000,895.344
2016-09-21,902,914.55,900.55,913.05,1102600,905.409
2016-09-22,913,917.95,903.25,910.15,1250200,902.534
2016-09-23,911,912.5,901,910.55,1498800,902.93
2016-09-26,909,913.9,886.5,892.6,1153600,885.131
2016-09-27,895,900.95,889.4,897.3,849700,889.791
2016-09-28,900,900.85,881.25,887.15,1877800,879.726
2016-09-29,891,892.8,873.5,878.3,3307000,870.95
2016-09-30,877.1,879.85,865,867.85,3104800,860.588
2016-10-03,878,878,860.2,868.75,2066000,861.48
2016-10-04,872,872,858.8,860.4,1465800,853.2
2016-10-05,865,873.7,862.4,870.95,1781300,863.662
2016-10-06,874,886.85,874,884.45,1360100,877.049
2016-10-07,889.7,889.7,868.15,877.25,1088100,869.909
2016-10-10,879.7,885.55,874.45,876.15,734500,868.818
2016-10-11,876.15,876.15,876.15,876.15,0,868.818
2016-10-12,876.15,876.15,876.15,876.15,0,868.818
2016-10-13,869.5,874.75,852.5,862.05,2130700,854.836
2016-10-14,854.75,855.55,837,842.25,2077900,835.202
2016-10-17,844,851,839,849.25,1136500,842.143
2016-10-18,850.3,857,849,855.6,1146900,848.44
2016-10-19,855,855.95,844.05,846,1171100,838.921
2016-10-20,848.55,849.45,838.6,840.3,818500,833.268
2016-10-21,840,852.25,837.05,851.2,1247300,844.077
2016-10-24,851.8,855,844.25,848.35,1639700,841.251
2016-10-25,847.1,849.8,829.55,832.35,1925900,825.385
2016-10-26,831.1,846.8,826.55,842.85,1928000,835.797
2016-10-27,850,850,818.4,840.3,3193400,833.268
