"Date","INFRATEL.NS.Open","INFRATEL.NS.High","INFRATEL.NS.Low","INFRATEL.NS.Close","INFRATEL.NS.Volume","INFRATEL.NS.Adjusted"
2016-04-08,371.2,371.9,366.4,369.55,388300,353.58
2016-04-11,369.95,384.4,368,381.35,956500,364.87
2016-04-12,381.9,386.8,375.1,384.75,1327900,368.12
2016-04-13,384.9,400,382.7,385.7,1559000,369.03
2016-04-14,385.7,385.7,385.7,385.7,0,369.03
2016-04-15,385.7,385.7,385.7,385.7,0,369.03
2016-04-18,391.7,410,391.7,396.8,3098500,379.65
2016-04-19,396.8,396.8,396.8,396.8,0,379.65
2016-04-20,397.3,397.3,383.65,386.35,2138400,369.65
2016-04-21,390,390.7,369.6,371.85,2547100,355.78
2016-04-22,377.8,377.95,370.05,371.7,2181500,355.63
2016-04-25,374,377.2,363.95,366.8,1512100,350.95
2016-04-26,372.7,372.7,361.5,363.05,4180700,347.36
2016-04-27,375,377.95,372.05,375.7,5569000,359.46
2016-04-28,376.1,380.9,370,370.9,4845400,354.87
2016-04-29,371.4,376.4,366.05,374.95,1797200,358.74
2016-05-02,375,378,370.75,375.65,513800,359.41
2016-05-03,378.2,387.8,378.2,383.65,1588200,367.07
2016-05-04,381.1,383.95,373.05,374.2,1163800,358.03
2016-05-05,375,375.85,367.35,369.1,2886700,353.15
2016-05-06,369.4,374.75,368.1,370.05,1838800,354.06
2016-05-09,370.05,379.5,369.3,376.9,1087400,360.61
2016-05-10,378.6,380.65,373,378.8,1433200,362.43
2016-05-11,375,376,368.4,371,1132200,354.96
2016-05-12,374.7,375.7,369.6,372.1,1347700,356.02
2016-05-13,369.6,376,364.65,374.9,1507000,358.7
2016-05-16,377,387.8,373.6,385.2,1076600,368.55
2016-05-17,387.7,391.9,383.5,386.4,1156600,369.7
2016-05-18,385,385,378.3,383.1,672300,366.54
2016-05-19,383,387,374.8,384.5,1653300,367.88
2016-05-20,386.7,387.7,375.7,377.55,1324900,361.23
2016-05-23,378,387.75,375.6,383.5,1258600,366.92
2016-05-24,383.5,386.5,381.05,384.1,1438000,367.5
2016-05-25,388.5,397,386.15,394.85,2233400,377.78
2016-05-26,394.95,395.95,386.1,390.15,3683400,373.29
2016-05-27,388.15,391.65,385.1,386.85,1512900,370.13
2016-05-30,387.8,392,384.5,386.05,974400,369.36
2016-05-31,385,386.9,372.3,374.55,3047400,358.36
2016-06-01,374.9,386,374.6,384.95,1603000,368.31
2016-06-02,385.55,386.65,378.65,381.3,888000,364.82
2016-06-03,383,385.5,377.6,384.55,1858400,367.93
2016-06-06,384.75,384.75,375.1,375.85,1943200,359.6
2016-06-07,377.8,377.8,373,374.2,1955700,358.03
2016-06-08,374.95,379.95,374.95,375.95,1647600,359.7
2016-06-09,378.4,378.7,373.55,374.7,1857600,358.5
2016-06-10,374.5,379,371.2,374.5,2062900,358.31
2016-06-13,375,380.45,372.7,378.25,2936300,361.9
2016-06-14,382.9,385,378,380.8,3750400,364.34
2016-06-15,376.7,378.7,363.2,365.1,3083600,349.32
2016-06-16,364.25,366.4,344,348.2,7619600,333.15
2016-06-17,349,350.55,334.2,338.65,6119700,324.01
2016-06-20,340,342,331.1,340.65,3441600,325.93
2016-06-21,341.1,351.5,339.1,348,4380600,332.96
2016-06-22,348,349.7,335.25,339,3902400,324.35
2016-06-23,337.2,337.85,320.6,322,8151200,308.08
2016-06-24,315,326.45,301.5,324.75,3220500,310.71
2016-06-27,321.3,328.95,321,327.65,2131000,313.49
2016-06-28,330,340.8,329.15,338.55,2636700,323.92
2016-06-29,341.8,346.05,339.45,343.95,4078300,329.08
2016-06-30,343.95,347.6,340.7,345.05,3240200,330.14
2016-07-01,345.1,353.3,345.1,350.2,1729200,335.06
2016-07-04,354.8,358.6,351.1,355.3,1610400,339.94
2016-07-05,358.8,360.65,353.4,358.3,2132500,342.81
2016-07-06,358.3,358.3,358.3,358.3,0,342.81
2016-07-07,357,358.75,349.1,350.95,1761600,335.78
2016-07-08,350,350.8,340.25,344.8,1959600,329.9
2016-07-11,349.8,353.05,347.3,351.65,1540800,336.45
2016-07-12,353.85,358.8,349,350.3,1710100,335.16
2016-07-13,352.6,353.55,343.75,352.7,1137400,337.46
2016-07-14,351.75,354.4,349.45,353,1156600,337.74
2016-07-15,354.45,358,349.55,353.3,1542000,338.03
2016-07-18,353,359.35,350.95,357.65,1133400,342.19
2016-07-19,357.4,363.45,352,356.8,1768000,341.38
2016-07-20,356.8,361,353.1,354.9,1580400,339.56
2016-07-21,355.4,355.7,352,352.6,766000,337.36
2016-07-22,352.6,363.95,350.9,361.8,1027800,346.16
2016-07-25,362.65,371.45,362.2,366,1115500,350.18
2016-07-26,366.5,371.9,360.5,363.4,1427700,347.69
2016-07-27,368,383,361.95,380.55,2649600,364.1
2016-07-28,381.1,413.7,380.45,400,4249300,382.71
2016-07-29,400.6,402,392.05,395.4,1137000,378.31
2016-08-01,396.7,408.5,394.15,396.2,2200400,379.07
2016-08-02,399.95,406.3,386.55,387.7,2649400,370.94
2016-08-03,388.4,399,388,395.9,1256700,378.79
2016-08-04,396,396.8,388,392.65,2785900,375.68
2016-08-05,390,397,388.1,389.25,2020300,372.43
2016-08-08,391.95,394.95,379.25,381.5,1152400,365.01
2016-08-09,380.7,388,376.7,384.95,2240100,371.23
2016-08-10,384,386,376,378.35,1009400,364.87
2016-08-11,378.3,378.7,365.25,368,1128100,354.88
2016-08-12,368.7,374.05,361.5,366.1,1029300,353.05
2016-08-15,366.1,366.1,366.1,366.1,0,353.05
2016-08-16,368.05,370.8,342.3,350.05,4412400,337.57
2016-08-17,353,353.15,345.55,348.7,2556000,336.27
2016-08-18,352,352,344.2,347.85,1625200,335.45
2016-08-19,349,349,339.25,342.35,2427600,330.15
2016-08-22,346,347.85,338.4,339.7,2945700,327.59
2016-08-23,337.3,347.75,337.3,346.2,2189300,333.86
2016-08-24,346,349.45,342.55,346.65,943400,334.3
2016-08-25,347.5,348.3,338,339.35,1160400,327.26
2016-08-26,341,349,341,346.85,1664400,334.49
2016-08-29,348,348,336.25,338.05,824400,326
2016-08-30,338.95,346.7,336.1,345.15,1424700,332.85
2016-08-31,345,353.25,344.4,350.75,1824800,338.25
2016-09-01,347.5,357.1,341.65,343.75,1279900,331.5
2016-09-02,344.85,350.95,340.15,343.7,1944700,331.45
2016-09-05,343.7,343.7,343.7,343.7,0,331.45
2016-09-06,343.7,348.35,338.4,347.2,768900,334.83
2016-09-07,347.9,351.75,344.35,349.35,1189600,336.9
2016-09-08,349.35,361.5,349.35,357.6,1352800,344.86
2016-09-09,360.7,364.15,349.25,351.3,973700,338.78
2016-09-12,347.85,347.85,341,343.3,1069500,331.06
2016-09-13,343.3,343.3,343.3,343.3,0,331.06
2016-09-14,340,348.3,340,342.6,1748100,330.39
2016-09-15,344,347.75,341,344.75,1472600,332.46
2016-09-16,345.95,354.85,345.85,351.55,2705700,339.02
2016-09-19,348.6,351.55,345.3,348.75,1306600,336.32
2016-09-20,349.9,359.35,345.45,355.95,2102400,343.26
2016-09-21,355.1,375.8,355.1,372.65,3491700,359.37
2016-09-22,378,387.8,371.2,375.1,3252600,361.73
2016-09-23,375,382.95,368.65,370.65,2201700,357.44
2016-09-26,368.3,370.9,363.3,365.35,1611600,352.33
2016-09-27,364.9,370.25,354.7,358.5,1615200,345.72
2016-09-28,357,367,355.55,362.8,1316600,349.87
2016-09-29,363.3,375.8,360,371.35,2818900,358.12
2016-09-30,373.3,373.8,361.3,365.3,3708100,352.28
2016-10-03,369,369,357.1,362.75,1705400,349.82
2016-10-04,366.7,372,361.25,369.2,2454800,356.04
2016-10-05,370,378.8,364.65,376.25,1198100,362.84
2016-10-06,380.45,384.95,378.4,381.3,1483300,367.71
2016-10-07,382.95,382.95,369.55,370.9,482300,357.68
2016-10-10,375,379,369.8,377.45,679900,364
2016-10-11,377.45,377.45,377.45,377.45,0,364
2016-10-12,377.45,377.45,377.45,377.45,0,364
2016-10-13,373.05,375.4,369.1,374.35,999200,361.01
2016-10-14,374.9,380.2,363.35,365.2,6824700,352.18
2016-10-17,365,366.25,355.75,359.45,508800,346.64
2016-10-18,358.25,363.85,351.25,355.35,1485100,342.69
2016-10-19,357,362.65,354.05,358.15,1023600,345.39
2016-10-20,359,370.15,358.95,367.3,1208700,354.21
2016-10-21,369.7,369.75,357.6,363.65,4690600,350.69
2016-10-24,365.15,375.95,363.2,369.8,3950000,356.62
2016-10-25,380,384.9,369.5,379.35,12096500,365.83
2016-10-26,380.9,380.9,365.95,370.45,1317200,357.25
2016-10-27,365.65,367.8,351.9,353.75,1624600,341.14
2016-10-28,354.15,358.5,343.25,345.65,1749700,333.33
2016-10-31,345.65,345.65,345.65,345.65,0,333.33
2016-11-01,352.7,358.4,347.55,355.45,2667600,342.78
2016-11-02,353.9,371.7,350.1,366.3,2891600,353.25
2016-11-03,367.95,384.5,364.05,380.9,2638200,367.32
2016-11-04,379.95,382.15,359,364.05,1707300,351.08
2016-11-07,369.9,369.9,353.1,355.4,2078000,342.73
2016-11-08,355.9,365.5,354.4,360.65,2131900,347.8
2016-11-09,347.5,367.4,325,362.4,1454100,349.48
2016-11-10,366,393.25,364.5,387.5,1824100,373.69
2016-11-11,378.55,381.85,361.25,365.2,1765700,352.18
2016-11-14,365.2,365.2,365.2,365.2,0,352.18
2016-11-15,359.05,373,354.6,364.85,2823300,351.85
2016-11-16,368.95,368.95,355.2,360.1,1746500,347.27
2016-11-17,360.9,369.95,354.6,358.85,1390000,346.06
2016-11-18,355.8,359.3,347.15,351.9,3429800,339.36
2016-11-21,353,364.5,351.2,359.65,1520200,346.83
2016-11-22,360.15,364.95,357.35,359.45,2316200,346.64
2016-11-23,361.05,363.75,356.3,360.2,2133400,347.36
2016-11-24,358.9,363.9,355.9,360.4,1568600,347.56
2016-11-25,360.9,363.1,355,355.6,1238700,342.93
