"Date","PFC.NS.Open","PFC.NS.High","PFC.NS.Low","PFC.NS.Close","PFC.NS.Volume","PFC.NS.Adjusted"
2015-12-28,205.5,206.5,202.2,202.85,2417100,91.746
2015-12-29,203.4,205.5,201.15,203.75,5567000,92.153
2015-12-30,204.8,205.2,203,203.45,1906500,92.017
2015-12-31,203.3,204.5,200.6,201.4,8158600,91.09
2016-01-01,201,203.5,201,202.5,2051200,91.587
2016-01-04,202.4,202.5,195.2,196.35,3841000,88.806
2016-01-05,198.85,203.25,197.1,201.7,3954700,91.226
2016-01-06,201.65,205.45,198.9,200.7,3312900,90.773
2016-01-07,197,198.2,187.1,188.4,4186400,85.21
2016-01-08,190.55,191.95,188.6,190.15,3050900,86.002
2016-01-11,186.9,191.15,184.55,188.6,3726800,85.301
2016-01-12,189.5,191.85,186.05,187.45,1841100,84.781
2016-01-13,188.85,189.85,180,183.65,3207300,83.062
2016-01-14,180,182.55,177.45,180.45,3909600,81.615
2016-01-15,181.4,182.2,170.1,170.7,4252400,77.205
2016-01-18,171,171,160.05,161,6136800,72.818
2016-01-19,163.4,164.4,157,158.9,8460300,71.868
2016-01-20,157.4,157.4,151.15,154.25,5959000,69.765
2016-01-21,156.7,157.5,148.2,149.05,10472200,67.413
2016-01-22,152.5,160.3,150.9,159.25,6422400,72.026
2016-01-25,160.8,164.5,159.9,162.2,3615500,73.36
2016-01-26,162.2,162.2,162.2,162.2,0,73.36
2016-01-27,164,169.05,161.45,167.05,6832600,75.554
2016-01-28,167.1,170.55,165.2,167.05,18887900,75.554
2016-01-29,167.9,176.4,164.25,175.1,7604600,79.195
2016-02-01,176,177.8,171.8,173.45,2594900,78.449
2016-02-02,173.95,175.7,168.6,169.15,6664600,76.504
2016-02-03,165.9,171.15,161.2,165.3,10194300,74.763
2016-02-04,168.25,171.6,162,168.55,3507100,76.232
2016-02-05,169,178.2,167.8,177.05,2661700,80.077
2016-02-08,177.7,186.2,176,180.55,4160000,81.66
2016-02-09,178,181.75,170.1,171.55,20253400,77.589
2016-02-10,171.8,174,155.7,158.05,7864500,71.483
2016-02-11,159.5,159.9,148.45,150.4,7792200,68.023
2016-02-12,150,152.85,141,146.15,8459200,66.101
2016-02-15,148.6,156.4,148.6,154,4043900,69.652
