"Date","ICICIBANK.NS.Open","ICICIBANK.NS.High","ICICIBANK.NS.Low","ICICIBANK.NS.Close","ICICIBANK.NS.Volume","ICICIBANK.NS.Adjusted"
2015-06-25,316.35,319.65,313.2,314.8,16713800,308.45
2015-06-26,315,315.05,308.55,311.7,10310900,305.41
2015-06-29,302,313,300.15,311.2,10550300,304.92
2015-06-30,310.05,313.6,304.05,308,13750100,301.79
2015-07-01,308.7,313.5,308.7,312.2,14074400,305.9
2015-07-02,314.3,315.45,311.1,313,8411500,306.69
2015-07-03,311.75,315.5,310.9,314.55,5196600,308.21
2015-07-06,309.1,316.75,305.25,315.15,7783800,308.79
2015-07-07,314,318,311.55,312.6,9651900,306.3
2015-07-08,308.4,311.6,306.3,307.55,12047700,301.35
2015-07-09,307,310.95,305.7,309.5,6326600,303.26
2015-07-10,312.5,314.9,310.25,313.15,9694600,306.84
2015-07-13,314.5,317.2,312.8,316.4,8149100,310.02
2015-07-14,317,317.1,312.05,313.45,7549800,307.13
2015-07-15,313.9,316,313.35,314.65,6707300,308.3
2015-07-16,314.75,318.25,314.4,317.1,12242600,310.71
2015-07-17,318,321,316.55,317.45,8490600,311.05
2015-07-20,318.95,319.8,312.1,315.8,8563700,309.43
2015-07-21,317.5,317.5,310.4,311.45,9729300,305.17
2015-07-22,310.8,317.7,309.8,316.8,10128700,310.41
2015-07-23,316.85,317.7,312.25,312.9,13831700,306.59
2015-07-24,311.8,311.8,299.3,300.6,19252300,294.54
2015-07-27,299.85,299.85,290.1,291.1,10193200,285.23
2015-07-28,291.7,295.35,282.7,285,23086600,279.25
2015-07-29,287.5,289.9,284.05,289.25,11968900,283.42
2015-07-30,290,293.65,287.5,291,12459800,285.13
2015-07-31,294.45,308.9,294.1,302.4,35425200,296.3
2015-08-03,304.45,314,304.2,312.9,26099600,306.59
2015-08-04,313.5,315.25,307.05,314.05,15270800,307.72
2015-08-05,314.75,319.8,309,311.35,12544000,305.07
2015-08-06,312.75,312.85,307.45,311.05,11100000,304.78
2015-08-07,309.9,312.55,308.45,310.15,5650300,303.9
2015-08-10,310,314,307.15,309.6,6998300,303.36
2015-08-11,309.9,309.9,300.75,302.25,9482900,296.16
2015-08-12,300,300.15,290.1,291.65,9356800,285.77
2015-08-13,295.25,298.7,290.85,291.9,12504200,286.01
2015-08-14,294.25,303.8,292.05,302.6,8790700,296.5
2015-08-17,301.95,304.7,296.85,302.9,7573700,296.79
2015-08-18,303,304.2,297.7,301.1,5396700,295.03
2015-08-19,301.05,305.4,300.5,304.5,7958400,298.36
2015-08-20,300.25,306.75,295.85,298.25,14488100,292.24
2015-08-21,293.75,297.9,288.6,296.5,12518000,290.52
2015-08-24,282.4,284.85,267.5,269.95,30284100,264.51
