"Date","JUBLFOOD.NS.Open","JUBLFOOD.NS.High","JUBLFOOD.NS.Low","JUBLFOOD.NS.Close","JUBLFOOD.NS.Volume","JUBLFOOD.NS.Adjusted"
2016-03-02,1064.05,1118,1064.05,1097.3,370100,1095.07
2016-03-03,1100.6,1191,1100.6,1158.55,581200,1156.2
2016-03-04,1160,1166.95,1121.15,1133.65,512400,1131.35
2016-03-07,1133.65,1133.65,1133.65,1133.65,0,1131.35
2016-03-08,1133.65,1199,1119.6,1180.75,410200,1178.35
2016-03-09,1160.35,1189.5,1123.2,1147.95,332000,1145.62
2016-03-10,1153.65,1158,1098.5,1107.9,389800,1105.65
2016-03-11,1094,1139.05,1093.9,1128.2,309500,1125.91
2016-03-14,1135,1180.6,1130.5,1173.1,504600,1170.72
2016-03-15,1172.95,1172.95,1130.05,1138.2,292600,1135.89
2016-03-16,1140.5,1159,1123,1141.8,350100,1139.48
2016-03-17,1154.95,1176.45,1130,1142.4,462800,1140.08
2016-03-18,1138,1201.9,1136.45,1196.65,527000,1194.22
2016-03-21,1201,1259,1201,1235.15,563800,1232.64
2016-03-22,1236.1,1250,1207.7,1229.9,337600,1227.4
2016-03-23,1217,1253.35,1213.05,1233.85,212700,1231.34
2016-03-24,1233.85,1233.85,1233.85,1233.85,0,1231.34
2016-03-25,1233.85,1233.85,1233.85,1233.85,0,1231.34
2016-03-28,1235,1255,1203.05,1207.7,182800,1205.25
2016-03-29,1219,1243.5,1215,1220.65,284500,1218.17
2016-03-30,1240,1247.5,1218,1229.45,166000,1226.95
2016-03-31,1232.9,1288.5,1232,1276.85,507100,1274.26
2016-04-01,1282,1308,1279.3,1295.3,344100,1292.67
2016-04-04,1290.1,1299.95,1263,1271.6,126900,1269.02
2016-04-05,1263,1273.45,1215,1222.65,210300,1220.17
2016-04-06,1228.4,1248,1206,1227.25,209600,1224.76
2016-04-07,1234,1256,1212,1234.85,216400,1232.34
2016-04-08,1230,1268,1230,1255.65,231200,1253.1
2016-04-11,1249.25,1264.5,1227.45,1258.9,161700,1256.34
2016-04-12,1260,1276.75,1226.25,1234.95,260800,1232.44
2016-04-13,1246.1,1290,1245.6,1256.95,391600,1254.4
2016-04-14,1256.95,1256.95,1256.95,1256.95,0,1254.4
2016-04-15,1256.95,1256.95,1256.95,1256.95,0,1254.4
2016-04-18,1273.75,1273.75,1231.55,1248.9,125500,1246.36
2016-04-19,1248.9,1248.9,1248.9,1248.9,0,1246.36
2016-04-20,1252,1302.3,1252,1293.55,334500,1290.92
2016-04-21,1314.8,1338.9,1265,1275.65,329900,1273.06
2016-04-22,1275,1275,1236,1241.8,208000,1239.28
2016-04-25,1243.5,1297.65,1238,1282.25,405700,1279.64
2016-04-26,1277.8,1328.4,1255,1319.75,417100,1317.07
2016-04-27,1325,1348.75,1320,1332.35,324100,1329.64
2016-04-28,1330,1330,1175.9,1190.65,4216500,1188.23
2016-04-29,1192,1220,1122,1156.95,1671600,1154.6
2016-05-02,1152.7,1185,1141,1177.3,418200,1174.91
2016-05-03,1184.95,1195.1,1135.35,1149.95,515400,1147.61
2016-05-04,1140,1165,1080.45,1148.9,1282500,1146.57
2016-05-05,1158.3,1175,1145.85,1156.85,391000,1154.5
2016-05-06,1149,1184,1141.25,1177.85,593000,1175.46
2016-05-09,1185,1203.1,1170.3,1187.9,438600,1185.49
2016-05-10,1186,1198.65,1161.2,1179.2,372200,1176.8
2016-05-11,1159.5,1177,1152.5,1165.85,284500,1163.48
2016-05-12,1168,1182.6,1163.1,1178,209600,1175.61
2016-05-13,1175,1214,1171.9,1181.75,442100,1179.35
2016-05-16,1185,1194.9,1165.5,1183.45,204700,1181.05
2016-05-17,1190,1197.7,1166.8,1171.05,240800,1168.67
2016-05-18,1165,1175,1158.55,1166.6,232500,1164.23
2016-05-19,1171.9,1171.9,1139,1146.05,168400,1143.72
2016-05-20,1147.5,1155,1111.2,1119.9,307200,1117.62
2016-05-23,1122,1137.75,1105.2,1112,221900,1109.74
2016-05-24,1109.75,1120,974,1063.5,7505600,1061.34
2016-05-25,1087.35,1105,1050,1090.75,1366900,1088.53
2016-05-26,1092,1174.2,1074,1153,1597800,1150.66
2016-05-27,1153,1172.95,1080,1111.95,1121800,1109.69
2016-05-30,1094,1094,1011.1,1023,2054800,1020.92
2016-05-31,1038,1047.7,1011.6,1033.65,1312100,1031.55
2016-06-01,1040,1044.35,1005,1013.05,797200,1010.99
2016-06-02,1010,1028.4,995,1018.45,821300,1016.38
2016-06-03,1020,1028,995.1,998.1,624300,996.07
2016-06-06,1000.6,1015,980.5,997.2,468800,995.17
2016-06-07,1007,1013.5,992.3,1005.75,507600,1003.71
2016-06-08,1009,1064.45,1002.15,1058.95,1179500,1056.8
2016-06-09,1064,1074.5,1035.25,1060.95,829500,1058.79
2016-06-10,1049,1064,1018.8,1021.25,723400,1019.17
2016-06-13,1015,1043.8,1000,1039.05,638100,1036.94
2016-06-14,1039,1055.8,1026.05,1047.7,500100,1045.57
2016-06-15,1053,1062,1037,1051.4,341600,1049.26
2016-06-16,1048,1080,1041,1073.75,583700,1071.57
2016-06-17,1080,1088.75,1068,1079.8,445900,1077.61
2016-06-20,1072.4,1081.9,1059,1071,216600,1068.82
2016-06-21,1050,1070,1045.05,1060.2,411600,1058.05
2016-06-22,1060,1070.15,1042.8,1049.1,179800,1046.97
2016-06-23,1044.8,1080.55,1033,1076.3,512800,1074.11
2016-06-24,1057,1059.95,1020.3,1046.75,320500,1044.62
2016-06-27,1037,1067.75,1037,1047.25,187900,1045.12
2016-06-28,1051.5,1070.25,1048.4,1061.9,341100,1059.74
2016-06-29,1071.95,1122.6,1070,1097.35,822400,1095.12
2016-06-30,1098,1165,1098,1135.95,1279200,1133.64
2016-07-01,1157,1179.95,1142.95,1174.15,477500,1171.76
2016-07-04,1174.2,1277.4,1174.2,1238.6,1431500,1236.08
2016-07-05,1230.1,1257.35,1213.45,1230.95,725500,1228.45
2016-07-06,1230.95,1230.95,1230.95,1230.95,0,1228.45
2016-07-07,1231.9,1250,1207.15,1211.55,403300,1209.09
2016-07-08,1212.1,1222.5,1170,1180.75,632100,1178.35
2016-07-11,1171.5,1198.4,1165.75,1173.8,498500,1171.41
2016-07-12,1185,1185.5,1170.2,1174.05,276300,1171.66
2016-07-13,1185,1185,1154.9,1162.05,386100,1159.69
2016-07-14,1173.6,1213,1162.2,1193.7,645100,1191.27
2016-07-15,1201,1220,1125.6,1146.75,643900,1144.42
2016-07-18,1140,1175,1135,1149.4,344400,1147.06
2016-07-19,1150.2,1163,1130.75,1135.2,377200,1132.89
2016-07-20,1142,1155.6,1123.2,1144.55,398200,1142.22
2016-07-21,1150,1182.8,1136.85,1142.65,427900,1140.33
2016-07-22,1143,1165,1143,1154.65,295000,1152.3
2016-07-25,1155,1186,1155,1172.05,351300,1169.67
2016-07-26,1182,1218,1175.05,1199.7,630700,1197.26
2016-07-27,1201.75,1218.4,1166,1178.85,369900,1176.45
2016-07-28,1185,1234,1183.85,1220.05,680000,1217.57
2016-07-29,1226.9,1240,1214.05,1223.9,425800,1221.41
2016-08-01,1228.95,1274.5,1228.3,1265.05,849500,1262.48
2016-08-02,1267.8,1298.8,1258,1276.05,721400,1273.46
2016-08-03,1283.85,1288,1196,1204.2,569600,1201.75
2016-08-04,1216,1230,1150,1178.15,753400,1175.76
2016-08-05,1187,1194.95,1138.2,1172,676700,1169.62
2016-08-08,1177.95,1219.9,1163.45,1206.4,460000,1203.95
2016-08-09,1214.6,1217.65,1177.7,1189.7,376300,1187.28
2016-08-10,1193.6,1199.2,1168.7,1173.85,406600,1171.46
2016-08-11,1174.9,1192,1156.55,1171.45,344100,1169.07
2016-08-12,1172,1206,1172,1184.65,409700,1182.24
2016-08-15,1184.65,1184.65,1184.65,1184.65,0,1182.24
