"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2015-10-23,1586.69995,1586.69995,1556.5,1561,66600,1541.10874
2015-10-26,1550,1569.90002,1539.59998,1564.19995,86400,1544.26792
2015-10-27,1564,1600,1550,1588.25,113100,1568.0115
2015-10-28,1590,1607.90002,1547.94995,1559.25,155800,1539.38104
2015-10-29,1569.90002,1595,1559.84998,1587.59998,154000,1567.36976
2015-10-30,1598.75,1630,1526,1549.40002,645200,1529.65658
2015-11-02,1550,1554,1502.69995,1528.05005,158500,1508.57866
2015-11-03,1533,1549,1519.94995,1538.65002,67200,1519.04356
2015-11-04,1546,1555.34998,1510.80005,1522.15002,76100,1502.75382
2015-11-05,1523.69995,1523.69995,1493.09998,1502.59998,70900,1483.45289
2015-11-06,1502.59998,1511.5,1448.09998,1462.94995,98600,1444.30811
2015-11-09,1440,1460,1405.80005,1439.34998,138500,1421.00886
2015-11-10,1434,1451.69995,1412.80005,1420.05005,73800,1401.95486
2015-11-11,1420.05005,1420.05005,1420.05005,1420.05005,0,1401.95486
2015-11-12,1420.05005,1420.05005,1420.05005,1420.05005,0,1401.95486
2015-11-13,1429,1429,1376.40002,1387.90002,234200,1370.21452
2015-11-16,1373.5,1384.05005,1320.30005,1335.80005,338300,1318.77843
2015-11-17,1364.69995,1370,1340.15002,1350.15002,287400,1332.94555
2015-11-18,1353,1373.65002,1326.19995,1346.19995,146800,1329.04581
2015-11-19,1347.30005,1358.69995,1334.25,1347,100600,1329.83567
2015-11-20,1345.09998,1362.40002,1333.5,1340.80005,109400,1323.71472
2015-11-23,1340.80005,1351,1312.59998,1322.30005,130900,1305.45046
2015-11-24,1336,1353,1321.40002,1343.69995,126400,1326.57767
2015-11-25,1343.69995,1343.69995,1343.69995,1343.69995,0,1326.57767
2015-11-26,1345,1357.34998,1317.05005,1326.90002,155200,1309.99182
2015-11-27,1326.90002,1343,1322,1327,101800,1310.09052
2015-11-30,1331,1354.59998,1323,1326.05005,144200,1309.15267
2015-12-01,1335,1350,1330,1347.25,75100,1330.08248
2015-12-02,1353,1388.19995,1353,1374.69995,250100,1357.18265
2015-12-03,1400,1406.94995,1353,1358.94995,298200,1341.63334
2015-12-04,1360,1365,1327.80005,1335.05005,118500,1318.03799
2015-12-07,1336.30005,1354.40002,1331.59998,1336.90002,85000,1319.86439
2015-12-08,1344,1349.15002,1312.19995,1332.80005,112900,1315.81666
2015-12-09,1333.69995,1339.19995,1251,1260.90002,203400,1244.83283
2015-12-10,1260.90002,1304,1211.34998,1284,261800,1267.63845
2015-12-11,1288,1315.15002,1239.09998,1261.15002,174700,1245.07965
2015-12-14,1263,1268,1226.09998,1254.15002,190900,1238.16884
2015-12-15,1263,1294.80005,1245.59998,1288.69995,161700,1272.27851
2015-12-16,1295,1307.80005,1270,1278.5,158700,1262.20854
2015-12-17,1286,1304,1282.5,1299.19995,161400,1282.64472
2015-12-18,1292,1300.15002,1268.80005,1275.65002,188200,1259.39488
2015-12-21,1266.05005,1295,1265,1285,158700,1268.62571
2015-12-22,1284,1302.69995,1277.55005,1285.34998,110300,1268.97123
2015-12-23,1292,1306,1283.09998,1291.80005,87200,1275.33911
2015-12-24,1299.90002,1334,1293.59998,1324.75,211100,1307.86919
2015-12-25,1324.75,1324.75,1324.75,1324.75,0,1307.86919
2015-12-28,1335.5,1352.55005,1335,1346.90002,164300,1329.73696
2015-12-29,1352,1354.90002,1321.59998,1344.59998,121100,1327.46622
2015-12-30,1341,1362.5,1336,1345.05005,116800,1327.91056
2015-12-31,1345.05005,1350,1323,1331.75,146600,1314.77999
2016-01-01,1331.90002,1351,1328.25,1331.94995,108400,1314.97739
2016-01-04,1338.80005,1338.80005,1312,1327.5,122900,1310.58415
2016-01-05,1331.5,1336.65002,1285.55005,1309.84998,187600,1293.15903
2016-01-06,1329.59998,1334.94995,1296,1306.59998,276200,1289.95044
2016-01-07,1303.75,1303.75,1263.55005,1272.69995,165900,1256.4824
2016-01-08,1273.09998,1293.25,1230.09998,1251.25,188000,1235.30577
2016-01-11,1244,1274.80005,1223.25,1267.40002,177800,1251.25
2016-01-12,1279,1280,1236.5,1262.80005,118300,1246.70864
2016-01-13,1264.09998,1280,1200,1232.25,188700,1216.54788
2016-01-14,1210,1239,1193.5,1223.75,167300,1208.1562
