"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2016-01-19,1499,1499,1420.65,1443.55,803500,701.3944
2016-01-20,1430,1467.4,1404.45,1444.95,603600,702.0746
2016-01-21,1456.6,1482,1432,1453.5,382000,706.2289
2016-01-22,1454.3,1475.4,1432.5,1449.75,438400,704.4068
2016-01-25,1459.9,1478,1444.05,1469.2,203100,717.8182
2016-01-26,1469.2,1469.2,1469.2,1469.2,0,717.8182
2016-01-27,1476.6,1494.85,1448.05,1487.85,302400,726.9302
2016-01-28,1497.7,1518.5,1470.05,1477.4,684200,721.8246
2016-01-29,1475,1484.9,1450.15,1472.05,399300,719.2107
2016-02-01,1488,1501.95,1475,1488.2,216300,727.1012
2016-02-02,1499,1528,1482,1517.75,603900,741.5387
2016-02-03,1507,1515,1487.65,1495.25,501200,730.5457
2016-02-04,1515,1515,1491.1,1500.35,255000,733.0374
2016-02-05,1510,1543.85,1503.5,1531.55,402400,748.2811
2016-02-08,1534,1550,1518.1,1526.85,353300,745.9847
2016-02-09,1516.05,1516.05,1475,1481.2,292500,723.6812
2016-02-10,1480,1497.1,1469.9,1484.55,351100,725.318
2016-02-11,1486,1496,1435,1441.9,249000,704.4801
2016-02-12,1455,1473.55,1407.1,1428.1,233300,697.7377
2016-02-15,1458,1464.9,1435,1438.6,124600,702.8678
2016-02-16,1430,1457.55,1391.05,1399.25,315100,683.6423
2016-02-17,1400.1,1415,1348.45,1390.05,405700,679.1474
2016-02-18,1398,1439.9,1388,1406.85,578300,687.3554
2016-02-19,1411,1425.95,1400.05,1420.95,209300,694.2444
2016-02-22,1421,1429,1402.5,1420.65,363500,694.0978
2016-02-23,1430,1455,1407.75,1437.9,401100,702.5258
2016-02-24,1435.05,1438.25,1415,1425.7,265400,696.5651
2016-02-25,1426,1460,1408,1435.75,835800,701.4753
2016-02-26,1457.05,1487,1421,1432.55,297100,699.9119
2016-02-29,1440,1442.7,1412,1426.35,472200,696.8827
2016-03-01,1424,1472.3,1424,1469.2,728000,717.8182
2016-03-02,741.1,770,741.025,762.825,879600,372.6992
2016-03-03,763.825,802.05,759.5,787.7,1786400,384.8526
2016-03-04,788.95,804.5,778,794.95,1637600,388.3948
2016-03-07,794.95,794.95,794.95,794.95,0,388.3948
2016-03-08,772,802.5,762.5,773.175,2692000,377.756
